date,open,high,low,close,volume
2025-09-02,334.93,348.6,331.57,341.62,11123010
2025-09-03,341.77,344.5,327.609,330.26,9180195
2025-09-04,330.0,332.56,317.7504,327.59,10529990
2025-09-05,334.81,337.2,320.0,335.87,14047600
2025-09-08,328.11,333.0967,321.5,329.9,9954514
2025-09-09,330.23,331.96,324.45,328.53,6587817
2025-09-10,332.8,340.01,321.956,326.45,9741359
2025-09-11,326.87,329.75,322.77,326.02,7506896
2025-09-12,329.15,336.1301,327.6,331.44,10809900
2025-09-15,329.4,331.33,320.45,327.79,9527674
2025-09-16,329.23,335.44,324.84,335.09,8651259
2025-09-17,335.66,340.11,323.205,329.71,9690985
2025-09-18,335.86,358.25,334.625,349.12,19697260
2025-09-19,347.45,352.92,337.07,344.75,17699700
2025-09-22,337.02,341.59,329.0,335.93,10053540
2025-09-23,337.06,339.0,327.77,327.78,9468789
2025-09-24,330.63,337.0599,323.14,323.31,9153097
2025-09-25,316.61,317.0,292.36,300.7,22086990
2025-09-26,301.3,310.0,297.71,309.06,11693360
2025-09-29,313.73,327.99,311.0,326.42,12652010
2025-09-30,320.835,324.4999,316.19,322.21,7798818
2025-10-01,332.47,343.73,331.2,338.41,13994830
2025-10-02,348.57,353.22,341.15,352.33,13666760
2025-10-03,350.865,358.54,344.4,351.63,12107920
2025-10-06,362.95,365.21,354.7,359.69,9550967
2025-10-07,358.88,359.44,328.16,328.4,19584110
2025-10-08,335.615,336.36,322.3,330.8,12996280
2025-10-09,327.4,328.99,318.22,320.29,11213180
2025-10-10,323.175,323.43,303.57,304.79,13643730
2025-10-13,306.67,315.95,300.59,315.47,11575020
2025-10-14,301.0,312.7099,297.34,300.67,11480500
2025-10-15,303.6,308.88,294.62,296.76,10625610
2025-10-16,299.9,301.58,282.19,283.84,13817950
2025-10-17,279.27,292.8,279.0,289.87,13110670
2025-10-20,297.21,306.16,294.4,296.61,9679688
2025-10-21,293.95,305.9899,291.52,301.91,7902814
2025-10-22,293.02,297.96,276.6,280.81,15129500
2025-10-23,285.47,289.07,278.0,284.92,9082117
2025-10-24,290.43,292.15,286.11,289.08,7881709
2025-10-27,299.5,299.8,293.0001,295.63,8135934
2025-10-28,295.14,297.2,284.25,284.64,7996793
2025-10-29,284.375,286.175,274.0,275.36,10184060
2025-10-30,269.985,271.365,254.0,254.57,15564200
2025-10-31,269.98,276.3199,263.0,269.51,14071790
2025-11-03,264.19,270.36,259.85,264.67,11074630
2025-11-04,255.16,258.21,245.86,246.99,15735130
2025-11-05,250.2,255.36,247.0201,255.0,9676192
2025-11-06,252.14,252.34,235.03,237.2,14468340
2025-11-07,222.66,243.7325,219.68,241.93,16976060
2025-11-10,249.68,249.96,234.6,238.88,9527228
2025-11-11,236.455,239.24,230.55,231.35,8340252
2025-11-12,233.9,234.84,219.8,224.61,10800420
2025-11-13,223.8,226.0,207.03,208.54,16474520
2025-11-14,200.58,208.84,194.56,199.75,23233800
2025-11-17,197.025,204.15,189.5315,195.42,19544950
2025-11-18,196.36,213.83,196.0,206.8,22049490
2025-11-19,202.36,203.95,181.73,186.5,28025370
2025-11-20,192.44,193.53,171.475,177.13,27684350
2025-11-21,172.74,181.19,166.31,170.5,29651280
2025-11-24,171.62,179.84,166.01,179.04,23282610
2025-11-25,173.71,176.76,166.7801,172.19,19112670
2025-11-26,173.69,180.63,169.7,175.64,20016530
2025-11-28,182.99,187.29,175.0501,177.18,15114320
2025-12-01,168.26,172.175,155.61,171.42,42940230
2025-12-02,177.75,188.37,176.89,181.33,31285560
2025-12-03,183.4,190.44,177.82,188.39,26686140
2025-12-04,186.02,191.0,182.35,186.01,16474440
2025-12-05,183.335,185.39,176.3,178.99,20750670
2025-12-08,182.1,185.59,178.0,183.69,16328140
2025-12-09,181.49,198.3999,179.92,188.99,24269610
2025-12-10,189.32,191.07,182.2,184.64,22458960
2025-12-11,179.79,183.5,171.41,183.3,19542360
2025-12-12,182.97,185.25,176.22,176.45,14532100
2025-12-15,176.0,176.5,160.54,162.08,25393370
2025-12-16,164.97,171.489,161.95,167.5,21181040
2025-12-17,167.745,171.1631,160.31,160.38,19144900
2025-12-18,167.81,169.51,157.43,158.24,17534710
2025-12-19,163.4,167.75,161.63,164.82,22062410
2025-12-22,168.82,170.67,163.69,164.32,19234490
2025-12-23,162.25,162.73,156.5,157.88,15891200
2025-12-24,157.2,159.28,155.1,158.71,7097556
2025-12-26,159.89,159.91,154.1219,158.81,12298170
2025-12-29,157.945,162.93,155.32,155.39,14073500
2025-12-30,155.82,159.38,154.1321,155.61,12740200
2025-12-31,156.24,156.8,151.42,151.95,15918110
2026-01-02,154.59,160.79,149.75,157.16,20185580
2026-01-05,163.415,167.7,160.96,164.72,22858980
2026-01-06,166.88,167.14,154.05,157.97,22627810
2026-01-07,163.445,170.16,158.45,161.83,28406920
2026-01-08,158.625,170.62,156.17,166.97,25159400
2026-01-09,166.75,167.2,155.46,157.33,27962570
2026-01-12,156.27,163.82,154.69,162.23,16181960
2026-01-13,164.45,173.76,159.93,172.99,27656220
2026-01-14,178.64,190.2,176.12,179.33,40257000
2026-01-15,179.125,179.25,170.09,170.91,21486490
2026-01-16,171.925,173.88,167.59,173.71,19462500
2026-01-20,165.17,165.72,158.85,160.23,25666720
2026-01-21,161.27,165.72,156.01,163.81,18440820
2026-01-22,163.725,164.64,159.44,160.98,11116020
2026-01-23,160.94,168.9638,158.72,163.11,14879280
2026-01-26,159.41,163.92,158.62,160.58,14516490
2026-01-27,160.305,161.67,156.98,161.58,13962170
2026-01-28,164.45,165.72,157.0,158.45,14082560
2026-01-29,155.95,156.0,139.3601,143.19,34618500
2026-01-30,139.995,151.15,139.9,149.71,22767970
2026-02-02,139.765,147.8751,138.0,139.63,27171510
2026-02-03,140.135,140.23,126.7401,133.26,26169020
2026-02-04,130.01,130.8199,121.188,129.09,25775590
2026-02-05,120.25,122.0,104.165,106.99,60129690
2026-02-06,114.95,135.67,114.68,134.93,57771020
2026-02-09,127.37,139.58,125.13,138.44,34291590
2026-02-10,133.66,139.16,132.6775,133.0,23002120
