date,open,high,low,close,volume
2025-09-02,115.86,118.555,114.25,118.48,13771930
2025-09-03,119.36,119.44,117.295,118.72,14101290
2025-09-04,118.85,124.41,118.52,124.21,18589050
2025-09-05,127.77,131.41,125.66,131.37,28416040
2025-09-08,130.55,132.2586,128.4,131.46,19492590
2025-09-09,131.76,138.0,131.56,135.24,20704950
2025-09-10,140.02,142.235,138.34,140.0,25791270
2025-09-11,147.72,156.26,147.61,150.57,52446420
2025-09-12,153.55,158.28,153.21,157.23,32288340
2025-09-15,156.96,160.3399,156.55,157.77,20101400
2025-09-16,157.98,159.56,157.165,158.82,16911620
2025-09-17,157.405,160.59,155.26,159.99,18843560
2025-09-18,162.99,170.45,162.6,168.89,28212800
2025-09-19,162.75,163.7,159.38,162.73,37309870
2025-09-22,164.375,167.26,161.59,164.62,25851220
2025-09-23,165.68,168.99,165.23,166.41,43316500
2025-09-24,165.08,166.0,158.3,161.71,57096440
2025-09-25,157.39,158.95,154.65,156.83,32209200
2025-09-26,158.52,158.92,155.18,157.27,24044950
2025-09-29,160.0,165.8,159.9706,163.9,26506500
2025-09-30,164.105,168.95,163.96,167.32,20092460
2025-10-01,165.6,182.39,165.5,182.15,41674760
2025-10-02,184.955,186.18,181.21,183.75,25122190
2025-10-03,185.21,191.8499,184.92,187.83,29399260
2025-10-06,195.01,201.0,189.43,190.96,36392260
2025-10-07,194.85,195.2999,183.24,185.69,27828160
2025-10-08,188.99,196.95,188.8,196.54,26833890
2025-10-09,192.965,196.62,189.5,192.33,19721480
2025-10-10,192.96,193.44,179.61,181.6,26990250
2025-10-13,190.79,193.3995,187.99,192.77,20928380
2025-10-14,186.96,192.46,186.25,187.06,15912420
2025-10-15,192.475,192.88,187.4235,191.94,17793130
2025-10-16,199.96,206.34,195.2,202.53,42041350
2025-10-17,199.28,203.39,195.55,202.38,23283080
2025-10-20,209.655,214.75,205.5,206.77,23268430
2025-10-21,204.3,205.87,200.8401,202.29,13717260
2025-10-22,202.25,205.5764,192.4,198.47,21949780
2025-10-23,196.7,209.0,195.2,206.71,19397920
2025-10-24,212.39,219.82,209.98,219.02,25821760
2025-10-27,224.81,224.98,215.74,220.1,23873070
2025-10-28,218.93,222.9,217.56,221.91,14957510
2025-10-29,229.055,232.4,226.1,226.63,23217290
2025-10-30,226.1,227.4,220.74,224.01,14795070
2025-10-31,227.75,231.25,218.82,223.77,16319990
2025-11-03,233.875,237.62,231.8,234.7,21199300
2025-11-04,222.14,228.6726,217.4,218.03,23696210
2025-11-05,225.665,239.88,224.725,237.5,28617390
2025-11-06,237.84,246.41,234.88,238.33,32016800
2025-11-07,234.03,242.55,226.4001,237.92,30613840
2025-11-10,247.955,257.07,247.81,253.3,27870630
2025-11-11,248.34,249.99,238.79,241.11,22622470
2025-11-12,244.9,249.19,240.84,244.9,17263140
2025-11-13,243.6,249.5,230.16,236.95,32324590
2025-11-14,231.45,255.17,231.23,246.83,36171120
2025-11-17,246.92,260.58,239.46,241.95,30304350
2025-11-18,235.48,238.93,225.52,228.5,33843910
2025-11-19,226.91,234.35,216.36,225.92,35256560
2025-11-20,230.235,230.598,199.6,201.37,47420730
