date,open,high,low,close,volume
2025-09-02,65.9,67.879,64.11,65.72,9332965
2025-09-03,66.88,67.0,64.8314,65.65,6506241
2025-09-04,65.445,66.5,64.41,64.91,5473282
2025-09-05,66.5,67.39,63.26,65.47,5811679
2025-09-08,64.67,66.64,63.8,64.06,23049980
2025-09-09,97.2,98.6799,86.12,95.72,88378300
2025-09-10,91.64,100.51,91.0,93.39,44690600
2025-09-11,92.67,93.87,88.415,89.19,37580630
2025-09-12,91.19,92.0,86.78,90.41,22844690
2025-09-15,92.61,94.42,88.84,90.96,19391490
2025-09-16,91.2,91.3,88.02,89.43,11737330
2025-09-17,91.67,95.0,88.83,94.08,24500300
2025-09-18,95.075,97.68,92.03,94.12,18068460
2025-09-19,94.14,99.55,93.25,99.31,18649280
2025-09-22,101.95,108.58,98.52,106.6,24365230
2025-09-23,108.04,109.98,104.25,107.8,16693470
2025-09-24,109.135,114.85,104.85,113.23,25341220
2025-09-25,108.055,114.08,105.88,107.94,19658800
2025-09-26,109.93,109.99,102.8,107.7,14915090
2025-09-29,109.38,112.52,108.33,110.22,12067010
2025-09-30,113.445,117.65,111.66,112.27,20425090
2025-10-01,111.715,115.88,109.76,115.61,12008100
2025-10-02,123.77,126.74,118.57,125.87,26887670
2025-10-03,127.235,132.9792,123.6,127.98,21351330
2025-10-06,132.4,135.76,124.93,124.94,16311050
2025-10-07,127.825,128.28,115.72,117.7,19573990
2025-10-08,121.2,125.31,117.5,122.0,18005900
2025-10-09,120.98,133.32,119.87,132.64,18124580
2025-10-10,134.95,141.1,128.01,129.58,28268500
2025-10-13,135.21,138.53,132.65,135.46,12788930
2025-10-14,132.0,133.7843,125.75,128.15,13109230
2025-10-15,131.9,131.99,122.2,125.83,11708320
2025-10-16,128.09,130.97,122.02,123.04,14207750
2025-10-17,118.06,120.5734,110.88,113.44,21366530
2025-10-20,116.79,117.47,107.51,109.0,17799470
2025-10-21,107.88,108.18,101.4,104.28,18455860
2025-10-22,106.675,107.8,94.63,98.62,26631500
2025-10-23,100.33,106.62,99.46,106.16,15803830
2025-10-24,111.16,117.45,110.01,117.26,17411910
2025-10-27,120.91,126.5,120.11,125.43,16809790
2025-10-28,126.435,129.03,120.78,121.83,13455550
2025-10-29,124.28,125.95,117.5,125.1,13952790
2025-10-30,121.2,128.44,117.76,124.18,12204380
2025-10-31,126.64,132.1499,126.3,130.82,13389040
2025-11-03,134.0,134.93,119.7501,120.47,17247030
2025-11-04,112.355,116.78,109.0,110.54,17818200
2025-11-05,113.64,118.21,111.43,117.0,13977680
2025-11-06,119.55,121.0,108.41,109.44,17314420
2025-11-07,104.5,111.3,101.26,111.28,17614070
2025-11-10,115.18,118.37,108.72,109.95,21363590
2025-11-11,114.13,114.56,99.83,102.22,45261130
2025-11-12,104.2,105.6499,91.71,94.36,35913480
2025-11-13,90.89,91.48,84.5,88.63,41803020
2025-11-14,82.36,89.0,82.0,83.54,31947970
2025-11-17,83.82,89.65,83.59,85.98,23478710
2025-11-18,83.78,93.69,81.71,90.54,26661640
2025-11-19,93.005,96.72,91.8,95.07,22040590
2025-11-20,99.43,102.69,84.21,84.64,35775660
2025-11-21,85.55,88.74,78.21,83.26,34963170
2025-11-24,86.23,93.0,85.15,91.9,51066800
2025-11-25,89.29,91.28,84.7211,88.88,15021200
2025-11-26,93.85,95.634,90.76,94.69,13544970
2025-11-28,96.55,97.08,93.4402,94.87,6018834
2025-12-01,91.45,101.6,89.01,100.15,14462850
2025-12-02,100.36,102.95,96.06,96.45,11332670
2025-12-03,95.02,99.06,91.0,98.92,11307490
2025-12-04,99.07,103.84,97.47,102.8,11234130
2025-12-05,100.34,101.35,96.2,98.04,13041140
2025-12-08,97.29,100.5,95.3,100.33,8737775
2025-12-09,98.09,100.8826,96.1,96.41,10059980
2025-12-10,95.73,97.09,92.2,93.59,10080740
2025-12-11,89.2,95.45,86.7,94.28,11896080
2025-12-12,93.31,95.65,86.2,87.69,14990620
2025-12-15,88.1,88.24,80.0635,81.14,17138600
2025-12-16,79.575,81.56,76.88,80.95,13847810
2025-12-17,84.09,84.3,75.25,75.45,17064070
2025-12-18,79.05,80.35,77.01,78.09,10345820
2025-12-19,80.65,90.54,80.1601,89.46,17558700
2025-12-22,92.97,95.9,91.1,93.23,11303100
