date,open,high,low,close,volume
2025-09-02,24.1,24.74,23.95,24.72,12961280
2025-09-03,24.76,25.63,24.64,25.34,16679470
2025-09-04,25.32,25.79,25.23,25.59,16213830
2025-09-05,25.71,26.275,25.455,25.66,14682640
2025-09-08,25.44,25.74,24.48,24.53,32897980
2025-09-09,24.6,25.6,24.36,25.37,40338860
2025-09-10,25.37,25.66,24.52,25.43,18502600
2025-09-11,25.86,27.01,25.83,26.94,21974370
2025-09-12,27.12,27.1799,26.645,26.65,14845180
2025-09-15,26.73,26.73,25.71,26.01,15266630
2025-09-16,25.98,25.98,25.06,25.58,14591430
2025-09-17,25.6,25.97,25.11,25.38,16355440
2025-09-18,25.51,25.83,25.03,25.41,13962380
2025-09-19,25.52,25.52,24.87,25.23,14268780
2025-09-22,25.13,25.449,24.77,25.39,12022270
2025-09-23,25.55,26.09,25.44,25.57,8429238
2025-09-24,25.64,25.7029,25.075,25.23,6986569
2025-09-25,24.99,25.285,24.72,25.0,9459221
2025-09-26,25.08,25.34,24.8,25.04,13124690
2025-09-29,25.81,26.09,24.2,24.75,20722710
2025-09-30,24.74,25.24,24.25,24.63,12026700
2025-10-01,24.28,24.47,24.11,24.19,13227380
2025-10-02,24.3,24.6799,24.19,24.57,10171460
2025-10-03,24.9,24.94,24.2039,24.32,9798707
2025-10-06,24.32,24.465,23.65,24.1,11158430
2025-10-07,24.2,24.21,23.37,23.9,10501400
2025-10-08,24.0,24.1,23.54,23.68,10338870
2025-10-09,23.9,23.93,23.22,23.29,10982990
2025-10-10,23.16,23.62,22.43,22.45,13809570
2025-10-13,22.95,23.25,22.79,23.04,9737508
2025-10-14,22.55,23.985,22.46,23.75,10541640
2025-10-15,23.91,23.99,23.4822,23.58,9843240
2025-10-16,23.675,23.77,22.715,22.85,10737200
2025-10-17,22.77,23.12,22.43,22.94,10868950
2025-10-20,23.11,23.33,23.01,23.25,9114615
2025-10-21,23.33,24.03,23.29,23.92,13591780
2025-10-22,23.83,24.225,23.575,23.63,19261870
2025-10-23,23.59,23.805,23.04,23.48,23340340
2025-10-24,23.78,23.95,23.4,23.47,14233820
2025-10-27,23.8,23.86,23.32,23.51,17980110
2025-10-28,22.85,22.88,22.17,22.35,22753480
2025-10-29,22.21,22.59,22.0201,22.22,16564350
2025-10-30,21.92,22.76,21.84,22.22,16756930
2025-10-31,22.13,22.49,22.07,22.42,16180810
2025-11-03,22.34,22.46,21.925,22.18,27938600
2025-11-04,20.4,20.84,18.63,18.79,58592070
2025-11-05,18.9,18.94,18.32,18.61,33394540
2025-11-06,18.565,18.93,18.065,18.24,23798310
2025-11-07,18.42,19.455,18.38,19.07,25574680
2025-11-10,19.63,19.69,18.85,19.04,26280040
2025-11-11,18.92,19.141,18.7501,18.82,13950100
2025-11-12,18.86,19.47,18.84,18.94,14649480
2025-11-13,18.925,19.29,18.55,18.56,14657380
2025-11-14,18.31,18.495,18.18,18.29,10177540
2025-11-17,18.2,18.25,17.46,17.53,15370980
2025-11-18,17.51,18.0386,17.47,17.84,14192220
2025-11-19,17.95,18.06,17.615,17.78,10948680
2025-11-20,18.0,18.36,17.47,17.5,15222970
2025-11-21,17.74,18.42,17.585,18.2,14461060
2025-11-24,18.31,18.4,17.345,17.75,19034030
2025-11-25,17.84,18.71,17.84,18.35,17977610
2025-11-26,18.4,18.6399,18.26,18.33,11092800
2025-11-28,18.42,18.72,18.415,18.46,5851525
2025-12-01,18.22,18.64,18.12,18.57,12652530
2025-12-02,18.68,18.71,18.3,18.43,13523330
2025-12-03,18.51,19.08,18.4,18.83,15243870
2025-12-04,18.79,18.9,18.625,18.8,15648880
2025-12-05,18.75,19.23,18.66,18.92,12754270
2025-12-08,19.0,19.1455,18.81,19.11,16433780
2025-12-09,18.72,19.1,18.64,18.72,19649570
2025-12-10,18.75,19.35,18.51,19.24,24864980
2025-12-11,19.14,20.637,19.13,20.55,27382700
2025-12-12,20.98,21.33,20.65,20.86,22198050
2025-12-15,20.85,21.79,20.73,21.65,22292660
2025-12-16,21.68,22.05,21.53,21.54,19447490
2025-12-17,21.6,22.385,21.51,21.54,19993670
2025-12-18,21.78,22.1,21.57,21.63,18262310
2025-12-19,21.61,23.23,21.51,23.04,29116700
2025-12-22,22.91,24.32,22.846,24.27,20066360
2025-12-23,24.23,24.31,23.08,23.11,13677210
2025-12-24,23.2,23.27,23.03,23.17,4279949
2025-12-26,23.19,23.2,22.51,22.81,8498866
2025-12-29,22.6,22.63,22.15,22.41,9245397
2025-12-30,22.46,22.62,22.385,22.43,7300674
2025-12-31,22.41,22.47,22.25,22.32,6492985
2026-01-02,22.52,22.97,22.22,22.78,8573137
2026-01-05,22.5,22.98,21.96,22.58,15549840
2026-01-06,22.7,24.24,22.65,23.8,19598330
2026-01-07,23.6,24.46,23.45,24.42,14503740
2026-01-08,24.39,25.125,24.2,24.37,16639650
2026-01-09,24.73,24.805,24.19,24.53,19388120
2026-01-12,24.2,24.4652,23.73,24.34,16428370
2026-01-13,24.18,24.79,23.5,23.82,22282470
2026-01-14,23.65,23.69,22.65,23.09,17634630
2026-01-15,23.31,23.78,22.805,22.87,18953900
2026-01-16,22.9,23.0,21.94,22.01,22726970
2026-01-20,21.055,21.2,20.335,20.37,30227610
2026-01-21,20.41,21.1699,20.33,20.87,19668910
2026-01-22,21.19,21.33,20.765,20.82,17769280
2026-01-23,20.57,20.95,20.495,20.93,21724520
