date,open,high,low,close,volume
2025-09-02,74.97,76.52,73.55,75.86,15187820
2025-09-03,76.3,76.51,75.215,75.42,8905931
2025-09-04,74.35,75.18,73.44,74.88,7707152
2025-09-05,76.12,77.3,75.52,76.17,8678651
2025-09-08,76.69,77.1799,75.215,75.75,10106760
2025-09-09,76.27,76.67,75.45,75.92,10468660
2025-09-10,77.33,78.78,77.14,78.43,12294590
2025-09-11,77.65,79.77,77.56,79.65,9330459
2025-09-12,79.72,80.07,78.765,79.25,8286498
2025-09-15,78.31,79.61,77.66,79.36,12131640
2025-09-16,79.33,79.62,78.13,79.02,10773220
2025-09-17,78.18,79.6,77.505,78.69,10380250
2025-09-18,77.78,78.41,77.0046,78.32,10556950
2025-09-19,78.88,82.05,78.49,81.72,42540160
2025-09-22,83.45,83.885,81.81,83.72,14021730
2025-09-23,84.705,86.62,83.98,84.67,18395150
2025-09-24,84.54,84.7399,83.26,83.47,9528263
2025-09-25,83.49,83.995,81.86,83.67,8930703
2025-09-26,83.85,85.39,83.6,85.25,8293644
2025-09-29,87.59,87.93,83.31,84.54,13685480
2025-09-30,83.57,85.28,82.3,84.31,13165640
2025-10-01,84.97,86.305,84.5,85.95,11306850
2025-10-02,86.93,86.93,83.24,86.43,12149940
2025-10-03,86.17,87.39,85.9,86.86,7791672
2025-10-06,87.95,89.37,87.4,88.51,8890905
2025-10-07,88.64,88.905,86.63,86.95,9041149
2025-10-08,88.81,89.0,87.26,88.4,10211950
2025-10-09,88.54,88.96,84.4,85.21,10645830
2025-10-10,86.25,86.735,84.735,85.14,9047480
2025-10-13,87.95,89.42,87.56,89.4,9732855
2025-10-14,87.7,91.24,87.7,90.54,9064132
2025-10-15,92.26,93.93,91.265,93.58,9140464
2025-10-16,95.04,98.578,94.11,98.27,13010370
2025-10-17,96.36,96.36,89.92,90.77,19714200
2025-10-20,93.86,95.02,91.85,94.89,11868610
2025-10-21,89.03,89.03,85.4,86.32,17038310
2025-10-22,83.09,87.61,82.8,87.01,15846010
2025-10-23,89.15,90.19,87.27,88.91,14759700
2025-10-24,82.54,86.0,81.29,83.37,21379070
2025-10-27,79.24,80.16,76.85,78.63,23560390
2025-10-28,76.74,79.86,76.0468,79.34,13352160
2025-10-29,81.32,81.84,79.31,79.67,10811600
2025-10-30,79.81,83.12,79.57,82.31,10528300
2025-10-31,82.02,82.25,79.8,80.97,8511098
2025-11-03,80.7,82.05,80.41,81.62,8413297
2025-11-04,79.01,80.7,78.595,78.9,9923684
2025-11-05,80.71,81.915,80.49,81.63,8682545
2025-11-06,82.43,84.34,82.1,82.53,9711733
2025-11-07,82.75,83.51,81.49,83.39,7555873
2025-11-10,86.62,88.86,85.8,88.26,10153910
2025-11-11,88.95,90.35,87.42,89.95,10648330
2025-11-12,90.45,93.98,89.7,93.07,9721352
2025-11-13,93.22,93.75,89.57,89.72,9709972
2025-11-14,86.19,89.47,85.9175,87.8,9590398
2025-11-17,87.42,89.2,86.11,87.09,8832186
2025-11-18,87.07,88.335,85.31,86.6,7778822
2025-11-19,88.28,89.27,86.935,87.51,7005800
2025-11-20,87.69,88.305,81.895,82.0,12422450
2025-11-21,82.01,83.89,81.3417,83.49,10168500
2025-11-24,83.11,87.295,83.11,86.53,16768940
2025-11-25,86.06,87.4699,85.2625,86.27,8176094
2025-11-26,87.2,90.9,87.17,90.52,7259121
2025-11-28,91.815,91.97,90.265,90.73,4824643
2025-12-01,92.0,92.89,90.84,91.83,7716841
2025-12-02,91.49,91.73,88.25,90.48,8988999
2025-12-03,91.86,91.93,89.57,89.65,8734998
2025-12-04,88.9,90.875,88.65,90.72,7002887
2025-12-05,90.6,92.7,89.67,89.76,6500403
2025-12-08,90.19,91.13,88.9,89.0,8480175
2025-12-09,89.98,94.22,89.53,94.09,8820166
2025-12-10,92.85,95.29,91.7,94.4,13150450
