date,open,high,low,close,volume
2025-09-02,86.38,87.49,86.0,87.07,603475
2025-09-03,86.8,87.4354,85.6,86.03,548337
2025-09-04,86.63,86.83,85.64,86.82,539883
2025-09-05,86.8,87.35,85.8,86.56,500221
2025-09-08,86.24,86.635,85.0,85.37,381854
2025-09-09,85.59,86.53,85.4881,86.01,473410
2025-09-10,86.2,87.13,85.9,87.13,532862
2025-09-11,87.1,88.18,86.74,88.03,446429
2025-09-12,87.96,88.62,87.82,88.22,368860
2025-09-15,88.14,88.4,87.55,87.63,401910
2025-09-16,87.63,87.85,86.52,86.84,515833
2025-09-17,86.94,88.1627,86.94,87.95,523750
2025-09-18,87.29,88.25,87.035,87.38,332864
2025-09-19,87.44,87.57,86.18,86.49,1125711
2025-09-22,86.65,87.61,86.36,87.44,402133
2025-09-23,87.36,89.48,87.19,89.48,429213
2025-09-24,89.6,92.555,89.49,92.2,815884
2025-09-25,93.71,94.13,91.935,92.56,715909
2025-09-26,93.0,93.86,92.6,93.72,516565
2025-09-29,93.72,93.855,92.25,93.01,781340
2025-09-30,92.2,92.8876,92.04,92.37,418723
2025-10-01,92.17,93.8,92.11,92.46,598035
2025-10-02,92.29,92.5,91.36,91.7,420427
2025-10-03,91.05,91.625,88.32,88.56,824905
2025-10-06,88.9,89.5,87.64,88.2,629760
2025-10-07,88.25,89.26,88.25,89.17,549288
2025-10-08,89.4,89.58,87.72,88.76,809833
2025-10-09,87.87,88.48,85.35,85.81,755765
2025-10-10,86.05,86.71,84.71,84.74,420257
2025-10-13,84.74,85.55,84.07,84.79,445781
2025-10-14,84.27,84.8358,83.98,84.52,367667
2025-10-15,84.9,87.13,84.9,86.21,797798
2025-10-16,86.18,86.7737,84.91,85.24,535914
2025-10-17,85.24,85.9099,84.84,85.7,384849
2025-10-20,86.5,86.76,85.53,86.47,341115
2025-10-21,86.33,86.396,81.66,82.47,978758
2025-10-22,83.0,83.16,81.78,82.3,457774
2025-10-23,83.32,83.399,81.9,82.1,506676
2025-10-24,82.55,83.1399,81.4154,81.68,373488
