date,open,high,low,close,volume
2025-09-02,141.28,141.35,134.69,136.5,2045840
2025-09-03,137.36,137.87,135.93,137.29,621275
2025-09-04,136.67,139.759,134.46,138.67,571391
2025-09-05,139.02,142.25,139.02,140.41,346513
2025-09-08,142.7,143.54,141.29,142.95,460928
2025-09-09,142.95,144.175,142.555,143.35,382643
2025-09-10,144.615,145.84,141.33,142.03,403821
2025-09-11,143.0,143.85,141.484,142.64,460012
2025-09-12,143.0,143.5,141.485,142.81,373733
2025-09-15,142.26,143.79,140.89,143.19,525897
2025-09-16,143.48,146.54,141.56,146.18,765038
2025-09-17,146.58,151.0,146.48,148.83,561240
2025-09-18,151.02,151.46,149.42,151.33,525426
2025-09-19,151.89,153.68,150.92,153.44,428566
2025-09-22,152.79,152.79,147.87,148.0,810107
2025-09-23,147.98,149.84,147.74,148.93,648689
2025-09-24,149.97,153.07,149.4314,152.21,623690
2025-09-25,152.2,152.2,146.72,147.14,458384
2025-09-26,147.25,147.25,144.55,145.78,607052
2025-09-29,148.0,148.12,146.12,146.38,637702
2025-09-30,149.14,149.2899,143.79,144.78,570646
2025-10-01,144.05,145.425,137.48,139.19,596925
2025-10-02,139.9,140.42,137.865,138.21,378674
2025-10-03,139.0,141.1037,137.72,138.2,448415
2025-10-06,139.24,140.477,136.6908,138.01,504769
2025-10-07,138.01,138.875,134.222,135.15,604290
2025-10-08,137.03,139.57,136.603,138.2,486571
2025-10-09,140.15,140.18,137.53,137.68,321473
2025-10-10,137.68,138.375,132.6,133.85,504851
2025-10-13,135.1,135.495,131.87,132.0,409200
2025-10-14,130.52,132.775,129.45,131.46,734649
2025-10-15,131.66,131.66,128.18,128.52,543606
2025-10-16,129.52,130.2375,127.0,128.34,647731
2025-10-17,126.72,130.01,126.66,129.88,425422
2025-10-20,131.76,132.8,131.05,132.21,563667
2025-10-21,132.21,137.045,131.5001,134.52,669376
2025-10-22,134.52,134.895,132.42,132.69,358558
2025-10-23,132.68,134.07,131.35,131.98,439889
2025-10-24,133.0,133.15,130.72,132.3,476844
2025-10-27,133.7,134.85,133.25,134.53,618144
2025-10-28,135.09,136.95,133.77,136.895,408609
2025-10-29,137.17,137.17,133.88,134.31,374374
2025-10-30,133.0,137.31,132.62,135.51,426527
2025-10-31,136.04,137.815,135.12,136.66,282039
2025-11-03,138.36,138.58,133.6,135.54,495633
2025-11-04,133.7,133.7,128.89,129.87,744452
2025-11-05,130.25,131.0,129.01,129.34,361200
2025-11-06,129.0,129.03,125.5755,126.31,379104
2025-11-07,124.355,126.31,122.94,123.99,620068
2025-11-10,124.47,128.33,123.775,127.98,658597
