date,open,high,low,close,volume
2025-09-02,4.275,4.3,4.23,4.23,16231480
2025-09-03,4.395,4.45,4.35,4.38,27241820
2025-09-04,4.49,4.61,4.48,4.6,47252070
2025-09-05,4.54,4.59,4.52,4.55,37414240
2025-09-08,4.55,4.62,4.55,4.59,30494170
2025-09-09,4.58,4.61,4.57,4.59,22202220
2025-09-10,4.59,4.61,4.5302,4.57,27348360
2025-09-11,4.57,4.62,4.5632,4.62,29463920
2025-09-12,4.54,4.55,4.48,4.51,20458790
2025-09-15,4.51,4.56,4.51,4.55,26415880
2025-09-16,4.56,4.6199,4.53,4.61,30626940
2025-09-17,4.65,4.765,4.62,4.7,35742580
2025-09-18,4.69,4.78,4.69,4.76,31035030
2025-09-19,4.77,4.79,4.72,4.74,36366340
2025-09-22,4.74,4.83,4.72,4.77,36366500
2025-09-23,4.8,4.88,4.79,4.85,40469510
2025-09-24,4.77,4.77,4.69,4.74,25382080
2025-09-25,4.68,4.73,4.65,4.68,39757460
2025-09-26,4.66,4.67,4.63,4.66,30640430
2025-09-29,4.68,4.73,4.66,4.7,35748640
2025-09-30,4.71,4.82,4.71,4.81,58556210
2025-10-01,4.8,4.85,4.78,4.82,34564580
2025-10-02,4.87,4.9,4.84,4.88,25862440
2025-10-03,4.87,4.92,4.86,4.9,35659080
2025-10-06,4.93,5.045,4.92,4.95,31326180
2025-10-07,4.99,5.09,4.97,5.07,39651220
2025-10-08,5.1,5.21,5.09,5.17,50789460
2025-10-09,5.22,5.25,5.11,5.18,33379040
2025-10-10,5.3,5.35,5.26,5.32,51707410
2025-10-13,5.27,5.305,5.19,5.25,42372530
2025-10-14,5.345,5.5,5.32,5.47,50865590
2025-10-15,5.5,5.66,5.49,5.65,65461360
2025-10-16,5.72,5.79,5.64,5.68,38504970
2025-10-17,5.68,5.78,5.675,5.74,31787900
2025-10-20,5.7,5.74,5.67,5.71,36090400
2025-10-21,5.65,5.66,5.58,5.58,37625840
2025-10-22,5.56,5.625,5.45,5.55,66700510
2025-10-23,5.89,6.225,5.835,6.17,114770300
2025-10-24,6.145,6.34,6.14,6.3,71565450
2025-10-27,6.34,6.4399,6.3301,6.36,41247590
2025-10-28,6.42,8.19,6.4,7.77,377988500
2025-10-29,7.64,7.64,7.29,7.33,184917800
2025-10-30,7.18,7.32,7.06,7.13,89562170
2025-10-31,6.975,6.98,6.78,6.91,94523970
2025-11-03,7.15,7.21,7.06,7.15,60252340
2025-11-04,6.91,7.0,6.79,6.81,45837050
2025-11-05,6.84,6.89,6.83,6.85,32183130
2025-11-06,6.96,6.99,6.82,6.91,34913150
2025-11-07,6.89,6.92,6.78,6.84,41161240
2025-11-10,6.88,7.18,6.77,6.97,48750510
2025-11-11,6.9,6.96,6.84,6.9,34859860
2025-11-12,6.88,7.05,6.8101,7.02,50336350
2025-11-13,7.05,7.23,6.76,6.78,55927850
2025-11-14,6.67,6.815,6.57,6.73,30804470
2025-11-17,6.72,6.77,6.66,6.66,33430080
2025-11-18,6.52,6.68,6.5101,6.64,47362320
2025-11-19,6.24,6.24,5.98,6.03,82288470
2025-11-20,6.18,6.21,5.86,5.87,55834390
2025-11-21,5.96,6.04,5.89,5.94,45461860
2025-11-24,5.92,6.09,5.9116,6.09,31183150
2025-11-25,6.08,6.13,6.0301,6.06,29549090
2025-11-26,6.04,6.1258,6.04,6.08,23820260
2025-11-28,6.07,6.11,6.03,6.08,12104530
2025-12-01,6.16,6.18,6.11,6.12,16859030
2025-12-02,6.15,6.225,6.15,6.19,19946570
2025-12-03,6.18,6.275,6.15,6.26,23289240
2025-12-04,6.23,6.24,6.15,6.16,13079440
2025-12-05,6.13,6.1699,6.045,6.07,17830370
2025-12-08,6.1,6.175,6.1,6.15,22782950
2025-12-09,6.17,6.255,6.17,6.18,17312110
2025-12-10,6.18,6.26,6.13,6.22,13769920
2025-12-11,6.43,6.53,6.35,6.36,25513470
2025-12-12,6.31,6.34,6.18,6.27,24818960
2025-12-15,6.26,6.2888,6.18,6.2,18299450
2025-12-16,6.2,6.29,6.17,6.29,24121500
2025-12-17,6.24,6.27,6.2,6.22,17102960
2025-12-18,6.4,6.435,6.33,6.38,19965620
2025-12-19,6.39,6.54,6.374,6.5,27945680
2025-12-22,6.5,6.57,6.4644,6.54,25844530
2025-12-23,6.52,6.556,6.5,6.53,13205140
2025-12-24,6.54,6.61,6.51,6.59,7573681
2025-12-26,6.61,6.72,6.6,6.62,11728780
2025-12-29,6.54,6.6,6.53,6.58,11980760
2025-12-30,6.59,6.62,6.5,6.51,16917880
2025-12-31,6.5,6.51,6.46,6.47,10509530
2026-01-02,6.59,6.66,6.47,6.51,26556720
2026-01-05,6.57,6.58,6.47,6.5,32653980
2026-01-06,6.49,6.51,6.37,6.47,23058710
