date,open,high,low,close,volume
2025-09-02,180.354,182.849,178.9272,182.284,6239655
2025-09-03,181.798,184.268,178.902,183.876,6690565
2025-09-04,181.896,182.045,175.638,179.712,8519555
2025-09-05,180.83,183.24,180.27,182.76,6419255
2025-09-08,183.028,188.964,182.511,187.866,8181905
2025-09-09,189.0,189.0,185.56,186.734,5988060
2025-09-10,187.2,188.984,183.866,184.714,8242845
2025-09-11,185.544,188.534,184.729,187.656,5866210
2025-09-12,188.346,188.37,185.386,185.792,3556085
2025-09-15,186.09,191.234,185.946,189.484,7731365
2025-09-16,188.142,189.287,185.694,186.402,6502380
2025-09-17,187.35,190.753,186.65,190.074,6422955
2025-09-18,191.31,192.407,188.102,189.548,7455445
2025-09-19,190.37,193.148,190.0,192.23,14036025
2025-09-22,190.778,191.35,186.182,189.556,6040030
2025-09-23,189.512,190.1,185.29,185.534,7035190
2025-09-24,192.528,194.726,186.22,186.674,10111345
2025-09-25,185.49,185.637,182.092,183.722,5944965
2025-09-26,183.938,187.628,183.34,187.2,4457870
2025-09-29,188.412,190.912,187.848,188.17,5115990
2025-09-30,187.82,188.329,180.9,184.056,7078105
2025-10-01,184.188,187.0,178.4508,182.486,9149710
2025-10-02,182.334,183.01,179.108,182.02,7561195
2025-10-03,182.73,183.94,181.666,182.472,5833260
2025-10-06,180.804,185.952,179.108,182.568,6440820
2025-10-07,182.8,183.159,178.672,180.848,5974455
2025-10-08,182.0,184.068,181.466,182.864,5452820
2025-10-09,180.78,183.93,178.746,183.59,5196950
2025-10-10,184.0,185.6,177.461,177.742,7019555
2025-10-13,179.408,185.152,178.532,184.74,5926670
2025-10-14,181.47,184.854,179.473,182.252,4396155
2025-10-15,183.6,184.42,179.94,180.61,3817100
2025-10-16,182.794,185.8,177.614,178.898,5392170
2025-10-17,178.0,181.306,177.59,180.72,4200455
2025-10-20,181.328,184.404,181.27,183.51,5358615
2025-10-21,183.5,188.888,182.056,188.3,6301205
2025-10-22,188.358,189.6,185.58,187.13,6075230
2025-10-23,186.238,188.9166,185.6,187.834,4223260
2025-10-24,189.15,190.0,185.776,186.034,5355085
2025-10-27,188.814,190.338,187.402,189.258,5735105
2025-10-28,189.862,190.2,187.582,187.582,4724660
2025-10-29,186.908,186.908,182.02,182.34,13433755
2025-10-30,185.346,192.966,179.385,186.936,15203200
2025-10-31,188.642,189.53,180.664,183.856,11873370
2025-11-03,184.428,184.428,177.204,182.768,8732825
2025-11-04,180.0,181.726,175.31,177.514,9724680
2025-11-05,178.334,178.524,174.46,175.926,7603760
2025-11-06,174.95,175.8,170.002,171.754,10231000
2025-11-07,170.268,172.62,168.11,172.374,8162490
2025-11-10,172.772,173.72,170.234,173.26,7045360
2025-11-11,172.686,174.13,171.866,172.134,5176825
2025-11-12,173.742,174.0,169.834,172.808,7603600
2025-11-13,170.476,172.5999,168.796,169.938,8147030
2025-11-14,168.398,173.063,167.8092,170.086,5917305
2025-11-17,169.384,170.696,165.642,167.158,5700750
2025-11-18,165.416,167.0,162.321,163.594,7640335
2025-11-19,163.332,164.228,161.513,163.29,9576840
2025-11-20,166.1,166.338,159.456,160.092,8095580
2025-11-21,160.46,163.922,159.0,162.686,7353910
2025-11-24,162.68,163.898,160.7611,163.168,8947035
2025-11-25,162.474,166.18,162.2,165.062,7279940
2025-11-26,163.45,164.404,159.968,160.544,10035270
2025-11-28,161.6,162.8,161.002,162.482,4520350
2025-12-01,160.334,165.214,159.8,164.414,6934225
2025-12-02,165.724,166.685,164.8,164.876,6551620
2025-12-03,164.4,166.596,162.692,166.58,4619730
2025-12-04,168.2,169.3,166.138,167.774,5550200
2025-12-05,168.166,172.3,167.602,170.872,6472870
2025-12-08,170.848,174.395,170.086,170.704,7741080
2025-12-09,170.522,172.2,169.8,170.982,4896120
2025-12-10,170.114,172.331,169.11,170.712,8460455
2025-12-11,170.6,175.0,170.224,173.498,7038740
2025-12-12,173.478,174.926,171.582,173.012,7495155
2025-12-15,159.6,160.68,152.106,153.04,29629125
2025-12-16,154.894,157.2146,153.914,156.224,16672575
2025-12-17,157.0,161.932,156.29,156.478,11774455
2025-12-18,156.51,157.7799,151.15,153.38,9644020
2025-12-19,152.97,156.16,152.54,155.31,25257480
2025-12-22,156.86,157.155,153.15,156.68,11120320
2025-12-23,155.5,156.09,151.63,154.36,12572500
2025-12-24,153.5,153.9436,152.01,152.59,3896794
2025-12-26,152.5,154.48,152.21,153.89,5450461
2025-12-29,153.07,155.694,152.79,154.58,7157749
2025-12-30,153.85,154.69,153.25,154.23,5110624
2025-12-31,153.99,154.54,152.68,153.19,5256089
2026-01-02,153.08,153.2,145.64,147.45,9896627
2026-01-05,146.51,149.81,145.79,147.6,9854884
2026-01-06,147.42,149.57,146.7,148.81,6428186
2026-01-07,148.0,152.11,147.7512,150.9,6195552
2026-01-08,149.94,150.3,146.18,146.19,7426050
2026-01-09,147.35,147.35,141.43,141.8,11845430
2026-01-12,141.64,143.765,141.1479,142.64,9899964
2026-01-13,142.14,144.7,137.18,138.19,12898270
2026-01-14,137.39,138.19,132.61,134.61,15646950
2026-01-15,135.15,136.235,129.93,131.17,14582790
2026-01-16,129.7,131.35,126.85,127.31,20052360
2026-01-20,126.57,128.78,125.03,125.4,19712230
2026-01-21,128.0,128.01,123.78,125.3,16119610
2026-01-22,126.0,128.73,125.1,128.56,12944220
2026-01-23,128.65,133.85,128.23,133.11,16605380
2026-01-26,134.55,136.63,133.27,136.34,17489740
2026-01-27,135.83,136.03,130.86,131.8,11804180
2026-01-28,132.27,133.67,129.14,129.62,21254080
2026-01-29,118.53,118.96,113.13,116.73,55125070
2026-01-30,117.54,118.83,115.89,117.01,28053900
2026-02-02,118.8,121.67,116.35,118.0,18889050
2026-02-03,115.02,115.89,108.1,109.77,34729640
2026-02-04,107.19,111.15,105.25,111.07,36718100
2026-02-05,109.26,112.09,101.725,102.63,36178840
2026-02-06,101.68,104.0,98.94,100.74,34727050
2026-02-09,100.0,104.25,98.0,103.87,23127390
2026-02-10,104.99,108.98,104.9,106.48,21869550
2026-02-11,105.58,105.94,99.42,100.58,26075980
2026-02-12,101.92,103.71,99.27,103.29,27213070
2026-02-13,105.15,107.69,104.59,107.08,22771170
2026-02-17,109.56,110.85,103.88,105.91,27342960
2026-02-18,105.93,108.26,103.4,107.81,18138720
2026-02-19,108.07,109.22,106.19,107.37,13224740
2026-02-20,106.0,107.8,103.82,104.27,15700310
2026-02-23,101.94,101.94,99.18,100.8,24199960
