date,open,high,low,close,volume
2025-09-02,14.58,14.87,14.34,14.86,50584500
2025-09-03,14.87,15.0353,14.73,14.9,37627670
2025-09-04,14.84,14.995,14.48,14.87,45649680
2025-09-05,15.01,15.175,14.52,14.74,49821230
2025-09-08,14.78,15.345,14.71,15.22,61821420
2025-09-09,15.23,15.51,15.005,15.46,40629930
2025-09-10,15.55,15.71,15.3001,15.51,37644290
2025-09-11,15.53,15.815,15.48,15.62,43807420
2025-09-12,15.68,15.77,15.54,15.69,31793610
2025-09-15,15.75,16.005,15.705,15.91,40993340
2025-09-16,15.94,16.07,15.66,15.89,37822320
2025-09-17,15.95,16.05,15.825,15.96,50224900
2025-09-18,16.01,16.13,15.885,15.99,39201800
2025-09-19,16.07,16.3499,16.02,16.17,55866640
2025-09-22,16.11,16.3,15.98,16.3,42470410
2025-09-23,16.3,16.425,16.03,16.15,41466280
2025-09-24,16.18,16.37,15.9119,16.01,36638570
2025-09-25,15.93,16.0951,15.73,15.78,52139130
2025-09-26,15.93,15.995,15.55,15.78,50525070
2025-09-29,15.95,16.1,15.83,15.95,47946960
2025-09-30,15.96,16.19,15.65,16.01,56119690
2025-10-01,16.05,16.05,15.16,15.19,61535710
2025-10-02,15.27,15.4,15.02,15.22,47166400
2025-10-03,15.28,15.375,15.11,15.31,40872920
2025-10-06,15.37,15.49,15.125,15.38,38702380
2025-10-07,15.41,15.54,15.02,15.13,56880190
2025-10-08,15.18,15.5,15.05,15.46,54370680
2025-10-09,15.53,15.58,15.23,15.37,61507350
2025-10-10,15.36,15.45,14.88,14.92,43207360
2025-10-13,15.08,15.12,14.92,15.08,28037180
2025-10-14,14.85,15.1899,14.64,14.91,36351270
2025-10-15,15.0,15.2775,14.86,15.18,33325610
2025-10-16,15.29,15.31,14.6142,14.73,40779420
2025-10-17,14.64,15.06,14.56,15.0,32845340
2025-10-20,15.13,15.64,15.06,15.41,31926860
2025-10-21,15.35,15.59,15.155,15.24,39797000
2025-10-22,15.32,15.46,15.035,15.16,26493220
2025-10-23,15.26,16.14,15.23,15.9,36213050
2025-10-24,16.09,16.13,15.7926,15.84,19786310
2025-10-27,16.23,16.35,15.92,16.0,27273860
2025-10-28,15.96,16.07,15.82,15.93,19672450
2025-10-29,15.95,16.27,15.93,16.09,30817360
2025-10-30,16.07,16.24,16.015,16.06,32188340
2025-10-31,16.11,16.27,15.88,16.11,23422620
2025-11-03,16.19,16.5,15.965,16.13,21973960
2025-11-04,15.8,16.115,15.7,15.8,28371800
2025-11-05,15.86,16.42,15.79,16.17,35831230
2025-11-06,16.37,16.4,15.8401,15.94,31258640
2025-11-07,15.82,15.875,15.45,15.87,30652270
2025-11-10,16.1,16.22,15.9,16.02,33323880
2025-11-11,16.09,16.55,16.05,16.39,45169760
2025-11-12,16.46,16.5,16.045,16.18,26346280
2025-11-13,16.04,16.195,15.485,15.59,37247030
2025-11-14,15.43,16.26,15.32,15.82,82486570
2025-11-17,15.735,15.87,15.5,15.6,37871900
2025-11-18,15.4,15.675,15.26,15.32,39278530
2025-11-19,15.275,15.72,15.19,15.66,40408060
2025-11-20,15.84,16.075,15.3,15.32,51830930
2025-11-21,15.355,16.02,15.255,15.89,73485320
2025-11-24,16.0,16.06,15.78,15.92,43056120
2025-11-25,15.92,16.675,15.68,16.61,42804190
2025-11-26,16.98,17.38,16.91,17.25,48146830
2025-11-28,17.39,17.555,17.2,17.39,19340730
2025-12-01,17.43,17.56,17.28,17.48,30852760
2025-12-02,17.71,17.84,17.48,17.61,34356460
2025-12-03,17.7,17.72,17.29,17.44,31836510
2025-12-04,17.65,17.815,17.36,17.65,26666730
2025-12-05,17.7,17.73,16.6,16.7,53913020
2025-12-08,16.87,17.075,16.47,16.62,37201890
2025-12-09,16.395,16.73,16.293,16.68,30795750
2025-12-10,16.6,16.85,16.465,16.69,31171250
2025-12-11,16.73,17.11,16.7,16.82,32632450
2025-12-12,16.905,17.06,16.6,16.9,36850550
2025-12-15,17.025,17.07,16.63,16.65,45163900
2025-12-16,16.5,16.52,16.18,16.2,47971430
2025-12-17,16.09,16.16,15.59,15.86,57798100
2025-12-18,16.15,16.3555,16.0627,16.27,40520980
2025-12-19,16.35,16.47,16.3135,16.34,50945020
2025-12-22,16.42,16.63,16.35,16.62,31443390
2025-12-23,16.69,16.83,16.56,16.76,35653040
2025-12-24,16.7,16.785,16.65,16.74,7272788
2025-12-26,16.74,16.76,16.61,16.76,11809690
2025-12-29,16.665,16.81,16.54,16.66,15424980
2025-12-30,16.77,17.105,16.68,16.88,31432900
2025-12-31,16.87,16.925,16.71,16.74,19021660
2026-01-02,17.06,17.06,16.65,17.02,30939820
2026-01-05,17.18,18.139,17.165,17.94,74927050
2026-01-06,18.12,18.37,17.81,17.86,60360920
2026-01-07,17.62,17.76,17.405,17.5,28108690
2026-01-08,17.59,17.6236,17.37,17.61,30708180
2026-01-09,17.68,18.07,17.39,17.46,29787840
2026-01-12,17.35,17.42,17.02,17.04,27271450
2026-01-13,17.06,17.07,16.415,16.56,39372630
2026-01-14,16.565,16.69,16.425,16.64,35326120
2026-01-15,16.75,16.97,16.501,16.61,36884620
2026-01-16,16.57,16.6759,16.305,16.6,43398170
2026-01-20,16.36,17.315,16.35,16.97,78591400
2026-01-21,17.135,17.54,17.07,17.24,70069340
2026-01-22,17.665,18.0,17.33,18.0,63258490
2026-01-23,18.0,18.065,17.71,18.04,63154210
2026-01-26,18.05,18.26,17.9,18.18,53970180
2026-01-27,18.36,18.56,18.1,18.55,50655230
2026-01-28,18.635,18.785,18.36,18.76,49583600
2026-01-29,18.83,18.98,18.24,18.76,64466340
2026-01-30,18.53,18.62,17.71,17.75,51303380
2026-02-02,17.74,18.465,17.71,18.11,38723130
2026-02-03,18.405,18.65,17.84,18.12,46798030
2026-02-04,18.08,18.165,16.875,17.02,57903820
2026-02-05,16.83,17.135,16.55,16.81,57809110
2026-02-06,17.17,17.42,16.76,17.4,53460160
2026-02-09,17.44,17.84,17.215,17.55,49567510
2026-02-10,17.15,17.735,17.04,17.57,49285270
2026-02-11,17.945,17.99,17.35,17.41,32776100
2026-02-12,17.535,17.55,16.71,17.04,54608240
