date,open,high,low,close,volume
2025-09-02,56.72,57.18,55.7728,56.38,11642660
2025-09-03,56.68,57.35,56.465,56.74,9105648
2025-09-04,55.965,56.5,55.46,56.14,8778079
2025-09-05,55.82,56.08,54.73,55.23,15505080
2025-09-08,54.35,54.895,54.085,54.28,12988140
2025-09-09,53.06,54.3,52.72,54.3,20606380
2025-09-10,54.205,55.235,53.865,54.37,16488280
2025-09-11,53.62,54.62,53.55,54.3,11793080
2025-09-12,55.055,55.2,54.33,54.87,10317970
2025-09-15,56.5,56.98,55.545,55.62,13764300
2025-09-16,57.14,57.73,56.6291,57.2,17115590
2025-09-17,57.78,59.15,57.67,58.2,16809050
2025-09-18,61.84,62.25,60.84,61.85,24602050
2025-09-19,62.3,62.3202,60.7201,61.4,12902890
2025-09-22,60.0,61.12,59.62,60.71,10742750
2025-09-23,60.3,60.33,59.08,59.54,11510850
2025-09-24,58.85,59.25,58.14,58.74,11232120
2025-09-25,57.14,57.35,55.87,56.04,18287350
2025-09-26,55.6,56.02,54.56,55.61,17739800
2025-09-29,54.14,55.64,54.01,55.5,19329140
2025-09-30,54.01,55.57,53.7697,55.49,19003490
2025-10-01,56.01,59.22,56.0,59.17,24835130
2025-10-02,58.88,59.12,58.0,58.74,11966670
2025-10-03,59.0,60.095,58.4475,59.63,15362870
2025-10-06,60.135,60.9,59.65,59.65,13782360
2025-10-07,59.46,59.59,58.53,59.02,9675071
2025-10-08,59.81,60.13,59.47,59.61,9888693
2025-10-09,58.92,59.4,58.445,58.68,8839762
2025-10-10,58.595,58.8,56.79,56.93,15047650
2025-10-13,57.3,58.125,57.25,57.5,8835455
2025-10-14,56.28,56.8664,55.8,56.66,7632741
2025-10-15,56.405,56.94,56.1,56.72,8475239
2025-10-16,57.08,57.55,55.97,56.09,8353746
2025-10-17,53.88,54.44,53.54,54.37,14761510
2025-10-20,55.41,56.23,55.19,55.74,7901607
2025-10-21,55.3,55.365,54.5307,54.78,10182130
2025-10-22,53.5,53.77,52.93,53.38,12420860
2025-10-23,52.57,53.46,52.38,53.23,9326542
2025-10-24,53.41,53.545,52.93,52.96,8497647
2025-10-27,52.78,53.225,52.6444,52.89,10309970
2025-10-28,52.81,52.88,51.5,52.05,12172170
2025-10-29,52.67,52.805,51.19,51.37,9478161
2025-10-30,49.95,50.54,49.435,50.04,21057530
2025-10-31,48.78,49.47,48.49,49.46,20020870
2025-11-03,49.41,49.51,48.565,49.11,11147000
2025-11-04,47.96,49.9,47.76,48.25,28629440
2025-11-05,46.98,49.0,46.16,48.46,37996650
2025-11-06,47.75,49.56,46.285,46.51,43747210
2025-11-07,46.04,46.27,45.15,45.68,19979580
2025-11-10,46.22,46.37,45.57,45.94,14406540
2025-11-11,47.07,49.425,47.05,49.15,27711100
2025-11-12,49.48,50.43,49.32,50.26,24672290
2025-11-13,49.2,50.09,48.91,49.16,18878330
2025-11-14,48.5,48.9073,48.03,48.26,12507560
2025-11-17,47.91,49.19,47.72,48.46,13520490
2025-11-18,47.6,48.02,47.2,47.55,17104700
2025-11-19,48.035,49.385,47.76,49.0,16585030
2025-11-20,49.5,49.53,47.4812,47.6,15252290
2025-11-21,47.02,48.15,46.69,47.63,18985250
2025-11-24,43.425,45.22,43.08,44.97,73618720
2025-11-25,45.975,47.21,45.94,47.06,30458570
2025-11-26,48.53,49.03,48.18,48.71,17834800
2025-11-28,49.13,49.705,48.35,49.35,15484200
2025-12-01,48.925,49.4853,48.37,48.43,11626710
2025-12-02,47.86,47.9799,47.371,47.43,11905170
2025-12-03,47.63,48.11,47.3,47.57,11472470
2025-12-04,47.98,48.24,47.37,47.99,18457130
2025-12-05,48.94,49.1199,47.83,47.86,15325310
2025-12-08,47.16,47.17,46.35,46.77,14872530
2025-12-09,46.215,46.79,46.08,46.36,10247880
2025-12-10,47.4,49.5,47.04,49.05,16964840
2025-12-11,49.96,50.54,49.585,50.29,15601180
2025-12-12,50.53,50.75,49.915,50.18,12392840
2025-12-15,49.96,50.66,49.55,50.37,11354710
2025-12-16,49.81,49.97,48.41,48.96,14148520
2025-12-17,48.1,48.75,47.73,47.77,10340890
2025-12-18,48.0,48.31,47.515,47.61,8303277
2025-12-19,48.105,48.8,47.98,48.09,10927110
2025-12-22,47.75,48.215,47.59,48.1,16059130
2025-12-23,52.67,53.2,51.04,51.61,67564820
2025-12-24,52.85,53.63,52.0,52.56,19300100
2025-12-26,53.02,53.025,51.7,52.4,13255550
2025-12-29,51.56,51.99,51.345,51.47,16895920
2025-12-30,51.52,51.67,51.065,51.22,11902520
2025-12-31,51.05,51.255,50.5501,50.88,10803860
2026-01-02,51.61,52.41,51.41,52.39,12134110
2026-01-05,53.92,55.415,53.36,55.11,30028730
2026-01-06,57.18,58.15,56.02,56.26,32942190
2026-01-07,56.85,57.765,56.23,56.57,17538440
2026-01-08,57.04,57.9098,57.01,57.34,17505650
2026-01-09,59.47,60.64,58.78,58.81,29064400
2026-01-12,60.14,60.3,59.1,59.86,19311540
2026-01-13,60.58,60.63,59.14,59.64,16912890
2026-01-14,58.84,59.75,58.34,58.91,16344060
2026-01-15,57.79,57.84,56.29,57.12,25752330
2026-01-16,59.91,62.4,59.24,62.33,43376970
2026-01-20,60.215,62.175,59.955,60.68,30424630
2026-01-21,60.01,60.17,57.56,59.32,30601940
2026-01-22,61.44,62.44,61.04,62.23,20301980
2026-01-23,63.4,64.16,62.025,62.26,28013370
2026-01-26,62.875,63.995,62.675,63.98,20107950
2026-01-27,62.89,63.4852,62.49,62.89,13426490
2026-01-28,61.48,61.56,59.99,60.33,16235910
2026-01-29,59.93,59.93,58.8,59.33,15841870
2026-01-30,59.27,59.91,58.59,59.43,12085780
2026-02-02,57.905,59.3,57.79,58.93,16647880
2026-02-03,58.35,58.635,49.96,50.3,69933220
2026-02-04,47.95,49.1,46.47,47.19,46859690
