date,open,high,low,close,volume
2025-09-02,5.72,5.8774,5.61,5.76,10691520
2025-09-03,5.77,5.85,5.67,5.73,9690119
2025-09-04,5.64,5.75,5.52,5.54,10615080
2025-09-05,5.65,5.79,5.44,5.6,14535010
2025-09-08,5.66,5.825,5.51,5.61,12858620
2025-09-09,5.69,5.805,5.64,5.76,13555330
2025-09-10,5.96,6.0298,5.63,5.64,18000390
2025-09-11,5.67,6.205,5.659,6.08,21909040
2025-09-12,6.35,6.508,6.1323,6.17,31238400
2025-09-15,6.23,6.295,5.97,6.11,17576330
2025-09-16,6.13,6.175,5.86,5.89,13645520
2025-09-17,5.89,6.54,5.83,6.46,28721570
2025-09-18,6.74,6.92,6.46,6.73,26796620
2025-09-19,6.69,7.16,6.52,7.01,31351570
2025-09-22,7.0,7.33,6.63,7.16,23495780
2025-09-23,7.14,7.175,6.72,6.88,21652530
2025-09-24,6.9,7.35,6.77,6.86,19816960
2025-09-25,6.54,6.66,6.3119,6.51,16528490
2025-09-26,6.45,6.48,6.22,6.43,11984420
2025-09-29,6.81,7.54,6.792,7.19,43663510
2025-09-30,7.12,7.32,6.83,7.22,24484020
2025-10-01,7.13,7.37,7.04,7.3,40175760
2025-10-02,7.8,8.44,7.73,8.195,60483660
2025-10-03,8.47,8.49,7.5,7.82,34096690
2025-10-06,8.035,8.24,7.6628,8.13,34691780
2025-10-07,8.21,8.74,7.57,7.78,45204600
2025-10-08,7.81,8.41,7.5,7.74,71534610
2025-10-09,7.845,8.03,7.55,8.0,122956700
2025-10-10,8.0,9.785,7.96,8.23,95195940
2025-10-13,8.6,10.41,8.5001,9.97,147107400
2025-10-14,12.45,13.33,10.92,12.57,157929900
2025-10-15,13.12,15.435,12.88,15.16,148371400
2025-10-16,15.24,16.85,14.69,15.63,144343700
2025-10-17,14.29,15.78,14.02,14.66,75353060
2025-10-20,14.825,17.79,14.82,17.1,91241410
2025-10-21,16.775,16.9,14.74,15.03,59296620
2025-10-22,14.4,15.19,12.47,13.605,54948130
2025-10-23,14.11,14.25,13.3524,13.61,29194350
2025-10-24,14.15,14.865,13.8,14.07,34972730
2025-10-27,14.775,15.14,13.24,13.91,39211930
2025-10-28,13.74,14.123,12.605,12.83,28553130
2025-10-29,13.175,13.95,12.89,13.57,30130480
2025-10-30,13.055,13.17,12.38,12.56,23457780
2025-10-31,13.1,13.56,12.68,13.46,27040580
2025-11-03,13.2,13.3,11.94,12.25,36040540
2025-11-04,10.26,11.58,10.21,10.46,37670620
2025-11-05,10.56,10.69,9.62,9.86,29133030
2025-11-06,9.83,9.8444,8.82,8.835,23405520
2025-11-07,7.79,8.03,7.18,7.84,49140430
2025-11-10,8.4,9.72,8.35,9.6,46949880
2025-11-11,9.47,9.94,8.92,9.12,34447600
2025-11-12,9.27,9.315,8.52,8.64,19370050
2025-11-13,8.375,8.45,7.775,7.91,18979040
2025-11-14,7.5,8.45,7.44,8.11,22619980
2025-11-17,7.95,8.33,7.52,7.73,17269110
2025-11-18,7.595,8.08,7.52,7.78,16383550
2025-11-19,7.77,8.24,7.55,7.72,18043510
2025-11-20,8.49,8.64,7.5,7.55,32886350
2025-11-21,7.45,7.79,6.85,7.56,25305300
2025-11-24,7.67,8.315,7.57,8.29,21113180
2025-11-25,8.04,8.15,7.57,8.03,13604550
2025-11-26,8.35,8.65,8.2,8.34,20735960
2025-11-28,8.53,9.1,8.47,8.74,13626350
2025-12-01,8.43,8.755,8.27,8.3,13999570
2025-12-02,8.35,8.59,8.27,8.32,16078380
2025-12-03,8.36,8.76,8.01,8.69,13469480
2025-12-04,8.6,9.56,8.465,9.45,19073040
2025-12-05,9.45,9.71,9.22,9.48,12564260
2025-12-08,9.86,10.24,9.43,9.6,24950940
2025-12-09,9.3,9.48,9.0,9.17,19417940
2025-12-10,9.035,9.42,8.68,9.12,13950420
2025-12-11,8.81,9.39,8.55,9.18,15489050
2025-12-12,9.1,9.31,8.45,8.59,14325890
2025-12-15,8.75,8.75,7.94,7.96,18871220
2025-12-16,7.8,8.15,7.72,7.83,10740400
2025-12-17,7.86,7.9799,7.33,7.38,12209460
2025-12-18,7.74,8.02,7.33,7.37,12112850
2025-12-19,7.45,7.92,7.39,7.81,20343010
2025-12-22,8.06,8.13,7.82,7.9,11158250
2025-12-23,7.705,7.93,7.6,7.66,7345906
2025-12-24,7.63,7.74,7.51,7.66,4531430
2025-12-26,7.65,7.65,7.29,7.4,7684446
2025-12-29,7.19,7.4625,7.15,7.21,8722034
2025-12-30,7.255,7.5,7.22,7.24,8155993
2025-12-31,7.2,7.37,7.105,7.14,8492757
