date,open,high,low,close,volume
2025-09-02,65.08,67.06,64.33,66.72,1509368
2025-09-03,67.05,68.39,66.56,66.8,1679993
2025-09-04,66.95,69.06,66.89,68.85,1631068
2025-09-05,69.5,71.27,67.36,70.12,1951280
2025-09-08,71.08,71.44,68.925,69.76,1782508
2025-09-09,69.73,70.32,64.31,64.33,2235026
2025-09-10,64.33,67.918,64.3,67.59,1901292
2025-09-11,67.18,68.43,66.0,67.5,1725366
2025-09-12,67.08,68.07,66.42,66.7,1460728
2025-09-15,66.81,68.24,65.7501,67.64,1220255
2025-09-16,67.89,69.0,66.7,66.85,1728645
2025-09-17,67.43,69.89,67.175,68.71,1766478
2025-09-18,68.62,70.6093,67.66,70.48,1465503
2025-09-19,71.53,72.12,70.51,71.35,5969501
2025-09-22,70.36,73.23,70.0101,73.14,1598472
2025-09-23,73.67,73.84,70.14,70.56,2006915
2025-09-24,71.43,74.48,70.8601,72.76,2289500
2025-09-25,70.65,73.62,69.22,73.51,1642964
2025-09-26,73.46,73.46,70.92,73.07,1881381
2025-09-29,74.14,76.8091,74.09,76.13,2483213
2025-09-30,77.04,77.79,73.28,73.99,1927596
2025-10-01,74.15,76.055,73.07,75.62,1569082
2025-10-02,76.98,79.49,76.58,79.36,2626351
2025-10-03,79.95,80.83,74.91,77.13,2669675
2025-10-06,77.89,80.39,77.38,78.34,2060027
2025-10-07,78.34,80.19,76.19,77.55,1349224
2025-10-08,78.7,78.98,77.6,78.5,897021
2025-10-09,79.38,84.57,78.745,83.85,2271096
2025-10-10,85.675,86.39,81.305,82.8,2726958
2025-10-13,85.25,87.53,84.2,86.96,2089266
2025-10-14,85.34,87.9,82.84,86.95,2291544
2025-10-15,89.11,93.5012,88.39,93.12,3256385
2025-10-16,93.85,93.9,86.65,87.58,3534752
2025-10-17,85.9,87.65,85.22,87.06,2508410
2025-10-20,87.94,89.65,87.65,88.82,2012854
2025-10-21,92.0,92.295,87.8,89.7,2400054
2025-10-22,86.54,88.29,85.1001,87.55,2637118
2025-10-23,87.69,90.5,87.16,90.38,3717907
2025-10-24,100.29,101.98,95.87,98.28,5184028
2025-10-27,99.43,101.18,95.71,98.55,4893164
2025-10-28,99.98,100.11,96.1,97.0,2458829
2025-10-29,98.85,104.41,97.0,102.67,2287238
2025-10-30,99.55,101.37,98.11,99.12,1787980
2025-10-31,99.25,101.86,97.86,101.22,1632697
2025-11-03,104.13,106.9008,101.4,101.5,2091475
2025-11-04,96.59,100.8052,95.25,99.81,2041152
2025-11-05,101.65,112.74,101.65,111.84,3688826
2025-11-06,111.43,112.48,105.36,106.54,2536314
2025-11-07,100.9,104.71,96.91,104.63,2328159
2025-11-10,108.94,109.5,105.91,107.43,1736855
2025-11-11,105.72,106.94,103.22,105.83,1587477
2025-11-12,105.24,105.89,93.05,96.505,4882118
2025-11-13,95.44,96.1499,86.32,88.09,3686553
2025-11-14,84.27,95.465,83.06,93.75,3625441
2025-11-17,92.7,94.45,88.845,89.4,2473912
2025-11-18,87.88,93.4099,87.23,90.55,2280105
2025-11-19,90.55,91.84,89.15,89.64,1736668
2025-11-20,92.49,93.43,84.82,85.82,2507818
2025-11-21,85.25,87.69,83.42,87.13,1812713
2025-11-24,85.48,88.5397,85.19,86.86,1784774
2025-11-25,86.88,90.9,84.02,90.06,1582702
2025-11-26,91.0,92.0,89.15,90.67,1184560
2025-11-28,90.43,91.88,89.1,91.62,766459
2025-12-01,89.33,89.95,86.2738,87.44,1676381
2025-12-02,88.43,90.3,85.74,86.6,1562399
2025-12-03,86.6,87.3,83.5016,86.88,1615828
2025-12-04,87.03,91.99,86.31,90.65,1588791
2025-12-05,90.82,93.0,89.2693,90.585,1854768
2025-12-08,90.0,90.72,86.58,89.7,1518508
2025-12-09,89.4,90.04,87.19,88.58,1275936
2025-12-10,88.44,91.45,84.91,89.39,3009751
2025-12-11,87.7,93.56,84.9,93.43,2127678
2025-12-12,93.43,93.505,85.0801,86.75,2834887
2025-12-15,88.1,88.16,85.18,87.16,1518996
2025-12-16,87.02,88.36,85.31,88.0,1797329
2025-12-17,88.11,89.5,84.61,85.83,2037405
2025-12-18,88.19,91.59,86.28,87.39,1733791
2025-12-19,87.54,90.79,87.47,88.7,3320884
2025-12-22,90.09,95.4899,89.19,92.39,2621619
2025-12-23,90.98,91.99,89.01,91.04,1831899
2025-12-24,91.1,91.575,89.28,91.16,612701
2025-12-26,91.22,91.405,89.5188,91.24,764834
2025-12-29,90.19,92.8999,89.7,90.21,982095
2025-12-30,90.39,91.0,86.92,87.04,1188972
2025-12-31,87.5,88.68,86.64,87.11,1037501
2026-01-02,88.03,93.08,88.03,92.78,1260362
2026-01-05,95.13,95.13,86.12,89.6,1651294
2026-01-06,91.76,93.22,88.4,91.51,1481358
2026-01-07,92.89,93.45,87.69,88.81,1570151
2026-01-08,88.39,91.74,88.05,89.22,1041061
2026-01-09,89.98,91.52,88.735,91.17,974469
2026-01-12,91.3,99.92,90.52,99.08,2479873
2026-01-13,100.035,102.11,97.36,100.24,1891684
2026-01-14,99.82,100.37,94.44,94.71,2109966
2026-01-15,96.74,100.94,96.74,98.65,1666471
2026-01-16,99.16,100.74,96.3,96.36,3163430
2026-01-20,94.15,97.38,92.46,96.28,1646019
2026-01-21,98.05,101.1833,97.12,100.32,1902571
2026-01-22,105.58,106.2,101.93,105.18,1949424
2026-01-23,105.34,106.84,103.06,105.0,2231625
2026-01-26,104.74,108.1,103.0,107.28,1648593
2026-01-27,107.65,108.335,104.39,105.91,3552297
2026-01-28,122.97,131.585,115.3476,119.97,6266111
2026-01-29,119.89,121.36,113.1,121.08,3544428
2026-01-30,118.57,124.7764,115.75,117.09,2682897
2026-02-02,115.0,119.5499,113.59,115.6,2034442
2026-02-03,116.47,121.87,114.77,119.85,1889610
2026-02-04,122.28,124.9,111.5,116.72,2409509
2026-02-05,114.73,117.1988,110.1,114.44,1836679
2026-02-06,118.41,121.56,116.79,121.37,1888367
2026-02-09,121.81,124.595,120.1,121.87,1610369
2026-02-10,123.2,123.85,117.5,117.94,2178600
2026-02-11,121.71,122.59,114.5,119.9,1925490
2026-02-12,121.01,121.87,112.5363,114.24,2240550
2026-02-13,113.22,118.87,111.96,116.44,1518767
2026-02-17,116.5,123.42,114.24,122.59,1874008
2026-02-18,123.0,128.75,121.127,124.49,2493528
2026-02-19,122.77,123.31,116.01,116.05,1940739
2026-02-20,116.42,120.69,115.38,119.34,1277509
2026-02-23,118.84,119.99,114.25,116.99,1168304
2026-02-24,114.44,121.5,112.36,120.58,1447001
2026-02-25,122.5,123.0,116.27,116.51,1604091
2026-02-26,113.94,114.66,104.5101,106.86,2906818
2026-02-27,103.99,106.115,101.16,105.1,2341637
2026-03-02,100.45,104.91,100.2,103.72,1344744
2026-03-03,99.4,101.415,97.46,101.16,1363690
2026-03-04,101.04,104.26,100.195,103.88,2224079
2026-03-05,101.81,103.57,100.31,103.405,2085203
2026-03-06,100.18,102.38,99.0744,101.43,1341300
2026-03-09,100.38,108.44,99.43,108.13,2170186
2026-03-10,109.77,115.24,109.445,113.73,2859184
2026-03-11,115.59,118.81,113.67,116.69,1631002
2026-03-12,113.37,116.695,113.04,115.9,1656609
2026-03-13,117.41,120.99,115.98,119.64,1942307
2026-03-16,121.43,123.24,117.35,118.09,1488473
2026-03-17,119.78,122.38,118.37,121.84,1529251
2026-03-18,121.8,123.0,115.21,115.38,1738011
2026-03-19,114.28,118.94,112.001,118.74,1055884
2026-03-20,117.83,119.68,112.38,114.39,3573337
2026-03-23,115.28,121.01,114.41,116.91,1567206
2026-03-24,116.6,125.06,116.45,124.86,2163858
2026-03-25,126.38,131.7199,125.64,130.42,2063797
2026-03-26,127.34,128.97,119.38,119.85,1617883
2026-03-27,117.4,122.78,117.1359,120.03,1693049
2026-03-30,121.31,121.85,111.91,112.51,2138114
2026-03-31,113.22,120.76,111.56,120.55,2104141
2026-04-01,122.42,125.19,120.21,120.38,1810277
2026-04-02,114.03,119.42,112.76,113.08,1946132
2026-04-06,112.62,113.9699,107.1,108.06,1509014
2026-04-07,108.05,109.745,105.815,109.18,1726755
2026-04-08,116.72,120.975,114.76,116.41,2055342
2026-04-09,116.38,118.45,112.38,113.59,1328784
2026-04-10,113.59,119.87,112.935,117.97,1356497
2026-04-13,117.88,118.235,110.97,111.55,1599003
2026-04-14,113.08,115.35,109.67,114.92,1835870
2026-04-15,116.45,120.87,108.81,110.12,2420104
2026-04-16,110.065,110.17,103.73,106.83,2007682
2026-04-17,108.0,112.22,105.5,111.39,2939202
2026-04-20,109.81,111.4,106.05,106.49,1350814
2026-04-21,107.08,110.58,106.63,108.05,1323865
2026-04-22,110.32,119.3299,110.23,116.19,1787941
2026-04-23,118.44,128.9899,116.66,124.36,2871348
2026-04-24,125.915,128.0,119.63,121.41,1463275
2026-04-27,122.46,124.499,116.89,122.58,1827231
