date,open,high,low,close,volume
2025-09-02,70.155,73.59,68.77,73.59,11651600
2025-09-03,74.64,76.6,71.6524,72.23,10238430
2025-09-04,72.0,73.3282,68.92,69.61,9266087
2025-09-05,71.22,71.88,66.2,69.79,12104450
2025-09-08,70.5,71.929,69.6101,70.72,7781805
2025-09-09,70.44,74.48,69.55,73.97,12162850
2025-09-10,75.44,76.7,73.3,73.75,10834260
2025-09-11,74.18,80.88,73.13,79.97,19906190
2025-09-12,78.9,83.0,78.67,82.71,12597040
2025-09-15,84.25,95.91,83.3,95.68,28016880
2025-09-16,94.805,95.9,90.39,95.83,20223070
2025-09-17,95.28,96.7724,90.11,95.29,13875870
2025-09-18,98.535,110.8237,96.23,104.97,27987220
2025-09-19,108.7,136.53,107.1589,135.23,63584000
2025-09-22,130.845,142.85,123.72,140.3,37181220
2025-09-23,137.315,143.75,132.35,142.65,30248650
2025-09-24,142.94,144.49,130.38,131.17,25248540
2025-09-25,110.96,122.48,110.1401,119.13,45707590
2025-09-26,117.63,119.96,108.54,110.53,24837100
2025-09-29,118.25,121.53,114.11,116.51,25099950
2025-09-30,115.46,116.87,109.625,111.63,25175440
2025-10-01,112.6,116.675,109.2,115.93,18369900
2025-10-02,118.85,129.6399,116.16,128.8,28325950
2025-10-03,127.91,130.94,122.77,127.36,17441430
2025-10-06,131.395,147.18,131.2,138.56,25636370
2025-10-07,142.2,142.2,130.4,134.12,18415870
2025-10-08,135.85,138.35,130.58,134.77,15870940
2025-10-09,139.85,141.5545,131.19,138.13,17273230
2025-10-10,137.69,161.41,136.8,147.16,39386570
2025-10-13,158.0,175.9,156.54,171.01,28693820
2025-10-14,168.05,183.2,160.18,174.14,26214830
2025-10-15,185.96,193.84,164.0,171.56,33932350
2025-10-16,174.85,176.35,157.2,162.14,23266850
2025-10-17,157.8,171.65,155.68,163.39,20652780
2025-10-20,167.19,170.0,154.12,159.05,16751800
2025-10-21,153.15,154.45,136.7001,139.44,22688910
2025-10-22,132.81,136.1818,114.0,120.12,34401170
2025-10-23,119.99,129.1799,116.4,124.7,18207730
2025-10-24,133.53,138.66,130.98,136.05,18105000
2025-10-27,144.8,145.0,129.67,137.43,16454000
2025-10-28,138.1,144.4,131.2,132.28,14479570
2025-10-29,134.53,152.06,131.91,143.42,18754520
2025-10-30,137.18,145.3,133.71,137.39,12172000
2025-10-31,140.58,141.7,130.11,132.77,11430660
2025-11-03,132.11,132.11,121.601,126.67,10537400
2025-11-04,119.25,122.3667,111.79,112.23,12094970
2025-11-05,116.37,123.44,114.3206,121.23,12483330
2025-11-06,120.12,120.95,105.99,106.75,15789580
2025-11-07,100.0,112.7,97.06,112.65,16397460
2025-11-10,116.99,117.44,107.5,111.52,12942670
2025-11-11,108.19,111.0,103.64,104.22,11727570
2025-11-12,108.6,116.98,106.96,111.17,19309480
2025-11-13,109.45,110.38,100.3,101.64,12663830
2025-11-14,94.835,106.83,93.49,97.57,15534240
2025-11-17,96.61,101.5,92.63,95.36,10696970
2025-11-18,93.69,100.5451,93.15,96.63,11402430
2025-11-19,99.65,105.88,98.05,102.86,15765210
