date,open,high,low,close,volume
2025-09-02,23.28,24.12,22.9148,23.77,374813
2025-09-03,23.9,24.283,23.4,23.56,468527
2025-09-04,23.41,23.87,22.38,23.72,306866
2025-09-05,23.14,24.3,23.03,24.28,370729
2025-09-08,24.35,24.6,23.27,24.03,518958
2025-09-09,24.04,24.3,22.91,23.5,268830
2025-09-10,23.64,23.64,21.575,21.58,436427
2025-09-11,21.4,22.4099,21.11,22.12,537408
2025-09-12,22.2,22.3499,21.8701,21.96,180664
2025-09-15,21.94,22.31,21.63,22.14,277879
2025-09-16,22.34,23.76,22.12,23.68,809371
2025-09-17,23.8,24.1,22.52,22.53,368219
2025-09-18,22.98,22.98,21.85,22.76,518778
2025-09-19,23.09,23.33,22.54,22.72,1975041
2025-09-22,22.75,23.38,22.36,23.32,539931
2025-09-23,23.29,23.765,23.12,23.44,236231
2025-09-24,23.08,23.8,22.5,23.0,465145
2025-09-25,22.82,23.14,22.0,23.08,451299
2025-09-26,23.2,23.37,22.1865,22.78,518205
2025-09-29,22.97,23.19,21.53,22.32,468440
2025-09-30,22.39,22.62,21.81,22.11,532990
2025-10-01,22.01,22.67,21.5,22.425,275201
2025-10-02,22.58,22.81,22.24,22.64,430009
2025-10-03,22.3,23.42,21.84,21.89,355715
2025-10-06,22.08,22.87,22.08,22.39,329858
2025-10-07,22.57,23.35,22.15,23.3,494040
2025-10-08,23.61,25.28,23.5,23.98,941211
2025-10-09,24.05,24.75,23.5,24.23,363117
2025-10-10,24.56,24.6,23.3,24.01,325412
2025-10-13,24.24,25.0,24.0,24.0,184086
2025-10-14,23.66,24.95,22.76,24.52,177640
2025-10-15,24.58,26.0,24.58,25.41,357729
2025-10-16,25.47,25.705,24.88,24.94,226922
2025-10-17,24.69,25.04,23.56,24.91,323999
2025-10-20,25.22,25.7,25.125,25.18,128769
2025-10-21,25.06,25.5451,24.57,25.12,160643
2025-10-22,25.51,25.51,24.45,24.91,153416
2025-10-23,25.09,25.69,24.27,25.68,336533
2025-10-24,25.65,26.39,25.4072,25.87,139175
