date,open,high,low,close,volume
2025-09-02,60.98,61.11,59.9,61.11,629535
2025-09-03,61.1,62.14,60.91,62.03,1089855
2025-09-04,62.41,62.835,61.735,62.61,706598
2025-09-05,62.64,63.245,60.76,61.5,874950
2025-09-08,61.49,61.55,60.46,61.13,706043
2025-09-09,60.87,61.279,60.6,60.85,650528
2025-09-10,60.65,61.52,60.315,60.76,645752
2025-09-11,61.01,61.88,60.57,61.76,564778
2025-09-12,61.62,61.62,60.53,60.58,611310
2025-09-15,60.87,61.54,60.65,61.44,895552
2025-09-16,61.58,61.84,60.13,60.54,882235
2025-09-17,60.61,62.25,59.85,60.48,852684
2025-09-18,60.97,61.935,60.638,61.59,783784
2025-09-19,61.52,61.61,60.6,60.83,1309774
2025-09-22,60.52,60.94,60.27,60.45,633194
2025-09-23,60.5,61.87,60.13,60.41,1010775
2025-09-24,60.56,60.945,59.86,60.13,706151
2025-09-25,59.34,59.59,58.42,58.78,1018594
2025-09-26,59.25,59.44,58.23,58.54,1003709
2025-09-29,58.55,58.715,56.9044,57.61,1237845
2025-09-30,57.62,57.7,54.96,56.46,1456531
2025-10-01,56.4,57.21,55.75,55.81,1750540
2025-10-02,56.0,56.7,55.71,56.39,1644596
2025-10-03,56.41,56.7146,56.075,56.19,1152284
2025-10-06,56.29,56.725,54.9234,55.48,1170720
2025-10-07,54.65,55.19,54.26,54.89,1568114
2025-10-08,55.07,55.7,54.52,54.66,1575441
2025-10-09,54.76,55.165,54.34,54.95,1314800
2025-10-10,55.17,55.48,52.09,52.15,1208802
2025-10-13,52.66,53.55,52.5,53.26,822297
2025-10-14,52.67,56.74,52.67,55.82,1187951
2025-10-15,56.4,56.7434,54.87,55.08,878174
2025-10-16,54.95,55.145,52.96,53.27,866871
2025-10-17,53.68,54.68,53.32,54.13,719285
2025-10-20,54.65,56.095,54.39,55.48,976553
2025-10-21,55.57,57.08,55.38,56.53,1410075
2025-10-22,56.9,57.27,55.67,55.85,879592
2025-10-23,56.19,56.9,55.89,56.36,976197
2025-10-24,57.54,58.39,57.04,57.11,1018227
2025-10-27,57.73,58.54,57.6372,58.23,1287715
2025-10-28,58.2,58.33,57.53,57.87,1524006
2025-10-29,57.27,57.9,55.71,56.02,1805811
2025-10-30,55.69,57.2,55.65,55.75,1317240
2025-10-31,58.8,59.28,57.41,59.19,1724710
2025-11-03,59.19,61.87,58.7,61.38,2158894
2025-11-04,61.0,61.33,60.38,60.5,1969210
2025-11-05,60.5,61.6495,60.26,60.86,1790951
2025-11-06,61.01,61.53,59.31,59.35,1588088
2025-11-07,59.01,60.32,58.25,60.2,1430064
2025-11-10,59.7,60.32,59.26,59.95,1648544
2025-11-11,59.62,60.53,59.62,59.81,873376
2025-11-12,60.24,61.08,59.628,60.44,669809
2025-11-13,60.42,60.785,59.24,59.69,823191
2025-11-14,58.62,59.35,58.12,59.17,1231207
2025-11-17,59.04,59.17,56.72,57.07,1116466
2025-11-18,56.43,58.13,56.2,57.32,897908
2025-11-19,57.62,58.47,57.19,58.45,907957
2025-11-20,59.23,60.11,57.66,57.81,1125779
2025-11-21,57.97,60.345,57.72,59.79,1128770
2025-11-24,59.31,60.09,58.19,59.84,1451939
2025-11-25,60.0,61.75,59.8353,61.34,871120
2025-11-26,61.34,62.48,61.1601,61.93,1033163
2025-11-28,62.13,62.51,61.93,62.03,459478
2025-12-01,61.91,62.87,61.6301,62.35,857447
2025-12-02,63.0,63.62,62.4,63.05,1619999
2025-12-03,63.06,64.8,62.99,64.79,1320529
2025-12-04,64.65,65.55,64.39,64.99,870898
2025-12-05,64.69,65.135,64.195,64.65,854795
2025-12-08,65.0,65.02,63.982,64.35,1696026
2025-12-09,64.16,64.59,63.85,64.47,958188
2025-12-10,64.76,68.095,64.665,67.28,1998210
2025-12-11,67.2,70.13,67.2,69.62,1326791
2025-12-12,70.0,70.17,68.15,68.82,1037984
2025-12-15,68.22,68.62,66.75,67.2,1196453
2025-12-16,67.74,68.91,67.4158,67.75,1447765
2025-12-17,68.12,68.94,67.45,67.96,1088364
2025-12-18,68.76,68.97,67.88,68.37,1222492
