date,open,high,low,close,volume
2025-09-02,48.15,48.96,47.63,48.94,6097805
2025-09-03,48.95,49.39,46.5,47.79,9988920
2025-09-04,47.64,48.22,46.62,48.06,6393528
2025-09-05,48.34,50.08,47.94,49.105,7221035
2025-09-08,49.61,49.61,47.84,48.88,4983188
2025-09-09,48.85,49.23,48.33,48.62,3953012
2025-09-10,48.65,49.53,47.725,48.13,6388249
2025-09-11,48.45,49.275,48.075,49.02,7051190
2025-09-12,48.94,49.12,48.05,48.26,4283176
2025-09-15,48.25,48.815,47.2,48.11,9330241
2025-09-16,48.5,49.84,48.33,49.56,8170092
2025-09-17,49.59,51.6,49.03,49.8,6154700
2025-09-18,51.4,52.615,50.67,51.83,10782400
2025-09-19,51.61,51.645,50.31,51.07,18145180
2025-09-22,51.23,52.18,51.07,51.5,6140682
2025-09-23,51.88,52.815,50.37,50.42,9373826
2025-09-24,50.42,51.48,50.13,50.94,5519657
2025-09-25,50.31,50.31,49.195,49.77,7393132
2025-09-26,49.58,50.3799,49.125,50.16,6151778
2025-09-29,50.8,50.9,49.68,49.76,5515140
2025-09-30,49.5,49.62,47.9,49.31,8570525
2025-10-01,49.35,50.07,47.935,48.35,8415180
2025-10-02,49.15,49.86,48.085,48.74,9707559
2025-10-03,49.03,49.92,48.82,49.27,5297873
2025-10-06,50.13,50.7,48.8376,50.35,7677736
2025-10-07,50.49,50.66,47.73,48.17,8626426
2025-10-08,48.44,51.26,48.27,50.88,8823399
2025-10-09,50.88,51.15,49.12,49.97,5385608
2025-10-10,50.0,50.49,45.64,45.74,13823830
2025-10-13,47.895,50.66,47.6001,50.11,11877060
2025-10-14,48.74,51.19,48.68,49.54,7921571
2025-10-15,50.62,51.465,49.39,50.36,6547768
2025-10-16,50.97,53.16,50.7,52.97,11164720
2025-10-17,52.97,53.07,51.22,52.53,8037839
2025-10-20,53.35,55.99,53.1,54.89,9630956
2025-10-21,54.7,55.5,53.42,55.08,9780731
2025-10-22,53.19,54.52,51.6601,51.93,11598910
2025-10-23,50.355,52.655,50.23,51.78,12574100
2025-10-24,52.5,52.62,50.67,50.71,8634418
2025-10-27,51.84,54.68,51.61,52.68,9288112
2025-10-28,52.5,52.58,51.095,51.8,6843350
2025-10-29,52.3,52.55,51.03,51.4,9858222
2025-10-30,51.18,51.875,50.83,50.85,9139649
2025-10-31,51.0,51.745,49.945,50.08,11637290
2025-11-03,49.53,52.26,47.99,50.46,18062240
2025-11-04,50.295,51.17,47.87,48.28,12690160
2025-11-05,48.85,51.18,48.54,50.08,8948689
2025-11-06,49.98,50.57,47.77,48.8,9214504
2025-11-07,47.99,48.34,46.3117,47.83,10824470
2025-11-10,49.05,49.19,47.75,48.54,6228514
2025-11-11,48.56,48.945,47.85,48.43,5535080
2025-11-12,49.24,50.01,48.56,49.27,6493411
2025-11-13,48.86,50.315,47.44,48.13,8318335
2025-11-14,47.07,48.4,46.51,46.92,5565313
2025-11-17,46.53,47.285,45.365,46.02,7960975
2025-11-18,45.58,46.04,44.845,45.56,7133089
2025-11-19,47.16,47.73,45.96,46.12,11871310
2025-11-20,46.49,47.15,44.69,44.9,10385640
2025-11-21,45.165,47.66,44.56,46.7,14423210
2025-11-24,47.19,47.98,46.68,47.39,12237870
2025-11-25,47.46,48.71,47.06,48.31,6389990
2025-11-26,48.3,50.33,48.2,49.64,8294569
2025-11-28,49.9,50.47,49.48,50.24,3635812
2025-12-01,49.485,51.3299,49.2599,50.43,6458862
2025-12-02,50.58,51.975,49.13,51.48,11945020
2025-12-03,51.58,57.52,51.49,57.15,13562470
2025-12-04,56.945,57.04,54.34,54.79,11174530
2025-12-05,55.17,56.12,54.665,54.74,7168537
2025-12-08,55.14,56.7,55.14,56.38,7223990
2025-12-09,55.61,56.245,55.15,55.23,5893599
2025-12-10,55.05,56.02,54.4,55.1,7466546
2025-12-11,55.0,56.32,54.88,55.97,7069924
2025-12-12,56.04,56.77,54.665,54.96,11624240
2025-12-15,55.18,55.36,54.35,55.09,8070937
2025-12-16,54.95,55.02,53.1,54.56,7916975
2025-12-17,54.54,55.18,53.115,53.33,7931339
2025-12-18,54.97,55.31,54.14,54.34,9963494
2025-12-19,54.5,55.3,54.37,55.21,45460710
2025-12-22,55.655,56.4,55.13,56.37,7433044
2025-12-23,56.0,56.485,55.12,55.69,4941168
2025-12-24,55.79,55.96,54.87,55.08,2083416
2025-12-26,55.19,55.6054,54.835,54.93,3433877
2025-12-29,54.6,55.02,53.5,54.02,3665396
2025-12-30,54.34,54.665,54.1,54.24,3055672
