date,open,high,low,close,volume
2025-09-02,330.0,335.94,324.02,332.04,766232
2025-09-03,335.8,339.86,335.66,336.26,556502
2025-09-04,323.49,325.065,316.79,318.73,306638
2025-09-05,338.49,341.99,335.75,341.8,357691
2025-09-08,340.32,347.17,338.0,346.45,399928
2025-09-09,348.66,351.27,347.0001,351.13,349055
2025-09-10,324.49,330.35,312.28,313.93,1021845
2025-09-11,324.51,336.8,324.51,335.67,429396
2025-09-12,331.66,333.03,324.03,324.34,274662
2025-09-15,332.94,334.025,330.0,332.27,356024
2025-09-16,327.78,327.78,323.69,327.2,316617
2025-09-17,330.0,334.095,330.0,332.2,157833
2025-09-18,335.0,343.28,335.0,342.89,229881
2025-09-19,335.0,339.25,332.39,334.4,241905
2025-09-22,337.49,339.67,334.4,337.815,112387
2025-09-23,329.5,332.165,326.685,329.07,169975
2025-09-24,327.98,331.15,327.4,329.84,134858
2025-09-25,330.14,332.7373,325.43,328.71,252336
2025-09-26,326.05,329.9999,321.835,326.06,198187
2025-09-29,327.4,333.025,327.21,332.83,162541
2025-09-30,337.05,342.26,335.57,340.7,273720
2025-10-01,340.73,346.58,334.61,335.16,279259
2025-10-02,349.0,355.3,344.44,345.17,424755
2025-10-03,339.11,347.09,334.53,343.87,163179
2025-10-06,344.98,346.0,340.88,344.53,168706
2025-10-07,345.0,346.405,341.43,341.62,150224
2025-10-08,347.82,353.0,346.985,351.09,155837
2025-10-09,335.51,337.82,329.64,335.8,212278
2025-10-10,330.0,332.3897,316.4,320.1,335152
2025-10-13,322.54,332.325,322.54,327.03,145765
2025-10-14,315.0,326.46,309.0,320.94,367391
2025-10-15,313.01,319.74,312.01,316.15,321353
2025-10-16,320.58,323.75,315.955,318.02,225562
2025-10-17,310.46,317.645,310.46,316.42,333839
2025-10-20,318.0,319.5688,315.245,318.59,183889
2025-10-21,317.04,318.85,314.1,315.735,141214
2025-10-22,310.48,316.5,310.48,313.54,186768
2025-10-23,310.21,312.52,306.0,310.03,205992
2025-10-24,311.4,314.951,309.0,310.81,112628
2025-10-27,315.7,320.345,312.915,315.43,153906
2025-10-28,313.94,318.99,312.95,316.85,200086
2025-10-29,317.0,318.0,311.57,314.85,148741
2025-10-30,310.19,313.8,307.505,308.22,190503
2025-10-31,311.61,312.97,307.92,310.48,142134
2025-11-03,310.62,314.065,307.0,311.86,221292
2025-11-04,306.6,316.8,306.6,309.19,236363
2025-11-05,311.1,323.2,306.73,321.39,269264
2025-11-06,320.34,343.81,312.2201,332.36,416275
2025-11-07,315.53,320.59,312.87,319.97,339924
2025-11-10,329.0,333.2201,327.0301,329.2,137446
2025-11-11,328.24,343.96,328.24,343.65,234610
2025-11-12,348.75,379.329,347.5,377.47,847492
2025-11-13,375.99,381.5,365.52,368.36,456623
2025-11-14,363.03,374.04,363.02,365.82,230134
2025-11-17,378.0,385.22,373.3227,376.63,559003
2025-11-18,362.46,366.38,355.0,363.92,353560
2025-11-19,361.67,362.01,348.5,353.79,234756
2025-11-20,361.85,364.97,348.44,349.29,210383
2025-11-21,349.17,351.2054,340.8,347.72,163481
2025-11-24,352.11,356.55,322.4135,332.71,637270
2025-11-25,338.89,344.22,334.52,335.17,369089
2025-11-26,343.95,345.58,337.1,340.64,368565
2025-11-28,342.66,342.9655,337.0,340.61,107513
2025-12-01,338.37,340.285,331.5498,335.6,198657
2025-12-02,335.0,338.59,328.79,330.185,181578
2025-12-03,325.14,338.36,325.0,337.86,170607
2025-12-04,334.95,340.98,330.98,331.4,239751
2025-12-05,332.64,332.64,310.11,322.9,603844
2025-12-08,324.99,331.83,324.68,326.49,259795
2025-12-09,317.33,323.29,316.4045,318.69,307395
2025-12-10,318.28,322.955,315.5,322.68,140591
2025-12-11,318.21,326.7699,318.21,320.84,189917
2025-12-12,320.84,322.55,318.09,319.06,179668
2025-12-15,307.48,315.59,300.82,310.67,756891
2025-12-16,301.08,305.82,299.5,304.31,361020
2025-12-17,305.82,308.97,302.0,306.05,327288
2025-12-18,305.8,309.87,304.66,307.02,183666
2025-12-19,308.19,318.12,308.0,316.05,381338
2025-12-22,314.05,315.48,310.77,313.36,215958
2025-12-23,310.795,313.12,306.6067,312.32,219972
2025-12-24,309.12,314.46,308.16,311.73,128094
2025-12-26,311.24,313.23,310.29,312.39,99076
2025-12-29,309.69,310.75,307.1,310.3,218194
2025-12-30,303.73,310.88,302.14,304.72,252093
2025-12-31,304.46,305.5,302.62,303.81,211512
2026-01-02,305.32,311.22,304.78,311.02,187190
2026-01-05,322.5,327.95,312.7,320.3,355906
2026-01-06,323.65,328.86,318.89,320.35,293080
2026-01-07,331.76,335.3213,328.305,333.87,510464
2026-01-08,332.84,332.84,317.9721,320.37,419244
2026-01-09,329.29,340.81,328.745,337.89,666561
2026-01-12,340.87,341.1565,330.63,333.99,537720
2026-01-13,339.16,352.465,335.29,351.06,359695
2026-01-14,343.9,353.1,337.25,346.75,287595
2026-01-15,342.41,345.98,332.525,338.29,165059
2026-01-16,338.07,340.83,336.18,338.19,153661
2026-01-20,328.69,335.91,325.1,334.28,272368
2026-01-21,333.43,344.81,332.8964,341.64,315858
2026-01-22,331.18,342.0,331.18,338.81,289021
2026-01-23,341.05,344.19,338.3201,339.32,167589
2026-01-26,336.55,340.08,335.1,337.79,98283
2026-01-27,335.68,341.2886,334.36,336.16,131700
2026-01-28,348.41,352.0,344.3325,350.0,254567
2026-01-29,350.0,353.0,345.5418,350.0,310914
2026-01-30,343.92,349.98,339.1938,340.38,296852
2026-02-02,333.11,345.1,328.91,345.0,358760
2026-02-03,342.37,351.39,341.525,346.38,261265
2026-02-04,348.79,355.43,345.1859,352.0,312506
2026-02-05,348.24,353.69,345.44,347.0,420147
2026-02-06,346.74,354.63,340.0001,353.92,269697
2026-02-09,350.69,357.9999,345.47,348.85,247183
2026-02-10,353.87,358.38,351.645,353.43,173166
2026-02-11,353.45,354.01,345.02,351.27,110821
2026-02-12,353.22,353.22,342.0,346.42,140810
2026-02-13,345.19,352.18,345.19,346.07,112299
2026-02-17,346.07,356.71,345.035,354.86,185184
2026-02-18,352.82,359.8,352.82,359.05,126318
2026-02-19,359.05,365.5999,352.93,354.48,149217
2026-02-20,355.95,363.675,354.36,362.14,195593
2026-02-23,360.0,371.17,360.0,370.64,218118
2026-02-24,361.67,372.73,361.67,369.0,316438
2026-02-25,357.71,358.8,347.8511,352.23,401585
2026-02-26,328.62,334.05,315.5,322.37,747352
2026-02-27,318.66,323.24,314.225,316.99,364169
2026-03-02,305.5,315.0,304.62,314.36,323396
2026-03-03,299.2,301.94,293.27,297.04,542464
2026-03-04,296.47,300.6,293.7,299.02,355806
2026-03-05,297.54,297.54,290.0,292.94,303051
2026-03-06,292.5,301.49,290.925,301.12,298131
2026-03-09,293.0,302.995,293.0,302.29,198127
2026-03-10,306.96,308.99,304.52,305.39,144419
2026-03-11,299.56,302.14,297.83,298.91,266910
2026-03-12,293.37,293.975,284.43,285.3,284781
