date,open,high,low,close,volume
2025-09-02,44.43,44.9141,44.11,44.79,5211580
2025-09-03,44.6,45.65,44.31,44.8,4418277
2025-09-04,44.65,46.085,44.61,46.05,3737302
2025-09-05,45.83,46.34,45.22,45.52,5230937
2025-09-08,45.85,46.19,44.62,45.2,6404980
2025-09-09,45.18,45.4405,44.23,44.39,4592506
2025-09-10,44.3,44.3639,42.3899,42.85,7518308
2025-09-11,42.8,44.048,42.2507,43.3,6377923
2025-09-12,43.21,43.4096,42.84,42.89,3858457
2025-09-15,43.42,43.54,42.49,42.67,4951650
2025-09-16,42.5,43.02,42.01,43.02,4663691
2025-09-17,43.44,44.35,43.16,43.84,6019796
2025-09-18,44.15,45.3,44.15,44.99,5906098
2025-09-19,45.25,45.61,44.4592,45.23,6127954
2025-09-22,45.03,45.89,44.65,45.59,5594212
2025-09-23,45.78,46.64,45.63,45.86,5098626
2025-09-24,45.81,46.09,45.5,45.76,2758560
2025-09-25,45.3,45.4,43.39,43.92,7663393
2025-09-26,44.02,44.32,42.46,42.47,5377043
2025-09-29,43.35,43.67,42.261,43.59,4903752
2025-09-30,43.75,43.79,41.97,42.35,5390217
2025-10-01,42.41,42.59,40.8,40.96,7802658
2025-10-02,41.32,42.5798,40.9,42.36,6807857
2025-10-03,42.15,42.79,42.07,42.1,4342340
2025-10-06,42.55,42.74,41.85,42.57,4134188
2025-10-07,42.47,42.52,41.4,41.71,7118916
2025-10-08,41.95,43.83,41.88,43.62,5747711
2025-10-09,43.56,43.92,42.84,43.3,3717976
2025-10-10,43.4,43.5584,41.31,41.86,6024257
2025-10-13,41.9,43.02,41.38,42.97,4775607
2025-10-14,42.335,42.9,41.66,42.18,3447556
2025-10-15,42.5,43.02,41.4,41.44,6466292
2025-10-16,41.73,42.35,41.46,41.98,4288857
2025-10-17,41.48,42.14,41.48,41.82,3856143
2025-10-20,41.98,42.54,41.39,41.47,3700041
2025-10-21,41.44,43.42,41.16,42.91,4095931
2025-10-22,42.98,43.5,42.05,42.27,3769295
2025-10-23,42.1,43.35,41.86,43.23,4164446
2025-10-24,41.81,42.65,41.21,41.7,7275272
2025-10-27,42.35,42.95,41.7,42.21,4678094
2025-10-28,41.81,41.99,40.35,41.17,6646281
2025-10-29,40.53,40.75,38.685,39.29,8152609
2025-10-30,39.12,39.205,37.14,37.23,10728920
2025-10-31,37.25,37.805,36.655,37.15,7915749
2025-11-03,36.75,37.49,35.78,36.46,7465350
2025-11-04,35.6,36.27,35.35,36.2,6405422
2025-11-05,36.14,37.16,35.68,36.08,6953019
2025-11-06,35.67,36.16,34.89,35.51,7532754
2025-11-07,35.12,35.93,34.38,35.0,9751379
2025-11-10,35.81,35.89,34.405,34.96,10173330
2025-11-11,35.82,35.97,34.865,35.18,12342640
2025-11-12,43.84,44.87,41.01,41.51,48483020
2025-11-13,42.29,44.73,41.4546,42.4,19693180
2025-11-14,42.4,44.14,42.01,42.4,13488280
2025-11-17,42.0,42.895,41.08,41.4,7372677
2025-11-18,41.68,42.705,41.235,42.66,6769635
2025-11-19,42.72,43.46,42.1801,43.3,5979925
2025-11-20,42.97,43.5684,41.33,41.42,8101372
2025-11-21,41.57,42.07,40.45,41.28,6728155
2025-11-24,41.05,41.6,40.63,40.79,5129871
2025-11-25,40.75,42.85,40.2601,41.76,6251724
2025-11-26,41.97,43.44,41.51,43.19,4833624
2025-11-28,43.34,44.2399,43.28,43.99,3016927
2025-12-01,43.52,45.38,43.17,44.68,9109546
2025-12-02,45.0,46.05,44.87,45.15,5838102
2025-12-03,45.34,47.58,45.15,47.07,6646798
2025-12-04,47.28,47.87,46.3,46.51,3588712
2025-12-05,46.57,48.16,46.57,48.14,5855051
2025-12-08,47.84,47.8988,45.83,47.02,5629538
2025-12-09,47.1,47.75,46.54,47.31,2880244
2025-12-10,47.7,49.52,47.595,48.72,6914555
2025-12-11,48.2,49.575,47.8006,49.5,5540340
2025-12-12,49.48,50.02,48.57,48.76,3672507
2025-12-15,48.83,48.9,47.23,47.79,5054563
2025-12-16,48.0,49.54,47.94,48.29,4705625
2025-12-17,48.21,48.615,47.73,48.1,3374897
2025-12-18,48.51,49.78,48.27,48.46,4135615
2025-12-19,48.0,48.9,47.67,48.57,5611003
2025-12-22,48.94,49.0,47.84,48.14,3916342
2025-12-23,48.02,48.18,47.515,47.89,3107016
2025-12-24,47.8,47.8,46.4,46.49,2113220
2025-12-26,46.71,46.96,46.16,46.78,3041637
2025-12-29,46.28,47.91,46.28,47.46,3984160
2025-12-30,47.42,48.195,47.355,47.45,5143447
2025-12-31,47.3,47.429,46.23,46.48,3040894
2026-01-02,46.84,47.61,46.67,46.95,3311044
2026-01-05,47.5,49.69,47.42,49.0,5743161
2026-01-06,49.0,50.165,48.08,49.04,5714874
2026-01-07,48.88,49.77,48.4159,48.66,4369415
2026-01-08,48.27,51.06,48.25,50.63,4091150
2026-01-09,49.58,51.0796,48.5323,49.12,6449716
2026-01-12,48.59,50.29,47.87,48.91,4666536
2026-01-13,48.81,48.81,47.12,47.26,5892426
2026-01-14,47.3,47.3,44.85,45.07,7684001
2026-01-15,44.61,46.25,44.215,46.0,7382993
2026-01-16,45.9,46.21,44.99,45.05,4472213
2026-01-20,45.07,46.15,44.1,44.12,6317609
2026-01-21,45.745,47.038,45.34,46.3,6741826
2026-01-22,46.19,47.3,46.19,46.62,2792707
2026-01-23,46.86,47.0,45.415,45.96,2775513
2026-01-26,45.84,46.63,45.72,46.47,3416442
2026-01-27,46.61,46.61,45.52,45.52,3792424
2026-01-28,45.95,46.06,44.1,44.86,4592424
2026-01-29,44.51,45.02,44.0701,45.02,6441467
2026-01-30,45.79,46.01,44.66,45.25,5922515
2026-02-02,45.0,46.17,44.97,45.94,5781261
2026-02-03,45.63,46.14,42.99,44.13,10001700
2026-02-04,44.15,45.47,43.33,43.87,4543405
2026-02-05,43.59,44.0,42.275,42.92,4604083
2026-02-06,43.29,43.855,42.44,43.47,4541881
2026-02-09,43.54,45.05,43.5,44.34,3902354
2026-02-10,44.88,46.34,44.2505,45.3,3366839
2026-02-11,45.64,46.135,45.08,45.29,5193380
2026-02-12,45.6,46.34,43.83,44.27,3613322
2026-02-13,44.7,45.49,44.395,45.29,3155359
2026-02-17,45.31,46.6706,45.21,46.66,3920359
2026-02-18,46.61,47.93,46.475,47.33,2790518
2026-02-19,47.1,48.31,46.71,48.02,3126367
2026-02-20,47.8,50.3,47.74,49.42,5434858
2026-02-23,48.18,48.9674,46.53,47.44,6450980
2026-02-24,47.42,47.435,46.25,46.79,3322147
2026-02-25,46.9,47.2,46.13,46.65,3642606
