date,open,high,low,close,volume
2025-09-02,222.0,225.45,218.79,225.3,10461900
2025-09-03,225.9,225.9,221.75,223.45,8900813
2025-09-04,222.0,223.57,219.5601,223.0,10303070
2025-09-05,232.55,234.62,225.885,232.8,15386100
2025-09-08,239.89,242.42,235.31,238.48,18803050
2025-09-09,239.94,243.49,234.56,241.51,41178700
2025-09-10,319.19,345.72,312.09,328.33,131618100
2025-09-11,330.34,331.0,304.6,307.86,69986030
2025-09-12,305.79,307.97,291.75,292.18,51781910
2025-09-15,306.45,307.03,297.29,302.14,40004000
2025-09-16,314.06,319.97,302.2724,306.65,51923270
2025-09-17,307.69,308.66,295.03,301.41,27707950
2025-09-18,303.035,303.82,292.0,296.62,24673120
2025-09-19,299.0,311.11,297.32,308.66,40776200
2025-09-22,309.63,329.5,306.92,328.15,44437550
2025-09-23,324.0,325.0,310.05,313.83,35280200
2025-09-24,311.86,312.47,300.03,308.46,33765280
2025-09-25,295.27,298.75,288.55,291.33,39274880
2025-09-26,293.0,294.0,283.0,283.46,25990690
2025-09-29,284.6,285.98,279.61,282.76,25778510
2025-09-30,283.69,284.0,275.9,281.24,23880810
2025-10-01,278.8,289.99,277.88,289.01,23378320
2025-10-02,291.8,294.97,286.05,288.78,16215460
2025-10-03,289.6,294.64,284.0,286.14,13688410
2025-10-06,292.38,296.68,290.8,291.59,14076800
2025-10-07,293.22,293.22,271.0,284.24,31723380
2025-10-08,285.42,291.53,283.6,288.63,18982120
2025-10-09,291.55,300.97,287.26,296.96,26479830
2025-10-10,300.28,307.72,292.01,292.96,28895340
2025-10-13,298.7,310.7,297.74,308.01,21703730
2025-10-14,303.57,304.42,291.98,299.0,17346190
2025-10-15,304.9,311.01,298.92,303.62,13698940
2025-10-16,305.6,322.54,303.07,313.0,32500860
2025-10-17,303.75,304.28,287.5,291.31,37653000
2025-10-20,288.95,289.24,275.31,277.18,32810750
2025-10-21,278.11,280.2999,272.26,275.15,18370810
2025-10-22,274.82,277.2,269.25,272.66,16474020
2025-10-23,272.96,283.1,272.385,280.07,16872160
2025-10-24,285.92,287.19,282.245,283.33,13194900
2025-10-27,286.57,287.0,279.81,281.4,13855840
2025-10-28,283.0,285.46,280.54,280.83,12448520
2025-10-29,281.46,281.62,271.35,275.3,18007150
2025-10-30,268.74,269.76,256.28,256.89,27954200
2025-10-31,259.51,265.81,256.7097,262.61,16898690
2025-11-03,265.24,265.62,255.23,257.85,15709210
2025-11-04,249.98,255.28,245.185,248.17,19772590
2025-11-05,247.91,252.4,247.03,250.31,11991460
2025-11-06,247.94,249.07,239.29,243.8,18678270
2025-11-07,239.0,240.4,232.35,239.26,20969260
2025-11-10,245.95,247.24,237.07,240.83,16698720
2025-11-11,236.23,237.45,228.89,236.15,20686610
2025-11-12,236.74,236.81,226.17,226.99,24194990
2025-11-13,224.99,225.16,215.22,217.57,30009000
2025-11-14,210.83,227.05,210.77,222.85,36053810
2025-11-17,218.21,222.8,215.56,219.86,16143780
2025-11-18,216.205,223.7,214.5,220.49,21098290
2025-11-19,219.06,228.1499,217.31,225.53,21679490
2025-11-20,231.16,234.0,210.3,210.69,27459600
2025-11-21,207.08,208.31,193.55,198.76,44834070
2025-11-24,196.855,203.82,194.3,200.28,31144710
2025-11-25,194.08,199.41,185.63,197.03,29594990
2025-11-26,209.5,210.0,202.24,204.96,26544150
2025-11-28,199.51,202.3399,197.61,201.95,13848480
2025-12-01,200.5,203.5,196.7,200.94,13461200
2025-12-02,205.14,209.7,200.0,201.1,19664470
2025-12-03,200.33,207.92,199.4,207.73,19060530
2025-12-04,207.86,215.41,206.315,214.33,23316940
2025-12-05,219.0,219.5,213.62,217.58,24208690
2025-12-08,221.345,224.75,216.91,220.54,24711160
2025-12-09,220.03,222.62,218.28,221.53,17643640
2025-12-10,221.8,225.32,217.58,223.01,47927990
2025-12-11,190.62,201.99,186.23,198.85,100612700
2025-12-12,196.37,197.85,185.98,189.97,55201640
2025-12-15,188.29,188.9697,181.4,184.92,43897510
2025-12-16,184.7,189.8,184.49,188.65,32433530
2025-12-17,183.31,186.5,177.07,178.46,50222020
2025-12-18,182.72,184.76,178.58,180.03,36297290
2025-12-19,188.385,195.12,188.12,191.97,77008550
2025-12-22,196.82,198.8,192.83,198.38,27148020
2025-12-23,196.43,197.2,192.19,195.34,18301590
2025-12-24,195.0,198.28,194.42,197.49,9282733
2025-12-26,198.06,200.3699,196.11,197.99,11262030
2025-12-29,194.16,198.51,192.64,195.38,14748130
2025-12-30,196.06,198.38,195.71,197.21,14197360
2025-12-31,196.42,197.2,194.73,194.91,10341450
2026-01-02,197.47,198.59,194.21,195.71,14540660
2026-01-05,198.34,201.69,192.33,192.59,22635520
2026-01-06,192.56,194.875,190.7,193.75,16474460
2026-01-07,195.3,195.67,192.0,192.84,11171200
2026-01-08,190.88,190.95,186.15,189.65,19468500
2026-01-09,191.655,200.18,188.78,198.52,26152740
2026-01-12,197.6,206.6,197.0108,204.68,25428550
2026-01-13,205.0,207.8,200.655,202.29,15857430
2026-01-14,201.68,201.68,190.81,193.61,22473160
2026-01-15,195.01,195.01,189.39,189.85,16418630
2026-01-16,189.91,191.87,186.53,191.09,19224710
2026-01-20,187.19,187.19,179.36,179.92,29129490
2026-01-21,179.68,180.6,170.6,173.88,38190000
2026-01-22,179.37,180.16,176.5,178.18,21141910
2026-01-23,172.62,179.65,172.0,177.16,23011340
2026-01-26,179.1,185.31,178.53,182.44,21100380
2026-01-27,179.19,179.72,173.68,174.9,27093660
2026-01-28,174.915,181.68,171.86,172.8,35882670
2026-01-29,170.15,170.23,161.52,169.01,37254510
2026-01-30,168.17,168.9,163.24,164.58,27362380
2026-02-02,170.92,171.2,160.0,160.06,47421030
2026-02-03,158.26,159.38,151.9,154.67,43260100
2026-02-04,153.89,153.94,144.432,146.67,42323390
2026-02-05,145.6,146.55,135.25,136.48,42788950
2026-02-06,139.75,143.2,138.91,142.82,29962410
2026-02-09,148.49,159.75,147.0,156.59,49936490
2026-02-10,160.0,165.39,156.96,159.89,40092250
2026-02-11,163.66,163.66,154.0,157.16,24538850
2026-02-12,157.93,159.04,152.5,156.48,23285400
2026-02-13,159.25,162.3,155.29,160.14,18596960
2026-02-17,157.98,159.28,152.88,153.97,19610800
2026-02-18,154.405,157.3,151.37,156.17,14801080
2026-02-19,157.19,160.0827,155.77,156.54,14976320
2026-02-20,153.3,153.99,147.39,148.08,29621890
2026-02-23,145.69,145.8,138.585,141.31,31749780
2026-02-24,140.84,146.76,138.73,146.14,21336620
2026-02-25,149.16,153.2794,147.335,147.89,27303930
2026-02-26,148.79,152.5,145.15,150.31,20652220
2026-02-27,143.88,146.08,142.1,145.4,36425200
2026-03-02,141.62,150.17,141.18,149.25,22418780
2026-03-03,144.75,150.93,143.05,149.01,20120790
2026-03-04,150.01,153.61,149.1,152.37,17585390
2026-03-05,152.59,157.94,150.12,154.79,24094780
2026-03-06,152.92,159.19,151.62,152.96,38000590
2026-03-09,150.7,152.0,146.4348,151.56,31173470
2026-03-10,153.62,154.14,148.45,149.4,51544620
2026-03-11,166.38,171.76,160.58,163.12,83247480
2026-03-12,164.66,167.83,158.61,159.16,37133720
2026-03-13,159.05,160.77,154.15,155.11,26350380
2026-03-16,156.06,158.74,154.5104,155.97,21607690
2026-03-17,155.44,158.92,153.5001,154.69,23929460
2026-03-18,153.4,154.9652,152.04,152.9,18051080
2026-03-19,150.46,156.92,148.89,155.52,22046110
2026-03-20,153.05,153.25,147.95,149.68,37551360
2026-03-23,151.42,155.78,150.71,154.34,19927950
2026-03-24,153.0,153.9,146.85,147.09,26122140
2026-03-25,149.225,149.84,144.6008,146.02,20683770
2026-03-26,143.89,146.47,142.54,142.81,16961880
2026-03-27,140.93,141.69,138.301,139.66,17929590
2026-03-30,140.04,141.2,136.95,138.8,20125730
2026-03-31,140.3,147.395,139.85,147.11,24491950
2026-04-01,149.09,149.65,144.67,145.23,20495870
2026-04-02,142.78,146.44,140.3,146.38,14381870
2026-04-06,147.44,148.55,143.85,145.54,12556730
2026-04-07,143.78,144.57,139.94,143.17,17250450
2026-04-08,150.3,151.46,142.9,143.66,23527030
2026-04-09,142.2,142.8,136.0,137.86,30407820
2026-04-10,137.32,140.165,134.57,138.09,26171810
2026-04-13,139.77,155.91,139.72,155.62,49997740
2026-04-14,167.93,169.4,161.56,163.0,59779840
2026-04-15,166.89,172.56,166.21,169.81,43010820
2026-04-16,176.42,180.27,173.8,178.34,46997280
2026-04-17,182.93,184.5,173.36,175.06,45282650
2026-04-20,176.81,177.76,173.51,177.58,22330910
2026-04-21,178.35,185.34,176.0123,181.17,39638050
2026-04-22,186.18,189.18,182.8,187.5,32448790
2026-04-23,180.4,181.89,174.08,176.28,37084240
2026-04-24,180.505,180.71,168.8,173.28,33214990
2026-04-27,172.584,173.55,167.9,172.96,21616570
2026-04-28,162.16,168.6999,162.05,165.96,33716460
2026-04-29,164.04,164.76,160.65,163.83,20587500
