date,open,high,low,close,volume
2025-09-02,16.11,16.45,15.7,16.43,14112090
2025-09-03,16.41,17.84,16.355,17.68,19531690
2025-09-04,18.35,18.89,18.06,18.38,22531950
2025-09-05,18.79,19.45,18.23,19.43,16402850
2025-09-08,19.5,20.28,19.48,20.28,19997540
2025-09-09,20.3,20.77,19.65,20.05,17498320
2025-09-10,20.6,20.76,18.6001,19.48,24021720
2025-09-11,19.965,20.21,19.24,19.43,12345450
2025-09-12,19.24,19.63,18.83,19.33,10883620
2025-09-15,19.2,19.2,18.3212,18.73,14659940
2025-09-16,17.84,18.27,17.53,17.93,28615070
2025-09-17,17.58,18.29,16.905,17.77,25124340
2025-09-18,18.07,19.17,17.65,19.11,16069420
2025-09-19,19.22,19.77,18.8423,18.97,17381680
2025-09-22,18.825,18.93,18.205,18.5,18383750
2025-09-23,18.69,19.45,17.72,17.76,19034620
2025-09-24,17.96,18.98,17.62,18.44,15526200
2025-09-25,17.86,18.115,17.37,18.09,12630980
2025-09-26,18.07,18.46,17.77,18.42,10304720
2025-09-29,18.7,19.52,18.26,19.13,16918370
2025-09-30,19.5,19.74,18.465,18.93,15899190
2025-10-01,18.94,19.68,18.555,18.9,16191840
2025-10-02,19.33,20.03,18.8,19.28,17889640
2025-10-03,19.82,21.71,19.8,21.66,33847740
2025-10-06,21.95,22.345,21.1703,22.31,21401690
2025-10-07,23.55,23.8,22.41,22.47,26884650
2025-10-08,22.78,22.8799,21.35,21.8,20564560
2025-10-09,22.05,22.18,20.535,20.54,18850690
2025-10-10,20.97,21.185,18.665,18.77,26121070
2025-10-13,19.07,20.49,18.85,20.4,14214140
2025-10-14,19.75,21.93,19.63,20.69,23003300
2025-10-15,20.6,20.97,19.67,20.67,18608050
2025-10-16,20.72,22.3,20.27,21.03,18499290
2025-10-17,20.3,20.7,18.905,19.39,17741050
2025-10-20,19.59,20.69,19.4001,20.18,14032350
2025-10-21,19.96,21.87,19.88,21.77,15885440
2025-10-22,21.5,21.7,19.77,20.37,14191770
2025-10-23,19.2,19.685,18.38,19.62,22268680
2025-10-24,19.75,20.47,19.17,19.29,13325500
2025-10-27,19.62,19.78,19.23,19.67,8418445
2025-10-28,19.81,20.14,19.39,19.54,7063195
2025-10-29,19.58,19.986,18.88,18.91,9203966
2025-10-30,18.59,18.9,18.018,18.09,9078836
2025-10-31,18.18,18.3,17.66,18.0,8808687
2025-11-03,17.76,17.96,17.19,17.66,8413629
2025-11-04,17.21,17.93,17.1423,17.16,8293352
2025-11-05,17.17,17.45,16.8,17.03,9571957
2025-11-06,18.63,19.09,16.43,16.56,30782860
2025-11-07,16.42,17.88,15.9,17.72,24709410
2025-11-10,16.13,16.21,14.5,14.61,49510160
2025-11-11,14.73,15.5,14.59,14.85,17088830
2025-11-12,14.9,15.27,14.82,15.1,9731627
2025-11-13,14.8,14.94,13.81,13.95,17762980
2025-11-14,13.62,14.28,13.49,13.88,12623720
2025-11-17,14.15,14.74,14.01,14.25,10681350
2025-11-18,13.95,14.885,13.53,14.71,13353940
2025-11-19,14.64,14.7,13.935,14.08,9446491
2025-11-20,14.29,14.44,13.0,13.03,12914600
2025-11-21,13.04,13.5499,12.64,13.48,11354740
2025-11-24,16.25,16.95,15.53,16.49,58670760
2025-11-25,16.34,17.08,16.3,16.73,13730460
2025-11-26,17.59,18.63,17.3806,18.16,20463910
2025-11-28,18.2,18.235,17.81,17.97,5958352
2025-12-01,17.3,17.63,16.6,16.65,9579987
2025-12-02,16.77,17.275,16.37,16.85,10683360
2025-12-03,16.76,17.28,16.46,17.1,6856955
2025-12-04,17.0,17.67,16.72,17.18,8059260
2025-12-05,17.29,17.37,16.6,16.77,6023623
2025-12-08,17.02,17.03,16.5039,16.73,5490694
2025-12-09,16.59,17.17,16.58,16.96,5709493
2025-12-10,16.75,16.785,15.53,15.59,12529350
2025-12-11,15.6,16.49,15.56,15.87,9451133
2025-12-12,15.84,16.75,15.84,16.63,9836845
2025-12-15,16.66,16.78,16.065,16.14,7133011
2025-12-16,16.0,16.15,15.41,15.71,7921521
2025-12-17,15.66,16.32,15.295,15.39,8605437
2025-12-18,15.5,15.87,14.615,14.8,9648894
2025-12-19,14.8,15.276,14.72,14.9,10878470
2025-12-22,14.95,15.2499,14.82,15.03,8523330
2025-12-23,14.85,14.99,14.62,14.84,7556240
2025-12-24,14.76,15.02,14.6705,14.93,2900669
2025-12-26,14.83,14.96,14.73,14.91,5176593
2025-12-29,14.61,14.81,14.3,14.53,8179974
2025-12-30,14.5,14.7693,14.4001,14.51,5133173
2025-12-31,14.43,14.47,14.17,14.37,6282625
2026-01-02,14.45,15.085,14.26,14.97,5700112
2026-01-05,15.65,16.96,15.4,16.57,11741770
2026-01-06,16.57,17.06,16.46,16.52,9179184
2026-01-07,16.53,16.62,15.845,16.48,6871440
2026-01-08,17.65,17.7,16.79,16.9,10187140
2026-01-09,18.01,18.2,17.39,17.73,11212390
2026-01-12,17.7,17.83,16.865,17.66,8347409
2026-01-13,17.895,18.17,17.18,17.38,9521220
2026-01-14,17.36,17.61,16.48,16.69,7949907
2026-01-15,16.74,18.2,16.3202,17.42,13417840
2026-01-16,17.38,17.47,16.5,16.55,9817343
2026-01-20,15.95,16.35,15.82,15.92,7036591
2026-01-21,15.92,16.05,14.795,15.4,14462340
2026-01-22,15.5,15.88,15.15,15.69,5506547
2026-01-23,15.45,15.8,15.29,15.68,5343761
2026-01-26,15.55,15.78,15.38,15.7,4983278
2026-01-27,15.215,15.32,14.79,14.88,7802225
2026-01-28,14.99,15.22,14.76,14.87,7621390
2026-01-29,14.9,15.065,14.56,14.93,6491989
2026-01-30,14.67,15.0,14.3,14.35,5918689
2026-02-02,14.32,14.35,13.92,14.0,5425496
2026-02-03,13.99,14.17,13.5301,13.91,5695849
2026-02-04,13.88,13.92,13.09,13.22,8696624
2026-02-05,13.15,13.38,12.38,12.51,8308939
2026-02-06,11.89,12.5,11.85,12.24,11131310
2026-02-09,12.0,12.77,11.86,12.66,15605340
2026-02-10,13.5,14.3696,12.81,12.88,26535180
2026-02-11,13.2,14.272,13.18,13.6,13093680
2026-02-12,14.13,14.57,13.39,13.71,14396800
2026-02-13,13.77,13.99,13.355,13.42,7354227
2026-02-17,13.26,13.83,13.13,13.39,7137848
2026-02-18,13.5,13.965,13.22,13.7,5927735
2026-02-19,13.68,13.76,13.22,13.73,6677448
2026-02-20,13.58,13.67,12.99,13.23,6031748
2026-02-23,13.0,13.14,12.44,12.45,8080236
2026-02-24,12.41,12.475,11.7147,12.3,8931657
2026-02-25,12.6,13.06,12.5141,12.95,5943987
2026-02-26,13.0,13.7,13.0,13.66,5886697
2026-02-27,13.36,13.855,13.16,13.64,5815959
2026-03-02,13.17,13.98,12.97,13.98,6695591
2026-03-03,13.56,13.75,13.23,13.67,5645673
2026-03-04,13.89,15.25,13.84,15.05,10729790
2026-03-05,14.73,14.98,14.32,14.39,5452097
2026-03-06,14.12,14.26,13.73,13.84,5515907
2026-03-09,13.68,14.04,13.225,13.96,6089059
2026-03-10,14.16,14.26,13.01,13.3,11859150
2026-03-11,13.3,13.45,13.085,13.4,7071605
2026-03-12,13.22,13.545,12.88,13.0,6070119
2026-03-13,13.18,13.475,13.015,13.23,4873457
2026-03-16,13.35,13.5,13.205,13.28,4912251
2026-03-17,13.39,13.72,13.295,13.51,3535148
2026-03-18,13.24,14.01,13.147,13.56,6548110
2026-03-19,13.21,13.78,13.03,13.3,5560112
2026-03-20,13.25,13.305,12.495,12.63,8345959
2026-03-23,12.57,12.845,12.12,12.21,9490305
2026-03-24,12.1,12.46,11.96,12.03,6797179
2026-03-25,12.4,12.57,11.775,12.21,6717659
2026-03-26,12.05,12.3599,11.81,11.84,5296417
2026-03-27,11.73,11.79,11.05,11.14,8312839
2026-03-30,11.17,11.2599,10.69,10.85,8251315
2026-03-31,10.98,11.61,10.94,11.47,6838496
2026-04-01,11.65,11.815,11.47,11.73,4380927
2026-04-02,11.39,11.935,11.29,11.92,4372225
2026-04-06,12.0,12.78,11.93,12.76,5821188
2026-04-07,12.96,13.26,12.73,12.97,7393926
2026-04-08,14.335,14.98,14.0628,14.64,15140780
2026-04-09,14.59,14.76,14.27,14.54,6087209
2026-04-10,14.67,14.75,14.325,14.45,5285632
2026-04-13,14.09,15.51,14.03,15.48,6578634
2026-04-14,15.8,15.96,15.25,15.29,5758656
2026-04-15,15.51,15.685,14.96,15.59,6420941
2026-04-16,15.72,15.93,15.43,15.63,3799498
2026-04-17,15.9,16.23,15.69,15.79,4934128
2026-04-20,16.08,16.515,15.9,16.44,5828096
2026-04-21,17.06,17.12,16.13,16.17,7880614
2026-04-22,16.48,16.49,16.09,16.44,4688088
2026-04-23,16.4,16.65,15.94,16.43,4002475
2026-04-24,16.44,16.835,16.21,16.81,3256298
2026-04-27,16.77,17.59,16.77,17.18,6062745
2026-04-28,17.02,18.14,17.02,18.04,8246128
2026-04-29,18.0,18.1,17.47,17.93,5268002
2026-04-30,17.82,18.46,17.49,18.46,6229228
2026-05-01,18.45,18.655,18.1,18.49,5446614
2026-05-04,18.6,18.78,18.05,18.57,5571634
2026-05-05,18.6,18.76,17.805,17.94,8756007
2026-05-06,18.44,20.075,18.11,19.84,18895270
2026-05-07,19.79,20.89,19.23,20.87,12390230
2026-05-08,20.98,21.32,19.84,21.31,9237557
2026-05-11,21.1,22.0,20.741,22.0,8407838
2026-05-12,21.73,23.765,21.5749,23.73,13223600
2026-05-13,22.93,24.28,22.805,23.62,11095690
2026-05-14,23.69,24.12,22.675,23.15,9790640
2026-05-15,22.59,23.67,22.41,23.32,8562291
2026-05-18,23.27,25.58,23.14,25.3,13779510
2026-05-19,25.0,25.1,24.21,24.52,6700121
2026-05-20,24.62,24.7,23.18,23.42,7192594
2026-05-21,22.87,23.41,21.68,22.14,8651553
