date,open,high,low,close,volume
2025-09-02,47.45,48.105,47.06,48.05,7540141
2025-09-03,47.64,48.08,46.05,46.3,9513100
2025-09-04,46.3,46.7954,45.0,46.61,7596309
2025-09-05,46.24,46.24,45.23,45.91,9840623
2025-09-08,46.15,46.225,44.77,45.38,7573718
2025-09-09,45.74,46.285,45.11,45.14,6085779
2025-09-10,45.13,46.31,44.98,46.31,7474738
2025-09-11,45.7,46.26,45.59,46.02,5064687
2025-09-12,46.26,46.55,45.655,45.67,5328082
2025-09-15,45.86,45.935,45.1845,45.47,5727361
2025-09-16,45.78,47.88,45.7,47.76,13816550
2025-09-17,47.34,47.99,46.95,47.19,8920105
2025-09-18,47.07,47.59,46.75,47.36,8438063
2025-09-19,47.36,47.36,45.98,46.1,14274590
2025-09-22,45.75,46.255,45.44,45.76,9758174
2025-09-23,46.11,47.235,45.995,46.42,8996749
2025-09-24,46.9,47.4551,46.65,46.89,7333508
2025-09-25,46.66,47.205,46.46,46.99,7482261
2025-09-26,47.21,48.515,47.08,47.47,10208710
2025-09-29,48.25,48.88,47.685,48.1,18526890
2025-09-30,47.44,49.45,46.44,47.25,16686210
2025-10-01,47.455,47.99,47.125,47.72,9794106
2025-10-02,47.86,47.92,43.84,44.23,44032950
2025-10-03,44.97,45.33,44.57,44.85,17360500
2025-10-06,45.0,45.98,44.65,45.4,13261360
2025-10-07,45.25,45.41,44.805,45.33,8613801
2025-10-08,45.37,45.46,44.66,45.04,7592587
2025-10-09,45.36,45.7436,44.4,44.52,12263660
2025-10-10,44.12,44.125,42.15,42.15,17095080
2025-10-13,42.87,42.87,42.1292,42.42,8521487
2025-10-14,41.94,42.5282,41.52,42.28,9011843
2025-10-15,42.5,42.57,41.64,41.88,8304434
2025-10-16,41.99,42.0897,40.51,41.04,10736380
2025-10-17,40.8,41.07,40.52,40.9,9536635
2025-10-20,40.96,41.46,40.84,41.03,8810963
2025-10-21,41.0,41.345,40.615,40.91,8563785
2025-10-22,41.22,41.855,40.9,41.73,11053050
2025-10-23,43.14,43.3479,42.72,42.88,13814630
2025-10-24,43.0,43.175,42.53,42.57,7213344
2025-10-27,42.85,42.9599,42.11,42.3,7546353
2025-10-28,42.0,42.11,40.81,40.83,13300100
2025-10-29,40.8,41.12,40.471,40.58,10870060
2025-10-30,40.32,41.33,40.0942,40.7,9556041
2025-10-31,40.8,41.35,40.65,41.2,7211588
2025-11-03,41.05,41.1,40.32,40.92,7293360
2025-11-04,40.22,40.29,39.75,40.08,7720904
2025-11-05,40.08,40.425,39.75,39.75,8251322
2025-11-06,40.0,40.68,39.83,40.3,9987553
2025-11-07,40.41,41.32,40.31,41.31,10788460
2025-11-10,41.62,41.82,40.885,41.8,11909220
2025-11-11,42.42,43.42,41.8,41.85,18086690
2025-11-12,41.35,42.145,41.34,41.93,10927180
2025-11-13,42.16,42.4499,41.665,42.02,8678794
2025-11-14,42.025,43.085,41.92,42.76,8617291
2025-11-17,42.54,42.67,41.615,41.69,8093918
2025-11-18,41.5,42.66,41.2,42.52,7963240
2025-11-19,41.535,41.765,40.9371,41.45,7098155
2025-11-20,41.77,42.61,41.17,41.21,9657720
2025-11-21,41.01,41.535,40.4,41.44,9210583
2025-11-24,41.4,41.6,40.62,41.43,8834372
2025-11-25,41.21,41.53,40.85,41.41,7738532
