date,open,high,low,close,volume
2025-09-02,237.78,244.26,237.44,243.84,65123
2025-09-03,242.53,243.63,240.77,242.54,55191
2025-09-04,240.58,247.255,238.57,247.07,58680
2025-09-05,246.48,250.17,246.22,249.93,42317
2025-09-08,249.61,251.51,247.35,250.22,54350
2025-09-09,249.53,252.425,247.88,251.2,45883
2025-09-10,252.14,252.47,245.985,248.22,51598
2025-09-11,246.74,258.775,246.74,256.99,51501
2025-09-12,258.4,259.33,254.0,254.7,80606
2025-09-15,255.35,256.58,250.22,251.21,35846
2025-09-16,249.4,249.725,246.36,246.97,35217
2025-09-17,246.93,253.16,246.7,249.15,100843
2025-09-18,246.2522,252.57,246.2522,251.83,37213
2025-09-19,253.26,253.57,250.32,250.32,60538
2025-09-22,251.58,255.36,250.3225,255.36,55674
2025-09-23,254.92,255.94,252.57,255.17,53209
2025-09-24,252.2,253.245,241.97,246.14,120157
2025-09-25,245.87,250.11,245.7125,247.51,55149
2025-09-26,248.23,251.74,246.6175,248.56,63585
2025-09-29,249.89,249.89,241.875,243.4,179166
2025-09-30,244.18,245.0,233.35,237.19,393775
2025-10-01,238.74,239.115,231.17,232.44,93199
2025-10-02,232.63,233.53,229.55,231.96,45580
2025-10-03,229.88,234.225,227.255,229.09,82237
2025-10-06,232.79,232.79,225.088,227.89,80592
2025-10-07,229.9,231.08,229.3,229.3,73090
2025-10-08,231.74,233.17,230.06,230.71,74458
2025-10-09,232.5,232.5,225.01,226.18,71820
2025-10-10,228.35,228.9888,223.65,225.88,128768
2025-10-13,227.24,227.24,222.02,222.33,94622
2025-10-14,223.58,223.875,220.595,223.53,99113
2025-10-15,224.82,226.885,224.26,225.51,60468
2025-10-16,226.64,226.64,221.83,222.2,105214
2025-10-17,221.93,223.13,219.19,222.22,106206
2025-10-20,223.94,223.94,218.93,219.24,83296
2025-10-21,215.0,219.0,209.75,209.75,67911
2025-10-22,210.08,216.665,209.41,215.5,78525
2025-10-23,217.26,218.365,215.375,216.5,46175
2025-10-24,217.48,220.3097,215.55,216.63,75519
2025-10-27,217.1,218.57,214.725,216.13,40798
2025-10-28,215.44,218.325,214.54,215.48,61761
2025-10-29,216.5,216.95,213.72,215.33,37445
2025-10-30,214.62,214.94,207.47,208.17,68849
2025-10-31,209.0,210.54,206.91,208.32,90239
2025-11-03,210.0,213.82,206.96,213.36,179669
2025-11-04,214.46,217.245,208.31,212.71,50270
2025-11-05,213.91,222.9522,211.525,218.0,240509
2025-11-06,217.25,220.0,216.4,216.64,49921
2025-11-07,217.91,219.07,214.9,214.9,82035
2025-11-10,213.18,216.39,213.14,213.14,73020
2025-11-11,214.1,218.55,214.1,217.42,55235
2025-11-12,219.24,221.575,215.0,217.28,86195
2025-11-13,216.71,221.335,215.62,216.81,82992
2025-11-14,216.14,223.275,216.14,221.22,82955
2025-11-17,219.66,222.24,217.58,217.58,62027
2025-11-18,220.16,223.5,219.13,219.14,172230
2025-11-19,217.57,221.34,217.24,219.47,67055
2025-11-20,221.84,226.46,220.31,220.31,102767
2025-11-21,219.5,227.81,219.5,225.41,97631
2025-11-24,226.18,232.415,226.18,230.79,140191
2025-11-25,232.66,237.01,229.79,235.73,199319
2025-11-26,235.85,239.59,234.64,236.54,84075
2025-11-28,237.91,240.26,237.28,237.49,49881
2025-12-01,238.0,240.16,235.66,238.02,87088
2025-12-02,237.63,240.39,230.55,233.27,120368
2025-12-03,235.18,235.18,230.59,231.45,45347
2025-12-04,230.04,231.67,228.46,228.54,40108
2025-12-05,227.0,229.835,227.0,227.18,59630
2025-12-08,228.33,237.42,228.21,237.37,77531
2025-12-09,235.24,246.89,235.24,240.27,158559
2025-12-10,238.39,247.58,238.39,242.63,106179
2025-12-11,247.88,261.21,244.54,258.67,120436
2025-12-12,260.35,262.35,256.57,260.18,48801
2025-12-15,258.74,263.1,253.39,253.39,67388
2025-12-16,252.02,253.71,245.98,253.2,187668
2025-12-17,255.52,262.35,254.45,258.0,124192
2025-12-18,260.63,267.4225,259.715,265.08,82442
2025-12-19,262.75,268.92,262.75,266.86,441554
2025-12-22,265.38,268.97,261.44,268.39,92433
2025-12-23,269.0,272.84,267.855,272.69,58268
2025-12-24,271.42,272.01,270.07,271.8,14445
2025-12-26,269.56,273.4,269.56,272.36,24292
2025-12-29,270.33,272.13,268.19,268.19,33699
2025-12-30,270.34,270.34,262.965,263.19,79617
2025-12-31,261.15,265.72,259.52,263.63,88287
2026-01-02,261.42,266.68,259.49,261.9,42580
2026-01-05,261.57,266.89,259.3,262.45,58227
2026-01-06,265.1,267.38,262.05,265.22,50057
2026-01-07,263.04,269.41,257.94,267.88,60679
2026-01-08,265.47,271.39,265.39,271.39,50045
2026-01-09,268.95,271.56,263.37,267.47,43147
2026-01-12,267.495,273.11,267.0,269.27,48633
2026-01-13,267.86,271.315,264.73,264.73,49793
2026-01-14,265.43,265.43,259.84,263.2,33616
2026-01-15,260.27,264.235,256.925,257.23,104717
2026-01-16,255.43,264.17,254.55,264.17,68648
2026-01-20,265.38,271.84,257.54,270.03,92606
2026-01-21,270.0,278.94,270.0,277.03,91103
2026-01-22,275.77,284.49,275.77,282.3,127267
2026-01-23,279.07,282.4,275.075,276.7,99212
2026-01-26,278.75,285.09,278.46,280.74,54139
2026-01-27,283.35,284.845,280.63,283.53,66280
2026-01-28,282.06,287.15,279.95,281.46,55047
2026-01-29,284.18,286.29,273.475,278.52,86277
2026-01-30,275.6,278.78,270.525,274.91,62596
2026-02-02,277.18,278.1,273.66,277.26,48988
2026-02-03,279.15,285.97,276.375,283.45,163101
2026-02-04,285.83,285.83,272.12,272.31,59823
2026-02-05,274.0,278.2384,270.61,276.24,46367
2026-02-06,281.7,287.51,278.11,287.51,212109
2026-02-09,289.45,291.69,285.67,290.24,42157
2026-02-10,292.57,292.79,286.535,290.47,53369
2026-02-11,293.4,293.95,286.62,293.95,49007
2026-02-12,291.86,294.82,282.35,283.87,68285
2026-02-13,281.23,283.71,277.19,283.53,124131
2026-02-17,290.62,293.664,290.0,292.08,69194
2026-02-18,295.15,295.15,288.075,289.41,88995
2026-02-19,286.8,290.475,285.59,288.56,162800
2026-02-20,287.79,300.41,287.79,300.41,49919
2026-02-23,279.61,292.7,274.81,279.18,237788
2026-02-24,274.14,275.39,257.1,264.5,368213
2026-02-25,264.99,267.8,263.275,267.19,125243
2026-02-26,268.31,270.615,265.85,268.35,157072
2026-02-27,269.31,269.31,260.0,260.76,108623
2026-03-02,262.48,262.48,253.57,255.08,78294
2026-03-03,249.79,252.175,238.18,241.56,168093
2026-03-04,243.3,251.4,240.28,249.71,103436
2026-03-05,251.39,253.3125,241.9,243.74,60116
2026-03-06,243.23,243.23,231.63,237.35,136816
2026-03-09,236.81,236.81,226.23,236.34,149956
2026-03-10,235.9,241.81,233.79,238.08,121372
2026-03-11,239.65,240.54,233.21,236.58,85508
2026-03-12,236.58,236.58,225.57,226.86,69442
2026-03-13,226.78,231.54,223.92,224.37,80000
2026-03-16,227.99,232.94,226.855,230.9,124968
2026-03-17,230.78,236.955,230.78,232.33,92750
2026-03-18,230.44,237.28,230.44,233.01,95293
2026-03-19,231.8,240.18,228.835,237.96,71988
2026-03-20,240.38,240.46,231.3175,233.27,193883
2026-03-23,238.47,239.92,229.425,233.29,62057
2026-03-24,231.25,240.7,231.25,240.16,84733
2026-03-25,244.47,252.57,241.48,250.43,132089
2026-03-26,246.05,251.025,242.31,243.34,92733
2026-03-27,245.88,250.17,240.0,243.12,117504
2026-03-30,248.87,248.87,239.975,241.22,154782
2026-03-31,244.26,248.115,240.01,246.87,350988
2026-04-01,246.43,249.97,245.16,248.57,95006
2026-04-02,243.3,255.85,243.3,252.27,171092
2026-04-06,252.27,253.97,244.0,247.27,123717
2026-04-07,246.68,250.0,236.3,241.95,141824
2026-04-08,250.28,254.65,247.195,252.39,145376
2026-04-09,252.6,256.24,250.0901,251.24,120413
2026-04-10,252.375,253.325,244.62,245.42,115313
2026-04-13,244.27,244.27,234.45,236.99,173560
2026-04-14,238.27,238.27,232.06,235.6,206129
2026-04-15,234.5,242.91,232.36,242.91,210647
2026-04-16,240.48,247.47,239.93,245.98,209155
2026-04-17,245.05,255.37,245.05,251.2,176444
2026-04-20,249.77,251.09,246.85,250.43,244773
2026-04-21,249.2,260.825,249.2,258.23,177888
2026-04-22,259.49,268.95,259.49,263.83,267620
2026-04-23,264.34,266.95,261.615,262.05,199242
2026-04-24,264.225,268.29,263.755,268.28,137143
2026-04-27,269.07,269.07,253.75,254.33,141822
2026-04-28,253.33,255.72,248.13,254.67,110289
2026-04-29,254.98,255.16,244.97,246.57,121361
2026-04-30,249.53,252.13,245.31,251.87,125640
2026-05-01,251.08,251.74,248.32,249.4,61479
2026-05-04,249.79,254.0,245.56,246.27,95483
2026-05-05,250.95,255.12,248.0,252.09,139311
2026-05-06,255.7,255.7,244.41,249.29,108003
2026-05-07,250.15,251.95,246.85,251.1,98239
2026-05-08,255.77,255.77,242.95,245.81,89269
2026-05-11,246.17,248.44,244.0,246.41,122137
2026-05-12,246.09,248.3925,243.88,245.62,108785
2026-05-13,245.36,249.06,242.96,244.88,133685
2026-05-14,247.21,250.55,241.34,243.69,131385
2026-05-15,239.33,242.44,234.975,238.45,88247
2026-05-18,239.87,243.565,239.65,243.41,124451
2026-05-19,241.14,248.62,239.65,245.23,91638
2026-05-20,243.61,251.225,243.61,250.82,105693
2026-05-21,250.85,250.85,242.625,244.11,89511
2026-05-22,245.0,245.0,235.66,240.4,109239
2026-05-26,239.59,246.17,237.35,243.68,102632
2026-05-27,241.88,246.66,241.88,244.2,75082
2026-05-28,243.17,243.97,235.88,238.11,92269
2026-05-29,237.68,240.98,233.77,236.3,133473
2026-06-01,232.07,236.6,230.52,231.41,121402
2026-06-02,230.7,240.945,230.7,240.04,96733
2026-06-03,237.52,244.72,237.52,240.72,169094
2026-06-04,242.92,242.92,236.8,239.64,62855
2026-06-05,238.9,238.9,228.11,228.8,149607
2026-06-08,227.81,229.62,223.74,224.49,88501
2026-06-09,227.82,229.4475,223.475,226.18,68266
2026-06-10,225.78,228.32,220.8201,221.74,59570
2026-06-11,222.96,230.335,222.96,229.81,54442
2026-06-12,231.61,238.24,231.61,236.89,76004
2026-06-15,238.88,250.165,238.88,247.45,98768
2026-06-16,249.235,253.5,247.475,250.58,112217
2026-06-17,250.25,254.41,247.86,248.6,122162
2026-06-18,249.59,259.09,249.59,254.31,172217
2026-06-22,252.51,252.51,246.38,248.92,119835
2026-06-23,245.53,245.53,240.37,244.1,123217
2026-06-24,241.6,250.705,241.6,245.58,147108
