date,open,high,low,close,volume
2025-09-02,10.94,11.07,10.76,10.9,11563940
2025-09-03,10.93,11.04,10.78,10.88,7413681
2025-09-04,10.93,10.935,10.48,10.85,38006290
2025-09-05,11.16,11.55,10.89,11.49,34586720
2025-09-08,11.53,11.84,11.34,11.8,16018890
2025-09-09,11.86,11.99,11.6415,11.9,11779320
2025-09-10,11.86,12.05,11.53,11.61,13405480
2025-09-11,11.64,11.7178,11.42,11.69,11254500
2025-09-12,11.76,11.76,11.37,11.4,9219768
2025-09-15,11.44,11.665,11.31,11.59,10316800
2025-09-16,11.61,11.63,11.42,11.57,7286529
2025-09-17,11.63,11.985,11.615,11.82,7676962
2025-09-18,12.0,12.17,11.83,12.15,11869210
2025-09-19,12.09,12.125,11.77,11.87,13039240
2025-09-22,12.18,13.17,12.02,13.14,28233550
2025-09-23,13.17,13.215,12.49,12.53,16141410
2025-09-24,12.62,12.635,12.22,12.32,12530300
2025-09-25,12.16,12.21,11.88,12.14,8699008
2025-09-26,12.17,12.38,11.96,12.21,11597800
2025-09-29,12.31,12.68,12.17,12.56,13659620
2025-09-30,15.18,15.18,13.34,13.38,80835380
2025-10-01,13.52,13.64,12.97,12.99,31188000
2025-10-02,13.08,13.08,12.61,12.75,23590180
2025-10-03,12.75,13.365,12.75,12.9,23026200
2025-10-06,14.19,15.22,13.91,14.52,61163250
2025-10-07,15.01,15.26,14.17,14.82,42503560
2025-10-08,15.015,15.59,14.765,15.58,35929810
2025-10-09,16.44,18.74,16.19,18.51,99862090
2025-10-10,18.58,18.6,16.85,17.05,63675410
2025-10-13,17.32,17.47,16.61,17.14,40097180
2025-10-14,16.78,16.91,16.05,16.48,34401890
2025-10-15,17.02,17.2,16.1801,16.69,33082300
2025-10-16,16.93,17.58,15.8,15.93,37932550
2025-10-17,15.515,15.96,15.275,15.44,23036570
2025-10-20,15.65,16.15,15.62,15.93,20296460
2025-10-21,15.68,16.59,15.425,16.28,19590160
2025-10-22,15.8,15.83,14.7,15.03,28047100
2025-10-23,15.0,15.73,14.99,15.44,16109250
2025-10-24,15.56,16.755,15.32,16.48,34811840
2025-10-27,16.835,17.5,16.55,17.39,30177190
2025-10-28,17.38,17.5,16.11,16.16,25832250
2025-10-29,16.45,16.68,16.0201,16.21,19572980
2025-10-30,15.89,16.325,15.41,15.87,15449390
2025-10-31,15.8,16.0,15.48,15.86,15424040
2025-11-03,16.08,16.58,15.275,15.87,21230540
2025-11-04,15.06,15.2,14.1501,14.27,26177510
2025-11-05,14.42,15.19,14.07,14.55,26182490
2025-11-06,14.48,14.585,13.8,14.14,18141000
2025-11-07,13.75,14.365,13.54,14.3,17661090
2025-11-10,14.55,14.66,14.0,14.2,14971270
2025-11-11,14.06,14.53,14.0101,14.37,9739231
2025-11-12,14.25,14.745,13.9,14.25,15319760
2025-11-13,14.31,14.8411,13.88,14.09,24757700
2025-11-14,13.5,14.385,13.47,14.03,14839490
2025-11-17,14.0,14.18,13.3,13.52,16209350
2025-11-18,13.43,13.785,13.29,13.74,14209590
2025-11-19,13.66,13.875,13.31,13.48,10684780
2025-11-20,13.85,13.91,12.685,12.73,15996670
2025-11-21,12.82,13.12,12.355,13.01,19365230
2025-11-24,13.15,13.44,13.04,13.31,11857210
2025-11-25,13.31,13.72,13.08,13.61,15257930
2025-11-26,13.58,13.77,13.47,13.59,9845926
2025-11-28,13.7,13.94,13.51,13.86,6284085
2025-12-01,13.68,14.2,13.55,14.12,16075680
2025-12-02,14.27,14.665,14.25,14.3,18649510
2025-12-03,14.36,15.0,14.17,14.86,41665680
2025-12-04,16.1,18.7,15.75,18.48,94766950
2025-12-05,18.15,18.98,18.09,18.67,43510190
2025-12-08,19.08,19.84,18.74,19.29,32127890
2025-12-09,19.27,19.56,18.835,18.98,18020980
2025-12-10,18.66,18.95,18.225,18.69,22619640
2025-12-11,18.64,18.95,17.92,18.03,22482240
2025-12-12,18.04,18.09,17.225,17.42,17496460
2025-12-15,17.59,17.6,16.01,16.16,24013160
2025-12-16,16.2,16.6,15.94,16.09,14453600
2025-12-17,16.21,17.45,15.84,15.96,20336730
2025-12-18,16.19,16.3355,15.86,15.94,15143300
2025-12-19,16.1,16.24,15.9044,16.12,18769140
2025-12-22,16.56,16.825,16.22,16.7,22494360
2025-12-23,16.63,16.66,15.68,15.96,19389070
2025-12-24,16.98,17.3493,16.69,17.16,34596940
2025-12-26,16.94,17.175,16.72,16.84,17152550
2025-12-29,16.42,17.36,16.33,16.85,33827180
2025-12-30,16.64,17.17,16.63,16.67,21572130
2025-12-31,16.56,16.72,16.26,16.39,70045210
2026-01-02,16.5,16.59,15.49,15.88,44139510
2026-01-05,15.83,16.475,15.6101,16.03,20021880
2026-01-06,15.98,17.33,15.905,17.33,30008470
2026-01-07,17.41,17.94,17.095,17.84,21646650
2026-01-08,17.66,17.77,16.74,16.88,21073940
2026-01-09,17.04,17.48,16.17,16.32,18807270
2026-01-12,16.575,17.36,16.34,17.24,18682880
2026-01-13,17.47,17.5223,15.5,15.97,49787090
2026-01-14,15.73,15.905,15.06,15.37,29951730
2026-01-15,15.39,15.45,14.75,14.79,32439030
2026-01-16,14.87,14.9062,14.31,14.34,36139240
2026-01-20,14.025,14.54,14.01,14.37,26166700
2026-01-21,14.45,14.55,13.93,14.2,18280910
2026-01-22,14.49,15.16,14.4,15.15,20327910
2026-01-23,15.14,15.5,14.76,14.8,22912990
2026-01-26,14.73,15.5,14.7,14.91,25891590
2026-01-27,14.93,15.0,14.085,14.36,19017300
2026-01-28,14.65,14.67,14.08,14.11,16192510
2026-01-29,13.9,13.9,13.01,13.25,32170850
2026-01-30,13.24,13.33,12.525,12.59,26905970
2026-02-02,12.59,12.92,12.415,12.54,28958970
2026-02-03,12.48,12.48,11.79,12.15,37939890
2026-02-04,12.095,12.525,11.62,12.33,42467600
2026-02-05,12.06,12.37,11.82,12.08,36465700
2026-02-06,12.265,12.95,12.09,12.89,34352150
2026-02-09,12.89,13.27,12.5908,13.0,30916820
2026-02-10,13.09,13.34,12.89,12.95,23716050
2026-02-11,12.925,12.935,11.49,11.69,43227380
2026-02-12,11.81,11.82,11.0301,11.18,31044570
2026-02-13,11.26,11.68,11.21,11.32,23818970
2026-02-17,11.23,11.28,10.63,10.94,37647610
2026-02-18,10.94,11.48,10.82,11.1,27814690
2026-02-19,11.115,11.24,10.925,11.21,21534420
2026-02-20,11.05,11.595,10.75,10.8,20256860
2026-02-23,10.58,10.58,10.035,10.17,37391940
2026-02-24,10.12,10.425,9.92,10.1,32097370
2026-02-25,10.16,10.17,9.465,9.94,52682460
2026-02-26,10.19,10.78,10.1,10.71,51832800
2026-02-27,10.445,10.83,10.17,10.73,50361730
2026-03-02,10.41,10.8599,10.31,10.7,31362930
2026-03-03,10.45,11.28,10.24,11.04,37679240
2026-03-04,11.0,11.295,10.93,11.07,35665810
2026-03-05,11.07,11.8,11.07,11.55,33237720
2026-03-06,11.36,11.9,11.235,11.86,39618750
2026-03-09,11.78,12.0,11.6239,11.97,50166650
2026-03-10,12.02,12.04,11.355,11.59,50201100
2026-03-11,12.0,12.415,11.65,12.38,120193300
2026-03-12,10.95,11.975,10.7,11.37,91586940
2026-03-13,11.5,12.16,11.37,11.58,49122540
2026-03-16,11.57,11.88,11.47,11.57,39007090
2026-03-17,11.61,12.09,11.56,11.98,32634360
2026-03-18,11.84,12.6522,11.73,12.45,31844910
2026-03-19,12.46,12.76,12.03,12.24,23095730
