date,open,high,low,close,volume
2025-09-02,12.29,12.41,12.25,12.41,14580130
2025-09-03,12.31,12.455,12.16,12.31,24830070
2025-09-04,12.32,12.45,12.24,12.38,21412210
2025-09-05,12.38,12.4,12.0246,12.21,24078590
2025-09-08,12.25,12.34,12.1,12.24,15834100
2025-09-09,12.33,12.47,12.3196,12.33,19658520
2025-09-10,12.38,12.77,12.375,12.76,28629770
2025-09-11,12.69,12.7488,12.61,12.66,15088670
2025-09-12,12.725,12.86,12.61,12.63,16162560
2025-09-15,12.69,12.9,12.6,12.85,19903020
2025-09-16,12.93,12.98,12.79,12.94,21574260
2025-09-17,12.92,13.05,12.82,12.92,19504260
2025-09-18,12.98,12.995,12.6801,12.81,16089520
2025-09-19,12.81,12.81,12.53,12.62,17222840
2025-09-22,12.52,12.79,12.5035,12.72,17689620
2025-09-23,12.85,13.29,12.85,13.16,35480960
2025-09-24,13.23,13.49,13.22,13.45,27286160
2025-09-25,13.44,13.44,13.09,13.11,25172140
2025-09-26,13.205,13.37,13.06,13.08,21474940
2025-09-29,13.12,13.13,12.82,12.85,29893570
2025-09-30,12.86,12.88,12.51,12.66,30184250
2025-10-01,12.69,12.76,12.6,12.62,19330060
2025-10-02,12.61,12.67,12.37,12.44,27443930
2025-10-03,12.51,12.57,12.38,12.4,19361870
2025-10-06,12.46,12.53,12.325,12.36,19898410
2025-10-07,12.29,12.3199,12.08,12.28,21608930
2025-10-08,12.33,12.33,12.13,12.2,18162970
2025-10-09,12.22,12.31,11.93,11.96,23831990
2025-10-10,11.84,11.84,11.56,11.6,30832230
2025-10-13,11.72,11.86,11.65,11.82,19649090
2025-10-14,11.65,11.8962,11.65,11.79,21644620
2025-10-15,11.8,11.91,11.6,11.64,30198920
2025-10-16,11.6,11.69,11.51,11.56,17742880
2025-10-17,11.54,11.77,11.5,11.64,23279370
2025-10-20,11.66,11.8,11.58,11.69,29046700
2025-10-21,11.72,11.74,11.46,11.56,32663540
2025-10-22,11.62,11.805,11.55,11.73,30880050
2025-10-23,12.075,12.095,11.82,11.84,30680020
2025-10-24,11.95,12.005,11.72,11.74,29542010
2025-10-27,11.87,11.89,11.7,11.86,23913570
2025-10-28,11.84,12.0158,11.8,11.87,28602600
2025-10-29,11.9,11.95,11.85,11.88,23171090
2025-10-30,11.76,11.9,11.6749,11.72,24194080
2025-10-31,11.79,11.805,11.59,11.64,19224690
2025-11-03,11.8,12.05,11.7611,11.82,34968780
2025-11-04,11.71,11.86,11.64,11.83,18870030
2025-11-05,11.93,12.25,11.92,12.14,26519960
2025-11-06,12.25,12.27,12.105,12.14,23423080
2025-11-07,12.19,12.87,12.12,12.86,53661970
2025-11-10,12.97,13.13,12.77,13.01,24175200
2025-11-11,13.22,13.615,13.22,13.47,29089410
2025-11-12,13.23,13.3,12.8201,12.98,26744040
2025-11-13,13.04,13.24,12.98,13.03,16521280
2025-11-14,13.06,13.345,13.06,13.18,16138270
2025-11-17,13.19,13.26,13.04,13.12,12294360
2025-11-18,13.04,13.195,12.965,13.13,13169450
2025-11-19,12.93,13.125,12.89,13.02,13898180
2025-11-20,13.08,13.1199,12.745,12.78,16231440
2025-11-21,12.84,12.865,12.6708,12.76,16536440
2025-11-24,12.79,12.865,12.68,12.75,12416790
2025-11-25,12.7,12.71,12.505,12.62,11768360
2025-11-26,12.66,12.775,12.575,12.66,15291860
2025-11-28,12.48,12.54,12.43,12.54,12812030
2025-12-01,12.46,12.74,12.44,12.55,13725020
2025-12-02,12.57,12.63,12.355,12.61,15906110
2025-12-03,12.75,12.93,12.75,12.8,10893750
2025-12-04,12.98,13.01,12.815,12.88,12259750
2025-12-05,12.82,12.96,12.09,12.13,41176600
2025-12-08,12.26,12.4,12.18,12.24,24816550
2025-12-09,12.1,12.34,12.08,12.32,16250920
2025-12-10,12.25,12.29,12.1,12.23,12100080
2025-12-11,12.2,12.25,12.12,12.15,12727500
2025-12-12,12.3,12.3599,12.115,12.18,19719900
