date,open,high,low,close,volume
2025-09-02,24.73,25.065,24.71,24.98,44724980
2025-09-03,24.88,25.12,24.72,24.79,30957580
2025-09-04,24.78,24.78,24.35,24.54,41695510
2025-09-05,24.57,24.89,24.505,24.88,34613230
2025-09-08,24.9,24.965,24.31,24.55,49242870
2025-09-09,24.55,24.79,24.51,24.71,32751310
2025-09-10,24.64,24.65,24.45,24.57,32975900
2025-09-11,24.6,24.86,24.54,24.86,36784140
2025-09-12,24.81,24.84,23.84,23.87,81378230
2025-09-15,23.99,24.12,23.68,23.97,50760170
2025-09-16,23.96,24.22,23.87,23.9,57010790
2025-09-17,23.98,24.39,23.9,24.05,46351610
2025-09-18,24.05,24.24,23.955,24.15,34418980
2025-09-19,24.25,24.25,23.815,24.03,86577630
2025-09-22,24.28,24.8,24.03,24.04,67863310
2025-09-23,24.1,24.36,24.05,24.13,38955250
2025-09-24,24.17,24.18,23.98,24.09,39669360
2025-09-25,24.09,24.15,23.58,23.6,56738260
2025-09-26,23.73,23.81,23.61,23.76,33374530
2025-09-29,23.79,23.86,23.64,23.85,39184350
2025-09-30,23.85,25.63,23.81,25.48,164867300
2025-10-01,25.97,27.45,25.58,27.21,150879900
2025-10-02,26.93,27.17,26.62,27.08,69684070
2025-10-03,27.2,27.69,27.035,27.37,70524010
2025-10-06,27.27,27.36,26.3913,26.43,62945610
2025-10-07,26.42,26.58,26.05,26.27,47744190
2025-10-08,26.42,26.5,25.63,25.68,48693340
2025-10-09,25.78,25.9,25.21,25.24,47278670
2025-10-10,25.26,25.42,24.62,24.78,64963950
2025-10-13,24.84,24.95,24.61,24.73,45356620
2025-10-14,24.65,24.79,24.48,24.52,42277040
2025-10-15,24.49,24.58,24.21,24.39,47729800
2025-10-16,24.44,24.605,24.21,24.23,44389990
2025-10-17,24.2,24.53,24.16,24.51,40101860
2025-10-20,24.57,24.73,24.51,24.69,35856840
2025-10-21,24.72,24.96,24.6,24.85,40726920
2025-10-22,24.79,24.93,24.62,24.72,48662940
2025-10-23,24.76,24.78,24.51,24.67,34219940
2025-10-24,24.695,24.829,24.68,24.76,27429170
2025-10-27,24.74,24.795,24.63,24.77,34974860
2025-10-28,24.78,24.78,24.38,24.5,50152370
2025-10-29,24.53,24.625,24.23,24.29,65438430
2025-10-30,24.31,24.7,24.15,24.29,157478000
2025-10-31,24.28,24.73,24.16,24.65,132697400
2025-11-03,24.59,24.75,24.405,24.66,140871300
2025-11-04,24.39,25.2,24.2,24.3,166162000
2025-11-05,24.38,24.67,24.16,24.61,107240900
2025-11-06,24.75,25.13,24.5432,24.85,124137200
2025-11-07,24.33,24.63,24.1109,24.43,117794500
2025-11-10,24.66,24.885,23.91,24.39,148958600
2025-11-11,24.49,25.51,24.4438,25.51,139673800
2025-11-12,25.395,25.945,25.25,25.87,96008030
2025-11-13,25.94,26.475,25.67,25.79,123083100
2025-11-14,25.67,25.77,24.97,25.06,96507650
2025-11-17,25.11,25.57,24.95,25.08,88042250
2025-11-18,25.05,25.51,24.98,25.45,66511760
2025-11-19,25.35,25.5,24.72,24.88,62000200
2025-11-20,24.89,25.0,24.28,24.4,51983220
2025-11-21,24.585,25.52,24.585,25.04,73079370
2025-11-24,25.11,25.47,25.045,25.22,63074950
2025-11-25,25.37,25.97,25.36,25.72,39130260
2025-11-26,25.7,25.8066,25.58,25.71,33461050
2025-11-28,25.85,25.86,25.66,25.74,22627580
2025-12-01,25.76,25.94,25.2344,25.27,53198560
2025-12-02,25.315,25.315,25.04,25.15,43826990
2025-12-03,25.32,25.89,25.3,25.57,56121170
2025-12-04,25.63,25.74,25.35,25.7,35453970
2025-12-05,25.77,26.12,25.64,26.03,47443700
2025-12-08,26.04,26.19,25.76,25.77,45209350
2025-12-09,26.0,26.13,25.13,25.33,43483810
2025-12-10,25.49,25.79,25.22,25.78,43635410
2025-12-11,25.8,26.04,25.61,25.8,35570250
2025-12-12,25.835,26.04,25.72,25.85,51599710
2025-12-15,25.82,26.65,25.81,26.43,60360030
2025-12-16,26.44,26.505,24.92,25.53,111695500
2025-12-17,25.4,25.49,25.03,25.04,61255280
2025-12-18,25.01,25.225,24.98,25.04,47062510
2025-12-19,25.01,25.52,24.98,25.19,87589970
2025-12-22,25.2,25.4,25.13,25.21,38758870
2025-12-23,25.26,25.34,24.83,24.88,43692860
2025-12-24,24.92,25.14,24.905,25.03,19328550
2025-12-26,25.015,25.11,24.92,25.09,21617810
2025-12-29,25.05,25.2,24.97,25.0,33067670
2025-12-30,25.01,25.0475,24.92,24.99,28821740
2025-12-31,24.965,25.02,24.88,24.9,29409240
2026-01-02,24.98,25.3,24.83,25.18,35976670
2026-01-05,25.2,25.4,24.95,25.17,52620900
2026-01-06,25.185,26.005,25.185,25.43,50977280
2026-01-07,25.59,25.81,25.14,25.28,51395760
2026-01-08,25.18,25.56,25.12,25.29,42977330
2026-01-09,25.34,25.55,25.23,25.48,34190180
2026-01-12,25.575,25.77,25.085,25.27,50256310
2026-01-13,25.32,25.39,24.9746,25.15,47656110
2026-01-14,25.23,25.71,25.2035,25.58,53738090
2026-01-15,25.55,25.89,25.25,25.89,55263210
2026-01-16,25.89,25.89,25.55,25.65,59470570
2026-01-20,25.43,25.65,25.089,25.52,55425390
2026-01-21,25.47,25.92,25.38,25.89,47264120
2026-01-22,25.9,26.31,25.75,26.1,49883920
2026-01-23,25.58,25.685,25.51,25.65,45402330
2026-01-26,25.63,25.92,25.595,25.88,41441870
2026-01-27,25.94,26.83,25.9,26.5,75575390
2026-01-28,26.265,26.39,25.755,25.86,44976690
2026-01-29,25.9,26.23,25.88,26.1,44373800
2026-01-30,26.13,26.47,25.9,26.44,51599440
2026-02-02,26.42,26.685,26.3534,26.66,52129520
2026-02-03,25.36,26.105,25.26,25.77,91964910
2026-02-04,25.88,26.98,25.86,26.78,83025840
2026-02-05,26.76,27.19,26.46,26.49,72650730
2026-02-06,26.67,27.37,26.52,27.22,50691580
2026-02-09,27.18,27.365,26.79,27.05,49288180
2026-02-10,27.175,27.73,27.09,27.61,43760600
