date,open,high,low,close,volume
2025-09-02,247.91,247.91,244.81,245.86,2353262
2025-09-03,244.71,247.62,243.25,246.72,2581974
2025-09-04,248.37,249.83,247.4361,249.01,2005114
2025-09-05,248.74,249.0,242.87,243.86,1690910
2025-09-08,243.5,246.48,240.15,245.94,2611916
2025-09-09,245.69,245.75,241.91,243.26,2849439
2025-09-10,242.41,246.625,240.5,246.41,2170710
2025-09-11,246.73,249.11,245.18,248.8,1647314
2025-09-12,248.75,249.71,247.67,248.28,2612142
2025-09-15,248.01,249.14,244.93,245.65,2944469
2025-09-16,243.72,245.56,241.03,244.97,2835719
2025-09-17,241.0,243.9,239.2,243.61,3363065
2025-09-18,243.43,244.83,240.69,242.0,3365974
2025-09-19,241.29,243.59,241.08,242.34,4783431
2025-09-22,241.84,242.18,239.25,241.15,2330324
2025-09-23,240.735,241.03,237.14,238.61,3971996
2025-09-24,238.0,240.4992,236.75,240.0,2812569
2025-09-25,241.12,242.43,238.59,242.19,2832446
2025-09-26,243.99,245.61,241.72,243.48,2888914
2025-09-29,244.52,244.88,241.8601,244.4,2911887
2025-09-30,244.41,247.09,244.22,246.95,2397039
2025-10-01,245.84,248.17,245.0,246.46,2441907
2025-10-02,244.45,245.705,242.216,243.5,2495776
2025-10-03,242.12,247.49,242.12,245.7,2075055
2025-10-06,244.56,245.0,239.412,240.5,4322201
2025-10-07,240.745,244.0,239.16,243.89,2641361
2025-10-08,243.0,245.2,242.07,243.06,2559860
2025-10-09,243.78,245.64,241.6,242.16,2567019
2025-10-10,243.32,243.81,239.15,240.0,2677115
2025-10-13,237.93,239.29,235.43,236.28,3000083
2025-10-14,236.37,241.01,236.3,240.4,2680358
2025-10-15,226.14,230.0,217.2,226.5,11533970
2025-10-16,224.75,226.66,220.545,221.74,6017988
2025-10-17,222.06,226.43,221.41,225.61,3504785
2025-10-20,223.47,224.82,218.41,219.38,4986939
2025-10-21,220.0,222.64,218.01,221.6,2746628
2025-10-22,222.66,223.19,220.355,222.63,3328557
2025-10-23,224.26,224.54,219.97,220.59,2864417
2025-10-24,219.25,220.0,217.4487,219.09,3347311
2025-10-27,219.66,220.0,216.1,216.59,3809119
2025-10-28,216.0,217.58,211.53,211.91,3808358
2025-10-29,210.29,211.07,206.58,207.97,5050913
2025-10-30,207.9,208.785,206.41,206.97,6354036
2025-10-31,205.76,207.55,205.55,206.0,3977902
2025-11-03,205.21,205.59,199.9,203.7,5635101
2025-11-04,205.99,210.71,202.6,209.59,4712833
2025-11-05,209.6,212.37,207.8449,208.94,3520569
2025-11-06,208.3,210.4834,207.6644,209.61,3326963
2025-11-07,211.06,217.43,210.5,217.27,5261099
2025-11-10,215.0,217.91,213.71,217.53,3275659
2025-11-11,218.47,220.77,218.11,219.91,2390488
2025-11-12,219.63,222.2475,218.0,221.87,2783190
2025-11-13,222.28,224.72,221.76,223.15,2674322
2025-11-14,222.08,227.05,220.99,225.18,3227334
2025-11-17,227.3,227.8265,223.93,225.35,3238898
2025-11-18,226.62,228.84,224.745,224.88,3765023
2025-11-19,226.52,229.49,222.13,222.93,3814049
2025-11-20,223.24,226.2,220.8,226.0,2785147
2025-11-21,228.29,229.92,225.67,226.91,3405622
2025-11-24,227.33,227.98,224.83,225.08,5848511
2025-11-25,226.91,228.4999,225.84,226.41,2361440
2025-11-26,226.56,229.835,225.8899,229.15,2824221
2025-11-28,228.48,230.1,227.96,228.79,1250158
2025-12-01,229.0,231.9099,227.625,227.82,3475509
2025-12-02,226.91,229.31,225.04,228.76,3953920
2025-12-03,228.72,229.56,226.03,227.18,2961717
2025-12-04,227.63,228.82,226.86,227.09,1982452
2025-12-05,226.5,226.62,222.57,222.89,2100175
2025-12-08,222.49,225.19,219.26,223.16,2756737
2025-12-09,224.44,226.62,224.29,226.35,2486480
2025-12-10,226.36,228.0,222.44,222.81,2650799
2025-12-11,223.53,231.06,223.275,230.44,3452269
2025-12-12,231.31,235.09,231.0,234.85,2991638
2025-12-15,235.28,236.5,234.7751,236.36,3102803
2025-12-16,236.53,237.44,230.92,231.81,3093214
2025-12-17,223.65,227.46,218.8263,227.27,5574534
2025-12-18,226.75,226.9445,222.42,224.86,3691962
2025-12-19,224.8,226.27,223.2532,224.28,6280595
2025-12-22,224.28,227.51,223.3,227.36,3197223
2025-12-23,227.95,228.71,227.1,227.89,2272587
2025-12-24,227.62,228.448,226.86,227.66,1111572
2025-12-26,227.64,228.41,226.67,227.13,1306220
2025-12-29,227.83,228.6,226.01,228.51,2877892
2025-12-30,228.4,230.4295,227.49,229.97,2018067
2025-12-31,230.17,230.5399,227.68,227.72,2134025
2026-01-02,214.34,214.34,210.41,212.12,3321789
2026-01-05,210.8,214.4925,209.4,212.92,3942937
2026-01-06,212.0,214.37,210.85,212.35,3441599
2026-01-07,211.31,214.93,209.08,209.1,3314413
2026-01-08,210.63,215.0,210.05,213.15,4362455
2026-01-09,212.72,216.7099,212.25,215.16,3409836
2026-01-12,215.1,217.39,213.0,216.5,3251111
2026-01-13,215.22,215.99,204.46,205.06,4101225
