date,open,high,low,close,volume
2025-09-02,35.86,36.8,35.6056,36.73,6370512
2025-09-03,36.88,37.465,36.675,37.12,4582259
2025-09-04,37.15,37.3873,36.49,37.12,6163992
2025-09-05,37.67,38.17,37.1737,37.94,8405067
2025-09-08,38.0,38.42,37.6009,37.95,9319080
2025-09-09,38.2,38.57,35.09,36.5,22049470
2025-09-10,36.07,36.1,34.48,35.29,16404240
2025-09-11,35.27,35.28,34.43,34.96,13487510
2025-09-12,34.97,35.295,34.85,35.03,6136398
2025-09-15,35.24,36.28,35.23,36.26,7724280
2025-09-16,36.42,36.49,35.53,36.25,7078759
2025-09-17,36.28,37.04,36.15,36.49,8246286
2025-09-18,36.74,37.05,35.98,36.3,8363005
2025-09-19,36.2,36.45,35.445,35.81,11906160
2025-09-22,35.67,36.15,35.195,35.31,7163764
2025-09-23,35.51,35.715,34.89,35.27,8429518
2025-09-24,35.15,35.315,32.895,33.0,18708400
2025-09-25,32.38,33.735,32.38,33.45,12114390
2025-09-26,33.51,34.12,33.15,33.6,8787987
2025-09-29,33.84,34.13,33.12,33.32,9419315
2025-09-30,33.59,33.72,31.965,32.17,12669330
2025-10-01,31.86,32.205,31.28,31.85,12380030
2025-10-02,32.08,32.1,31.41,31.9,10961110
2025-10-03,32.05,32.5101,31.735,31.95,10410050
2025-10-06,32.24,32.4,31.135,32.04,12357450
2025-10-07,32.1,32.23,31.36,31.39,10091320
2025-10-08,31.51,31.8,31.2,31.79,6447091
2025-10-09,31.77,31.87,31.37,31.87,8850052
2025-10-10,31.85,32.05,30.27,30.4,9408885
2025-10-13,30.99,32.29,30.71,32.27,10940210
2025-10-14,31.69,33.5876,31.59,33.12,17013610
2025-10-15,33.78,34.25,32.87,33.33,12124520
2025-10-16,33.3,34.1607,32.265,32.59,8751938
2025-10-17,32.13,32.64,31.96,32.39,7707543
2025-10-20,32.69,33.25,32.65,32.9,7951261
2025-10-21,32.97,34.0,32.88,33.75,7229930
2025-10-22,33.69,33.82,32.78,32.99,8287105
2025-10-23,33.1,33.53,32.8713,33.45,6165354
