date,open,high,low,close,volume
2025-09-02,130.06,130.8,129.78,130.7189,30000
2025-09-03,130.54,131.0715,129.99,130.4179,66199
2025-09-04,130.58,131.55,130.53,131.55,62154
2025-09-05,131.85,132.31,130.53,131.11,80269
2025-09-08,131.36,131.36,130.175,131.17,21014
2025-09-09,131.32,131.735,131.01,131.5,35272
2025-09-10,131.45,131.7699,130.38,130.8,15090
2025-09-11,131.38,132.9,131.2501,132.8341,27386
2025-09-12,132.85,132.85,131.94,131.9704,21055
2025-09-15,132.46,132.46,131.445,131.445,15622
2025-09-16,131.68,131.68,130.55,131.04,27229
2025-09-17,131.19,132.81,131.19,131.53,44422
2025-09-18,131.95,132.53,131.71,132.31,26820
2025-09-19,132.43,132.43,131.4476,131.87,17846
2025-09-22,131.33,131.6,130.775,131.36,16477
2025-09-23,131.67,132.615,131.3108,131.4878,16862
2025-09-24,131.97,132.1545,131.56,131.66,14615
2025-09-25,131.04,131.27,130.3845,130.75,57904
2025-09-26,131.39,132.51,131.39,132.49,23062
2025-09-29,133.06,133.09,132.11,132.7708,28417
2025-09-30,133.2,133.2,131.7876,132.48,17830
2025-10-01,132.21,132.4792,132.0259,132.2329,18601
2025-10-02,132.48,132.779,131.85,132.7137,39133
2025-10-03,133.04,134.05,132.935,133.4574,15949
2025-10-06,134.08,134.08,132.9551,133.0622,21101
2025-10-07,133.56,133.5727,132.38,132.77,13197
2025-10-08,133.24,133.24,132.485,132.69,17802
2025-10-09,133.07,133.07,131.83,131.95,17678
2025-10-10,132.38,132.48,128.88,128.88,73883
2025-10-13,130.18,130.31,129.5201,130.06,43546
2025-10-14,129.02,132.56,129.02,131.9037,31515
2025-10-15,132.67,132.765,131.12,131.4389,23658
2025-10-16,131.64,131.64,129.18,129.51,24830
2025-10-17,129.64,130.5169,129.6,130.2856,17147
2025-10-20,131.11,131.795,130.93,131.5272,16837
2025-10-21,131.77,132.8085,131.58,132.3414,19435
2025-10-22,132.3,132.385,131.29,131.8311,13609
2025-10-23,131.87,132.9461,131.87,132.5911,21304
2025-10-24,133.37,134.2652,133.37,133.7431,25885
2025-10-27,134.55,134.73,134.2792,134.6707,44805
2025-10-28,134.82,134.95,133.9797,134.0383,33568
2025-10-29,132.1,132.56,130.7588,131.04,74510
2025-10-30,129.95,130.6098,128.83,128.83,36460
2025-10-31,129.16,130.02,128.59,129.7106,32233
2025-11-03,129.79,129.79,128.02,129.43,34937
2025-11-04,128.11,129.05,127.9912,128.72,14856
2025-11-05,128.87,129.9404,128.72,129.33,16706
2025-11-06,129.505,129.66,128.0,128.1,12815
2025-11-07,127.97,129.6,127.97,129.56,38159
2025-11-10,129.77,130.1245,129.0985,129.75,26028
2025-11-11,130.15,130.962,130.03,130.4219,15619
2025-11-12,130.79,131.75,130.79,131.19,35491
2025-11-13,130.66,131.3391,129.61,129.7252,35875
2025-11-14,129.08,129.75,128.63,128.9406,25878
2025-11-17,128.66,129.0275,126.6573,127.0583,16740
2025-11-18,126.75,128.13,126.54,127.5752,16259
2025-11-19,127.43,127.8478,126.779,127.26,51772
2025-11-20,128.51,128.85,125.47,125.5251,17580
2025-11-21,126.01,128.6063,126.0034,127.9713,28613
2025-11-24,128.63,129.08,128.007,128.87,13688
2025-11-25,129.05,131.28,129.05,131.0968,18650
2025-11-26,131.42,132.767,131.27,132.2331,21364
2025-11-28,132.6,133.0688,132.545,132.6349,4289
2025-12-01,132.15,133.2688,132.15,132.3488,26096
2025-12-02,132.66,132.66,131.86,132.2,20730
2025-12-03,132.51,133.33,132.51,133.31,16604
2025-12-04,132.99,133.4999,132.835,133.0848,13779
2025-12-05,133.24,133.845,133.1278,133.1278,23988
2025-12-08,133.74,133.74,132.7801,132.9521,19259
2025-12-09,132.76,133.7549,132.76,132.9555,24094
2025-12-10,133.1,134.8015,132.98,134.57,26233
2025-12-11,134.38,136.5,134.38,136.29,29858
2025-12-12,136.88,136.88,135.64,135.94,30910
2025-12-15,136.39,136.39,135.455,135.8516,19365
2025-12-16,136.1424,136.1424,134.4601,134.9181,21053
2025-12-17,134.99,135.515,134.495,134.5613,18854
2025-12-18,135.09,135.826,134.6801,134.7462,23622
2025-12-19,134.76,135.77,134.76,135.53,22610
2025-12-22,135.37,136.304,135.37,136.0528,42087
2025-12-23,135.78,136.1183,135.64,135.73,32860
2025-12-24,135.83,136.58,135.83,136.51,9116
2025-12-26,136.54,136.54,135.99,136.38,43910
2025-12-29,136.12,136.47,135.51,135.62,30023
2025-12-30,135.97,135.97,135.27,135.3,25198
2025-12-31,135.44,135.44,134.3,134.3203,21804
2026-01-02,135.05,135.81,134.0162,135.5512,25336
2026-01-05,136.25,138.295,136.25,137.77,47450
2026-01-06,137.54,138.12,137.0,137.9344,33221
2026-01-07,138.05,138.05,135.9804,136.0659,27310
2026-01-08,135.86,137.99,135.86,137.74,44522
2026-01-09,138.19,138.5,137.46,138.1506,26567
2026-01-12,137.13,138.02,137.13,137.9286,128433
2026-01-13,137.96,138.11,137.16,137.3181,70352
2026-01-14,137.16,137.33,136.74,137.1147,40241
2026-01-15,137.11,138.4299,137.11,138.0584,100645
2026-01-16,138.09,138.09,136.9,136.9693,33678
2026-01-20,135.41,136.23,134.8,135.07,103572
2026-01-21,135.79,137.4,135.79,136.8237,24726
2026-01-22,137.48,137.83,137.052,137.31,68886
2026-01-23,136.83,136.91,135.5668,136.1231,41542
2026-01-26,136.3,136.88,136.112,136.1543,18892
2026-01-27,136.91,136.915,136.0601,136.4613,37668
2026-01-28,136.18,136.4068,135.44,135.85,23808
2026-01-29,136.24,136.24,135.0701,135.8945,34903
2026-01-30,135.77,135.77,134.7252,135.5435,18418
2026-02-02,135.43,137.02,135.43,136.95,36501
2026-02-03,135.83,137.08,134.715,135.72,36103
2026-02-04,136.28,138.1695,136.28,137.62,38770
2026-02-05,136.82,137.37,136.3705,136.88,17634
2026-02-06,137.86,139.68,137.86,139.6,28630
2026-02-09,139.43,139.845,139.24,139.39,23289
2026-02-10,139.28,139.92,139.03,139.38,13518
2026-02-11,139.93,140.1,138.7501,138.9817,19717
2026-02-12,139.18,140.01,136.31,136.8043,39052
2026-02-13,137.0,138.23,136.6,137.8638,41144
2026-02-17,137.89,139.015,137.369,138.5166,30828
2026-02-18,138.63,139.89,138.63,139.6052,14839
2026-02-19,138.94,139.1999,137.904,138.62,61667
2026-02-20,138.468,139.429,138.205,139.41,14210
2026-02-23,138.91,139.24,135.83,136.5112,19253
2026-02-24,136.53,137.9096,136.53,137.775,10329
2026-02-25,138.24,138.58,137.2842,138.5,24816
2026-02-26,138.84,139.27,138.1526,139.0877,16719
2026-02-27,138.22,138.22,136.7656,137.7937,22013
2026-03-02,136.17,138.28,136.17,137.8028,11052
2026-03-03,135.21,137.475,134.2363,137.0,22186
2026-03-04,137.65,138.17,136.99,138.0016,13570
2026-03-05,137.11,138.23,135.98,136.6845,26098
2026-03-06,135.37,135.37,133.31,134.6073,33053
2026-03-09,133.01,134.61,131.0,134.4775,23467
2026-03-10,134.05,135.18,133.403,133.4823,20435
2026-03-11,133.25,133.93,132.5638,133.3081,24933
2026-03-12,131.98,132.715,131.0322,131.0322,17462
2026-03-13,131.47,131.83,130.32,130.35,55224
2026-03-16,131.37,132.0,131.0,131.1078,24550
2026-03-17,131.66,133.17,131.66,132.0695,23317
2026-03-18,131.48,131.87,130.63,130.6611,12974
2026-03-19,130.0,131.3155,129.84,130.9465,17107
2026-03-20,130.71,130.77,128.88,129.5159,42939
2026-03-23,131.17,132.77,130.8722,131.267,26435
2026-03-24,130.23,132.39,130.23,131.6198,14872
2026-03-25,132.58,133.42,131.775,132.2108,13594
2026-03-26,131.42,132.833,131.01,131.1107,16691
2026-03-27,130.73,130.73,128.685,128.8564,66593
2026-03-30,130.09,130.09,128.2964,128.42,19351
2026-03-31,129.63,131.73,129.14,131.2492,39597
2026-04-01,131.97,132.57,131.29,132.07,26519
2026-04-02,130.4503,132.8,130.4503,132.28,17223
2026-04-06,132.02,133.375,132.02,133.3537,24551
2026-04-07,132.73,133.545,132.366,132.9318,32160
2026-04-08,135.85,136.6837,135.74,136.1325,13941
2026-04-09,135.54,136.7,135.528,136.3799,19698
2026-04-10,136.7,136.7,135.2103,135.2913,30535
2026-04-13,134.93,137.359,134.84,137.3076,38285
2026-04-14,137.34,138.1599,137.19,137.63,37698
2026-04-15,137.68,137.97,137.2,137.3951,13264
2026-04-16,137.46,138.165,137.46,137.8346,13003
2026-04-17,138.86,140.9684,138.4,139.8346,22356
2026-04-20,139.57,140.55,139.57,140.37,59130
2026-04-21,140.65,141.39,139.64,139.649,22471
2026-04-22,140.66,140.66,139.055,139.2869,8971
2026-04-23,138.63,138.83,137.0,138.44,62075
2026-04-24,137.7,137.7,136.92,137.0769,24994
2026-04-27,137.2,137.845,137.2,137.68,11801
2026-04-28,138.28,138.46,136.94,137.1949,27554
2026-04-29,137.42,137.42,136.503,136.88,13221
2026-04-30,136.49,138.8,136.49,138.8,39211
2026-05-01,139.28,139.28,138.21,138.21,19766
2026-05-04,137.93,138.605,137.1234,137.41,20996
2026-05-05,137.15,138.45,137.15,138.03,24228
2026-05-06,138.34,139.41,138.34,138.78,50711
2026-05-07,138.81,138.81,137.31,137.31,20657
2026-05-08,137.94,137.94,136.87,136.92,19124
2026-05-11,136.92,136.92,135.57,135.5834,28279
2026-05-12,135.36,135.7,134.25,135.41,23817
2026-05-13,134.91,134.91,134.01,134.3811,30142
2026-05-14,135.19,135.91,134.77,135.202,95435
2026-05-15,135.11,135.2,134.21,134.35,12455
2026-05-18,134.2,135.79,134.15,134.9764,99387
