date,open,high,low,close,volume
2025-09-02,6.76,6.79,6.41,6.65,9985502
2025-09-03,6.76,6.76,6.43,6.44,7154765
2025-09-04,6.55,6.55,6.29,6.46,7159758
2025-09-05,6.61,6.65,6.255,6.53,8951303
2025-09-08,7.705,9.7081,7.29,9.66,64238870
2025-09-09,8.64,9.555,8.51,9.02,43488110
2025-09-10,9.2,9.35,8.595,8.97,32549840
2025-09-11,9.19,10.08,9.13,9.67,26479170
2025-09-12,9.62,9.79,9.39,9.78,14954210
2025-09-15,9.97,10.11,9.485,9.86,11072110
2025-09-16,9.86,9.9763,9.66,9.75,7932096
2025-09-17,9.75,10.4,9.68,10.23,12872250
2025-09-18,10.48,10.71,10.22,10.61,10558180
2025-09-19,10.66,11.41,10.615,11.11,21936210
2025-09-22,10.86,11.15,10.72,11.11,10118830
2025-09-23,11.24,12.13,11.07,12.05,14718970
2025-09-24,12.14,12.23,11.67,11.93,11956680
2025-09-25,11.5,12.28,11.42,11.96,12749220
2025-09-26,11.86,12.33,11.76,12.2,10358840
2025-09-29,12.39,13.0,12.36,12.79,17484320
2025-09-30,12.7,13.06,12.12,12.98,17939360
2025-10-01,12.84,14.02,12.6,13.77,17926980
2025-10-02,14.36,15.1074,14.08,14.85,21246670
2025-10-03,14.95,15.5,14.76,15.31,18155290
2025-10-06,15.8,15.89,15.19,15.24,17077850
2025-10-07,15.0,16.01,14.78,15.68,16764440
2025-10-08,16.55,16.78,15.26,15.6,15536410
2025-10-09,15.59,15.8,15.08,15.66,10681090
2025-10-10,15.86,16.05,14.555,14.7,19306380
2025-10-13,15.21,15.95,15.16,15.25,11235980
2025-10-14,15.0,15.25,14.545,14.78,13581020
2025-10-15,15.45,15.665,14.85,15.09,11494740
2025-10-16,15.47,15.5594,13.12,13.23,18607280
2025-10-17,13.0,13.58,12.572,13.11,13601540
2025-10-20,14.02,14.4098,13.5,13.56,9701405
2025-10-21,13.18,13.3355,12.81,12.91,7543190
2025-10-22,12.75,13.05,11.97,12.5,12319580
2025-10-23,12.63,13.305,12.59,12.95,7062337
2025-10-24,13.3,13.715,13.14,13.61,7294059
2025-10-27,13.95,13.96,13.27,13.31,6607274
2025-10-28,13.4,13.47,12.78,12.84,6461820
2025-10-29,12.96,13.335,12.765,12.9,6691988
2025-10-30,12.74,13.2,12.5307,12.86,6048143
2025-10-31,12.89,13.7299,12.89,13.45,8672483
2025-11-03,13.33,13.3799,12.73,13.19,6522066
2025-11-04,12.73,13.52,12.4601,12.7,9895234
2025-11-05,12.84,13.345,12.53,13.25,6718018
2025-11-06,13.01,13.02,12.07,12.46,9772941
2025-11-07,12.11,12.825,11.93,12.81,6879019
2025-11-10,13.23,13.8,12.9224,13.39,10943870
2025-11-11,13.2,13.37,12.28,12.47,8585239
2025-11-12,12.63,12.9,12.33,12.44,5990838
2025-11-13,12.27,12.41,11.045,11.41,10882950
2025-11-14,11.0,11.8495,10.7322,11.4,9106403
2025-11-17,11.18,11.61,10.88,11.21,7325524
2025-11-18,11.04,11.885,10.965,11.45,8449415
2025-11-19,11.46,12.48,11.4,11.79,7431480
2025-11-20,12.2,12.5,11.0913,11.23,10283080
2025-11-21,11.24,11.5,10.52,11.16,11250910
2025-11-24,11.35,11.655,11.26,11.54,6034398
