date,open,high,low,close,volume
2025-09-02,106.1,106.43,105.255,106.29,1111052
2025-09-03,106.15,106.92,105.4591,106.84,934826
2025-09-04,107.06,110.09,106.755,110.06,1245723
2025-09-05,111.09,111.8,109.79,110.64,1118577
2025-09-08,110.63,110.97,109.68,110.68,955601
2025-09-09,110.35,110.63,107.85,109.13,1062309
2025-09-10,108.98,110.575,108.64,109.26,784989
2025-09-11,109.25,112.91,108.63,112.59,1106664
2025-09-12,112.35,112.524,110.86,110.95,915213
2025-09-15,110.95,111.5,110.31,110.65,899122
2025-09-16,110.62,111.16,109.65,111.01,1183437
2025-09-17,111.15,112.34,108.83,109.46,1628345
2025-09-18,110.1,112.91,109.93,111.52,1099700
2025-09-19,111.53,112.246,109.87,110.3,2172932
2025-09-22,109.94,110.56,109.47,110.09,790441
2025-09-23,110.64,111.23,109.46,110.09,834775
2025-09-24,110.01,110.085,108.02,109.0,1287460
2025-09-25,107.99,108.61,107.58,108.31,724567
2025-09-26,108.6,110.0,108.51,109.76,689634
2025-09-29,110.6,110.95,109.115,109.64,872718
2025-09-30,109.66,110.85,109.14,110.76,1129999
2025-10-01,110.17,110.84,109.47,110.5,798667
2025-10-02,110.93,112.69,110.27,112.36,1095283
2025-10-03,112.47,113.95,112.1501,112.23,732149
2025-10-06,112.54,113.03,111.515,112.05,1083017
2025-10-07,112.59,112.81,110.2912,110.66,864814
2025-10-08,111.13,112.195,110.205,111.8,1121017
2025-10-09,112.26,112.26,109.15,109.85,978057
2025-10-10,110.54,111.21,106.95,107.21,1477454
2025-10-13,108.34,109.395,108.0,108.83,928748
2025-10-14,107.7,110.77,107.2532,110.41,996571
2025-10-15,111.57,112.13,108.88,110.31,994387
2025-10-16,110.96,111.59,107.96,108.7,1196904
2025-10-17,107.98,110.0,107.56,108.79,1260609
2025-10-20,109.88,110.86,109.02,109.3,1479802
2025-10-21,107.7,109.78,103.8566,109.02,2260135
2025-10-22,109.39,111.14,108.81,109.34,2011294
2025-10-23,110.03,111.45,108.15,110.7,1421923
2025-10-24,111.94,111.94,109.29,109.73,1040065
2025-10-27,110.9,110.9,108.69,109.13,2410093
2025-10-28,109.15,109.64,107.46,108.87,937045
2025-10-29,109.22,110.12,106.99,107.62,1337547
2025-10-30,107.36,109.145,106.87,107.14,889802
2025-10-31,106.97,107.81,105.85,106.35,1578587
2025-11-03,105.87,107.1,104.65,106.84,1312697
2025-11-04,106.2,107.48,105.43,107.18,1319401
2025-11-05,106.69,108.48,105.86,107.95,1139794
2025-11-06,108.08,109.14,106.2,106.66,1140995
2025-11-07,105.75,107.89,104.9,107.36,1023736
2025-11-10,107.87,109.84,107.52,108.69,1304364
2025-11-11,108.89,109.03,107.56,108.24,549465
2025-11-12,108.42,109.89,108.42,108.68,878069
2025-11-13,107.96,109.35,106.48,106.75,780115
2025-11-14,105.37,106.03,104.05,104.33,1239612
2025-11-17,104.37,104.575,101.58,101.83,988648
2025-11-18,101.32,102.76,100.87,102.12,1391871
2025-11-19,102.18,102.99,101.5,102.52,860560
2025-11-20,104.31,104.31,101.38,101.48,1167832
2025-11-21,102.44,106.2205,102.2325,104.79,2848867
2025-11-24,104.77,104.955,103.34,104.11,2107261
2025-11-25,104.97,106.77,104.305,106.03,1180554
2025-11-26,105.53,106.91,104.91,106.08,1080439
2025-11-28,106.58,106.58,105.09,105.24,848288
2025-12-01,104.33,106.2099,103.78,105.06,1542282
2025-12-02,105.88,105.88,104.125,105.16,1013205
2025-12-03,105.38,106.6846,105.1,106.47,851307
2025-12-04,105.87,106.0,104.18,104.89,1199366
2025-12-05,104.73,105.55,103.97,104.25,777391
2025-12-08,104.27,105.405,102.81,104.25,924688
2025-12-09,103.88,104.54,101.7,101.86,1675718
2025-12-10,103.44,105.68,102.76,105.25,1617996
2025-12-11,104.82,106.3958,104.82,105.89,1219046
2025-12-12,106.5,107.47,105.46,106.01,1086030
2025-12-15,106.38,106.38,104.45,105.04,1064343
2025-12-16,107.49,108.09,104.025,104.4,1070593
2025-12-17,103.95,105.95,103.16,103.66,1077715
2025-12-18,104.44,104.655,102.845,103.4,1166457
2025-12-19,103.03,103.915,102.6,103.87,2997188
2025-12-22,103.87,105.475,103.87,105.27,946358
2025-12-23,105.29,106.09,104.87,105.47,743232
2025-12-24,105.65,105.93,105.21,105.38,281632
2025-12-26,105.67,105.89,105.18,105.68,379005
2025-12-29,105.84,106.11,105.29,105.8,535471
2025-12-30,105.47,106.04,104.92,105.78,561277
2025-12-31,105.78,105.97,104.08,104.14,627376
2026-01-02,104.22,105.68,103.71,105.47,807413
2026-01-05,102.74,104.05,101.25,102.67,2133655
2026-01-06,101.95,105.21,100.68,104.47,1887310
2026-01-07,103.65,104.45,99.42,100.06,2496472
2026-01-08,99.55,103.75,99.11,103.06,2945404
2026-01-09,103.58,103.75,100.46,103.06,1915301
2026-01-12,102.91,104.12,102.08,103.08,1616846
2026-01-13,103.68,104.555,102.21,103.24,1641161
2026-01-14,102.93,104.12,102.67,104.08,2476519
2026-01-15,105.02,107.43,104.63,106.97,1558114
2026-01-16,106.59,107.67,106.35,107.3,1787925
2026-01-20,105.39,106.03,103.3201,104.33,1456985
2026-01-21,105.42,108.08,104.645,107.15,1048811
2026-01-22,108.07,109.09,107.38,108.14,1602415
2026-01-23,108.06,108.51,106.77,107.55,834527
2026-01-26,107.88,108.39,107.46,108.02,1156142
2026-01-27,108.54,108.54,106.795,107.6,1568826
2026-01-28,107.09,107.5,104.095,105.17,1770493
2026-01-29,106.08,107.08,104.27,105.91,2658248
2026-01-30,105.36,106.15,104.23,105.37,1797551
2026-02-02,105.68,107.5925,105.13,105.51,3192852
2026-02-03,102.725,104.23,93.97,94.79,7580446
2026-02-04,95.91,98.72,92.92,97.28,4786310
