date,open,high,low,close,volume
2025-09-02,80.09,81.71,77.25,81.09,738536
2025-09-03,83.77,88.08,82.68,87.26,854612
2025-09-04,87.4,89.505,82.92,86.92,680601
2025-09-05,88.15,89.0,81.82,86.84,508483
2025-09-08,87.99,90.1,84.146,84.39,609174
2025-09-09,83.4,93.7,83.4,92.81,838954
2025-09-10,94.91,95.82,88.71,89.65,818630
2025-09-11,90.875,94.98,90.0175,94.585,655515
2025-09-12,94.03,95.07,90.82,94.41,429570
2025-09-15,95.53,97.45,92.6728,95.525,701369
2025-09-16,96.25,98.52,93.67,98.42,582697
2025-09-17,98.2,102.5,95.55,101.51,488514
2025-09-18,103.15,108.84,101.29,106.2,713484
2025-09-19,106.305,110.8,105.8,109.98,984052
2025-09-22,108.01,115.37,107.435,114.99,690865
2025-09-23,115.49,118.26,112.45,115.78,586709
2025-09-24,118.73,119.7,110.65,110.87,759204
2025-09-25,105.3,112.98,103.0,109.59,657849
2025-09-26,110.78,112.19,100.92,103.715,522197
2025-09-29,106.16,111.05,102.47,103.08,670835
2025-09-30,100.66,103.0,96.17,98.22,879840
2025-10-01,97.97,100.0,90.56,92.2,887679
2025-10-02,93.9,97.46,90.45,96.39,608902
2025-10-03,97.7,98.71,92.06,92.28,593461
2025-10-06,94.21,94.788,84.3594,84.58,1148470
2025-10-07,85.07,88.62,82.28,84.36,944753
2025-10-08,84.99,88.95,84.11,87.91,553725
2025-10-09,87.91,94.94,87.65,91.18,659447
2025-10-10,90.71,95.1657,85.5,85.72,897880
2025-10-13,89.0,97.5,88.89,94.96,662608
2025-10-14,89.64,95.0,87.01,91.91,489276
2025-10-15,94.79,97.89,91.5,93.235,423828
2025-10-16,94.87,95.2662,88.1,88.78,509474
2025-10-17,87.0,90.05,84.0,87.06,410464
2025-10-20,90.29,90.35,82.805,83.64,491294
2025-10-21,83.06,84.8028,81.08,81.33,319276
2025-10-22,80.45,80.99,73.6,77.57,810511
2025-10-23,78.7,81.615,77.52,80.52,351229
2025-10-24,83.7,84.5,81.12,83.56,334635
2025-10-27,85.21,85.5,79.8,82.07,493737
2025-10-28,82.07,84.53,81.07,81.22,317753
2025-10-29,82.05,89.2,81.4,88.05,586012
2025-10-30,85.13,87.57,82.05,82.95,446682
2025-10-31,84.88,86.7757,83.8,85.62,417707
2025-11-03,86.55,89.5,84.85,89.07,427579
2025-11-04,82.79,86.75,81.05,84.07,527611
2025-11-05,85.55,91.03,85.4,88.55,573416
2025-11-06,88.77,88.77,79.21,81.24,712319
2025-11-07,56.87,67.9198,44.1701,65.69,5381163
2025-11-10,68.85,70.5,63.0115,64.95,1742348
2025-11-11,64.0,64.0,58.3826,61.94,1085716
2025-11-12,63.05,67.83,62.8963,64.63,743388
2025-11-13,62.6,62.6,57.59,58.255,898847
2025-11-14,55.5,60.88,55.0,58.25,741063
2025-11-17,58.17,59.0,53.405,54.56,692304
2025-11-18,53.03,54.72,51.53,53.05,969874
2025-11-19,53.99,55.3,52.0001,52.24,544915
2025-11-20,56.97,57.54,51.09,51.46,748977
2025-11-21,50.93,53.66,49.3401,52.15,738795
2025-11-24,53.28,55.36,52.07,55.02,443603
2025-11-25,54.58,54.985,51.6901,54.3,400384
2025-11-26,54.83,55.405,52.55,52.61,368440
2025-11-28,53.4,54.48,53.03,54.08,153155
2025-12-01,55.0,56.55,52.63,52.73,493176
2025-12-02,53.71,56.19,53.61,54.48,372210
2025-12-03,54.5,58.98,53.35,58.68,411356
2025-12-04,58.73,62.26,58.0,61.12,457452
2025-12-05,61.0,62.25,58.617,59.53,368307
2025-12-08,60.46,60.76,58.02,59.48,330722
2025-12-09,58.8,63.94,58.8,63.66,516450
2025-12-10,63.63,64.87,61.3301,63.44,524301
2025-12-11,62.9,66.21,60.49,65.76,345072
2025-12-12,66.15,66.45,61.05,62.95,541043
2025-12-15,64.53,66.92,64.53,66.28,670900
2025-12-16,64.91,66.8568,62.1,65.3,496948
2025-12-17,66.0,67.19,61.8645,62.39,469539
2025-12-18,65.41,67.67,64.465,65.34,385813
2025-12-19,65.89,69.1,65.43,68.73,766956
2025-12-22,69.83,69.9,66.49,67.03,451496
2025-12-23,66.91,68.0099,65.995,67.04,251995
2025-12-24,66.0,66.855,64.0,66.53,176334
2025-12-26,66.69,66.77,64.0,65.49,313968
2025-12-29,63.98,65.0,62.1,62.47,419990
2025-12-30,62.3,62.3,58.99,59.19,418364
2025-12-31,58.9,59.72,55.84,57.14,802534
2026-01-02,59.2,61.61,58.2,61.53,497648
2026-01-05,62.3,69.3,62.3,68.52,529756
2026-01-06,68.66,68.82,65.0,67.95,506496
2026-01-07,67.43,67.5,63.66,64.05,391373
2026-01-08,63.94,65.5863,62.0001,63.17,283210
2026-01-09,64.54,66.94,63.785,66.78,275348
2026-01-12,66.34,71.2,66.0,71.03,475801
2026-01-13,71.57,74.4899,71.2,72.99,405838
2026-01-14,72.72,72.8223,67.53,71.0,362949
2026-01-15,72.94,76.895,72.1358,75.47,368472
2026-01-16,76.19,79.0,74.0758,76.0,525215
2026-01-20,73.35,79.82,72.75,76.895,411824
2026-01-21,78.7,79.665,72.66,77.66,346394
2026-01-22,79.65,80.0,76.1,78.82,280773
2026-01-23,78.62,78.755,75.0101,77.25,259836
