date,open,high,low,close,volume
2025-09-02,7.43,7.44,7.19,7.365,10114710
2025-09-03,7.37,7.695,7.355,7.6,7676396
2025-09-04,7.63,8.19,7.62,8.12,11883480
2025-09-05,8.21,8.3,7.8612,8.02,10877250
2025-09-08,7.94,8.295,7.795,8.1,9823408
2025-09-09,8.07,8.135,7.85,7.94,8966066
2025-09-10,7.9,7.9301,7.74,7.85,7564168
2025-09-11,7.9,8.055,7.54,7.65,13555090
2025-09-12,7.63,7.64,7.46,7.58,7368328
2025-09-15,7.62,8.21,7.62,8.19,10387590
2025-09-16,8.18,8.28,7.725,7.94,11199240
2025-09-17,7.94,8.305,7.94,8.13,9569749
2025-09-18,8.25,8.38,7.92,7.93,10343140
2025-09-19,7.85,8.44,7.78,8.27,19265450
2025-09-22,8.2,8.45,8.05,8.33,9388188
2025-09-23,8.34,8.5,7.97,8.03,9076731
2025-09-24,8.075,8.27,7.775,8.25,11941120
2025-09-25,8.19,8.7,8.1,8.42,15047200
2025-09-26,8.41,8.9,8.315,8.565,12083900
2025-09-29,8.78,8.8391,8.15,8.67,20210880
2025-09-30,8.65,9.195,8.6434,9.0,19084820
2025-10-01,9.18,9.18,8.1,8.67,42162500
2025-10-02,8.68,8.89,8.54,8.68,12361150
2025-10-03,8.75,9.2,8.52,8.58,13395440
2025-10-06,8.65,8.8,8.24,8.34,19257330
2025-10-07,8.23,8.28,7.3,7.31,29207320
2025-10-08,7.415,7.46,7.26,7.34,13516590
2025-10-09,7.315,7.625,7.275,7.35,13296930
2025-10-10,7.38,7.48,6.94,6.96,15402340
2025-10-13,7.11,7.44,6.955,7.37,11286710
2025-10-14,7.26,7.79,7.22,7.71,11036570
2025-10-15,7.81,7.85,7.52,7.62,9286246
2025-10-16,7.65,7.8,7.33,7.52,9298686
2025-10-17,7.45,7.595,7.42,7.5,9469154
2025-10-20,7.59,7.75,7.44,7.47,10161490
2025-10-21,7.44,8.0,7.31,7.86,10860310
2025-10-22,7.8,8.19,7.49,7.78,13780110
2025-10-23,7.66,7.745,7.44,7.5,7368836
2025-10-24,7.59,7.965,7.52,7.82,11990050
2025-10-27,7.82,7.939,7.685,7.72,5848701
2025-10-28,7.7,7.77,7.53,7.54,6832729
2025-10-29,7.57,7.8,7.42,7.47,12865380
2025-10-30,7.41,7.4271,7.21,7.24,6967683
2025-10-31,7.22,7.4,7.1575,7.26,7672920
2025-11-03,7.32,7.32,7.0701,7.27,6834211
2025-11-04,7.07,7.15,6.955,7.07,11370580
2025-11-05,7.1,7.485,6.97,7.13,12164170
2025-11-06,7.06,7.08,6.52,6.71,20763210
2025-11-07,6.8,7.73,6.62,7.66,29802460
2025-11-10,7.72,7.92,7.41,7.44,16579380
2025-11-11,7.43,7.69,7.43,7.47,10500460
2025-11-12,7.55,7.6865,7.195,7.46,11396560
2025-11-13,7.4,7.64,7.23,7.31,9285262
2025-11-14,7.13,7.6,7.12,7.48,6749317
2025-11-17,7.41,7.42,7.07,7.14,10158310
2025-11-18,7.0,7.23,6.935,7.11,8162418
2025-11-19,7.11,7.195,6.85,6.88,6909195
2025-11-20,7.04,7.04,6.36,6.39,14403490
2025-11-21,6.32,6.6368,6.29,6.45,13696750
2025-11-24,6.45,6.685,6.45,6.6,9528745
2025-11-25,6.61,6.87,6.45,6.74,8981318
2025-11-26,6.74,6.835,6.695,6.72,4887981
2025-11-28,6.71,6.8664,6.68,6.79,3273833
2025-12-01,6.58,6.835,6.5774,6.66,7155381
2025-12-02,6.7,6.7,6.42,6.45,10807380
2025-12-03,6.47,6.7,6.37,6.67,8452541
2025-12-04,6.68,6.795,6.48,6.56,6231189
2025-12-05,6.56,6.69,6.38,6.42,6230176
2025-12-08,6.43,6.47,6.31,6.4,6702696
2025-12-09,6.4,6.85,6.365,6.77,9806160
2025-12-10,6.8,6.825,6.51,6.68,7530510
2025-12-11,6.68,6.9,6.59,6.79,7319691
2025-12-12,6.82,6.895,6.515,6.54,8653348
2025-12-15,6.54,6.59,6.15,6.25,9517833
2025-12-16,6.2,6.2955,6.145,6.19,7540526
2025-12-17,6.15,6.32,6.11,6.13,7057369
2025-12-18,6.3,6.32,6.1837,6.25,5055809
2025-12-19,6.26,6.31,6.19,6.2,8287965
2025-12-22,6.2,6.355,6.14,6.17,4624228
2025-12-23,6.11,6.24,6.09,6.11,4877094
2025-12-24,6.11,6.145,6.05,6.11,3407517
2025-12-26,6.09,6.19,6.045,6.06,4346443
2025-12-29,6.05,6.27,6.03,6.27,6901908
2025-12-30,6.2,6.305,6.18,6.23,5424574
2025-12-31,6.24,6.31,6.15,6.16,6091796
2026-01-02,6.2,6.24,5.96,6.12,8824703
2026-01-05,6.1,6.44,6.0,6.22,9268069
2026-01-06,6.255,6.66,6.2,6.6,10940590
2026-01-07,6.61,6.68,6.495,6.6,7785521
2026-01-08,6.57,6.89,6.46,6.72,12104480
2026-01-09,6.75,7.005,6.58,6.84,11184550
2026-01-12,6.8,6.915,6.51,6.61,12533970
2026-01-13,6.63,7.02,6.57,7.0,16558590
2026-01-14,6.95,6.95,6.4,6.57,10539420
2026-01-15,6.57,6.765,6.47,6.7,9782948
2026-01-16,6.68,6.7,6.28,6.33,10644200
2026-01-20,6.05,6.24,5.86,5.86,13807520
2026-01-21,5.92,5.98,5.75,5.86,9336725
2026-01-22,5.87,6.0,5.8,5.81,7496564
2026-01-23,5.8,5.8851,5.695,5.8,8615123
2026-01-26,5.78,6.1,5.7649,5.96,8799300
2026-01-27,5.96,5.9708,5.81,5.87,6281055
2026-01-28,5.94,5.97,5.8,5.84,6593571
2026-01-29,5.84,5.95,5.555,5.73,12610580
2026-01-30,5.61,5.74,5.45,5.59,12282760
2026-02-02,5.5,5.88,5.46,5.76,12389950
2026-02-03,5.77,5.88,5.535,5.72,10953590
2026-02-04,5.73,5.975,5.6101,5.91,18014540
2026-02-05,4.81,4.92,4.09,4.39,90612530
2026-02-06,4.44,4.69,4.3,4.625,31539770
2026-02-09,4.525,4.73,4.355,4.4,18408650
2026-02-10,4.29,4.59,4.28,4.35,16231300
2026-02-11,4.4,4.5,4.2,4.32,24806530
2026-02-12,4.33,4.3999,4.13,4.23,16031140
2026-02-13,4.29,4.365,4.21,4.25,8746839
2026-02-17,4.18,4.28,4.08,4.19,11709270
2026-02-18,4.19,4.38,4.165,4.32,11120290
2026-02-19,4.27,4.439,4.2,4.42,6177336
2026-02-20,4.36,4.5295,4.31,4.41,8118020
2026-02-23,4.35,4.365,4.075,4.13,10710450
2026-02-24,4.1,4.16,4.025,4.04,15137240
2026-02-25,4.09,4.22,3.99,4.12,11241520
2026-02-26,4.08,4.22,4.05,4.08,9142607
2026-02-27,4.05,4.08,3.95,4.02,10046670
2026-03-02,3.88,3.9679,3.81,3.9,10942600
2026-03-03,3.8,4.0,3.75,3.91,10430090
2026-03-04,3.96,4.015,3.85,3.85,9795320
2026-03-05,3.82,3.965,3.75,3.83,9341162
2026-03-06,3.75,3.91,3.75,3.83,8663587
2026-03-09,3.75,3.94,3.705,3.86,8267527
2026-03-10,3.85,3.8899,3.68,3.71,11501120
2026-03-11,3.73,3.87,3.685,3.86,9689923
