date,open,high,low,close,volume
2025-09-02,68.92,69.3743,68.1503,69.25,12882510
2025-09-03,68.91,69.89,68.8,69.64,11808210
2025-09-04,69.7,69.9,66.23,68.46,14063530
2025-09-05,68.88,69.94,68.17,68.26,7794280
2025-09-08,68.46,68.59,67.8,68.4,7954897
2025-09-09,68.2,68.5,67.53,67.68,8776483
2025-09-10,67.48,68.03,65.235,65.64,14352510
2025-09-11,65.75,67.35,65.71,67.27,11154390
2025-09-12,67.21,67.75,66.86,66.89,7505551
2025-09-15,67.3,68.19,66.8026,67.11,9597883
2025-09-16,66.835,67.14,66.105,66.85,9353862
2025-09-17,67.14,69.27,67.0,68.62,18607770
2025-09-18,70.08,70.3,68.33,68.52,14330490
2025-09-19,68.76,68.85,67.925,68.22,19774200
2025-09-22,67.76,68.1103,67.05,67.68,13298220
2025-09-23,67.805,68.99,67.12,67.31,10449000
2025-09-24,67.65,68.58,67.44,67.86,9180592
2025-09-25,67.26,67.49,66.2,66.74,10773690
2025-09-26,67.0,67.63,66.32,67.3,8431604
2025-09-29,67.96,71.26,67.89,69.68,28497010
2025-09-30,69.825,69.83,66.85,67.06,21464840
2025-10-01,66.9,67.8,66.22,66.66,17050110
2025-10-02,67.07,68.95,66.95,68.93,13461610
2025-10-03,68.1,69.53,67.75,69.25,12219820
2025-10-06,70.22,71.87,69.4524,71.29,16769860
2025-10-07,74.07,75.675,73.06,74.61,31977490
2025-10-08,75.235,76.5,73.275,76.13,17904840
2025-10-09,77.19,77.34,75.033,75.75,15774430
2025-10-10,76.11,76.9,69.76,69.84,22326460
2025-10-13,70.72,70.9295,68.1617,68.86,20036800
2025-10-14,67.41,69.71,66.77,69.15,12968480
2025-10-15,69.385,69.875,67.84,67.98,11247310
2025-10-16,68.13,68.6,65.42,66.05,19258510
2025-10-17,65.535,67.71,65.45,67.41,11151460
2025-10-20,67.675,69.47,67.65,69.2,10016110
2025-10-21,69.02,70.36,68.83,70.05,9031987
2025-10-22,69.17,69.37,67.91,68.07,8173415
2025-10-23,68.07,70.06,68.0501,69.66,8199006
2025-10-24,70.15,71.25,69.74,69.77,8638209
2025-10-27,70.855,71.87,70.13,70.25,18821310
2025-10-28,76.21,79.215,72.83,73.02,83722310
2025-10-29,72.7,72.73,69.315,69.68,38505450
2025-10-30,69.835,70.7699,67.9,67.93,19550790
2025-10-31,68.27,69.58,67.62,69.27,18370140
2025-11-03,69.525,70.35,67.705,68.34,14619050
2025-11-04,67.23,67.2893,65.95,66.08,19711800
2025-11-05,66.02,68.21,65.9,68.06,13606100
2025-11-06,67.8,68.07,66.21,66.26,11480240
2025-11-07,65.5,66.515,64.78,66.22,13449260
2025-11-10,67.06,67.43,65.742,66.25,11129950
