date,open,high,low,close,volume
2025-09-02,15.155,15.86,14.78,15.85,29039670
2025-09-03,15.8,16.12,15.18,15.3,32107960
2025-09-04,15.47,15.81,14.88,15.29,27518890
2025-09-05,15.46,15.96,14.9,15.37,32925290
2025-09-08,15.505,15.75,15.23,15.42,22874690
2025-09-09,15.45,16.24,15.28,16.15,34180640
2025-09-10,16.2,16.42,15.87,16.04,29141720
2025-09-11,16.11,16.72,15.9575,16.52,38787040
2025-09-12,16.67,17.98,16.54,17.76,59652370
2025-09-15,17.7,18.58,17.26,18.32,44351320
2025-09-16,18.375,19.18,17.9,18.98,39742600
2025-09-17,18.98,22.85,18.93,22.54,126852200
2025-09-18,22.87,24.85,22.34,24.02,80856460
2025-09-19,23.32,27.329,23.32,26.88,102188600
2025-09-22,24.49,26.2599,22.84,25.67,69773460
2025-09-23,25.88,27.9899,25.6,27.52,66448030
2025-09-24,28.44,29.18,26.36,27.72,66549280
2025-09-25,26.015,27.325,24.62,26.34,65488820
2025-09-26,26.35,28.5,26.02,26.76,60598620
2025-09-29,27.02,28.57,24.97,25.31,68895910
2025-09-30,24.94,25.475,23.6712,24.71,46242380
2025-10-01,24.39,25.82,23.91,25.63,43929470
2025-10-02,26.2,29.61,26.03,29.21,72187890
2025-10-03,30.6,33.28,29.95,32.7,89971280
2025-10-06,32.01,36.417,31.85,35.02,74825260
2025-10-07,36.96,37.8999,33.85,35.72,90346460
2025-10-08,36.12,39.55,32.5101,34.25,83873300
2025-10-09,34.7,36.64,33.6,35.07,66185820
2025-10-10,35.68,35.84,32.49,33.02,58521720
2025-10-13,34.28,41.97,32.62,40.62,89082850
2025-10-14,40.52,45.3,38.1,43.06,73334940
2025-10-15,46.4,46.75,41.22,44.78,77600020
2025-10-16,44.7,45.13,39.63,40.46,55798000
2025-10-17,38.5,39.47,36.06,38.33,45679740
2025-10-20,39.52,39.68,33.52,34.4,43951080
2025-10-21,33.62,33.98,31.12,32.19,40668790
2025-10-22,30.11,31.31,26.37,27.29,79628980
2025-10-23,32.6,33.43,29.66,31.06,114387700
2025-10-24,33.195,35.19,32.3,32.65,67661000
2025-10-27,33.99,37.28,33.23,35.04,65054300
2025-10-28,35.295,36.57,31.85,32.0,64548470
2025-10-29,32.475,34.65,32.0,34.26,47219170
2025-10-30,32.91,36.79,32.45,36.11,44418020
2025-10-31,35.99,37.435,35.055,37.06,37846560
2025-11-03,37.42,37.62,31.96,33.09,46622300
2025-11-04,31.015,32.53,29.44,29.74,36463840
2025-11-05,30.56,31.6299,29.32,31.02,31994730
2025-11-06,30.495,30.69,28.13,28.39,41880550
2025-11-07,27.43,29.72,26.42,29.5,50592460
2025-11-10,30.11,31.6,28.5,29.37,43657610
2025-11-11,28.8,30.02,27.5,28.99,33364970
2025-11-12,28.82,29.57,26.11,26.4,38942540
2025-11-13,25.48,25.5,22.94,23.39,48629130
2025-11-14,21.58,24.99,21.47,23.61,51216000
