date,open,high,low,close,volume
2025-09-02,7.77,7.8399,7.55,7.73,11386660
2025-09-03,7.8,8.15,7.695,7.78,12274150
2025-09-04,7.66,7.6965,7.4,7.65,12595840
2025-09-05,7.81,7.9438,7.64,7.84,9675403
2025-09-08,10.06,10.68,9.26,9.49,102502700
2025-09-09,9.625,9.65,8.3,8.53,52713200
2025-09-10,8.6,8.61,8.21,8.35,22368570
2025-09-11,8.34,9.29,8.29,8.85,37105950
2025-09-12,8.88,9.96,8.7149,9.95,39084990
2025-09-15,10.05,10.525,9.41,10.36,41060200
2025-09-16,10.3,10.725,9.88,10.15,41376790
2025-09-17,9.91,10.64,9.8535,10.26,41686500
2025-09-18,10.38,12.265,10.225,12.13,66639520
2025-09-19,12.18,13.44,11.94,13.42,74324760
2025-09-22,13.07,14.1,12.63,13.44,52301420
2025-09-23,13.43,14.1679,13.05,13.53,43548650
2025-09-24,13.79,14.02,12.335,12.49,43754320
2025-09-25,11.97,12.845,11.49,12.5,39952550
2025-09-26,12.59,12.93,12.0902,12.66,29247410
2025-09-29,13.13,13.41,12.13,12.38,37097100
2025-09-30,13.0,13.62,12.05,12.32,50852500
2025-10-01,12.3,14.85,12.08,14.59,87787580
2025-10-02,14.54,15.24,14.08,14.3,58202930
2025-10-03,14.64,16.49,14.24,15.92,76384430
2025-10-06,16.03,16.68,15.64,15.72,50445100
2025-10-07,16.0,16.31,14.97,15.33,58153900
2025-10-08,16.24,17.77,14.8207,15.33,84543320
2025-10-09,15.4,16.33,14.98,14.99,68609330
2025-10-10,15.1,16.89,14.6,14.7,75794880
2025-10-13,15.39,17.7877,15.34,16.99,63441550
2025-10-14,16.66,17.145,15.8107,16.88,42128430
2025-10-15,17.57,19.0699,16.78,17.85,75560720
2025-10-16,18.02,18.2497,15.39,15.46,54427110
2025-10-17,15.29,15.975,14.915,15.36,29748860
2025-10-20,15.62,16.18,15.145,16.14,27332200
2025-10-21,15.86,16.205,15.42,15.52,22380940
2025-10-22,15.09,15.4,13.09,13.58,58317590
2025-10-23,14.41,15.38,13.89,14.66,40157580
2025-10-24,15.35,16.98,14.93,16.82,48383080
2025-10-27,16.89,17.45,16.23,16.28,35507380
2025-10-28,16.4,16.49,15.02,15.59,57775640
2025-10-29,15.63,16.35,15.3315,15.84,55121300
2025-10-30,15.53,16.1,15.2,15.79,20613510
2025-10-31,16.08,18.5599,15.8188,18.44,83841380
2025-11-03,17.72,17.86,15.88,16.21,45152550
2025-11-04,15.5,16.0,14.7612,15.44,25714730
2025-11-05,15.68,17.71,15.52,17.07,43567250
2025-11-06,16.9,17.0,15.83,15.9,23778860
2025-11-07,15.64,16.62,14.835,16.62,33246180
2025-11-10,17.19,17.5799,15.13,16.28,51942680
2025-11-11,16.12,16.13,15.275,15.91,36029320
2025-11-12,16.01,16.2199,14.55,14.64,36387590
2025-11-13,14.4,14.5292,13.49,13.57,33505860
2025-11-14,13.02,14.0999,12.77,13.43,29718920
2025-11-17,13.31,13.798,12.645,12.95,23617090
2025-11-18,12.8,13.48,12.44,12.97,30869070
2025-11-19,12.58,12.905,12.19,12.46,23908190
2025-11-20,12.84,13.26,11.67,11.72,27515670
2025-11-21,11.59,11.8,10.56,11.47,31916290
2025-11-24,11.44,11.91,11.3601,11.83,17137300
2025-11-25,11.71,11.97,11.295,11.86,13320170
2025-11-26,12.02,12.22,11.82,12.08,13799680
2025-11-28,12.21,12.5,12.032,12.22,6935358
2025-12-01,12.02,12.04,11.5745,11.73,11951140
2025-12-02,11.86,12.32,11.8,12.17,13077880
2025-12-03,12.14,12.48,11.81,12.41,13208680
2025-12-04,12.225,13.1,12.1,12.97,18018100
2025-12-05,12.945,13.02,12.55,12.55,13990830
2025-12-08,12.68,12.84,12.42,12.6,12475120
2025-12-09,12.45,13.0,12.35,12.75,16111600
2025-12-10,12.61,12.85,12.18,12.47,19833940
2025-12-11,12.25,12.8,11.85,12.79,17534140
2025-12-12,12.65,12.845,11.775,11.8,15565800
2025-12-15,11.8,11.82,10.81,10.83,23639410
2025-12-16,10.52,11.09,10.5,10.84,19958450
2025-12-17,11.49,12.0699,10.71,10.74,23429610
2025-12-18,11.1,11.57,10.9601,11.02,16772820
2025-12-19,11.26,11.6199,11.14,11.43,19797060
2025-12-22,11.59,11.8,11.35,11.51,13819210
2025-12-23,11.25,11.76,11.09,11.43,10827850
2025-12-24,11.35,11.415,11.12,11.18,5426213
2025-12-26,11.15,11.18,10.875,10.92,10262450
2025-12-29,10.64,10.9699,10.51,10.6,12576790
2025-12-30,10.6,10.67,10.37,10.38,9698201
2025-12-31,10.42,10.55,10.29,10.42,10303070
2026-01-02,10.55,11.06,10.325,11.06,13722630
2026-01-05,11.27,11.56,11.052,11.33,17697210
2026-01-06,11.4,11.6,10.945,11.31,12670150
2026-01-07,11.28,11.31,10.84,10.91,10902830
2026-01-08,10.85,11.2498,10.7,10.89,9957710
2026-01-09,10.92,10.99,10.525,10.61,11574830
2026-01-12,10.61,10.91,10.425,10.72,14175380
2026-01-13,10.84,10.89,10.21,10.61,15307350
2026-01-14,10.465,10.835,10.31,10.79,10600930
2026-01-15,10.9,10.98,10.355,10.38,11146010
2026-01-16,10.43,10.715,10.12,10.55,13990660
2026-01-20,10.11,10.7,10.045,10.23,16171490
2026-01-21,10.47,11.38,10.405,11.05,30930790
2026-01-22,11.435,11.93,10.705,10.8,22877280
2026-01-23,10.88,10.96,10.35,10.36,11602220
2026-01-26,10.34,10.34,9.82,9.91,13401270
2026-01-27,10.07,10.17,9.83,10.15,7986883
2026-01-28,10.24,10.25,9.725,9.93,10289900
2026-01-29,9.91,10.09,9.5,9.855,14793040
2026-01-30,9.67,9.78,8.81,8.85,21023720
2026-02-02,8.82,8.92,8.57,8.68,14560090
2026-02-03,8.855,9.04,8.46,8.86,14011450
2026-02-04,8.82,8.84,8.17,8.49,15870390
2026-02-05,8.2,8.36,7.72,7.76,18800120
2026-02-06,8.025,8.495,8.01,8.47,18026940
2026-02-09,9.41,9.47,8.9,9.17,27684390
2026-02-10,9.07,9.415,8.93,8.94,16748940
2026-02-11,9.04,9.13,8.6,8.82,19664990
