date,open,high,low,close,volume
2025-09-02,20.13,21.65,20.02,21.13,11764780
2025-09-03,21.25,21.62,20.47,20.53,7041140
2025-09-04,20.48,20.8,19.97,20.64,6780992
2025-09-05,20.87,22.06,20.87,22.05,10069930
2025-09-08,22.26,22.35,21.65,21.96,7396669
2025-09-09,21.8,21.99,21.035,21.48,7314968
2025-09-10,21.36,22.045,21.25,21.48,7273759
2025-09-11,21.33,21.95,21.1897,21.26,6062792
2025-09-12,21.26,21.37,20.75,20.77,6255498
2025-09-15,20.85,21.23,20.6894,21.23,5351537
2025-09-16,21.23,21.42,20.3,20.95,10449700
2025-09-17,21.05,21.53,20.64,20.94,7238845
2025-09-18,21.12,21.635,20.89,21.02,8416342
2025-09-19,20.95,21.0,20.4,20.62,13219740
2025-09-22,20.7,20.7771,19.92,19.94,8980097
2025-09-23,20.02,20.27,19.6,19.82,10908480
2025-09-24,19.91,20.085,19.21,19.24,7497715
2025-09-25,18.915,19.28,18.69,18.93,8678303
2025-09-26,18.98,19.0897,18.67,18.79,5652055
2025-09-29,19.05,19.2099,18.73,18.74,7111797
2025-09-30,18.92,19.07,18.27,19.06,10279170
2025-10-01,18.89,19.0775,18.5,18.67,10854690
2025-10-02,18.79,20.11,18.73,19.91,13216170
2025-10-03,20.165,21.1365,19.97,20.23,15172900
2025-10-06,20.54,20.61,19.625,19.77,8918976
2025-10-07,19.79,19.951,19.45,19.5,5945538
2025-10-08,19.52,19.92,19.42,19.9,6827001
2025-10-09,19.68,20.268,19.59,19.73,5303639
2025-10-10,19.89,19.89,18.58,18.58,9008444
2025-10-13,18.7,19.01,18.36,18.5,8600924
2025-10-14,18.225,19.56,18.08,19.53,9716193
2025-10-15,19.78,19.895,19.12,19.47,7242748
2025-10-16,19.5,19.55,18.6113,18.93,6891917
2025-10-17,19.0,19.31,18.5,18.99,5117572
2025-10-20,19.14,19.25,18.77,19.0,4504998
2025-10-21,19.1,19.985,19.1,19.54,6738306
2025-10-22,19.37,19.695,18.31,18.36,8580527
2025-10-23,18.49,18.565,18.09,18.3,6240760
2025-10-24,18.6,18.86,18.38,18.39,5131306
2025-10-27,18.66,18.68,18.03,18.08,5773940
2025-10-28,18.1,18.81,17.975,18.1,7210751
2025-10-29,18.06,18.85,17.64,18.49,8581766
2025-10-30,18.51,18.51,17.73,17.76,7406082
2025-10-31,17.83,17.93,17.51,17.67,7434899
2025-11-03,17.75,17.846,17.05,17.29,7938425
2025-11-04,17.07,17.25,16.85,16.87,6990922
2025-11-05,17.0,17.08,16.465,16.49,12118070
2025-11-06,16.46,16.6,15.83,16.14,13444590
2025-11-07,16.0,17.4,15.5,17.19,13205510
2025-11-10,17.25,18.6,16.9001,18.4,9996784
2025-11-11,18.59,19.185,18.03,19.02,8125940
2025-11-12,19.05,19.37,18.395,18.79,6449699
2025-11-13,18.64,18.72,17.47,17.49,6098895
2025-11-14,17.06,17.79,17.0117,17.48,5183828
2025-11-17,17.5,17.55,16.66,16.96,5517537
2025-11-18,16.67,17.12,16.53,16.69,5242938
2025-11-19,16.7,16.91,16.25,16.3,7250075
2025-11-20,16.62,17.11,15.99,16.1,6270833
2025-11-21,16.12,17.53,16.1,16.98,6693847
2025-11-24,17.0,17.5,16.76,16.81,7471818
2025-11-25,16.99,17.8053,16.8602,17.69,7018315
2025-11-26,17.65,18.48,17.6,18.26,5343444
