date,open,high,low,close,volume
2025-09-02,482.9,492.23,482.3,492.08,405559
2025-09-03,492.0,495.69,490.3,494.82,320855
2025-09-04,494.96,498.7,494.65,495.19,331488
2025-09-05,493.84,497.2,488.63,488.77,279304
2025-09-08,484.0,485.78,478.57,478.97,464383
2025-09-09,477.56,480.52,473.43,479.62,310159
2025-09-10,478.33,481.23,472.66,473.62,321220
2025-09-11,475.71,481.38,475.07,479.36,210245
2025-09-12,476.56,479.1,476.0,478.0,158821
2025-09-15,478.27,479.81,475.11,478.94,241547
2025-09-16,488.58,488.71,480.14,480.33,301384
2025-09-17,470.33,473.5,467.47,470.03,386209
2025-09-18,476.17,485.09,475.6,483.77,365515
2025-09-19,482.23,482.45,475.01,479.59,456656
2025-09-22,474.3,479.45,473.7,477.74,327274
2025-09-23,487.49,491.01,484.87,486.5,426269
2025-09-24,479.53,481.525,477.94,480.6,324886
2025-09-25,474.7,476.1399,468.827,473.17,353652
2025-09-26,474.1,476.07,472.22,475.36,183755
2025-09-29,481.63,483.11,480.11,482.04,249115
2025-09-30,482.1,485.52,480.805,485.22,229934
2025-10-01,482.77,490.99,481.75,490.24,375109
2025-10-02,501.91,504.49,496.41,504.09,482660
2025-10-03,499.44,503.78,497.69,501.15,479438
2025-10-06,501.4,501.4,490.47,491.53,441002
2025-10-07,493.42,495.0,488.985,490.86,407814
2025-10-08,488.17,490.54,477.01,479.21,488344
2025-10-09,419.18,422.9,402.86,407.38,4872852
2025-10-10,412.24,412.98,393.3801,395.72,2619622
2025-10-13,386.71,387.14,377.64,378.72,2624334
2025-10-14,375.81,386.61,372.31,382.19,1839359
2025-10-15,381.125,391.76,379.69,389.56,1534690
2025-10-16,393.27,400.28,390.78,392.46,1365118
2025-10-17,393.0,400.85,391.55,399.08,1154826
2025-10-20,395.695,399.05,393.84,398.31,642369
2025-10-21,398.45,401.22,395.6725,400.46,739731
2025-10-22,399.12,399.49,392.17,394.06,949040
2025-10-23,398.89,404.87,397.33,402.85,649375
2025-10-24,408.97,411.3911,407.55,408.31,710314
2025-10-27,408.16,409.94,407.09,407.46,445823
2025-10-28,405.69,405.69,399.555,402.27,686261
2025-10-29,398.07,398.68,389.1534,391.44,1046908
2025-10-30,388.0,396.74,387.33,396.0,605851
2025-10-31,400.0,404.95,397.45,403.95,1015797
2025-11-03,396.14,397.14,390.33,392.03,943475
2025-11-04,395.68,406.952,395.19,399.39,1571837
2025-11-05,403.96,409.05,403.96,406.67,741848
2025-11-06,407.67,409.3,402.51,405.62,828242
2025-11-07,407.0,413.395,406.3,413.26,627142
2025-11-10,411.42,414.75,411.085,411.4,541977
2025-11-11,417.81,423.44,417.78,422.46,868861
2025-11-12,430.0,432.36,418.43,419.52,977767
2025-11-13,420.0,425.19,417.37,417.81,636714
2025-11-14,414.92,419.53,413.84,417.16,571725
2025-11-17,408.57,412.23,404.34,405.38,751267
2025-11-18,399.12,399.73,394.4,397.83,585751
2025-11-19,394.75,394.75,389.36,389.83,504222
2025-11-20,393.98,393.98,383.02,383.15,575042
2025-11-21,390.53,390.75,387.27,389.19,786555
2025-11-24,390.45,391.06,381.07,381.58,1090833
2025-11-25,381.83,388.9,381.245,385.14,653784
2025-11-26,384.18,387.0,381.89,382.8,538985
2025-11-28,388.58,392.81,388.09,391.9,349570
2025-12-01,387.95,390.615,386.67,386.93,405564
2025-12-02,385.61,387.8914,384.3401,386.56,454231
2025-12-03,388.02,396.81,387.91,393.84,564009
2025-12-04,399.96,399.96,392.68,393.23,355274
2025-12-05,394.52,399.05,392.165,393.21,469201
2025-12-08,385.83,386.49,380.44,382.98,776827
2025-12-09,381.39,383.22,375.0,375.35,738185
2025-12-10,363.5,365.34,356.93,364.04,1514190
2025-12-11,370.36,371.99,366.0,367.96,785568
2025-12-12,366.58,369.17,365.85,367.13,908167
2025-12-15,369.74,371.09,366.68,368.6,684885
2025-12-16,366.59,371.713,365.94,370.42,655946
2025-12-17,365.87,368.5375,363.91,365.51,648656
2025-12-18,368.39,373.17,367.27,372.65,812983
2025-12-19,379.43,380.91,377.0,378.29,561394
2025-12-22,377.7,379.64,375.125,375.25,529102
2025-12-23,376.96,379.71,375.3,375.91,441721
2025-12-24,375.06,377.9499,375.05,376.34,122987
2025-12-26,376.64,378.6179,376.0,378.13,173300
2025-12-29,377.12,377.59,373.8,375.75,418618
2025-12-30,375.68,376.4999,371.6794,372.48,348371
2025-12-31,371.6,372.035,369.29,369.56,237836
2026-01-02,371.06,372.8,369.245,371.89,477208
2026-01-05,369.71,380.055,368.54,379.27,646043
2026-01-06,377.77,377.8,371.362,371.96,485060
2026-01-07,371.05,372.3,366.62,366.81,671982
2026-01-08,363.96,376.6,363.96,370.85,873295
2026-01-09,379.88,380.42,374.74,376.19,670099
2026-01-12,375.24,378.81,373.85,377.2,448980
2026-01-13,372.72,373.36,358.17,360.09,1070074
2026-01-14,360.92,363.725,350.66,353.39,1334555
2026-01-15,356.04,356.52,353.37,354.57,506392
2026-01-16,350.4,351.9,344.895,345.23,1060280
2026-01-20,340.0,342.385,335.65,336.78,1434406
2026-01-21,338.01,342.38,333.34,341.68,1485301
2026-01-22,340.01,341.45,336.91,337.55,729834
2026-01-23,335.35,338.58,333.66,338.53,870669
2026-01-26,340.87,342.0,337.29,340.45,642422
2026-01-27,338.055,338.77,334.865,337.4,451035
2026-01-28,334.7,338.4399,332.64,333.46,497591
2026-01-29,335.04,339.86,335.0,338.45,488075
2026-01-30,333.91,335.31,331.01,333.17,531450
2026-02-02,335.75,338.4,334.46,336.33,470253
2026-02-03,333.95,335.85,328.0,330.32,587235
2026-02-04,342.62,345.6766,337.7901,339.33,689754
2026-02-05,335.85,337.87,331.95,334.76,452220
2026-02-06,332.07,334.66,331.05,333.79,732286
2026-02-09,333.95,338.225,333.46,336.13,647342
2026-02-10,362.26,371.67,357.68,363.22,2403352
2026-02-11,381.12,385.44,377.205,382.96,3086328
2026-02-12,390.0,393.5,385.571,391.21,1332870
2026-02-13,385.36,385.74,377.66,379.08,1046947
2026-02-17,377.14,378.0,372.59,374.99,576152
2026-02-18,365.45,370.29,364.47,366.43,553570
2026-02-19,359.75,368.8,359.75,366.5,804826
2026-02-20,360.5,368.26,360.5,366.95,607347
2026-02-23,361.46,362.85,356.8,358.42,498645
2026-02-24,370.0,378.23,369.91,373.92,759364
2026-02-25,381.17,381.755,372.6,373.34,632032
2026-02-26,378.12,380.155,374.52,376.19,532738
2026-02-27,374.81,380.55,374.42,379.92,574458
2026-03-02,362.91,368.235,360.09,362.75,873330
2026-03-03,349.795,361.23,347.77,361.13,742029
2026-03-04,362.67,366.26,362.18,365.09,374556
2026-03-05,361.33,363.9899,353.2,358.03,576752
2026-03-06,347.1,351.845,347.07,350.08,478315
2026-03-09,340.26,347.8,336.9,346.58,763530
2026-03-10,348.46,353.59,345.3401,346.56,519433
2026-03-11,348.29,351.46,340.0,340.61,386418
2026-03-12,337.04,340.12,334.22,334.55,546965
2026-03-13,333.16,336.015,330.79,331.86,879582
2026-03-16,330.51,334.47,329.335,334.36,662273
2026-03-17,337.98,340.91,336.15,336.48,554689
2026-03-18,332.43,336.2,330.47,330.47,567339
2026-03-19,323.16,323.74,314.16,321.01,1140142
2026-03-20,317.56,318.5799,312.51,314.63,941449
2026-03-23,328.61,334.38,326.495,329.16,852852
2026-03-24,323.01,327.9,320.92,322.02,515230
2026-03-25,323.95,325.42,317.5,322.17,529994
2026-03-26,321.0,327.78,320.56,323.58,630193
2026-03-27,324.37,325.13,316.47,317.4,511130
2026-03-30,330.22,333.4299,326.75,327.2,763910
2026-03-31,328.07,342.55,327.52,338.45,1429986
2026-04-01,345.9,346.08,340.61,342.43,1023971
2026-04-02,337.78,342.596,335.65,340.0,586292
2026-04-06,338.69,341.9875,337.82,338.28,322289
2026-04-07,336.84,337.36,330.42,334.57,627216
2026-04-08,361.96,362.25,351.165,351.3,862502
2026-04-09,347.48,354.74,346.15,352.22,565104
2026-04-10,356.17,357.4,350.86,351.89,574797
2026-04-13,346.6,355.66,345.8262,355.14,445505
2026-04-14,357.74,360.38,357.29,358.13,459781
2026-04-15,357.0,358.19,354.46,357.06,405329
2026-04-16,362.42,363.09,355.74,356.52,501946
2026-04-17,376.1,379.65,372.4,372.85,866685
2026-04-20,369.4,372.85,368.15,372.84,564876
2026-04-21,367.48,368.9,358.15,358.5,495914
2026-04-22,360.71,364.0,358.44,358.58,499893
2026-04-23,357.0,359.72,351.59,354.19,438813
2026-04-24,352.15,353.22,350.0,351.95,333403
2026-04-27,350.0,351.95,346.34,347.81,432010
2026-04-28,343.87,345.03,339.929,342.71,451940
2026-04-29,339.22,339.63,337.02,337.54,304534
2026-04-30,340.84,347.41,339.26,347.3,556861
2026-05-01,346.9,349.68,339.45,341.26,601604
2026-05-04,338.45,343.41,337.31,338.91,840668
