date,open,high,low,close,volume
2025-09-02,87.0,88.76,85.78,87.9,1734522
2025-09-03,88.82,89.22,86.5,87.72,1756458
2025-09-04,88.0,88.1,85.17,86.55,1655338
2025-09-05,88.7,91.74,85.82,90.93,2920172
2025-09-08,94.0,97.02,92.36,95.61,4958933
2025-09-09,95.61,99.75,95.09,98.5,8770902
2025-09-10,94.56,95.05,80.6,80.72,18684040
2025-09-11,82.06,82.216,77.49,77.89,9215539
2025-09-12,77.72,78.18,73.85,74.5,9645627
2025-09-15,75.48,78.12,74.3,75.6,5847144
2025-09-16,75.57,75.57,73.92,75.0,4913963
2025-09-17,74.82,75.17,72.68,73.89,4824122
2025-09-18,75.74,78.53,75.4,78.02,5341804
2025-09-19,78.49,80.93,77.58,80.23,10103300
2025-09-22,80.0,80.77,77.8655,80.49,4084048
2025-09-23,80.225,83.37,79.3219,81.46,5091627
2025-09-24,82.0,82.265,77.98,79.12,4425569
2025-09-25,77.2,83.97,76.56,81.99,5771054
2025-09-26,82.0,82.494,79.8,82.15,2417211
2025-09-29,83.0,83.86,81.2,83.34,2833410
2025-09-30,84.0,84.0,80.09,82.25,2848904
2025-10-01,81.49,83.97,81.0275,82.43,2671156
2025-10-02,83.96,84.73,82.72,83.94,2787913
2025-10-03,84.74,84.915,82.39,82.82,2374772
2025-10-06,84.2,85.3414,82.19,82.21,2418402
2025-10-07,82.66,82.8999,76.84,79.5,4645046
2025-10-08,80.24,84.35,80.17,84.25,3394081
2025-10-09,83.69,86.95,82.39,86.1,2415117
2025-10-10,86.0,88.05,82.32,82.34,2490954
2025-10-13,85.0,85.41,81.54,83.19,2300371
2025-10-14,81.75,81.99,78.16,78.17,2898232
2025-10-15,80.25,81.46,78.2,79.06,2261796
2025-10-16,79.88,81.46,77.9471,78.64,2086197
2025-10-17,77.0,77.94,75.74,77.22,2302956
2025-10-20,78.66,79.45,77.53,78.81,1665966
2025-10-21,78.74,81.39,78.47,79.88,1962905
2025-10-22,79.28,79.28,75.15,76.85,3836482
2025-10-23,76.79,78.62,76.06,76.86,3063379
2025-10-24,78.28,80.07,76.94,76.99,2378497
2025-10-27,78.9,78.93,77.34,77.79,2616398
2025-10-28,78.07,78.82,75.99,76.12,2674578
2025-10-29,75.79,75.975,70.89,71.92,6499837
2025-10-30,71.32,72.77,70.0,71.05,3596636
2025-10-31,72.45,75.78,72.0,75.27,2649366
2025-11-03,75.19,76.612,73.81,75.8,2621937
2025-11-04,73.05,74.1237,71.92,72.6,2186744
2025-11-05,72.38,72.6,71.56,72.35,1428168
2025-11-06,72.0,73.29,70.22,71.53,2777934
2025-11-07,70.25,73.215,69.95,73.03,1999303
2025-11-10,75.19,76.78,74.865,76.07,1896209
2025-11-11,75.49,76.4,74.75,75.63,1363963
2025-11-12,76.06,76.4,73.805,73.95,1355180
2025-11-13,73.4,73.5,69.6,70.51,2290835
2025-11-14,68.01,72.3278,67.58,71.55,2110909
2025-11-17,72.5,72.7999,68.955,69.69,1933916
2025-11-18,69.41,70.68,67.62,68.8,2733575
2025-11-19,68.84,70.79,68.58,70.08,1708485
2025-11-20,71.94,72.14,67.235,67.69,2603254
2025-11-21,67.01,68.0,64.75,66.59,2899980
