date,open,high,low,close,volume
2025-09-02,355.5,358.305,348.2659,354.08,1712757
2025-09-03,354.72,358.755,352.3716,355.0,1175110
2025-09-04,354.45,362.66,353.55,360.06,1085167
2025-09-05,361.2,362.79,349.3367,352.27,1455905
2025-09-08,354.0,360.09,349.41,351.06,1587604
2025-09-09,349.95,353.72,345.21,345.31,1418563
2025-09-10,346.81,347.1,331.22,341.5,2288927
2025-09-11,343.56,355.55,342.58,350.23,2333941
2025-09-12,347.74,348.8,336.37,336.42,2073032
2025-09-15,338.03,339.15,327.66,329.79,2558794
2025-09-16,328.87,329.5045,317.52,321.7,3128129
2025-09-17,323.36,324.5,316.34,323.07,2042664
2025-09-18,325.28,326.84,320.87,325.81,1608587
2025-09-19,327.82,329.54,316.11,328.6,3628427
2025-09-22,326.0,333.04,324.63,329.24,1530258
2025-09-23,331.45,340.17,329.15,330.59,2064271
2025-09-24,330.72,332.23,325.73,327.03,1130818
2025-09-25,322.93,327.48,319.7,324.53,1572520
2025-09-26,325.48,327.8,323.5,326.89,1302970
2025-09-29,337.54,339.22,320.0,326.72,2022511
2025-09-30,327.67,330.5,319.21,323.58,1803374
2025-10-01,320.63,321.01,312.28,316.02,2280790
2025-10-02,315.75,321.25,311.27,320.11,1626828
2025-10-03,322.55,322.775,313.93,314.05,1402037
2025-10-06,314.31,318.0,310.69,317.3,1468891
2025-10-07,317.3,317.3,308.2,314.75,1129738
2025-10-08,315.0,315.8,307.77,308.31,1879256
2025-10-09,310.51,311.86,306.75,306.99,1391328
2025-10-10,306.98,313.2,303.315,304.62,1413933
2025-10-13,308.27,311.5,305.36,306.22,1338005
2025-10-14,303.0,317.69,301.5,313.86,1555457
2025-10-15,316.38,318.56,309.73,311.16,1087461
2025-10-16,310.5,311.26,297.9,298.51,2641063
2025-10-17,300.8,302.98,296.35,300.31,1830189
2025-10-20,302.38,306.4365,301.5,302.84,1112909
2025-10-21,305.47,317.79,303.9594,316.78,1691565
2025-10-22,318.39,322.335,313.46,317.98,1642482
2025-10-23,316.46,319.72,311.36,316.88,1188377
2025-10-24,319.3,322.95,314.73,316.45,1223063
2025-10-27,321.0,321.98,315.5,320.26,2644572
2025-10-28,295.64,298.8,287.0201,292.95,8597382
2025-10-29,290.01,292.4437,280.02,280.05,4187666
2025-10-30,276.99,290.82,275.2109,284.53,3148055
2025-10-31,284.53,290.08,283.53,286.83,1999470
2025-11-03,285.68,287.08,277.1,277.8,2467159
2025-11-04,266.35,267.5,256.06,257.38,3815511
2025-11-05,257.41,262.89,256.11,256.63,1991848
2025-11-06,255.0,256.68,252.34,253.57,1660832
2025-11-07,252.0,257.73,251.2205,256.01,1893942
2025-11-10,259.57,265.48,256.16,264.98,2626311
2025-11-11,264.51,267.505,261.21,263.55,2498517
2025-11-12,264.09,270.57,262.86,263.43,1384174
2025-11-13,263.82,266.72,254.79,255.76,1533439
2025-11-14,251.86,254.61,246.66,252.87,1804649
2025-11-17,251.64,252.34,244.45,246.71,2217186
2025-11-18,249.13,253.74,247.488,251.42,1572389
2025-11-19,254.89,257.58,252.0,256.0,2590388
2025-11-20,258.85,263.4,252.56,252.72,1817057
2025-11-21,255.5,267.57,254.16,264.09,2798994
2025-11-24,264.37,268.28,249.0,255.57,5550030
2025-11-25,260.01,272.25,258.0,266.41,5202121
2025-11-26,266.46,268.86,264.705,265.71,1517912
2025-11-28,267.0,268.89,265.56,266.25,648264
2025-12-01,262.5,269.57,261.0,266.6,1525965
2025-12-02,267.55,268.55,259.22,265.08,2105995
2025-12-03,263.4,269.46,262.9,265.77,1446763
2025-12-04,262.16,263.8,258.26,259.27,2599173
2025-12-05,259.83,260.25,256.0,257.66,2389916
2025-12-08,256.82,257.5,247.72,252.41,2840139
2025-12-09,248.63,252.11,245.1,248.32,2055404
2025-12-10,249.99,263.34,245.25,260.38,2952822
2025-12-11,263.79,281.6339,263.19,279.7,4466525
2025-12-12,281.38,282.5,276.62,278.86,2135763
2025-12-15,280.6,291.92,280.214,287.22,3235036
2025-12-16,287.39,290.57,280.925,281.51,2177104
2025-12-17,282.98,290.46,282.98,284.88,2568321
2025-12-18,287.0,290.89,285.05,286.73,2318630
2025-12-19,285.23,300.635,284.865,293.59,4774867
2025-12-22,295.0,301.56,294.46,300.73,1988592
2025-12-23,300.5,304.0,291.52,292.29,1713083
2025-12-24,292.0,295.23,291.52,294.12,585314
2025-12-26,292.78,293.6,284.39,285.67,986534
2025-12-29,285.05,285.3,280.3301,282.69,1303479
2025-12-30,282.12,283.03,280.82,281.7,921080
2025-12-31,282.02,282.02,278.564,278.92,1026173
2026-01-02,278.5,284.92,277.24,283.26,1340277
2026-01-05,281.0,286.34,276.37,280.16,2289458
2026-01-06,282.02,297.98,282.02,297.75,2132423
2026-01-07,295.9,303.75,295.325,302.42,2363796
2026-01-08,302.0,314.36,299.61,304.33,2653162
2026-01-09,305.77,312.3,303.6401,311.5,1766682
2026-01-12,306.5,309.0,299.34,301.13,1596282
2026-01-13,294.25,296.62,285.81,291.72,2504874
2026-01-14,286.0,287.22,274.4038,279.33,3102833
2026-01-15,282.0,286.48,275.71,278.11,1615339
2026-01-16,276.74,277.84,273.12,276.01,2074934
2026-01-20,267.0,274.0,264.39,270.01,2911752
2026-01-21,271.48,279.0,270.5,277.77,2275324
2026-01-22,282.0,287.19,280.32,285.55,2349191
2026-01-23,283.94,288.13,281.111,286.11,2442090
2026-01-26,287.65,293.88,286.95,293.15,2283963
2026-01-27,294.06,294.84,288.97,290.58,2296528
2026-01-28,292.08,303.0,291.13,291.6,3746749
2026-01-29,316.15,351.57,314.04,345.98,7713661
2026-01-30,337.54,341.32,318.5,324.65,3354067
2026-02-02,326.98,340.675,324.58,334.05,2168242
2026-02-03,333.4,339.84,325.19,326.29,2291977
2026-02-04,330.0,332.65,321.06,328.65,1663581
2026-02-05,327.51,338.28,323.8,326.09,1954105
2026-02-06,329.28,348.2,329.0,348.0,1787632
2026-02-09,345.0,349.26,341.55,348.03,1972200
2026-02-10,348.65,356.39,346.51,347.3,1945824
2026-02-11,347.89,350.584,331.11,333.75,2739570
2026-02-12,338.92,347.13,328.55,332.8,2027338
2026-02-13,329.4,332.5078,319.0,319.61,2393414
2026-02-17,324.0,330.64,320.37,323.73,2282640
2026-02-18,320.7,327.2435,316.58,318.82,1726879
2026-02-19,316.26,318.5,307.54,310.35,1766022
2026-02-20,309.23,317.48,307.271,315.09,1641752
2026-02-23,314.92,321.32,300.76,302.64,2716492
2026-02-24,302.52,318.75,300.35,316.5,2983691
2026-02-25,319.32,320.9699,311.48,313.0,1946219
2026-02-26,314.01,321.16,314.01,318.94,2450289
2026-02-27,309.41,314.87,306.86,310.96,2986586
2026-03-02,291.95,303.845,285.61,300.84,4018539
2026-03-03,289.005,304.89,286.19,301.31,3642943
2026-03-04,303.83,306.37,286.0701,287.21,2075929
2026-03-05,285.22,289.21,277.8,283.06,3091522
2026-03-06,270.77,279.44,265.2,278.08,3936718
2026-03-09,268.03,291.38,256.16,290.55,5464169
2026-03-10,286.5,293.69,280.23,285.03,2888921
2026-03-11,286.1,289.78,281.0,286.52,1755263
2026-03-12,281.0,281.0,265.5,266.49,2642332
2026-03-13,271.29,277.5,269.01,272.54,2248516
2026-03-16,280.0,285.83,277.35,280.81,2442921
2026-03-17,285.35,286.43,277.83,277.9,2000558
2026-03-18,275.0,277.14,268.69,269.52,2269663
2026-03-19,268.74,275.96,265.89,272.0,2244648
2026-03-20,272.0,272.0,260.91,263.65,4189272
2026-03-23,276.66,283.23,273.9148,278.96,3534055
2026-03-24,273.395,277.0,269.6,273.39,1954914
2026-03-25,281.0,284.74,276.23,279.01,1519111
2026-03-26,275.67,280.7999,273.185,274.0,1880402
2026-03-27,269.89,273.22,260.895,261.8,2217790
2026-03-30,263.58,268.63,260.75,261.37,1727574
2026-03-31,267.46,276.57,263.5,275.18,2649927
2026-04-01,282.85,285.5,278.0,282.06,2272060
2026-04-02,271.79,280.29,266.1,273.59,2243124
2026-04-06,272.0,277.97,268.52,275.7,1752604
2026-04-07,270.84,271.335,262.31,267.71,2278604
2026-04-08,294.34,304.4,277.75,279.26,3974096
2026-04-09,274.39,280.3199,270.44,275.89,2077343
2026-04-10,276.29,281.32,273.3078,276.94,1828083
2026-04-13,271.0,282.52,270.0,282.41,2141912
2026-04-14,284.55,285.8,280.33,281.53,1868363
2026-04-15,282.065,284.19,277.02,282.31,1906472
2026-04-16,283.84,287.69,265.14,265.95,3146400
2026-04-17,282.99,295.33,281.25,285.48,5460435
2026-04-20,279.195,282.59,274.5,282.27,2381548
2026-04-21,280.5,284.24,270.39,271.47,2299756
2026-04-22,272.01,272.01,264.1,265.64,2360706
2026-04-23,264.51,269.66,258.58,260.43,1976345
2026-04-24,261.0,266.89,258.5201,265.84,1743340
2026-04-27,262.02,265.375,257.7,258.87,2465693
2026-04-28,255.86,259.97,254.28,255.89,2130423
2026-04-29,254.35,258.13,250.38,254.01,4313742
2026-04-30,268.01,281.4,262.04,263.76,5219676
2026-05-01,265.77,271.88,258.585,265.55,2599798
2026-05-04,261.08,266.94,256.6,259.48,3080745
2026-05-05,261.44,264.4999,258.5,263.98,1776533
2026-05-06,280.03,288.25,275.05,287.08,3681018
2026-05-07,287.06,288.86,280.85,280.87,3989535
2026-05-08,280.85,283.86,273.48,275.24,2295603
2026-05-11,271.27,271.27,261.6,263.46,2208091
2026-05-12,264.71,264.75,258.0,258.12,2258909
2026-05-13,259.01,265.01,256.6,264.2,2014930
2026-05-14,272.74,275.27,264.43,265.38,1662514
2026-05-15,263.58,263.9,259.06,260.29,2114559
2026-05-18,261.49,263.96,251.7,252.59,2637915
2026-05-19,250.0,250.01,241.175,247.2,3668980
2026-05-20,241.5,257.24,232.1,253.89,6643982
2026-05-21,247.2,262.14,244.861,260.32,3395912
2026-05-22,259.31,261.74,255.0,256.1,3183546
2026-05-26,260.1,268.61,258.63,267.71,4354090
2026-05-27,274.41,281.46,272.5,275.17,3344214
2026-05-28,271.28,282.23,271.0,281.29,2901735
2026-05-29,283.02,288.2,280.01,284.63,4234930
2026-06-01,279.99,293.1,275.35,289.05,2881285
2026-06-02,289.67,294.0,285.675,290.8,2774074
2026-06-03,287.36,295.0,285.0,286.42,2074740
2026-06-04,290.0,298.83,283.33,293.28,2656109
2026-06-05,291.96,296.9999,279.59,280.0,2696879
2026-06-08,278.5,282.76,271.57,272.0,2260794
2026-06-09,274.81,284.12,269.81,282.26,2678633
2026-06-10,277.69,278.13,266.01,268.73,1689965
2026-06-11,267.27,288.25,266.35,287.96,2663120
2026-06-12,289.0,294.78,283.45,294.38,2003477
2026-06-15,308.0,315.48,308.0,313.67,3049001
2026-06-16,316.0,319.45,311.99,312.84,1880501
2026-06-17,311.01,317.0,300.83,301.47,2226366
2026-06-18,310.56,315.91,308.1,312.51,3662798
2026-06-22,311.225,315.47,307.65,309.36,2057370
2026-06-23,291.99,310.94,279.23,309.53,4334301
2026-06-24,315.04,328.56,312.01,320.95,2304985
2026-06-25,322.18,333.39,319.01,322.65,1655814
2026-06-26,321.59,327.33,317.99,318.13,7234614
2026-06-29,319.0,326.86,316.4701,321.44,2071492
2026-06-30,319.52,321.0,314.43,317.53,2126067
2026-07-01,317.62,320.29,306.28,306.3,2184516
2026-07-02,307.0,310.955,293.47,296.3,2125579
2026-07-06,295.99,299.0,285.33,287.78,2147957
2026-07-07,286.01,289.1078,277.8,282.26,2665197
2026-07-08,279.75,283.2399,278.0,280.95,2232570
2026-07-09,283.33,290.84,282.77,288.08,1504760
2026-07-10,290.01,290.63,284.3,285.37,1150152
2026-07-13,286.14,299.75,284.92,288.61,3616001
2026-07-14,286.35,290.0,282.63,283.09,2263345
2026-07-15,287.1,296.95,283.54,292.17,2197997
2026-07-16,291.4,295.0,288.06,293.95,1795353
2026-07-17,286.41,292.74,285.13,286.96,2357457
