date,open,high,low,close,volume
2025-09-02,219.98,223.44,213.15,220.06,4639979
2025-09-03,226.28,239.37,218.7,223.14,8426761
2025-09-04,225.0,234.38,223.5,232.11,4269990
2025-09-05,234.0,241.18,230.24,240.0,5567611
2025-09-08,245.09,246.99,229.86,229.98,5949183
2025-09-09,235.35,240.3,232.05,240.2,3655873
2025-09-10,245.14,261.1273,244.845,259.03,7445754
2025-09-11,260.57,266.6395,257.45,260.54,3726896
2025-09-12,262.22,266.15,251.19,254.29,3683657
2025-09-15,256.66,265.54,255.42,263.64,4584343
2025-09-16,265.075,268.15,260.5,266.66,3671286
2025-09-17,263.1,270.36,249.22,266.47,10028730
2025-09-18,271.99,282.95,269.92,270.71,6843943
2025-09-19,270.5,271.99,251.5,264.48,11586080
2025-09-22,257.45,262.99,253.34,257.56,5281151
2025-09-23,255.575,255.78,235.85,237.45,8042236
2025-09-24,241.51,244.0,234.89,235.69,4821560
2025-09-25,228.15,236.52,223.5,232.75,4646075
2025-09-26,234.08,240.61,231.2379,240.11,3280330
2025-09-29,244.804,246.43,239.3,241.98,3784584
2025-09-30,240.335,240.99,225.09,229.99,4885384
2025-10-01,213.0,218.319,202.26,202.6,15773950
2025-10-02,206.85,209.0,198.8,200.92,7759210
2025-10-03,212.02,213.38,205.41,207.2,8463205
2025-10-06,207.3,211.15,198.87,203.63,4985092
2025-10-07,206.24,209.7364,202.5071,205.92,3706730
2025-10-08,206.225,206.225,195.01,202.29,6644149
2025-10-09,203.25,212.34,199.38,211.7,5196443
2025-10-10,214.4,214.4,198.0,198.55,5568990
2025-10-13,201.89,204.7085,197.85,203.68,2942264
2025-10-14,199.925,205.52,194.77,196.35,3826450
2025-10-15,201.36,203.8638,196.8,200.76,2697387
2025-10-16,202.54,203.88,196.0,198.97,3036135
2025-10-17,195.16,200.5999,189.02,194.95,4531453
2025-10-20,201.0,211.11,200.65,202.48,6314955
2025-10-21,207.52,208.0,203.01,205.71,4186027
2025-10-22,204.03,205.0,191.28,197.05,5863525
2025-10-23,201.0,205.32,200.37,200.82,2798175
2025-10-24,206.02,215.94,205.1213,214.2,6280385
2025-10-27,219.7,224.75,216.5417,219.24,4888247
2025-10-28,222.22,222.22,212.75,212.97,4564973
2025-10-29,211.27,214.13,204.7501,210.77,4374596
2025-10-30,209.41,209.4702,193.81,194.42,12953270
2025-10-31,219.2,230.97,208.41,208.95,17708310
2025-11-03,211.06,214.25,199.1125,204.98,8198719
2025-11-04,199.19,199.69,187.4,187.77,8202421
2025-11-05,187.78,199.3,186.3601,196.27,5074567
2025-11-06,195.985,196.7023,182.74,183.64,4918877
2025-11-07,178.0,195.16,173.56,194.58,6446711
2025-11-10,200.03,208.28,198.3401,204.19,4657076
2025-11-11,201.94,211.08,201.34,208.21,3861782
2025-11-12,208.85,213.0,200.08,202.82,3168008
2025-11-13,201.775,201.96,185.44,189.42,5213307
2025-11-14,186.405,198.59,183.8,193.31,4284859
2025-11-17,191.34,194.3399,185.25,187.55,2598440
2025-11-18,184.18,189.5,180.89,185.69,3722343
2025-11-19,185.69,192.45,185.21,187.78,2728451
2025-11-20,192.955,195.48,178.2448,181.88,5161269
2025-11-21,185.04,190.15,180.01,183.48,4009229
2025-11-24,186.6,195.69,184.78,195.0,5268047
2025-11-25,198.0,219.8,196.57,218.48,7751496
2025-11-26,216.0,220.7642,207.29,207.56,4680879
2025-11-28,209.15,218.0,207.34,216.47,2388670
2025-12-01,211.72,226.25,211.5,223.4,4819797
2025-12-02,224.69,231.51,221.72,222.76,3445339
2025-12-03,222.66,225.82,220.0,220.84,2706064
2025-12-04,222.19,225.87,215.0,222.75,3493497
2025-12-05,225.15,237.59,224.175,234.11,6141274
2025-12-08,230.0,238.2,225.26,236.95,3685849
2025-12-09,230.85,237.5,229.55,236.11,2791563
2025-12-10,235.3,240.18,231.47,238.11,3816555
2025-12-11,235.54,238.0,227.2971,233.54,4386042
2025-12-12,233.06,237.4,222.85,224.78,4932169
2025-12-15,222.045,225.77,213.35,218.5,5415763
2025-12-16,215.264,224.63,215.264,224.0,4332179
2025-12-17,226.83,235.42,226.83,227.34,5721755
2025-12-18,232.82,246.15,229.4544,231.34,6060380
2025-12-19,235.85,239.44,230.99,233.19,5942860
