date,open,high,low,close,volume
2025-09-02,18.42,19.17,18.3352,18.92,4514748
2025-09-03,18.81,19.46,18.68,19.45,3083765
2025-09-04,19.3,19.72,19.01,19.68,3558893
2025-09-05,19.7,20.03,19.29,19.49,2834131
2025-09-08,19.62,19.945,19.525,19.93,3935233
2025-09-09,20.33,20.995,20.12,20.25,3366976
2025-09-10,20.01,20.115,18.86,18.87,4959843
2025-09-11,18.85,19.12,18.32,18.64,3132348
2025-09-12,18.51,18.625,18.1,18.16,1852961
2025-09-15,17.87,17.91,16.64,16.67,5349724
2025-09-16,16.67,17.39,16.66,17.2,4147776
2025-09-17,17.13,17.51,17.13,17.43,2894226
2025-09-18,17.51,17.58,17.2235,17.31,2892745
2025-09-19,17.36,17.4,17.095,17.11,4933117
2025-09-22,17.11,17.25,16.73,17.04,3357976
2025-09-23,17.01,17.05,16.35,16.62,3559816
2025-09-24,16.7,16.9647,16.27,16.29,3953104
2025-09-25,16.25,16.47,16.14,16.25,3865019
2025-09-26,16.24,16.43,16.04,16.4,2665468
2025-09-29,16.49,16.7418,16.44,16.52,3252149
2025-09-30,16.47,16.55,16.18,16.3,2435619
2025-10-01,16.2,16.37,16.04,16.18,1998189
2025-10-02,16.16,16.32,15.94,16.08,2273517
2025-10-03,16.12,16.27,16.01,16.04,1978566
2025-10-06,16.27,16.27,15.69,15.72,3048782
2025-10-07,15.86,15.99,15.72,15.83,2404021
2025-10-08,15.85,15.955,15.65,15.92,2438723
2025-10-09,15.93,15.93,15.4425,15.48,2271572
2025-10-10,15.52,15.66,14.96,14.99,2290963
2025-10-13,15.105,15.15,14.76,14.85,2572951
2025-10-14,14.8,15.32,14.72,15.31,2472321
2025-10-15,15.35,16.13,15.34,15.48,3959793
2025-10-16,15.5,15.5899,15.2,15.3,2682287
2025-10-17,15.23,15.6098,15.23,15.585,2904414
2025-10-20,15.71,16.189,15.7,16.03,3871324
2025-10-21,16.16,16.555,16.16,16.54,3050341
2025-10-22,16.61,16.76,16.39,16.7,3375921
2025-10-23,16.7,17.065,16.64,16.96,2792395
2025-10-24,17.23,17.5,17.15,17.2,2888777
2025-10-27,17.36,17.55,16.91,16.95,3488367
2025-10-28,16.95,17.04,16.57,16.64,3083068
2025-10-29,16.47,16.55,16.18,16.28,2906291
2025-10-30,16.28,16.41,15.75,15.77,2171796
2025-10-31,15.77,16.11,15.77,16.04,3079363
2025-11-03,16.1,16.595,16.04,16.46,3654461
2025-11-04,16.44,16.52,16.12,16.18,4369755
2025-11-05,16.47,16.75,16.13,16.44,5688019
2025-11-06,13.34,13.46,12.205,12.31,23385830
2025-11-07,12.35,12.92,12.165,12.71,10414240
2025-11-10,12.87,13.13,12.505,12.66,6397694
2025-11-11,12.64,12.77,12.125,12.49,5589808
2025-11-12,12.47,12.67,12.18,12.2,4771288
2025-11-13,12.23,12.575,12.13,12.49,5568182
2025-11-14,12.315,12.655,12.08,12.41,4228667
2025-11-17,12.52,12.82,12.46,12.6,4517990
2025-11-18,12.52,12.99,12.52,12.8,5186967
2025-11-19,12.78,12.88,12.5,12.61,3329566
2025-11-20,12.775,12.84,12.35,12.4,4390318
2025-11-21,12.42,12.6652,12.31,12.49,3532722
2025-11-24,12.47,12.615,12.33,12.49,2813568
2025-11-25,12.5,12.985,12.45,12.95,4033427
2025-11-26,12.95,13.395,12.92,13.35,2350512
2025-11-28,13.35,13.585,13.35,13.545,1244267
2025-12-01,13.35,13.51,13.1618,13.23,2682490
2025-12-02,13.23,13.35,12.88,12.93,2536200
2025-12-03,13.0,13.455,12.99,13.31,3174016
2025-12-04,13.39,13.465,13.18,13.45,1947681
2025-12-05,13.38,13.79,13.37,13.43,2831950
2025-12-08,13.51,13.615,13.32,13.51,3817577
2025-12-09,13.65,14.25,13.605,14.15,6824350
2025-12-10,14.19,15.39,14.19,15.23,7044331
2025-12-11,15.2,15.77,14.835,14.94,5178584
2025-12-12,14.99,15.0815,14.65,14.65,2884852
2025-12-15,14.65,14.7,14.385,14.5,2547266
2025-12-16,14.51,14.64,13.95,14.09,2470846
2025-12-17,14.1,14.575,14.05,14.46,2648446
2025-12-18,14.52,14.78,14.5,14.52,1809818
2025-12-19,14.61,14.715,14.43,14.62,3321180
2025-12-22,14.57,14.86,14.54,14.62,1850959
2025-12-23,14.61,14.69,14.285,14.43,2367012
2025-12-24,14.5,14.5,14.26,14.3,1102501
2025-12-26,14.28,14.39,14.075,14.23,1908984
2025-12-29,14.23,14.39,13.96,14.05,2343317
2025-12-30,14.05,14.05,13.765,13.86,2234580
2025-12-31,13.86,13.925,13.725,13.8,2045420
2026-01-02,13.85,13.88,13.11,13.22,3759705
2026-01-05,13.23,13.455,13.1,13.11,3906947
2026-01-06,13.11,13.51,13.01,13.48,3150011
2026-01-07,13.5,13.725,13.42,13.62,2193590
2026-01-08,13.6,13.81,13.39,13.63,2042878
2026-01-09,13.66,13.88,13.58,13.74,2840570
2026-01-12,13.686,13.72,13.25,13.27,3242017
2026-01-13,13.29,13.48,13.06,13.29,3054856
2026-01-14,13.31,13.545,13.21,13.52,2441114
2026-01-15,13.47,13.9,13.26,13.79,2416858
2026-01-16,13.86,14.005,13.65,13.75,2417966
2026-01-20,13.65,13.79,13.47,13.66,3684525
2026-01-21,13.72,14.19,13.7,14.15,2723567
2026-01-22,14.2,14.48,14.2,14.28,2845557
2026-01-23,14.3,14.32,13.98,14.17,2257670
2026-01-26,14.15,14.4558,14.02,14.39,3454784
2026-01-27,14.41,14.45,13.725,13.84,3181346
2026-01-28,13.95,13.97,13.61,13.61,3009187
2026-01-29,13.6,13.68,13.31,13.41,3254305
2026-01-30,13.36,13.565,13.2,13.22,2769486
2026-02-02,13.21,13.645,13.0,13.33,3222127
2026-02-03,13.248,13.248,12.1,12.37,5088606
2026-02-04,12.35,12.97,12.21,12.87,3453751
