date,open,high,low,close,volume
2025-09-02,26.77,26.9199,26.57,26.89,19564550
2025-09-03,26.84,27.135,26.5642,26.94,18485880
2025-09-04,27.07,27.365,26.9,27.36,17124580
2025-09-05,27.39,27.605,26.84,27.03,17502340
2025-09-08,27.11,27.11,26.675,27.04,19666470
2025-09-09,27.0,27.28,26.65,26.82,21555980
2025-09-10,26.98,27.235,26.75,27.04,20332360
2025-09-11,27.06,27.18,26.865,27.04,18682180
2025-09-12,27.02,27.295,26.9,27.16,17753390
2025-09-15,27.2,27.2257,26.815,26.9,18593150
2025-09-16,26.95,26.95,26.24,26.56,16191780
2025-09-17,26.63,27.38,26.57,26.93,20749860
2025-09-18,26.91,27.46,26.765,27.4,18314950
2025-09-19,27.4,27.45,27.101,27.16,32203240
2025-09-22,27.0,27.095,26.51,26.56,18542180
2025-09-23,26.69,27.1678,26.6,26.73,18053800
2025-09-24,26.74,26.89,26.4,26.66,17567500
2025-09-25,26.54,26.7156,26.37,26.6,13320320
2025-09-26,26.75,26.98,26.595,26.63,17473780
2025-09-29,26.72,26.78,26.2,26.5,23658320
2025-09-30,26.62,26.715,25.9,26.37,22620400
2025-10-01,26.3,26.4466,26.08,26.21,21412750
2025-10-02,26.12,26.28,25.89,26.2,20726130
2025-10-03,26.31,26.565,26.23,26.39,21006640
2025-10-06,26.46,26.87,25.81,25.86,28172210
2025-10-07,25.99,26.155,25.72,25.73,24422210
2025-10-08,25.81,25.84,25.27,25.29,20149540
2025-10-09,25.42,25.61,25.16,25.31,24114990
2025-10-10,25.43,25.44,24.14,24.16,17838910
2025-10-13,24.58,24.7071,24.265,24.56,34952930
2025-10-14,24.32,25.3,24.27,25.16,45545250
2025-10-15,25.29,25.31,24.5801,24.74,35798860
2025-10-16,24.7,24.78,23.145,23.35,56001780
2025-10-17,23.65,24.0368,22.7,23.58,47515930
2025-10-20,23.78,24.14,23.655,24.06,51485490
2025-10-21,23.89,24.4977,23.89,24.36,52041570
2025-10-22,24.35,24.46,24.0,24.11,62396120
2025-10-23,24.16,24.27,23.96,24.1,44692750
2025-10-24,24.4,24.64,24.29,24.57,58105410
2025-10-27,24.66,24.7,23.99,24.24,49146550
2025-10-28,24.17,24.45,24.03,24.27,52778870
2025-10-29,24.06,24.5,23.905,24.07,32437830
2025-10-30,24.1,24.645,24.07,24.2,30640140
2025-10-31,24.04,24.295,23.86,24.2,23296940
2025-11-03,24.08,24.245,23.87,24.24,23508250
2025-11-04,24.08,24.3,23.91,24.15,20686720
2025-11-05,24.15,24.5,23.89,24.38,23884400
2025-11-06,24.34,24.55,24.0101,24.31,23956420
2025-11-07,24.23,24.8599,24.16,24.85,30064990
2025-11-10,25.0,25.205,24.735,25.04,23496430
2025-11-11,25.09,25.2953,24.85,25.06,17758800
2025-11-12,25.13,25.69,25.07,25.39,16884490
2025-11-13,25.26,25.42,24.94,24.96,16272550
2025-11-14,24.86,25.04,24.595,24.96,14510620
2025-11-17,24.92,24.98,24.165,24.3,15588280
2025-11-18,24.0,24.3,23.59,24.18,23727100
2025-11-19,24.17,24.4,24.06,24.22,15745700
2025-11-20,24.5,24.745,24.03,24.1,16512710
2025-11-21,24.24,25.085,24.23,24.91,14122070
2025-11-24,24.88,24.965,24.645,24.85,11537800
2025-11-25,25.08,25.55,25.01,25.42,10966600
2025-11-26,25.37,25.68,25.31,25.45,10417490
2025-11-28,25.46,25.59,25.425,25.45,3895153
2025-12-01,24.995,25.6855,24.8802,25.33,12005070
2025-12-02,25.51,25.615,25.305,25.41,9854162
2025-12-03,25.49,26.24,25.41,26.2,12200610
2025-12-04,26.17,26.625,26.09,26.41,9766600
2025-12-05,26.28,26.56,26.18,26.28,9895701
2025-12-08,26.36,26.495,26.1745,26.34,10204250
2025-12-09,26.28,26.79,26.28,26.44,10824400
2025-12-10,26.72,27.485,26.53,27.38,15523460
2025-12-11,27.35,27.95,27.3,27.84,11867120
2025-12-12,27.98,27.98,27.48,27.6,8719084
2025-12-15,27.9,27.97,27.375,27.39,12464050
2025-12-16,27.49,27.625,27.21,27.51,10908660
2025-12-17,27.63,27.865,27.53,27.57,12468930
2025-12-18,27.64,27.945,27.285,27.49,13741140
2025-12-19,27.49,27.72,27.45,27.66,20038750
2025-12-22,27.65,27.975,27.645,27.82,6718404
2025-12-23,27.8,27.86,27.52,27.55,7041383
2025-12-24,27.63,27.855,27.47,27.73,4768808
2025-12-26,27.73,27.835,27.63,27.79,5004421
2025-12-29,27.85,27.86,27.52,27.55,5765974
2025-12-30,27.63,27.63,27.31,27.32,5142866
2025-12-31,27.37,27.37,27.09,27.1,6220040
2026-01-02,27.09,27.67,26.81,27.56,10729820
2026-01-05,27.55,28.426,27.481,28.27,19793700
2026-01-06,28.07,28.755,27.98,28.71,15593740
2026-01-07,28.68,28.76,28.3,28.46,14499280
2026-01-08,28.39,29.255,28.34,28.84,14661290
2026-01-09,28.92,29.08,28.51,28.52,10426250
2026-01-12,28.28,28.4654,28.06,28.26,12024220
2026-01-13,28.32,28.45,27.775,27.84,14122190
2026-01-14,27.76,28.33,27.5803,28.14,14758140
2026-01-15,28.26,28.61,28.175,28.52,15745920
2026-01-16,27.65,28.06,27.3406,27.77,30172720
2026-01-20,27.3,28.1,27.25,27.63,20403080
2026-01-21,27.76,28.93,27.7,28.65,18288010
2026-01-22,28.73,28.9858,28.205,28.29,18186950
2026-01-23,28.12,28.22,27.445,27.48,11166270
2026-01-26,27.54,27.865,27.25,27.74,13484330
2026-01-27,27.81,27.9496,27.65,27.87,11724720
2026-01-28,27.86,27.99,27.59,27.86,13515630
2026-01-29,28.0,28.58,27.965,28.46,21691460
2026-01-30,28.39,28.67,28.17,28.5,19274420
2026-02-02,28.57,29.14,28.355,29.12,13285780
2026-02-03,29.18,29.885,29.13,29.83,18509370
2026-02-04,30.0,30.84,29.79,30.44,18101540
2026-02-05,30.34,30.53,29.955,30.5,15984370
2026-02-06,30.93,31.17,30.67,30.93,10975850
2026-02-09,30.81,31.13,30.55,30.76,8744973
2026-02-10,30.7,31.065,30.35,30.82,10145530
2026-02-11,30.99,31.32,30.43,30.95,15583590
2026-02-12,31.22,31.53,29.46,29.78,18718240
2026-02-13,29.46,29.915,29.295,29.74,11073890
2026-02-17,29.97,30.27,29.64,29.78,10232640
2026-02-18,29.87,30.295,29.75,30.06,11337460
2026-02-19,29.81,30.015,29.42,29.72,12017440
2026-02-20,29.71,30.095,29.335,30.06,14965310
2026-02-23,29.86,30.16,28.485,28.71,14377320
2026-02-24,28.63,28.845,28.28,28.44,15307130
2026-02-25,28.71,29.12,28.59,29.0,15999710
2026-02-26,29.12,29.67,29.06,29.36,13209730
2026-02-27,28.895,28.9875,27.605,27.83,21072070
2026-03-02,27.06,28.2,27.06,27.97,13054960
2026-03-03,27.3,28.035,27.1,27.74,13561730
2026-03-04,27.93,27.95,27.53,27.83,10896920
2026-03-05,27.66,27.835,27.4199,27.74,14578950
2026-03-06,26.83,27.145,26.49,27.04,13960650
2026-03-09,26.57,27.085,26.06,26.96,19249780
2026-03-10,26.98,27.33,26.62,26.76,13793650
2026-03-11,26.7,26.79,25.59,26.21,18771670
2026-03-12,25.705,25.76,25.225,25.32,24667810
2026-03-13,25.53,25.64,24.92,25.0,14115980
2026-03-16,25.455,25.645,25.275,25.33,15486450
2026-03-17,25.7,25.73,25.29,25.45,11108090
2026-03-18,25.37,25.625,25.12,25.2,9700973
2026-03-19,25.12,25.39,24.72,25.21,12259800
