date,open,high,low,close,volume
2025-09-02,13.91,14.1315,12.0108,12.85,498304
2025-09-03,13.2,13.9,13.03,13.82,311086
2025-09-04,13.5,13.82,12.4101,12.84,291578
2025-09-05,13.4,13.4,12.9,13.26,195526
2025-09-08,13.18,13.75,13.03,13.43,177099
2025-09-09,13.15,13.68,12.705,13.57,222875
2025-09-10,13.5,13.57,13.2687,13.31,310305
2025-09-11,13.22,13.57,13.0569,13.45,103112
2025-09-12,13.28,14.97,13.28,14.7,435575
2025-09-15,15.0,15.25,14.2,14.35,172665
2025-09-16,14.08,14.5,14.08,14.31,73004
2025-09-17,14.6,15.73,14.44,15.6,454163
2025-09-18,15.51,15.6,14.9,15.15,122718
2025-09-19,15.15,15.8,15.12,15.64,204069
2025-09-22,15.7,15.7,14.75,15.44,163456
2025-09-23,15.44,15.44,14.67,14.75,122432
2025-09-24,15.0,15.03,14.5,14.58,146338
2025-09-25,15.48,15.9,13.58,15.14,259183
2025-09-26,15.0,15.36,14.935,15.1,64526
2025-09-29,15.12,16.39,14.96,16.39,296421
2025-09-30,15.8,16.35,15.45,15.45,114757
2025-10-01,15.35,16.0,15.29,15.83,140986
2025-10-02,16.31,16.81,15.8,16.15,210953
2025-10-03,16.2,17.2,16.2,17.1,230490
2025-10-06,17.1,17.38,16.5482,17.25,148354
2025-10-07,17.97,21.7499,17.4,20.05,837583
2025-10-08,20.0,20.0,18.21,19.4,440489
2025-10-09,19.5,19.8,18.44,18.44,129944
2025-10-10,18.38,18.81,16.51,16.81,244244
2025-10-13,16.77,18.18,16.3287,17.99,257941
2025-10-14,17.0,17.71,16.62,17.22,132830
2025-10-15,17.4,19.3,17.25,18.76,338407
2025-10-16,18.14,19.0,17.81,17.95,124992
2025-10-17,17.73,18.0951,17.3111,17.41,72975
2025-10-20,17.5,17.88,16.0,16.96,193101
2025-10-21,16.96,17.4899,16.03,16.03,137603
2025-10-22,16.0,16.3,15.0501,15.75,195888
2025-10-23,15.55,16.38,15.2,16.02,98747
2025-10-24,16.28,16.3598,15.8304,15.9,59398
2025-10-27,17.19,17.19,16.37,16.51,129970
2025-10-28,16.5,17.45,16.3,17.28,76537
2025-10-29,17.23,17.2455,16.37,16.61,107251
