date,open,high,low,close,volume
2025-09-02,181.08,184.11,179.0,182.97,939647
2025-09-03,184.34,185.3838,179.82,180.91,913776
2025-09-04,179.14,181.095,177.62,180.46,558412
2025-09-05,183.38,185.68,181.1,184.86,947967
2025-09-08,187.61,187.91,185.135,186.43,784906
2025-09-09,187.03,187.84,183.85,185.01,723939
2025-09-10,185.4,188.395,185.255,186.18,627097
2025-09-11,184.8,189.2,184.2,189.19,603867
2025-09-12,189.955,191.13,187.8267,189.32,616647
2025-09-15,190.48,195.86,189.275,195.43,1133927
2025-09-16,196.0,196.0,190.465,190.59,946172
2025-09-17,189.39,192.11,186.66,188.1,993733
2025-09-18,186.25,188.14,183.58,188.02,812658
2025-09-19,187.66,192.66,186.4,191.67,4324435
2025-09-22,195.0,195.31,188.45,191.52,1352056
2025-09-23,192.92,194.76,191.65,191.92,930655
2025-09-24,191.91,193.31,189.05,189.46,751538
2025-09-25,189.91,193.56,188.95,193.11,1129980
2025-09-26,193.4,198.125,193.085,196.71,1285714
2025-09-29,200.0,200.9999,196.33,198.5,1142457
2025-09-30,197.29,202.38,195.48,200.58,983991
2025-10-01,201.5,203.18,197.71,200.09,1084858
2025-10-02,201.01,202.0,193.21,199.03,1006633
2025-10-03,199.7,200.9,198.16,200.34,992229
2025-10-06,203.33,205.9,202.795,203.57,1031994
2025-10-07,204.41,204.88,196.73,197.985,1194111
2025-10-08,201.66,205.39,198.39,205.23,1115964
2025-10-09,206.0,206.4918,190.51,192.73,1257042
2025-10-10,193.59,195.67,192.16,194.47,852241
2025-10-13,198.77,201.105,196.5601,199.47,783022
2025-10-14,197.97,204.08,196.305,199.68,1344757
2025-10-15,202.01,203.775,199.79,202.24,1346568
2025-10-16,202.64,209.42,201.96,206.65,1587958
2025-10-17,203.4,203.98,193.08,193.76,6041181
2025-10-20,196.65,199.16,193.84,194.12,1836998
2025-10-21,185.75,188.0,183.14,184.64,1862375
2025-10-22,180.26,186.349,179.6,183.58,1569421
