date,open,high,low,close,volume
2025-09-02,15.835,16.03,14.765,15.52,64148940
2025-09-03,15.595,15.81,14.935,15.04,27360080
2025-09-04,15.23,15.67,14.89,15.12,29216770
2025-09-05,15.39,15.655,14.47,15.1,33450090
2025-09-08,15.21,15.49,14.98,15.15,24957120
2025-09-09,15.25,16.69,15.09,16.5,45080750
2025-09-10,16.385,16.62,16.1,16.19,32877270
2025-09-11,16.15,17.0,16.04,16.69,38165240
2025-09-12,16.78,20.125,16.66,19.09,112179000
2025-09-15,19.075,19.7199,18.665,19.21,43217050
2025-09-16,19.4,20.3,18.9201,20.0,43946760
2025-09-17,20.07,22.13,19.82,21.99,77851250
2025-09-18,22.875,26.21,22.4,24.74,113908000
2025-09-19,24.78,29.09,24.725,28.52,127847900
2025-09-22,26.33,29.59,25.5,28.37,87217890
2025-09-23,29.39,32.4,28.8407,31.46,103564700
2025-09-24,32.68,34.4,29.71,31.64,141839200
2025-09-25,29.815,32.83,28.78,32.1,129306900
2025-09-26,32.155,33.98,30.74,31.18,100109900
2025-09-29,31.83,32.535,28.45,29.65,95487600
2025-09-30,29.22,30.6239,28.97,29.79,72038340
2025-10-01,29.1,31.39,28.65,29.85,84797290
2025-10-02,30.67,35.81,30.46,35.4,146006200
2025-10-03,36.99,40.63,35.75,40.06,155531200
2025-10-06,38.805,43.1099,38.367,41.71,110767900
2025-10-07,43.65,46.18,40.71,43.91,174843700
2025-10-08,44.26,48.23,41.46,43.23,166627500
2025-10-09,43.34,48.22,42.89,47.11,155458400
2025-10-10,47.83,49.13,43.89,43.92,138979700
2025-10-13,46.46,55.23,46.37,54.91,181160700
2025-10-14,54.845,58.1501,50.0,56.12,148012800
2025-10-15,57.88,57.97,50.5,56.34,136181800
2025-10-16,54.695,55.16,46.87,47.97,138635900
2025-10-17,44.66,48.25,43.65,46.38,112310500
2025-10-20,47.48,47.78,42.18,43.31,87195170
2025-10-21,42.52,43.6,39.05,40.0,82535100
2025-10-22,38.52,39.72,34.14,36.06,114958400
2025-10-23,40.38,41.96,37.66,39.595,164337700
2025-10-24,41.25,43.46,38.695,38.84,87712800
