date,open,high,low,close,volume
2025-09-02,97.95,98.53,96.6188,98.36,478496
2025-09-03,98.32,99.98,98.19,99.87,602612
2025-09-04,100.46,101.04,99.62,100.9,767039
2025-09-05,100.9,102.34,100.52,100.78,527084
2025-09-08,100.79,101.02,99.21,100.46,757524
2025-09-09,100.03,100.03,98.165,98.87,617131
2025-09-10,98.68,101.345,98.65,100.56,647834
2025-09-11,100.76,102.24,100.7,100.74,525071
2025-09-12,100.25,100.805,99.62,100.17,659088
2025-09-15,100.33,100.735,99.13,99.29,549874
2025-09-16,99.6,100.13,97.51,98.89,540112
2025-09-17,99.03,99.69,96.27,96.46,871743
2025-09-18,96.82,98.28,96.57,97.39,594838
2025-09-19,96.94,97.15,95.41,95.54,1737751
2025-09-22,95.34,95.52,93.91,93.95,561994
2025-09-23,93.91,95.395,93.24,94.39,355678
2025-09-24,94.03,94.915,92.91,93.2,441826
2025-09-25,93.27,93.27,91.77,92.03,552317
2025-09-26,92.0,93.24,91.14,92.72,468005
2025-09-29,92.76,93.8,91.7,92.61,345797
2025-09-30,91.34,91.355,88.76,89.59,551043
2025-10-01,89.22,90.32,88.685,89.38,510114
2025-10-02,89.42,90.425,89.03,90.15,637125
2025-10-03,90.22,91.9,90.22,90.97,664483
2025-10-06,91.21,91.695,89.49,89.9,1239728
2025-10-07,90.0,90.51,88.359,88.62,602626
2025-10-08,89.03,89.48,87.97,88.64,330497
2025-10-09,88.84,89.0011,87.66,88.86,524832
2025-10-10,89.36,89.94,86.49,86.74,625140
2025-10-13,87.34,89.13,86.35,88.89,911450
2025-10-14,87.69,89.823,87.33,89.67,528411
2025-10-15,90.0,91.335,89.49,90.4,452786
2025-10-16,90.36,90.5,88.23,88.25,697113
2025-10-17,87.96,88.93,87.485,88.53,473152
2025-10-20,89.01,89.4,86.96,88.27,532268
2025-10-21,88.43,89.89,88.1485,89.21,507369
2025-10-22,88.96,91.09,88.96,89.32,440668
2025-10-23,89.16,89.385,87.37,87.37,501438
2025-10-24,88.06,88.35,86.6601,87.15,631042
2025-10-27,87.3,89.24,87.26,87.5,590205
2025-10-28,87.07,87.36,86.11,86.47,329446
2025-10-29,85.56,87.95,85.36,86.65,606186
2025-10-30,86.21,87.5,85.82,85.91,425130
2025-10-31,85.34,87.27,83.82,86.91,962472
2025-11-03,86.04,88.77,85.07,88.75,908639
2025-11-04,89.1,91.4,88.11,90.23,1036332
2025-11-05,90.21,93.37,89.89,92.27,965620
2025-11-06,92.15,93.42,91.33,91.58,860844
2025-11-07,91.87,94.39,90.79,93.79,789035
2025-11-10,93.9,95.84,93.16,94.84,567758
2025-11-11,95.14,96.05,94.18,94.77,467652
2025-11-12,94.66,96.07,94.38,94.41,495694
