date,open,high,low,close,volume
2025-09-02,13.3,13.95,12.98,13.87,51257820
2025-09-03,13.9,15.03,13.85,14.44,77654660
2025-09-04,14.36,14.37,13.38,13.7,82734020
2025-09-05,13.74,14.57,13.66,14.21,87135060
2025-09-08,14.235,14.325,13.82,13.99,54560680
2025-09-09,14.0,14.2,13.685,13.94,30599720
2025-09-10,13.94,14.27,13.7301,13.91,32445360
2025-09-11,13.97,14.63,13.95,13.97,40471660
2025-09-12,14.0,14.04,12.57,13.46,67199610
2025-09-15,13.63,13.77,13.38,13.6,30818500
2025-09-16,13.77,14.65,13.73,14.32,62422900
2025-09-17,14.385,14.63,13.96,14.11,47865900
2025-09-18,14.29,14.94,14.0737,14.68,48669520
2025-09-19,14.72,14.77,14.02,14.38,68671940
2025-09-22,14.305,15.43,14.11,15.24,74244720
2025-09-23,15.245,15.7,14.99,15.53,53832610
2025-09-24,15.51,15.95,15.0638,15.79,50644530
2025-09-25,15.5,16.05,15.14,15.74,44793640
2025-09-26,15.81,16.17,15.57,15.59,36800670
2025-09-29,15.75,15.79,15.0,15.25,46005200
2025-09-30,15.25,15.51,14.55,14.68,48572380
2025-10-01,14.785,15.06,14.59,14.61,27345900
2025-10-02,14.13,14.15,13.21,13.53,75952420
2025-10-03,13.525,13.7299,13.22,13.65,45879650
2025-10-06,13.73,13.9,13.46,13.5,29514120
2025-10-07,13.53,13.72,13.23,13.26,31710990
2025-10-08,13.28,13.4001,13.05,13.13,26798630
2025-10-09,13.08,13.17,12.86,13.09,27776370
2025-10-10,13.12,13.2,12.67,12.8,25834720
2025-10-13,12.99,13.12,12.8,13.06,21988840
2025-10-14,12.86,13.27,12.61,13.12,25298060
2025-10-15,13.25,13.6377,13.185,13.41,36082910
2025-10-16,13.42,13.42,12.81,12.91,28327490
2025-10-17,12.9,13.215,12.87,13.03,24003760
2025-10-20,12.8,13.15,12.66,13.08,35626610
2025-10-21,13.07,13.56,12.9,13.2,27959920
2025-10-22,13.09,13.25,12.72,12.92,41848610
2025-10-23,12.77,13.19,12.71,13.09,26000490
2025-10-24,13.215,13.27,12.935,12.98,28316100
2025-10-27,13.17,13.665,12.97,13.41,48280810
2025-10-28,13.41,13.63,13.21,13.5,41866270
2025-10-29,13.5,13.88,13.45,13.71,34922240
2025-10-30,13.55,13.58,12.99,12.99,39850380
2025-10-31,13.08,13.59,12.895,13.57,44821430
2025-11-03,13.55,13.59,13.155,13.19,38765460
2025-11-04,12.96,12.98,12.39,12.5,55207840
2025-11-05,13.335,15.85,13.26,15.42,197650600
2025-11-06,15.26,15.61,14.48,15.22,88735330
2025-11-07,15.06,15.375,14.25,15.23,65782100
2025-11-10,15.54,16.75,15.01,16.41,104369900
2025-11-11,16.38,18.13,16.2,18.02,109217400
2025-11-12,17.555,17.71,16.4,17.52,72372110
2025-11-13,17.24,17.71,16.2101,16.39,58775060
2025-11-14,15.7,15.87,15.07,15.11,60069180
2025-11-17,15.01,15.24,14.53,14.87,58303190
2025-11-18,14.68,15.33,14.4,14.99,40761540
2025-11-19,14.83,14.93,14.33,14.72,51911050
2025-11-20,14.935,15.63,14.59,14.66,45539370
2025-11-21,14.735,15.12,13.95,14.86,40498560
2025-11-24,15.03,15.25,14.68,15.17,42345110
2025-11-25,15.115,15.665,14.895,15.56,30087730
2025-11-26,15.61,16.48,15.5067,16.18,35451240
2025-11-28,16.39,17.055,16.26,16.86,18542970
2025-12-01,16.55,17.79,16.512,17.16,43380960
2025-12-02,17.23,17.67,17.04,17.23,34438890
2025-12-03,17.2,17.9,16.9,17.53,31993640
2025-12-04,17.61,18.17,17.37,18.06,39172100
2025-12-05,18.08,18.6,17.91,17.95,40574560
2025-12-08,17.565,17.71,17.04,17.61,41828700
2025-12-09,17.47,17.795,17.3701,17.71,21450730
2025-12-10,17.63,18.41,17.455,17.5,48017200
2025-12-11,17.415,17.415,15.73,16.43,97129750
2025-12-12,16.82,19.6,16.73,18.42,103734200
2025-12-15,18.61,19.58,18.37,18.7,64341010
2025-12-16,18.63,18.97,17.64,17.9,46207200
2025-12-17,18.1,18.4099,17.6,17.63,32172730
2025-12-18,18.26,20.33,18.26,20.28,67245360
2025-12-19,20.31,22.64,20.31,22.45,106165100
2025-12-22,22.47,22.69,21.625,21.75,38448530
2025-12-23,21.69,21.7,20.69,21.18,38763720
2025-12-24,21.11,21.485,20.83,21.13,10629610
2025-12-26,21.22,21.55,20.77,20.9,20503040
2025-12-29,20.64,21.04,20.33,20.67,20707560
2025-12-30,20.68,20.68,19.28,19.59,38607730
2025-12-31,19.62,19.915,19.3,19.71,21573790
2026-01-02,19.78,20.71,18.9,19.41,42740250
2026-01-05,19.47,20.0,19.16,19.59,31071490
2026-01-06,19.64,20.1,18.88,19.53,34687830
2026-01-07,19.46,20.58,18.69,20.06,42136830
2026-01-08,19.905,20.95,19.7,19.89,36672570
2026-01-09,19.945,20.17,19.035,19.22,32467370
2026-01-12,18.725,19.445,18.53,19.15,29279050
2026-01-13,19.1,19.15,18.645,18.85,24788360
2026-01-14,18.245,18.25,17.065,17.5,53011130
2026-01-15,17.48,17.57,16.875,17.06,29245360
2026-01-16,17.195,17.24,16.58,16.67,26924960
2026-01-20,16.225,16.3,15.86,16.16,29808090
2026-01-21,16.42,16.66,16.1,16.47,23601480
2026-01-22,16.53,16.98,16.22,16.32,20350030
2026-01-23,16.33,16.35,15.77,15.95,20442090
2026-01-26,15.821,15.88,15.56,15.75,17863770
2026-01-27,15.815,15.815,15.115,15.27,21218470
2026-01-28,15.43,15.495,15.13,15.2,19042100
2026-01-29,15.335,15.5551,14.8617,15.17,23474990
2026-01-30,15.1,15.27,14.5,14.75,25350730
2026-02-02,14.695,14.75,14.39,14.44,19269270
2026-02-03,14.45,14.8,13.92,14.41,25673270
2026-02-04,14.56,14.625,14.1,14.37,23370840
2026-02-05,14.11,14.34,13.58,13.73,29469090
2026-02-06,13.835,14.99,13.82,14.8,31308150
2026-02-09,14.82,15.095,14.33,14.69,31858830
2026-02-10,14.93,15.595,14.84,14.96,37616380
2026-02-11,15.16,15.24,14.315,14.76,27135470
2026-02-12,14.76,14.83,13.94,14.0,38024320
2026-02-13,17.77,18.48,16.4,17.73,127927300
2026-02-17,17.39,17.6599,16.38,16.47,55972060
2026-02-18,16.495,17.086,16.0732,16.15,30101660
2026-02-19,15.93,15.96,15.07,15.59,28703590
2026-02-20,15.335,15.42,15.01,15.27,20860450
2026-02-23,15.085,15.355,14.695,14.96,17459810
2026-02-24,15.095,15.35,14.735,15.12,21025340
2026-02-25,15.3,15.705,15.18,15.25,19283220
2026-02-26,15.18,15.77,15.13,15.61,23469660
2026-02-27,15.34,15.54,14.91,15.33,34214300
2026-03-02,15.0,15.22,14.7,15.01,20187660
2026-03-03,14.73,15.6,14.56,15.1,25283010
2026-03-04,14.98,15.335,14.835,14.92,23847610
2026-03-05,14.615,15.28,14.55,15.19,27696910
2026-03-06,14.82,15.62,14.8,15.37,24930230
2026-03-09,15.115,15.97,15.052,15.87,25666240
2026-03-10,16.7,17.555,16.5,16.54,51139300
2026-03-11,16.545,16.87,16.135,16.65,21360720
2026-03-12,16.6,16.79,15.24,15.3,37373870
2026-03-13,15.27,15.555,14.81,14.86,30983150
2026-03-16,15.035,15.45,14.85,15.33,25041510
2026-03-17,15.31,16.07,15.29,15.82,22536890
2026-03-18,15.65,16.038,15.5,15.53,19144740
2026-03-19,16.56,17.12,15.545,16.12,78928060
2026-03-20,15.96,16.05,14.81,14.91,51016920
2026-03-23,15.35,16.32,15.31,15.77,37347990
2026-03-24,15.472,16.13,15.365,16.1,19524060
2026-03-25,16.26,16.52,15.545,15.62,20330920
2026-03-26,15.42,15.6999,15.13,15.21,16862780
2026-03-27,15.18,15.2352,14.7,14.77,22351480
2026-03-30,14.9,14.9926,14.24,14.49,19715400
2026-03-31,14.56,15.16,14.43,15.05,24085930
2026-04-01,15.535,15.82,14.87,14.94,22177890
2026-04-02,14.94,15.48,14.62,15.4,20720120
2026-04-06,15.39,15.69,14.9,15.29,22766800
2026-04-07,15.1,15.2,14.425,14.69,27778890
2026-04-08,15.49,15.62,14.865,15.14,31904790
2026-04-09,15.04,15.43,14.865,15.24,16625040
2026-04-10,15.37,15.87,15.3,15.43,19334330
2026-04-13,15.4,15.99,15.25,15.9,22415830
2026-04-14,16.32,16.71,15.8,15.99,29182450
2026-04-15,16.01,16.49,15.905,16.41,23475220
2026-04-16,16.64,17.035,16.37,16.89,29131750
2026-04-17,17.115,17.775,17.09,17.23,32234690
2026-04-20,17.03,17.1499,16.7599,16.92,19620260
2026-04-21,17.07,17.485,16.845,17.15,21364000
2026-04-22,17.4,18.07,17.255,17.74,26160210
2026-04-23,17.51,17.78,16.72,16.95,24269340
2026-04-24,16.95,17.07,16.26,16.52,23800380
2026-04-27,16.52,16.995,16.5,16.72,21176040
2026-04-28,16.49,16.535,15.96,16.14,16286290
2026-04-29,16.0,16.14,15.875,16.06,16223610
2026-04-30,16.22,16.685,15.88,16.4,31193560
2026-05-01,15.575,16.025,15.01,15.02,53434740
2026-05-04,15.16,15.16,14.39,14.51,48844390
2026-05-05,14.65,15.07,14.48,14.6,28211010
2026-05-06,14.68,14.785,14.42,14.48,24738770
2026-05-07,14.582,14.64,14.115,14.18,26127550
2026-05-08,14.27,14.345,13.84,14.22,31623070
2026-05-11,14.12,14.345,14.0,14.08,26215660
2026-05-12,14.01,14.19,13.64,13.95,22252980
2026-05-13,13.91,14.68,13.87,14.27,29255430
2026-05-14,14.25,14.83,14.195,14.52,21303750
2026-05-15,14.05,14.145,13.66,13.79,42196710
2026-05-18,13.77,13.79,13.14,13.35,29544140
2026-05-19,13.23,13.255,12.65,12.9,41231760
2026-05-20,13.07,13.78,12.7737,13.73,44632400
2026-05-21,13.63,14.25,13.5598,14.15,25002850
2026-05-22,14.165,14.4,14.075,14.22,27073400
2026-05-26,14.355,14.699,14.155,14.39,22915450
2026-05-27,14.45,14.86,14.45,14.7,23273910
2026-05-28,14.61,15.27,14.49,15.2,23145660
2026-05-29,15.23,16.6,15.11,16.3,59451470
2026-06-01,16.14,17.2,15.9,16.95,43483510
2026-06-02,16.99,17.69,16.67,17.29,39250190
2026-06-03,17.06,18.4299,16.915,18.27,51857160
2026-06-04,17.97,18.55,17.75,18.12,35162020
2026-06-05,17.96,18.0,16.235,16.35,35945390
2026-06-08,16.71,17.6,16.37,16.84,22634350
2026-06-09,16.86,16.92,15.24,15.73,39837510
2026-06-10,15.672,15.8,14.645,14.76,25074600
2026-06-11,14.73,15.64,14.4821,15.54,29012060
2026-06-12,15.675,16.775,15.435,16.76,31874290
2026-06-15,17.03,17.095,16.54,16.68,20193190
2026-06-16,16.535,16.56,15.73,15.93,25457660
2026-06-17,15.995,16.945,15.97,16.26,34148190
2026-06-18,16.455,16.6064,16.03,16.52,31711730
2026-06-22,16.34,16.36,15.075,15.1,27347510
2026-06-23,14.97,15.295,14.81,14.89,24290310
2026-06-24,14.87,15.26,14.355,14.64,23138240
2026-06-25,14.64,14.88,14.35,14.86,26739690
2026-06-26,14.565,15.72,14.54,15.63,42591480
2026-06-29,15.795,16.88,15.57,16.81,38775790
2026-06-30,16.605,17.55,16.39,17.35,31373730
2026-07-01,17.28,17.8,17.07,17.18,26986970
2026-07-02,17.975,19.79,17.81,18.63,78267210
2026-07-06,18.55,20.2,18.39,20.14,42436340
2026-07-07,17.672,18.09,16.38,16.49,91175920
2026-07-08,15.67,16.79,15.4307,16.66,110859000
2026-07-09,16.532,18.23,16.38,18.12,84068840
2026-07-10,18.44,18.79,17.48,17.48,40150520
2026-07-13,17.5,17.795,17.05,17.31,24217320
2026-07-14,17.35,17.65,16.7,17.5,31269390
2026-07-15,17.81,18.785,17.675,17.8,29115790
2026-07-16,17.7,17.77,16.59,17.09,41104770
2026-07-17,16.69,17.495,16.49,17.455,28927470
