date,open,high,low,close,volume
2025-09-02,46.75,49.54,45.68,49.31,20305190
2025-09-03,50.27,50.8999,43.5118,43.53,33322330
2025-09-04,44.16,44.58,42.7,42.99,17273100
2025-09-05,43.565,45.99,42.39,45.84,17361990
2025-09-08,45.5,48.2,45.488,47.73,18846410
2025-09-09,47.01,47.53,45.5117,47.03,13243730
2025-09-10,47.53,48.11,45.6,46.17,11638480
2025-09-11,46.32,49.665,46.055,48.43,22816310
2025-09-12,48.98,54.03,48.6106,53.34,27889790
2025-09-15,53.58,55.17,52.72,54.04,23957070
2025-09-16,52.0,52.08,47.01,47.245,42608070
2025-09-17,47.565,48.54,46.45,48.08,20731040
2025-09-18,48.92,49.19,47.0,47.18,19434130
2025-09-19,47.68,48.93,47.13,47.79,26870010
2025-09-22,47.13,50.26,46.8,49.81,22995860
2025-09-23,49.025,54.1579,47.9101,52.91,38063990
2025-09-24,51.795,52.48,48.43,48.69,30681600
2025-09-25,48.0,48.62,45.21,46.63,22418540
2025-09-26,47.3,47.69,45.83,46.26,14907050
2025-09-29,47.4,48.1,46.37,47.01,16145380
2025-09-30,47.21,47.99,46.51,47.91,14856090
2025-10-01,47.38,49.42,47.12,47.97,25640220
2025-10-02,48.64,52.65,48.51,52.47,35212860
2025-10-03,52.05,56.9392,51.26,56.16,37741860
2025-10-06,56.865,59.26,55.8,58.5,31020500
2025-10-07,59.01,62.56,57.02,61.51,36545640
2025-10-08,64.15,68.5341,63.65,65.31,36149880
2025-10-09,64.9,68.5397,64.42,66.42,25844500
2025-10-10,70.8,73.5,64.14,64.26,40876810
2025-10-13,67.88,70.44,64.6221,65.42,26180260
2025-10-14,65.34,69.67,62.19,68.03,27623550
2025-10-15,70.02,73.97,67.08,69.27,26290820
2025-10-16,70.07,72.25,66.4249,67.0,23835180
2025-10-17,65.89,68.5,63.7,66.27,16892930
2025-10-20,69.135,72.18,66.675,67.35,25835160
2025-10-21,68.04,68.04,64.86,65.4,17508150
2025-10-22,62.97,64.02,58.41,60.565,22149430
2025-10-23,61.56,64.7,60.75,63.57,13226360
2025-10-24,64.81,66.18,63.65,64.56,12041180
2025-10-27,66.19,66.35,64.1501,65.62,19183290
2025-10-28,65.675,66.54,63.61,63.75,11772870
2025-10-29,64.145,67.39,63.48,66.16,17907150
2025-10-30,65.0,65.18,60.89,60.92,12478960
2025-10-31,61.77,63.4495,60.4004,62.98,13830090
2025-11-03,63.03,63.1,59.13,61.34,11463480
2025-11-04,57.8,59.4899,56.51,56.57,13725540
2025-11-05,56.66,57.28,54.87,56.42,13254320
2025-11-06,56.21,56.21,49.41,49.61,21053050
2025-11-07,47.657,52.1,46.3109,51.64,25058750
2025-11-10,53.74,54.5,50.76,51.9,22929770
2025-11-11,56.0,56.96,51.21,51.24,33240060
2025-11-12,51.93,55.33,49.6601,49.97,21987080
2025-11-13,48.76,49.38,44.37,45.25,26517130
2025-11-14,43.71,47.22,43.3,45.54,21107140
2025-11-17,45.15,45.682,42.225,43.31,17583510
2025-11-18,42.22,43.61,41.23,42.78,16982020
2025-11-19,42.5,44.53,42.43,43.62,15303960
2025-11-20,46.08,46.26,39.32,39.48,25029290
2025-11-21,39.83,41.045,37.57,40.3,18869980
2025-11-24,40.76,42.53,39.3,42.45,20281000
2025-11-25,42.03,42.805,40.38,42.6,10568830
2025-11-26,43.24,43.5898,41.3799,41.93,10906060
2025-11-28,42.51,42.6999,41.8,42.14,5636841
2025-12-01,41.15,41.3,39.98,40.37,13260630
2025-12-02,40.56,42.9896,40.42,41.9,13390810
2025-12-03,41.895,44.74,41.5,44.72,14385210
2025-12-04,45.645,49.68,44.82,49.37,28366590
2025-12-05,48.875,49.6999,47.7,49.055,14633130
2025-12-08,50.08,52.37,49.22,51.56,21748450
2025-12-09,51.23,53.75,50.34,53.43,17526160
2025-12-10,53.44,58.83,52.25,57.52,38839850
2025-12-11,57.51,64.15,56.85,63.53,31378810
2025-12-12,62.5,65.18,59.8,61.49,33545330
2025-12-15,63.052,64.56,55.08,55.41,32932220
2025-12-16,54.19,56.73,52.68,55.49,22447400
2025-12-17,56.1,56.91,53.085,53.96,23761070
2025-12-18,56.2,60.25,56.03,59.92,27939360
2025-12-19,61.12,70.56,60.7465,70.52,52764830
2025-12-22,72.94,78.45,72.752,77.55,48279570
2025-12-23,73.81,79.1799,73.29,77.18,35673310
2025-12-24,78.035,79.83,74.8007,77.18,16720590
2025-12-26,76.68,76.99,70.39,70.65,23157790
2025-12-29,69.5,72.74,69.322,70.12,18294100
2025-12-30,73.025,74.69,70.44,70.45,30151680
2025-12-31,71.5,73.1959,69.13,69.76,17594250
2026-01-02,70.63,76.24,66.85,75.99,31517640
2026-01-05,74.62,78.25,71.31,78.14,33498620
2026-01-06,77.76,86.25,74.05,86.03,43669690
2026-01-07,84.1,85.9599,81.85,84.08,28603480
2026-01-08,85.5,89.87,82.26,83.08,29874190
2026-01-09,84.525,88.4299,82.45,84.85,23780420
2026-01-12,84.98,88.8399,83.4189,87.9,22125040
2026-01-13,89.14,89.7292,85.6501,86.58,21759470
2026-01-14,86.35,92.19,84.5,91.8,28345960
2026-01-15,89.265,92.459,86.65,90.76,24810290
2026-01-16,92.525,99.58,92.4,96.3,36105310
2026-01-20,93.7,98.2699,88.3,89.16,29300930
2026-01-21,90.02,91.25,82.71,87.82,30538730
2026-01-22,86.38,89.4,81.3506,87.98,30063010
2026-01-23,89.055,94.4499,86.12,88.9,24380960
2026-01-26,86.745,87.16,80.01,80.48,21659880
2026-01-27,82.89,87.0,82.0,87.0,17676460
2026-01-28,87.22,89.8,86.0276,88.57,16262990
2026-01-29,87.94,89.0,83.0,85.68,15857340
2026-01-30,85.0,89.32,78.02,80.07,22706970
2026-02-02,79.16,80.7,73.879,74.15,18337000
2026-02-03,78.6,81.32,75.77,81.27,19000580
2026-02-04,81.35,81.35,68.5628,73.11,26237420
2026-02-05,69.98,72.99,65.2,66.32,22675410
2026-02-06,69.0,72.66,67.0,72.32,20049560
2026-02-09,72.025,76.8,70.75,75.84,16394440
2026-02-10,74.595,75.86,71.55,72.03,13195610
2026-02-11,73.13,73.4,67.02,69.62,17563090
2026-02-12,67.53,68.4495,63.87,66.01,18313700
2026-02-13,66.695,69.6,65.5,67.44,14737920
2026-02-17,66.084,70.99,65.0,69.89,12059200
2026-02-18,71.0,75.765,69.989,74.42,19118370
2026-02-19,72.9,77.11,72.35,76.58,14693380
2026-02-20,75.482,78.2,69.4,70.86,18253470
2026-02-23,68.755,71.25,68.5,70.21,13795750
2026-02-24,68.88,70.055,66.6,69.97,12858260
2026-02-25,71.095,71.85,68.88,70.2,11793710
2026-02-26,70.045,72.74,68.81,72.65,18411600
2026-02-27,67.59,69.59,64.1,69.1,25729770
2026-03-02,66.68,72.1,66.45,70.97,18845550
2026-03-03,68.855,73.25,66.19,70.13,17405200
2026-03-04,70.81,74.1,69.47,71.91,17073010
