date,open,high,low,close,volume
2025-09-02,270.77,273.635,268.97,270.99,1034039
2025-09-03,270.13,270.49,265.49,269.21,1804376
2025-09-04,270.3,274.24,267.57,273.81,1179275
2025-09-05,274.27,278.06,274.045,277.05,943999
2025-09-08,276.47,279.73,273.37,279.46,688486
2025-09-09,280.25,281.32,278.66,279.19,613516
2025-09-10,278.3,279.67,265.675,270.47,1093935
2025-09-11,271.33,275.345,270.415,274.61,727265
2025-09-12,273.15,273.555,269.0,270.14,1257655
2025-09-15,271.0,273.41,271.0,271.19,940946
2025-09-16,270.42,273.7,270.08,272.6,840847
2025-09-17,274.51,275.7525,270.025,271.71,847461
2025-09-18,273.42,273.79,270.485,273.29,552905
2025-09-19,272.92,274.025,271.32,273.19,1536212
2025-09-22,272.4,275.53,270.6,274.41,549218
2025-09-23,273.53,277.1,273.255,275.61,771768
2025-09-24,275.08,277.43,273.11,274.19,692845
2025-09-25,268.66,268.893,264.14,267.31,881407
2025-09-26,269.21,271.66,267.4,270.27,754952
2025-09-29,271.1,271.98,268.07,271.05,978117
2025-09-30,271.01,275.7,270.735,273.73,1174123
2025-10-01,274.36,276.9,267.64,270.85,1314477
2025-10-02,269.77,277.35,269.77,276.64,1032132
2025-10-03,278.3,281.5,277.24,278.59,591048
2025-10-06,279.35,283.04,278.32,281.38,911860
2025-10-07,282.43,283.99,280.0,283.28,666872
2025-10-08,284.06,284.87,279.25,282.35,888263
2025-10-09,283.63,284.05,277.04,277.88,754261
2025-10-10,277.84,277.85,271.4,272.0,606130
2025-10-13,274.29,277.33,271.13,273.01,768874
2025-10-14,268.56,272.18,267.0,270.07,971820
2025-10-15,270.96,272.045,267.61,269.7,667057
2025-10-16,270.98,273.75,269.62,270.0,1062839
2025-10-17,269.04,270.535,263.1,268.09,2278218
2025-10-20,268.37,271.72,266.78,271.41,619487
2025-10-21,268.02,270.81,266.31,268.22,791600
2025-10-22,269.68,270.56,265.9,266.48,891227
2025-10-23,266.49,267.19,263.84,265.26,715999
2025-10-24,266.83,266.97,259.41,259.49,1110285
2025-10-27,259.7,260.92,258.05,259.21,1228254
2025-10-28,259.68,264.0,256.57,256.57,1171878
2025-10-29,256.47,258.345,252.9,253.62,1172473
2025-10-30,255.27,257.1,251.05,252.26,1777170
2025-10-31,254.51,257.17,239.41,246.88,2567479
2025-11-03,247.54,252.15,243.1201,248.95,1596212
2025-11-04,247.71,247.71,243.14,246.4,1447258
2025-11-05,245.3,246.1025,241.62,245.22,1214688
2025-11-06,242.56,250.7,242.02,249.65,2225890
2025-11-07,248.66,251.54,245.85,251.49,1683087
2025-11-10,250.0,252.265,245.76,250.1,981521
2025-11-11,250.25,254.75,248.155,252.43,1316781
2025-11-12,252.05,256.0,251.26,252.86,1270218
2025-11-13,251.01,255.1,249.73,252.11,1124347
2025-11-14,250.04,251.17,244.29,244.46,1008371
2025-11-17,244.28,247.26,243.2,244.71,1037918
2025-11-18,245.19,247.31,243.79,246.22,1175581
2025-11-19,246.0,248.05,242.6,244.99,942846
2025-11-20,244.57,246.88,241.81,243.92,1120401
2025-11-21,244.28,254.0,243.04,250.75,1187270
2025-11-24,249.23,251.57,248.45,250.52,1217577
2025-11-25,251.59,257.0,250.25,255.8,812363
2025-11-26,255.82,257.17,254.98,255.04,606170
2025-11-28,256.0,258.09,255.7,255.83,335093
2025-12-01,244.16,253.885,237.625,248.38,1296102
2025-12-02,249.31,252.84,248.75,250.85,1086092
2025-12-03,251.47,254.1,250.1,251.44,549929
2025-12-04,251.25,252.75,250.34,251.51,489063
2025-12-05,255.0,257.98,254.4,256.55,708376
2025-12-08,256.07,256.55,249.57,250.04,760585
2025-12-09,250.23,251.9416,245.97,246.52,806218
2025-12-10,257.4,259.99,248.94,251.5,1167951
2025-12-11,251.5,255.61,251.29,252.39,766094
2025-12-12,252.92,252.925,250.37,252.27,973580
2025-12-15,255.0,255.83,250.855,253.07,1183193
2025-12-16,248.01,249.92,243.62,247.34,1333404
2025-12-17,247.01,249.75,245.03,245.94,918811
2025-12-18,246.1,247.78,241.66,242.55,1103234
2025-12-19,242.93,245.9,242.02,244.94,2957036
2025-12-22,243.95,247.21,243.07,246.67,908444
2025-12-23,246.02,247.45,243.13,244.6,718511
2025-12-24,244.5,245.46,244.09,244.44,201328
2025-12-26,244.29,245.9899,243.5,244.76,305188
2025-12-29,244.0,245.52,242.2,242.85,755051
2025-12-30,242.41,243.65,240.895,243.08,675098
2025-12-31,242.5,243.01,240.8,240.87,524997
2026-01-02,241.75,245.34,240.0,244.81,961307
2026-01-05,243.27,247.29,242.54,245.36,773918
2026-01-06,244.72,250.1497,243.5,249.19,849103
2026-01-07,248.0,250.125,245.52,248.21,735290
2026-01-08,247.04,252.0,246.85,250.92,696952
2026-01-09,252.92,253.81,250.18,252.47,598269
2026-01-12,251.38,257.99,250.32,257.84,1111489
2026-01-13,260.42,262.87,251.705,254.67,1071442
2026-01-14,253.65,260.16,252.49,259.51,970429
2026-01-15,259.25,261.36,256.56,260.7,939968
2026-01-16,260.14,261.04,256.985,257.58,955388
2026-01-20,257.12,258.39,252.77,253.19,1061269
2026-01-21,254.86,260.8399,252.84,259.28,853515
2026-01-22,262.0,264.09,254.65,255.35,892779
2026-01-23,254.78,255.625,250.19,252.38,722129
2026-01-26,252.22,256.22,252.22,255.47,819519
2026-01-27,255.89,257.925,254.855,255.5,1093131
2026-01-28,255.92,258.46,254.444,257.72,1404894
2026-01-29,257.02,261.0,254.55,257.61,1676576
2026-01-30,251.03,258.64,245.21,258.31,2258222
2026-02-02,257.18,258.45,250.845,254.74,1436317
2026-02-03,253.36,257.43,250.54,251.41,1285525
2026-02-04,251.31,264.8755,251.31,263.03,1727821
2026-02-05,262.38,268.33,262.06,267.05,1665574
2026-02-06,267.05,272.33,267.03,271.63,1502536
2026-02-09,272.0,276.43,269.62,275.96,1479277
2026-02-10,276.01,277.67,262.99,263.54,1811950
2026-02-11,260.52,261.8385,253.42,259.62,1179113
2026-02-12,255.66,257.385,245.6475,245.73,1567468
2026-02-13,247.16,254.21,246.205,252.55,970998
2026-02-17,251.05,257.79,248.985,255.82,1344099
2026-02-18,255.84,262.17,255.09,258.91,1226614
2026-02-19,257.66,260.165,255.76,256.29,821074
2026-02-20,255.66,259.2,254.28,259.12,727842
2026-02-23,257.61,261.9099,257.025,260.79,869917
2026-02-24,259.08,260.0,250.36,251.63,1034637
2026-02-25,251.51,252.81,250.185,252.53,667860
2026-02-26,254.18,258.24,253.58,257.06,928088
2026-02-27,255.89,257.5,252.739,256.26,1069073
2026-03-02,254.3,258.4,250.57,257.39,951647
2026-03-03,255.92,260.0,254.05,258.28,1229270
2026-03-04,260.0,260.22,254.35,259.05,664356
2026-03-05,256.05,258.2,250.97,255.32,865475
2026-03-06,253.15,253.26,248.13,252.87,920796
2026-03-09,250.08,253.1325,246.17,252.93,1049213
2026-03-10,251.92,252.53,246.625,247.11,931995
2026-03-11,245.42,245.88,237.52,240.15,1202607
2026-03-12,237.87,238.8,231.4,232.41,1333813
2026-03-13,234.89,235.8,230.21,230.84,1340757
