date,open,high,low,close,volume
2025-09-02,146.37,151.43,146.37,151.25,3132648
2025-09-03,151.0,152.0,150.235,150.73,2701295
2025-09-04,151.17,153.54,151.0707,152.81,2621018
2025-09-05,152.77,153.42,150.46,150.95,2438403
2025-09-08,150.94,152.45,150.47,151.57,2393445
2025-09-09,150.3,150.645,148.37,149.04,1863809
2025-09-10,148.2,149.92,147.64,149.24,1956980
2025-09-11,149.55,151.27,149.53,151.1,2029519
2025-09-12,149.99,150.345,146.7701,147.9,2131667
2025-09-15,147.9,147.9,146.41,147.05,1946257
2025-09-16,147.1,147.535,145.77,146.45,1554587
2025-09-17,146.95,148.15,146.23,146.66,3285740
2025-09-18,147.04,147.37,143.39,146.09,3155127
2025-09-19,146.42,146.931,144.56,146.18,4702473
2025-09-22,146.44,146.92,143.71,144.67,3294650
2025-09-23,144.76,145.8,144.0,145.68,2704329
2025-09-24,146.0,150.47,146.0,149.43,2689221
2025-09-25,150.07,150.625,147.7701,149.46,2758415
2025-09-26,150.2,151.93,149.14,151.52,2265092
2025-09-29,152.49,152.8613,150.41,151.86,2346364
2025-09-30,151.14,152.9,151.06,152.39,2025214
2025-10-01,151.9,153.97,150.8025,153.2,2193361
2025-10-02,153.06,157.03,152.61,156.17,2576421
2025-10-03,156.01,156.56,151.985,152.64,2372683
2025-10-06,152.24,153.46,151.2,152.26,2669897
2025-10-07,152.98,152.98,149.67,150.34,1591627
2025-10-08,150.97,152.1,150.41,152.02,1992761
2025-10-09,151.24,152.53,149.08,149.98,1466898
2025-10-10,150.67,151.64,147.494,147.71,2365758
2025-10-13,148.97,155.4096,148.58,154.77,3214647
2025-10-14,154.66,156.555,154.17,155.26,2077846
2025-10-15,155.57,157.91,155.5,156.99,1851336
2025-10-16,157.3,157.48,154.691,155.21,1793865
2025-10-17,156.12,157.355,155.16,156.31,2896132
2025-10-20,157.32,157.785,156.355,157.45,1691436
2025-10-21,156.63,157.5975,156.37,156.41,1456979
2025-10-22,156.91,158.03,155.89,156.05,1312084
2025-10-23,155.19,156.89,154.872,156.66,1337977
2025-10-24,156.98,157.83,156.41,156.75,1598137
2025-10-27,159.47,161.95,159.23,160.73,3812370
2025-10-28,160.12,161.31,158.65,160.7,1534447
2025-10-29,158.915,160.82,157.92,158.34,1507514
2025-10-30,158.92,159.42,157.56,158.07,1620270
2025-10-31,157.98,159.63,157.39,158.92,1755832
2025-11-03,159.66,161.44,157.65,161.2,2414197
2025-11-04,160.19,162.74,159.63,162.23,2083392
2025-11-05,162.23,165.07,161.32,162.23,2651058
2025-11-06,162.23,163.02,158.85,160.23,1572729
2025-11-07,160.765,162.02,159.98,161.08,2142084
2025-11-10,161.8,162.61,160.36,161.92,2852836
2025-11-11,162.67,163.4,161.39,162.73,1718076
2025-11-12,163.03,163.44,161.15,162.85,2535515
2025-11-13,162.53,163.33,161.37,161.83,2285468
2025-11-14,161.1,162.23,159.9,160.58,2918644
2025-11-17,160.58,161.22,157.73,159.41,2767832
2025-11-18,159.0,161.29,158.49,159.9,2285658
2025-11-19,160.5,161.86,158.87,160.45,2454367
2025-11-20,161.09,164.23,160.34,160.5,4895611
2025-11-21,166.73,174.86,163.51,174.0,7821190
2025-11-24,173.37,176.0,172.92,174.13,5598655
2025-11-25,174.29,177.325,173.5,176.5,4531107
2025-11-26,176.23,178.09,175.47,177.69,2193801
2025-11-28,177.31,178.1899,176.18,176.36,984116
2025-12-01,175.49,178.8,174.88,177.5,2439720
2025-12-02,177.72,178.53,176.08,177.57,4002211
2025-12-03,178.37,178.64,177.12,178.0,3434804
2025-12-04,178.67,179.05,176.01,177.09,3431529
2025-12-05,177.48,177.94,176.03,177.87,2904345
2025-12-08,178.34,179.421,177.55,178.19,2553928
2025-12-09,177.31,177.69,175.64,177.02,2024860
2025-12-10,178.14,182.52,178.12,181.82,3730192
2025-12-11,182.13,183.9,181.465,183.13,3090818
2025-12-12,184.14,185.0,181.29,182.09,2549380
2025-12-15,183.16,184.75,181.77,184.28,3118318
2025-12-16,184.81,185.85,182.04,182.4,2645264
2025-12-17,182.535,183.3,181.59,182.74,2327639
2025-12-18,183.5,184.5,181.76,182.57,2163893
2025-12-19,182.9,183.1725,181.315,182.41,6157564
2025-12-22,183.51,183.75,179.87,180.68,3069860
2025-12-23,180.79,181.14,178.88,180.61,1563480
2025-12-24,181.08,182.42,180.11,181.68,621201
2025-12-26,180.46,181.78,180.155,181.14,918193
2025-12-29,180.21,181.86,179.93,180.72,1840812
2025-12-30,180.72,181.695,180.23,181.45,1267078
2025-12-31,181.25,181.82,180.05,180.14,1350002
2026-01-02,180.59,182.77,179.02,182.74,2566448
2026-01-05,182.9,186.78,182.9,186.68,2343112
2026-01-06,185.88,189.58,185.37,187.53,2843744
2026-01-07,187.41,187.65,185.74,186.99,2047857
2026-01-08,186.99,191.22,186.42,189.27,2385575
