date,open,high,low,close,volume
2025-09-02,122.6,123.945,121.72,122.84,608746
2025-09-03,122.21,123.075,121.95,122.8,587030
2025-09-04,123.5,125.27,122.28,125.11,631642
2025-09-05,125.94,127.5,125.74,126.62,801197
2025-09-08,125.9,128.37,125.57,128.09,811711
2025-09-09,127.33,127.5394,124.96,125.59,1194197
2025-09-10,124.86,126.0,124.14,124.6,556096
2025-09-11,124.99,128.515,124.24,128.23,488549
2025-09-12,127.23,128.39,126.35,126.39,336429
2025-09-15,126.77,126.77,125.33,125.42,376633
2025-09-16,125.5,125.85,124.58,125.39,525643
2025-09-17,125.92,127.14,122.58,122.98,822650
2025-09-18,123.22,125.02,122.94,124.06,647824
2025-09-19,124.13,124.485,122.01,122.45,1528581
2025-09-22,122.31,122.805,121.07,121.16,583005
2025-09-23,120.57,122.11,119.13,119.55,962968
2025-09-24,119.58,120.51,117.95,118.3,769243
2025-09-25,117.71,117.99,115.8196,116.14,595654
2025-09-26,116.59,117.36,115.98,117.01,942555
2025-09-29,117.21,117.25,114.93,117.03,1737006
2025-09-30,117.3,118.1276,116.53,117.88,1987172
2025-10-01,117.91,121.935,115.02,117.19,1845478
2025-10-02,116.54,117.27,115.205,116.27,1278748
2025-10-03,116.36,117.375,115.78,116.83,900460
2025-10-06,116.74,116.83,113.8,114.2,867101
2025-10-07,114.34,115.2093,112.6,112.75,836480
2025-10-08,113.51,113.6045,112.43,113.12,521461
2025-10-09,113.07,113.782,110.37,110.86,562438
2025-10-10,111.49,112.96,110.81,111.23,1104022
2025-10-13,111.77,112.66,111.16,111.57,647432
2025-10-14,112.64,115.01,112.16,114.06,1152417
2025-10-15,114.13,115.26,112.95,113.58,569462
2025-10-16,113.56,113.93,111.9,112.74,1185520
2025-10-17,113.0,113.34,110.63,112.19,1431982
2025-10-20,111.76,112.19,111.221,112.03,540418
2025-10-21,111.75,113.89,111.75,113.23,747600
2025-10-22,113.51,114.02,111.63,111.77,819977
2025-10-23,112.1,112.87,110.99,112.32,559104
2025-10-24,113.22,113.62,111.33,111.5,641657
2025-10-27,111.99,112.2084,111.35,111.6,650738
2025-10-28,111.98,113.43,111.0189,111.59,865878
2025-10-29,110.95,111.185,108.25,108.37,873047
2025-10-30,108.2,110.21,107.63,108.71,629905
2025-10-31,107.67,109.67,107.55,109.28,1405279
2025-11-03,108.24,108.645,106.7,108.3,1014928
2025-11-04,107.93,108.49,106.775,108.1,654108
2025-11-05,107.99,108.74,106.715,107.57,753753
2025-11-06,108.82,108.82,105.635,105.88,806348
2025-11-07,106.16,107.55,105.99,107.45,765042
2025-11-10,107.45,108.61,106.26,108.05,653312
2025-11-11,108.53,108.8,107.27,107.46,654398
2025-11-12,107.54,108.7,107.33,107.47,649386
2025-11-13,107.41,108.58,106.89,108.14,824418
2025-11-14,107.81,108.185,106.4,106.74,687958
2025-11-17,106.61,106.61,103.85,103.97,628622
2025-11-18,103.09,103.76,102.1401,102.59,858044
2025-11-19,102.82,103.33,101.7501,102.46,1056422
2025-11-20,102.88,105.109,101.91,102.54,1117898
2025-11-21,103.36,106.295,102.66,105.14,1571330
2025-11-24,104.81,104.985,103.56,104.21,1025806
2025-11-25,105.18,107.745,104.53,107.21,676191
2025-11-26,107.04,108.07,106.65,106.95,621731
2025-11-28,106.93,107.75,106.9,107.25,207235
2025-12-01,106.36,108.17,106.16,106.9,892425
2025-12-02,107.29,107.3475,104.46,105.36,836897
2025-12-03,105.89,106.855,105.215,105.92,1084384
2025-12-04,105.51,106.524,104.81,105.0,673249
2025-12-05,105.12,106.06,104.64,105.3,896813
2025-12-08,104.18,104.8,102.52,102.63,1068108
2025-12-09,104.33,104.535,102.47,102.48,1056101
2025-12-10,102.64,105.08,102.465,104.5,1066391
2025-12-11,105.19,107.834,104.88,107.15,1003710
2025-12-12,107.85,108.33,106.58,107.22,756414
2025-12-15,107.44,107.5499,105.64,106.68,839698
2025-12-16,106.88,107.7299,106.0001,106.91,848362
2025-12-17,106.15,108.33,106.15,108.12,1410549
2025-12-18,107.77,108.16,106.43,107.05,1321658
2025-12-19,106.55,106.85,104.73,105.13,4406879
2025-12-22,105.32,106.35,104.97,105.27,908752
2025-12-23,105.76,105.81,104.8843,105.4,681179
2025-12-24,105.57,106.21,105.18,105.79,275344
