date,open,high,low,close,volume
2025-09-02,158.2,158.63,156.37,158.01,3260070
2025-09-03,157.95,158.34,156.45,158.11,2739254
2025-09-04,158.23,159.17,157.55,158.68,3218791
2025-09-05,158.6,159.0,155.56,157.52,4046261
2025-09-08,156.92,157.0,153.6567,154.22,5522839
2025-09-09,153.64,153.7,150.6128,151.75,5461342
2025-09-10,152.0,155.04,151.65,155.0,4520436
2025-09-11,155.03,158.01,154.36,157.65,4289881
2025-09-12,157.75,158.14,155.82,155.85,3194530
2025-09-15,155.925,158.48,155.71,158.37,3891839
2025-09-16,159.85,159.95,157.64,158.58,6525539
2025-09-17,158.57,159.3199,157.62,158.31,3999375
2025-09-18,157.31,158.29,156.5,158.19,3696121
2025-09-19,158.7,158.7,156.69,158.24,7083681
2025-09-22,158.07,159.8,157.67,159.43,3296701
2025-09-23,159.745,161.395,158.95,160.54,3287068
2025-09-24,161.15,163.0284,160.7,161.38,4269813
2025-09-25,162.14,162.3,159.6873,160.51,3917666
2025-09-26,162.0,165.35,161.69,163.35,3962049
2025-09-29,167.43,168.28,162.79,163.63,6216112
2025-09-30,164.29,167.5,163.8747,167.33,4893662
2025-10-01,165.87,167.72,165.08,167.2,4034453
2025-10-02,167.14,168.25,165.89,166.63,3498320
2025-10-03,166.81,167.26,165.495,166.58,2678258
2025-10-06,167.0,169.75,167.0,168.8,3816913
2025-10-07,169.36,170.36,168.82,169.27,5186501
2025-10-08,170.07,170.85,168.43,168.57,4683664
2025-10-09,168.99,169.15,161.9,162.18,5962371
2025-10-10,162.01,162.46,157.435,157.7,7776447
2025-10-13,158.445,159.5487,157.37,158.85,5322326
2025-10-14,158.2,160.58,157.29,159.4,3590509
2025-10-15,159.49,160.655,155.64,157.0,5954743
2025-10-16,157.77,158.33,156.1,157.05,3926568
2025-10-17,156.33,158.54,156.1,157.95,5435225
2025-10-20,159.67,162.07,159.445,160.71,6517842
2025-10-21,171.81,178.76,170.255,173.04,12296750
2025-10-22,174.49,178.72,173.9199,177.98,10219050
2025-10-23,177.6,179.98,176.5001,179.44,5249411
2025-10-24,180.46,180.5,178.29,178.65,3471588
2025-10-27,179.43,179.63,177.5,179.24,4039665
2025-10-28,179.3,181.31,178.555,178.67,3344079
2025-10-29,177.785,178.98,176.0,176.36,4285200
2025-10-30,177.12,179.0,176.82,177.42,3637269
2025-10-31,177.5,179.11,176.7501,178.5,4347073
2025-11-03,178.49,178.545,175.45,177.04,3843835
