date,open,high,low,close,volume
2025-09-02,18.55,18.68,17.62,17.7,15755500
2025-09-03,17.7,18.045,17.63,18.02,9713563
2025-09-04,18.05,18.16,17.4,18.15,6556644
2025-09-05,18.27,18.75,18.16,18.73,5051729
2025-09-08,18.6,18.7,18.135,18.43,5645215
2025-09-09,18.51,18.59,17.945,17.98,5481832
2025-09-10,18.0,18.5,17.74,17.84,5871810
2025-09-11,18.13,18.57,18.005,18.46,6279068
2025-09-12,18.48,18.4865,18.09,18.29,5261455
2025-09-15,18.34,18.565,18.205,18.3,4156540
2025-09-16,18.38,18.39,17.855,17.87,7175207
2025-09-17,17.99,18.59,17.955,18.36,5764583
2025-09-18,18.69,19.0584,18.61,18.72,5054238
2025-09-19,18.79,19.165,18.6101,19.1,10837730
2025-09-22,19.02,19.3,18.64,19.2,5224620
2025-09-23,19.29,19.3,18.44,18.46,4691188
2025-09-24,18.58,18.8,18.13,18.19,3985460
2025-09-25,18.0,18.175,17.695,18.14,3440946
2025-09-26,18.0,18.295,17.9471,18.15,3521698
2025-09-29,18.22,18.3599,17.96,18.09,4796385
2025-09-30,18.07,18.07,17.43,17.61,9956569
2025-10-01,17.65,18.06,17.26,17.43,8531441
2025-10-02,17.53,17.77,17.355,17.77,4852199
2025-10-03,17.88,18.1,17.72,17.95,5543318
2025-10-06,18.13,18.255,17.84,17.91,7194355
2025-10-07,17.91,17.96,16.97,17.25,6340713
2025-10-08,17.33,18.05,17.28,17.99,5585664
2025-10-09,17.92,18.0565,17.71,18.0,3120761
2025-10-10,18.1,18.22,17.19,17.25,4705526
2025-10-13,17.535,17.58,17.14,17.15,5449041
2025-10-14,16.9,17.35,16.68,17.03,8781673
2025-10-15,17.2,17.27,16.81,16.85,5291653
2025-10-16,16.97,17.313,16.62,16.82,4102549
2025-10-17,16.6,16.894,16.5,16.68,4209025
2025-10-20,16.79,17.16,16.76,17.14,3670568
2025-10-21,17.13,17.875,16.96,17.83,4257327
2025-10-22,17.61,17.76,17.1801,17.29,3690823
2025-10-23,17.26,17.535,17.2,17.37,2667516
2025-10-24,17.54,17.74,17.43,17.65,3508116
2025-10-27,17.91,17.91,17.48,17.6,3431884
2025-10-28,17.63,18.045,17.6,17.65,4370706
2025-10-29,17.49,17.49,16.79,16.88,5123265
2025-10-30,16.84,17.465,16.8047,17.01,8271835
2025-10-31,17.05,17.875,17.01,17.85,4307742
2025-11-03,17.67,17.97,17.4547,17.68,7961742
2025-11-04,17.21,17.25,16.655,16.87,5919290
2025-11-05,16.85,16.9,16.65,16.77,3428892
2025-11-06,16.54,16.68,16.23,16.36,7365381
2025-11-07,16.08,16.93,16.05,16.92,4869690
2025-11-10,17.0,17.27,16.925,17.19,3984740
2025-11-11,17.15,17.55,17.089,17.28,4266617
2025-11-12,17.22,17.55,16.97,17.14,3662100
2025-11-13,16.96,17.02,16.4,16.51,7767091
2025-11-14,16.08,16.86,16.06,16.79,5159440
2025-11-17,16.75,16.7518,16.0307,16.16,5133829
2025-11-18,16.2,16.4144,15.8618,16.17,5285945
2025-11-19,16.05,16.245,15.815,16.12,5347975
2025-11-20,16.31,16.39,15.52,15.56,7242827
2025-11-21,15.55,15.96,15.17,15.7,9356627
2025-11-24,15.75,15.875,15.48,15.65,5911802
2025-11-25,15.8,16.3,15.685,16.23,6077775
2025-11-26,16.11,16.21,15.9,15.94,4783526
2025-11-28,16.09,16.35,16.09,16.21,2807497
2025-12-01,15.98,16.31,15.87,16.08,5305548
2025-12-02,16.35,16.67,16.21,16.61,7597257
2025-12-03,16.51,17.0,16.41,16.96,8096713
2025-12-04,17.09,17.18,16.91,16.97,13025260
2025-12-05,15.28,15.43,14.48,14.52,36295270
2025-12-08,14.57,15.05,14.57,14.88,16847580
2025-12-09,14.83,15.43,14.81,14.84,12629570
2025-12-10,14.85,15.36,14.8111,15.24,17013140
2025-12-11,15.11,15.65,14.87,14.99,18267570
2025-12-12,15.11,15.25,14.9814,15.08,11868640
2025-12-15,15.15,15.1777,14.765,14.84,10341850
2025-12-16,14.73,14.955,14.68,14.8,7388164
2025-12-17,14.74,14.905,14.455,14.48,8248312
2025-12-18,14.6,14.74,14.43,14.61,8725414
2025-12-19,14.82,14.85,14.56,14.73,18830770
2025-12-22,14.8,15.22,14.76,14.93,6777093
2025-12-23,14.84,14.878,14.6317,14.75,5322951
2025-12-24,14.75,14.85,14.635,14.85,3219963
2025-12-26,14.81,15.09,14.79,15.01,4395679
2025-12-29,14.79,15.16,14.79,15.03,6214267
2025-12-30,15.02,15.345,15.01,15.27,5823859
2025-12-31,15.26,15.27,14.9944,15.0,6902041
2026-01-02,15.1,15.15,14.55,14.64,8294200
2026-01-05,14.55,14.99,14.48,14.81,7074533
2026-01-06,14.82,15.2,14.789,15.18,5712125
2026-01-07,15.2,15.6,15.19,15.53,6552140
2026-01-08,15.44,15.52,15.14,15.33,5344214
2026-01-09,15.43,15.495,15.0,15.12,5059568
2026-01-12,15.13,15.19,14.9624,15.04,4819057
2026-01-13,15.09,15.17,14.42,14.64,8698752
2026-01-14,14.55,14.925,14.15,14.22,9595152
2026-01-15,14.28,14.33,14.0,14.08,7519918
2026-01-16,14.15,14.2,13.84,13.9,12309300
2026-01-20,13.75,13.97,13.55,13.57,6895669
2026-01-21,13.62,14.105,13.46,13.8,9532348
2026-01-22,13.92,14.225,13.78,14.19,6482298
2026-01-23,14.19,14.37,14.19,14.29,4196169
2026-01-26,14.25,14.6,14.19,14.56,5915011
2026-01-27,14.5,15.38,14.23,15.11,18250000
2026-01-28,15.16,15.3899,14.93,14.93,8691403
2026-01-29,14.65,14.65,13.87,14.07,8712185
2026-01-30,14.05,14.2151,13.9,13.98,5250905
2026-02-02,13.91,14.42,13.64,14.39,8498632
2026-02-03,14.25,14.39,12.87,13.14,14645170
2026-02-04,13.01,13.65,12.695,13.62,12233940
2026-02-05,13.54,13.72,12.92,12.93,11054320
2026-02-06,13.075,13.315,12.642,13.22,9729122
