date,open,high,low,close,volume
2025-09-02,27.89,27.95,27.7,27.84,18420580
2025-09-03,27.745,27.85,27.5,27.6,19873330
2025-09-04,27.61,27.7,27.5111,27.69,13419730
2025-09-05,27.67,27.83,27.5,27.64,15327790
2025-09-08,27.605,27.61,27.27,27.44,18249740
2025-09-09,27.41,27.54,27.41,27.45,18576610
2025-09-10,27.42,27.5399,27.27,27.5,16572080
2025-09-11,27.51,27.75,27.4701,27.72,13521540
2025-09-12,27.69,27.73,27.48,27.48,14967600
2025-09-15,27.515,27.52,27.2829,27.34,18547620
2025-09-16,27.37,27.4986,27.29,27.42,19907660
2025-09-17,27.43,27.74,27.35,27.47,21748080
2025-09-18,27.48,27.53,27.35,27.45,17238340
2025-09-19,27.51,27.51,27.27,27.33,17610920
2025-09-22,27.29,27.33,27.2,27.25,17463720
2025-09-23,27.28,27.56,27.27,27.4,16862880
2025-09-24,27.175,27.29,27.13,27.16,19469330
2025-09-25,27.15,27.2,26.96,26.99,20335230
2025-09-26,27.1,27.26,27.0799,27.21,16482810
2025-09-29,27.27,27.28,27.0,27.1,25833150
2025-09-30,27.04,27.3,27.01,27.3,18115060
2025-10-01,27.28,27.55,27.26,27.53,18618070
2025-10-02,27.46,27.58,27.3,27.34,15690740
2025-10-03,27.37,27.56,27.36,27.41,15309530
2025-10-06,27.47,27.49,27.31,27.34,16315070
2025-10-07,27.35,27.3699,27.17,27.28,17220220
2025-10-08,27.31,27.3293,27.135,27.18,15899850
2025-10-09,27.2,27.29,26.95,27.0,19054270
2025-10-10,27.05,27.1,26.53,26.54,24258340
2025-10-13,26.605,26.73,26.56,26.63,20634890
2025-10-14,26.46,26.92,26.44,26.87,18735120
2025-10-15,26.91,27.0,26.63,26.78,15036860
2025-10-16,26.82,26.8888,26.47,26.57,18983240
2025-10-17,26.61,26.79,26.56,26.79,14043830
2025-10-20,26.82,27.0,26.81,26.99,13374270
2025-10-21,26.99,27.14,26.94,27.07,14782550
2025-10-22,27.02,27.18,26.93,26.99,13644800
2025-10-23,27.11,27.17,26.99,27.03,13653790
2025-10-24,27.17,27.22,27.03,27.03,14054950
2025-10-27,27.1,27.14,27.04,27.12,17308050
2025-10-28,27.13,27.17,27.0,27.0,19879810
2025-10-29,26.98,27.01,26.65,26.74,22899090
2025-10-30,26.64,26.87,26.6,26.68,18030270
2025-10-31,26.59,26.79,26.49,26.75,16174390
2025-11-03,26.65,26.66,26.32,26.47,20525260
2025-11-04,26.37,26.47,26.32,26.44,18189410
2025-11-05,26.43,26.68,26.41,26.57,16559890
2025-11-06,26.55,26.67,26.46,26.52,15867800
2025-11-07,26.55,26.74,26.49,26.72,18818820
2025-11-10,26.76,26.8,26.51,26.77,19396890
2025-11-11,26.82,27.23,26.82,27.18,16948890
2025-11-12,27.17,27.29,27.155,27.19,15034330
2025-11-13,27.24,27.49,27.19,27.22,21714950
2025-11-14,27.22,27.35,27.0,27.24,19840780
2025-11-17,27.23,27.33,26.94,27.0,17416740
2025-11-18,26.94,27.25,26.89,27.16,17175140
