date,open,high,low,close,volume
2025-09-02,95.35,96.12,94.04,96.12,7741445
2025-09-03,96.21,96.615,95.26,96.22,7261540
2025-09-04,96.87,97.74,96.21,97.63,7504608
2025-09-05,97.23,97.6,91.52,92.05,18240710
2025-09-08,92.18,93.645,91.85,93.45,12681470
2025-09-09,93.57,94.05,91.43,93.67,10773570
2025-09-10,93.15,93.36,91.86,92.24,12544100
2025-09-11,92.28,94.08,91.83,93.94,8724435
2025-09-12,93.93,94.5,93.36,93.54,7702138
2025-09-15,93.76,94.1,91.68,92.1,9645980
2025-09-16,92.33,92.4,90.5,91.03,13613810
2025-09-17,91.07,92.185,90.55,92.09,14496980
2025-09-18,91.92,93.74,91.9,93.28,10439880
2025-09-19,93.36,94.56,92.8,94.33,15163090
2025-09-22,93.67,94.48,93.335,94.43,11076320
2025-09-23,94.01,94.9278,93.36,93.91,6915082
2025-09-24,94.06,94.125,91.7,92.37,10336360
2025-09-25,92.39,94.8,92.0,94.78,9203695
2025-09-26,95.13,95.975,94.74,95.46,5288525
2025-09-29,95.76,96.975,95.445,96.89,8356066
2025-09-30,96.85,97.3,94.46,95.47,8609052
2025-10-01,94.6,94.72,92.165,92.25,11649240
2025-10-02,92.49,93.07,92.13,92.7,6881592
2025-10-03,92.7,94.36,92.6,94.08,6762178
2025-10-06,94.43,95.085,93.42,94.0,6283972
2025-10-07,94.65,94.73,93.37,94.01,7582170
2025-10-08,94.13,94.415,92.67,93.79,6115985
2025-10-09,94.1,94.36,92.775,94.02,8584332
2025-10-10,94.3,94.86,91.96,91.96,8023645
2025-10-13,92.38,93.775,91.98,93.49,8773726
2025-10-14,93.13,94.98,93.03,93.39,8934325
2025-10-15,94.31,94.95,93.18,94.33,15688790
2025-10-16,94.77,97.1599,93.21,93.41,17319220
2025-10-17,94.72,94.86,92.832,94.14,9199748
2025-10-20,94.2,95.68,94.2,94.95,7380920
2025-10-21,94.57,95.409,93.8,95.09,7451219
2025-10-22,95.3,95.76,93.625,94.31,10388470
2025-10-23,94.81,95.15,93.94,94.6,7708001
2025-10-24,95.0,95.42,94.31,94.42,7124317
2025-10-27,95.0,95.28,94.54,94.84,7577872
2025-10-28,94.97,94.9965,93.5102,93.85,7090285
2025-10-29,93.49,95.11,93.25,94.61,11773910
2025-10-30,94.69,95.53,93.54,94.41,5753544
2025-10-31,94.02,94.83,93.11,94.52,6275269
2025-11-03,94.89,95.04,92.61,93.15,6980327
2025-11-04,92.8,94.12,92.1335,93.84,7719790
2025-11-05,93.54,94.07,92.78,93.68,8338836
2025-11-06,94.0,94.75,93.53,94.2,6350590
2025-11-07,94.51,95.49,93.32,95.24,6744120
2025-11-10,94.9,96.02,94.72,95.58,8498912
2025-11-11,95.0,97.125,94.92,96.12,5641893
2025-11-12,96.28,98.5,96.13,97.71,10610480
2025-11-13,97.87,98.26,94.9215,95.36,8347618
2025-11-14,94.93,95.63,93.3409,94.39,9357033
2025-11-17,94.56,94.58,91.59,91.91,9141637
2025-11-18,91.6,93.35,91.26,92.28,8505819
2025-11-19,92.02,93.39,91.6,92.64,6193996
2025-11-20,93.59,94.39,90.46,90.49,14227630
2025-11-21,90.985,91.2,89.345,90.51,8270231
2025-11-24,90.65,90.895,89.64,90.52,9966463
2025-11-25,90.29,91.14,89.5,90.74,8979630
2025-11-26,91.0,92.37,90.945,91.8,6697413
2025-11-28,91.85,93.24,91.575,92.73,6707777
2025-12-01,92.03,93.205,91.82,92.69,7974749
2025-12-02,92.8,93.115,92.025,92.07,10610610
2025-12-03,92.02,94.02,91.6,93.99,9688422
2025-12-04,94.12,95.405,93.96,95.03,8367642
2025-12-05,94.7,95.615,93.79,93.82,9043199
2025-12-08,93.64,94.42,92.75,94.28,8371144
2025-12-09,94.08,95.77,94.01,94.16,6479738
2025-12-10,94.36,96.38,94.07,95.81,8522089
2025-12-11,95.56,97.09,94.86,97.05,10564870
2025-12-12,96.99,97.4,94.375,96.65,13406800
2025-12-15,96.73,97.16,94.51,95.28,9842825
2025-12-16,95.3,96.44,95.03,96.0,9624500
2025-12-17,96.57,97.2,95.82,96.61,10929770
2025-12-18,96.9,97.377,95.92,97.23,9627525
2025-12-19,97.4,99.5297,97.2232,98.82,23213360
2025-12-22,99.56,101.739,99.05,101.41,9307852
2025-12-23,101.52,102.05,100.9,101.18,5727504
2025-12-24,101.35,102.11,100.89,101.85,2859495
2025-12-26,101.87,102.28,101.535,101.89,2778050
2025-12-29,101.71,101.8,101.22,101.31,7958179
2025-12-30,101.58,101.65,100.32,100.55,3943358
2025-12-31,100.8,100.91,99.89,99.91,4380624
2026-01-02,99.77,101.83,99.41,101.57,8409449
2026-01-05,101.74,104.44,101.74,103.74,9206456
2026-01-06,104.34,104.76,103.52,103.57,7285768
2026-01-07,103.87,103.95,101.84,101.93,7352322
2026-01-08,102.28,102.49,101.14,101.34,6500650
2026-01-09,101.34,101.6199,100.14,100.17,6839943
2026-01-12,100.24,102.28,100.05,101.9,8849833
2026-01-13,101.99,102.26,100.39,101.18,7029369
2026-01-14,100.86,101.94,99.6,101.92,6642980
2026-01-15,102.2,103.595,102.005,102.76,8317687
2026-01-16,102.64,104.98,102.64,103.82,10868160
2026-01-20,102.31,103.45,100.9,100.99,12978280
2026-01-21,101.33,104.8299,99.69,101.79,17879530
2026-01-22,103.07,105.81,103.01,104.05,13539540
2026-01-23,103.67,104.08,101.24,102.18,8712678
2026-01-26,102.52,103.685,102.465,102.94,7357490
2026-01-27,102.57,104.1,102.245,103.72,8837896
