date,open,high,low,close,volume
2025-09-02,181.63,181.86,176.5,178.78,5167512
2025-09-03,177.44,181.09,173.0,180.98,2776482
2025-09-04,182.27,190.0,182.0,189.71,3970855
2025-09-05,192.19,192.28,185.82,191.62,4430201
2025-09-08,193.25,195.0,189.95,190.57,3182695
2025-09-09,189.98,192.91,187.7,192.67,3209374
2025-09-10,192.0,193.61,190.62,193.04,2485600
2025-09-11,195.0,199.3,194.1401,196.5,4523438
2025-09-12,195.55,197.7387,194.71,196.05,3049258
2025-09-15,196.17,196.449,189.25,190.46,3215858
2025-09-16,189.19,191.015,187.03,189.07,3709032
2025-09-17,189.31,189.5,184.55,186.89,3519356
2025-09-18,188.63,191.36,187.0,190.56,4202056
2025-09-19,191.73,193.53,190.75,192.76,3152366
2025-09-22,191.2,195.48,189.8,192.96,2361976
2025-09-23,192.09,192.52,185.01,185.25,3570097
2025-09-24,185.0,189.32,183.31,185.82,2495826
2025-09-25,183.29,186.42,183.0,185.91,3110161
2025-09-26,185.06,186.0,179.75,184.58,3143266
2025-09-29,186.13,186.235,180.38,181.45,3839884
2025-09-30,182.2,182.21,176.26,178.73,4199693
2025-10-01,179.0,182.87,176.69,182.01,4333358
2025-10-02,183.99,184.65,176.8224,184.22,3429569
2025-10-03,184.31,188.77,183.15,184.91,2215193
2025-10-06,186.05,190.9199,184.96,189.5,2973260
2025-10-07,190.5,191.32,187.69,191.01,2458935
2025-10-08,190.99,193.48,189.33,192.69,2718036
2025-10-09,191.37,191.39,183.88,188.0,4338368
2025-10-10,186.6,189.78,180.0,180.82,3196337
2025-10-13,181.15,183.9,180.934,182.6,2371163
2025-10-14,179.32,181.86,176.0,180.69,2744533
2025-10-15,184.25,184.96,162.02,163.42,9218285
2025-10-16,174.49,175.8,162.5,162.65,12260820
2025-10-17,161.43,162.65,158.84,160.06,6112944
2025-10-20,162.59,167.19,160.85,165.7,4097814
2025-10-21,170.0,171.09,164.6,164.6,3882763
2025-10-22,156.4,161.3,154.72,156.74,7693136
2025-10-23,157.28,157.605,155.05,156.26,3057860
2025-10-24,158.71,158.71,154.225,154.66,2532571
2025-10-27,157.83,161.65,156.51,160.1,3932037
2025-10-28,162.16,164.03,157.41,159.71,4508000
2025-10-29,159.5,159.64,154.87,155.93,3152483
2025-10-30,154.24,159.12,152.7958,155.93,4045374
2025-10-31,156.5,157.43,154.81,156.25,3122047
2025-11-03,156.76,159.13,155.09,157.41,2694206
2025-11-04,154.3,156.95,151.63,156.51,2981792
2025-11-05,156.16,159.11,155.48,157.76,2723735
2025-11-06,158.32,159.8,152.35,153.56,4305772
2025-11-07,151.0,151.12,145.79,149.94,7065029
2025-11-10,152.8,156.02,151.0,155.05,8953709
2025-11-11,159.03,159.09,141.2,142.31,16009070
2025-11-12,145.295,150.79,142.61,143.35,6978735
2025-11-13,144.27,144.48,139.41,140.04,5486170
2025-11-14,134.75,141.49,134.51,140.85,6168509
2025-11-17,145.14,148.08,143.695,145.75,5145923
2025-11-18,143.52,148.0,143.49,147.26,4416845
2025-11-19,146.5,147.34,143.24,143.53,3567266
2025-11-20,145.27,145.27,130.44,130.99,10163680
2025-11-21,131.28,133.94,127.835,131.34,7647468
2025-11-24,132.7,136.925,130.67,136.38,5855347
2025-11-25,136.73,136.73,132.705,136.29,4313131
2025-11-26,138.11,140.41,134.19,134.26,4661681
2025-11-28,136.39,140.045,135.63,139.01,2590529
2025-12-01,138.32,138.675,135.06,135.28,4135602
2025-12-02,135.27,138.47,133.5,137.83,3556208
2025-12-03,137.2,137.23,134.58,135.04,3318715
2025-12-04,134.66,135.72,132.21,135.41,2689152
2025-12-05,136.07,138.11,133.755,133.99,3579954
2025-12-08,134.01,134.5,127.03,128.28,7294207
2025-12-09,127.37,129.5,126.81,128.66,5845189
2025-12-10,128.53,129.0,123.155,124.22,7090842
2025-12-11,125.0,129.03,124.21,126.6,6427127
2025-12-12,127.5,129.1,123.7507,125.02,4132378
2025-12-15,125.02,125.5,121.325,121.56,3651032
2025-12-16,121.83,125.08,121.295,124.27,5373274
2025-12-17,125.0,125.37,118.86,118.95,5494088
2025-12-18,121.04,122.74,119.48,120.46,5655892
2025-12-19,122.56,123.65,121.5,121.97,4908147
2025-12-22,123.01,125.81,120.3,124.78,3641550
2025-12-23,126.0,126.11,123.4,125.77,3274624
2025-12-24,125.7,127.135,125.18,126.25,1716626
2025-12-26,126.25,128.52,125.9,127.85,1840549
2025-12-29,127.85,131.19,127.45,130.89,4615883
2025-12-30,131.55,132.48,128.25,128.35,2425281
2025-12-31,127.81,128.1425,126.83,127.57,1974282
2026-01-02,131.53,133.5,129.16,131.49,3407394
2026-01-05,133.86,142.8,133.335,139.78,6905363
2026-01-06,142.38,148.26,142.35,142.89,8311756
2026-01-07,143.2,143.28,139.0501,139.24,4316209
2026-01-08,136.08,137.43,133.0,134.15,4156233
2026-01-09,133.57,135.0,131.71,133.52,2921578
2026-01-12,134.0,134.39,130.2,131.59,3083184
2026-01-13,130.41,130.45,126.52,129.86,6346270
2026-01-14,129.04,129.185,123.9301,125.25,6248811
2026-01-15,124.03,125.0,121.86,124.0,5026363
2026-01-16,124.0,124.38,120.8,121.42,3989359
2026-01-20,119.23,121.73,118.54,121.22,6096874
2026-01-21,122.41,122.8,119.59,121.13,7875149
2026-01-22,122.0,125.7,120.53,122.83,6826636
2026-01-23,124.7,126.96,124.17,124.78,3702131
2026-01-26,124.885,126.56,122.1,125.93,3823272
2026-01-27,127.2,127.92,124.05,127.11,2784680
2026-01-28,128.38,130.19,125.54,126.55,5645607
2026-01-29,127.5,128.5,120.625,121.9,5797658
2026-01-30,120.51,121.89,115.61,116.49,5395837
2026-02-02,116.28,116.34,111.93,113.59,7639285
2026-02-03,113.03,113.25,105.2,108.2,10319590
2026-02-04,107.63,107.9,102.285,106.26,10093610
2026-02-05,106.55,109.497,106.0,108.57,7897704
2026-02-06,110.06,112.145,107.05,108.54,7723509
2026-02-09,108.0,110.22,106.81,108.86,6581655
2026-02-10,109.89,114.9,108.51,113.33,6155543
2026-02-11,116.5,118.09,113.35,114.52,5579414
2026-02-12,114.26,114.93,106.5,109.06,6932833
2026-02-13,108.79,110.085,105.6,106.74,5137892
2026-02-17,107.0,110.77,106.75,108.51,3754477
2026-02-18,109.0,113.18,108.48,112.78,4276797
2026-02-19,113.34,117.46,113.106,114.6,3227450
2026-02-20,113.8,116.53,112.78,115.0,3065817
2026-02-23,113.92,115.85,110.99,111.24,3951089
2026-02-24,109.7,109.87,104.51,107.11,7030915
2026-02-25,106.0,106.7,102.54,104.47,6300272
2026-02-26,104.54,111.08,103.54,110.9,6276740
2026-02-27,108.87,110.51,107.7442,108.45,5515022
2026-03-02,105.03,105.728,102.81,105.21,8486479
2026-03-03,80.4,89.63,77.05,87.82,34838420
2026-03-04,88.0,89.2899,86.25,88.26,12027360
2026-03-05,89.43,96.0,89.0809,95.52,11437080
2026-03-06,94.48,95.75,91.0,91.98,7466315
2026-03-09,90.14,90.8,87.58,90.1,6762788
2026-03-10,91.58,91.9787,89.0,89.17,4408195
2026-03-11,88.41,89.95,85.95,87.82,4097618
2026-03-12,86.39,89.0,84.67,85.16,4609835
2026-03-13,85.34,87.5,84.91,86.0,2983665
2026-03-16,87.0,88.96,86.4707,87.57,3732882
2026-03-17,87.22,89.192,86.26,87.59,3682260
2026-03-18,86.47,86.57,84.295,84.47,3270958
