date,open,high,low,close,volume
2025-09-02,10.52,10.71,9.96,10.29,6380083
2025-09-03,10.46,10.48,9.66,9.73,5583458
2025-09-04,9.74,9.97,9.575,9.94,4501676
2025-09-05,10.06,10.195,9.7302,10.0,3537451
2025-09-08,10.28,10.71,10.2,10.5,6586899
2025-09-09,10.3,10.8187,10.13,10.8,4998916
2025-09-10,11.02,11.28,10.58,10.67,5972406
2025-09-11,10.83,12.0899,10.83,11.4,11316880
2025-09-12,11.7,13.1166,11.6,12.13,17955520
2025-09-15,12.46,12.6299,11.92,12.21,10453110
2025-09-16,12.315,12.36,11.62,12.11,7283714
2025-09-17,11.845,12.13,11.26,11.73,8659952
2025-09-18,12.075,12.9,11.73,12.84,13234560
2025-09-19,13.04,15.31,12.94,13.98,32026890
2025-09-22,13.852,14.2098,13.4,13.75,10050400
2025-09-23,14.475,15.0,12.88,13.17,17903320
2025-09-24,13.3,14.06,12.75,12.84,15710530
2025-09-25,12.23,12.33,11.61,12.0,11666550
2025-09-26,12.0,12.189,11.64,11.68,5215710
2025-09-29,11.75,12.14,11.71,11.72,5649804
2025-09-30,11.82,11.8684,11.23,11.63,6935210
2025-10-01,11.55,12.13,11.48,11.77,6082309
2025-10-02,12.08,12.69,12.045,12.59,8306564
2025-10-03,12.93,13.58,12.57,13.12,10611890
2025-10-06,13.79,15.28,13.56,14.93,17904420
2025-10-07,15.28,15.65,13.68,14.23,14633100
2025-10-08,14.37,14.41,13.3,13.745,10793990
2025-10-09,15.11,17.9,14.68,17.68,72402480
2025-10-10,16.22,16.77,14.58,14.9,39345980
2025-10-13,15.855,16.97,14.9,16.47,18664780
2025-10-14,15.58,17.05,15.0136,16.45,14465290
2025-10-15,16.99,18.64,16.325,17.51,26193940
2025-10-16,17.7,18.24,15.41,15.44,16231600
2025-10-17,15.24,15.4769,14.06,14.33,9935650
2025-10-20,14.89,14.98,14.36,14.7,7269760
2025-10-21,14.74,15.3,13.92,14.22,9389598
2025-10-22,13.78,13.95,12.35,12.97,12955130
2025-10-23,13.175,14.03,13.015,13.74,6775057
2025-10-24,14.16,14.4496,13.83,13.84,6836474
2025-10-27,14.53,14.7,13.765,14.26,6481627
2025-10-28,14.3,14.66,13.465,13.57,6000300
2025-10-29,13.715,14.1699,13.5401,13.85,5508483
