date,open,high,low,close,volume
2025-09-02,23.15,23.52,22.78,23.11,3782876
2025-09-03,23.2,23.55,23.0,23.53,2757313
2025-09-04,23.61,23.84,23.245,23.58,2687465
2025-09-05,23.67,24.47,23.47,24.06,3679629
2025-09-08,24.06,24.85,23.7,24.43,4039236
2025-09-09,24.35,24.425,23.98,24.27,3038494
2025-09-10,24.16,24.3821,23.5801,23.81,3537830
2025-09-11,23.8,23.94,23.55,23.81,3026815
2025-09-12,23.78,23.78,23.22,23.28,2972667
2025-09-15,23.34,23.75,23.315,23.44,2109135
2025-09-16,23.43,23.49,23.15,23.29,2498483
2025-09-17,23.16,23.62,22.975,23.12,2888546
2025-09-18,23.27,23.27,22.89,23.0,2912537
2025-09-19,22.96,23.15,22.74,23.12,5100971
2025-09-22,23.03,23.49,22.99,23.02,2636766
2025-09-23,23.08,23.4,22.9519,23.05,2857769
2025-09-24,23.0,23.154,22.51,22.58,2993875
2025-09-25,22.44,22.47,22.15,22.38,2679186
2025-09-26,22.48,22.835,22.39,22.7,2514582
2025-09-29,22.8,22.82,22.38,22.69,2362862
2025-09-30,22.7,23.31,22.6,23.275,3427012
2025-10-01,23.22,23.415,22.582,22.66,3083285
2025-10-02,22.67,22.78,22.41,22.6,2586524
2025-10-03,22.7,24.0599,22.67,23.275,6657387
2025-10-06,23.3,23.3,22.685,22.74,2962470
2025-10-07,22.865,23.311,22.46,22.83,2455359
2025-10-08,22.87,22.95,22.51,22.58,2747445
2025-10-09,22.6,22.99,22.11,22.13,2894618
2025-10-10,22.13,22.16,20.86,20.93,5756230
2025-10-13,21.21,21.54,21.02,21.45,3233990
2025-10-14,21.32,21.95,21.1,21.8,2462543
2025-10-15,21.93,22.0399,21.39,21.88,2950252
2025-10-16,21.89,22.09,21.2338,21.32,2768052
2025-10-17,21.2,21.44,21.02,21.38,3525918
2025-10-20,21.43,21.825,21.4,21.64,2099553
2025-10-21,21.79,22.485,21.75,22.19,2752363
2025-10-22,22.1,22.28,21.6588,21.755,2287489
2025-10-23,21.92,21.92,21.26,21.32,3456211
2025-10-24,21.47,21.59,21.27,21.4,3136949
2025-10-27,21.538,21.7,21.37,21.63,3439265
2025-10-28,21.67,21.7304,21.315,21.4,3007882
2025-10-29,21.36,21.435,20.945,21.06,5583508
2025-10-30,22.55,23.48,22.1401,23.19,10302740
2025-10-31,22.97,22.97,21.45,21.69,7648144
2025-11-03,21.64,21.91,21.26,21.89,4411421
2025-11-04,21.84,22.015,21.57,21.83,4450470
2025-11-05,21.56,22.5,21.56,22.13,5625593
2025-11-06,22.2,22.32,21.49,21.63,3230343
2025-11-07,21.41,21.73,21.385,21.71,2880078
2025-11-10,21.79,21.84,21.57,21.71,3564227
2025-11-11,21.8,21.905,21.59,21.72,1947060
2025-11-12,21.7,21.805,21.55,21.68,2956242
2025-11-13,21.6,21.98,21.55,21.6,2342780
2025-11-14,21.5,21.55,21.2227,21.51,2790230
2025-11-17,21.6,21.73,21.015,21.1,3282845
2025-11-18,20.89,21.1,20.25,20.91,6276303
2025-11-19,20.99,21.15,20.52,20.715,3949013
2025-11-20,20.81,20.97,19.8301,19.92,4195631
2025-11-21,20.04,20.69,20.0,20.52,4209233
2025-11-24,20.38,20.97,20.35,20.94,6209937
2025-11-25,21.1,21.24,20.91,20.99,2470282
2025-11-26,20.94,21.28,20.9,20.91,2376742
2025-11-28,20.93,21.285,20.85,21.26,1664429
2025-12-01,21.0,21.04,20.6735,20.81,3128497
2025-12-02,20.8,20.9673,20.51,20.84,4877287
2025-12-03,20.9,21.435,20.8844,21.33,3011449
2025-12-04,21.43,21.72,21.395,21.585,2951273
2025-12-05,21.54,22.31,21.39,22.03,4718581
2025-12-08,21.95,22.02,21.6001,21.73,2564700
2025-12-09,21.765,22.15,21.71,21.915,2655296
2025-12-10,22.0,22.55,21.85,22.32,5951847
2025-12-11,22.32,22.54,22.04,22.08,2103066
2025-12-12,22.07,22.148,21.7,21.75,3001765
2025-12-15,21.85,21.95,21.44,21.54,3085611
2025-12-16,21.67,21.8,21.295,21.49,4124276
2025-12-17,21.47,21.97,21.4169,21.75,2836626
2025-12-18,21.77,21.92,21.145,21.23,3123294
2025-12-19,21.1,21.18,20.6,20.77,6864518
2025-12-22,20.77,20.88,20.63,20.68,4498416
2025-12-23,20.57,20.62,20.305,20.44,3773133
2025-12-24,20.43,20.7,20.4,20.67,1698139
2025-12-26,20.67,20.81,20.545,20.6,2549348
2025-12-29,20.565,20.605,20.2,20.33,3987133
2025-12-30,20.4,20.42,20.18,20.22,3423451
2025-12-31,20.16,20.17,19.98,19.995,5026054
2026-01-02,20.09,20.68,20.05,20.51,5509868
2026-01-05,20.56,21.305,20.555,21.1,6183411
2026-01-06,21.09,21.65,20.8744,21.62,5133535
2026-01-07,21.65,21.71,21.0042,21.03,3516799
2026-01-08,20.97,21.73,20.9245,21.43,3282019
2026-01-09,21.45,21.98,21.2145,21.78,3397466
2026-01-12,21.78,21.83,20.89,20.96,4554281
2026-01-13,21.0,21.17,20.7,20.81,4099186
2026-01-14,20.81,21.189,20.77,21.11,3624622
2026-01-15,21.11,21.27,20.77,20.91,3526105
2026-01-16,20.85,20.92,20.19,20.45,6193208
2026-01-20,20.25,20.53,19.98,20.14,5258080
2026-01-21,20.18,20.545,20.03,20.54,3262687
2026-01-22,20.54,20.985,20.53,20.67,4388773
2026-01-23,20.58,20.85,20.42,20.51,5210151
2026-01-26,20.44,20.69,20.39,20.47,3761231
2026-01-27,20.49,20.58,20.07,20.19,4145188
2026-01-28,20.2,20.32,20.06,20.14,4622008
2026-01-29,20.11,20.23,19.765,20.06,4683513
2026-01-30,20.07,20.45,20.005,20.35,6291159
2026-02-02,20.4,20.775,20.16,20.37,5777514
2026-02-03,20.26,20.47,19.84,20.15,7059164
2026-02-04,20.05,21.09,19.91,20.73,10420640
2026-02-05,22.425,23.565,22.145,22.6,25624220
2026-02-06,22.0,22.53,21.11,21.68,11331010
2026-02-09,21.56,21.85,20.86,20.95,6949463
2026-02-10,21.38,21.71,21.14,21.34,5082950
2026-02-11,21.07,21.95,20.96,21.9,7289076
2026-02-12,21.99,22.125,21.385,21.7,4593564
2026-02-13,21.63,21.75,21.19,21.29,3591830
2026-02-17,21.2,21.41,20.87,21.02,4883027
2026-02-18,21.0,21.14,20.835,21.07,3456942
2026-02-19,21.07,21.19,20.945,21.04,3185709
2026-02-20,20.99,21.07,20.64,21.06,3294755
2026-02-23,20.96,21.11,20.69,20.96,3001399
2026-02-24,20.96,21.215,20.855,20.97,2502854
2026-02-25,20.97,21.01,20.81,20.92,2335471
2026-02-26,20.9,21.61,20.9,21.52,3774176
2026-02-27,21.52,22.16,21.42,21.96,5732451
2026-03-02,21.59,22.16,21.51,21.94,3504561
2026-03-03,21.75,22.3651,21.46,22.21,4622357
2026-03-04,22.22,22.79,22.095,22.64,5263030
2026-03-05,22.5,22.87,22.43,22.63,4147058
2026-03-06,22.54,22.8,22.18,22.25,4374875
2026-03-09,21.96,21.96,21.2844,21.7,5096882
2026-03-10,21.66,21.9,21.39,21.78,4035318
2026-03-11,21.79,22.38,21.79,22.36,3800660
2026-03-12,22.28,22.4699,22.08,22.23,4019544
2026-03-13,22.34,22.47,21.925,21.99,3140246
2026-03-16,22.01,22.495,21.95,22.4,3212320
2026-03-17,22.5,22.98,22.4119,22.63,3699353
2026-03-18,22.5,22.88,22.4,22.48,2769522
2026-03-19,22.47,22.67,22.265,22.4,2667370
2026-03-20,22.32,22.42,21.94,21.99,6128102
2026-03-23,22.06,22.52,21.96,22.47,2884162
2026-03-24,22.22,22.73,22.17,22.36,2413827
2026-03-25,22.48,23.04,22.425,22.99,4197455
2026-03-26,22.92,23.22,22.87,22.95,2983374
2026-03-27,22.97,23.1,22.7601,22.84,2581517
2026-03-30,22.84,23.05,22.63,22.76,2621893
2026-03-31,22.76,23.32,22.74,23.08,3917022
2026-04-01,23.08,23.46,22.961,23.41,3539359
2026-04-02,23.35,24.16,23.29,23.79,7538827
2026-04-06,23.88,24.262,23.365,23.39,4078097
2026-04-07,23.44,23.78,23.2209,23.71,2461109
2026-04-08,24.03,24.03,23.3,23.47,4601202
2026-04-09,23.26,23.52,23.16,23.43,4238088
2026-04-10,23.44,23.76,23.44,23.7,2320702
2026-04-13,23.68,23.9,23.45,23.89,2006144
2026-04-14,24.0,24.1,23.71,23.72,3087381
2026-04-15,23.77,24.245,23.745,24.21,3030502
2026-04-16,24.2,24.77,24.16,24.73,4647917
2026-04-17,24.73,25.91,24.73,25.48,7551604
2026-04-20,25.47,27.23,25.37,27.22,13758430
2026-04-21,27.28,27.34,26.125,26.18,8286688
2026-04-22,26.46,28.435,26.4,28.06,12446340
2026-04-23,28.73,28.77,27.89,28.0,8069666
2026-04-24,28.1,28.5,26.03,26.61,12197840
2026-04-27,26.745,27.18,26.275,26.55,6667871
2026-04-28,26.73,26.84,26.12,26.26,4950717
2026-04-29,26.26,26.865,26.09,26.76,7776440
2026-04-30,26.0,27.46,25.09,26.94,8978653
2026-05-01,27.25,27.56,26.99,27.22,5716203
2026-05-04,27.34,27.51,26.73,26.77,3524995
2026-05-05,26.76,26.8,25.915,26.4,4669410
2026-05-06,26.34,26.765,25.96,26.68,5189492
2026-05-07,26.57,27.125,26.4,26.75,3526486
2026-05-08,26.82,27.115,26.25,27.1,2825400
2026-05-11,27.0,27.48,26.7,26.785,3820636
2026-05-12,26.8,26.89,26.15,26.16,3375740
2026-05-13,26.15,26.67,26.1,26.36,3612256
2026-05-14,26.45,26.66,26.205,26.22,3166664
2026-05-15,26.2,26.29,25.51,25.83,2709786
2026-05-18,25.9,26.32,25.71,26.09,2978052
2026-05-19,26.04,26.07,25.67,26.05,2557135
2026-05-20,26.05,27.06,25.925,27.05,5836662
2026-05-21,27.49,29.24,27.32,28.99,8236553
2026-05-22,29.08,29.598,28.65,28.89,4944056
2026-05-26,29.08,30.11,29.03,29.63,7533963
2026-05-27,29.78,30.03,29.4,29.67,3757159
2026-05-28,29.6,30.07,29.3,29.87,3524749
2026-05-29,29.57,29.74,28.98,29.52,4769786
2026-06-01,29.17,29.24,28.67,29.04,4158760
2026-06-02,29.04,29.3793,28.53,28.77,4024861
2026-06-03,28.77,28.77,27.95,28.08,3651573
2026-06-04,28.25,28.465,27.77,27.79,4386973
2026-06-05,27.51,27.71,26.455,27.01,6202247
2026-06-08,27.14,27.52,27.05,27.44,3552332
2026-06-09,28.65,28.773,27.385,27.61,12145990
2026-06-10,27.22,27.92,26.92,27.59,32773310
2026-06-11,27.4,27.815,26.69,27.59,5576158
2026-06-12,27.65,27.88,26.945,27.52,4162053
2026-06-15,27.66,28.11,27.415,27.46,4303348
2026-06-16,27.44,28.19,27.235,27.86,4402733
2026-06-17,27.78,28.385,27.535,27.93,4322197
2026-06-18,27.935,28.26,27.5,28.03,6070308
2026-06-22,27.84,28.07,27.385,27.94,6475737
2026-06-23,27.44,28.295,27.4,28.08,5183308
2026-06-24,28.26,28.715,27.88,27.9,4850748
2026-06-25,27.95,28.165,27.59,27.76,3866609
2026-06-26,27.76,28.78,27.71,28.35,6739931
2026-06-29,28.71,29.25,28.43,29.24,4912506
2026-06-30,29.03,29.765,28.85,29.54,4405744
2026-07-01,29.34,30.32,28.85,29.95,4677161
2026-07-02,30.09,30.61,30.075,30.51,5112124
2026-07-06,30.42,31.16,30.34,30.75,5165776
2026-07-07,30.98,31.42,30.64,30.71,3950918
2026-07-08,30.605,30.76,29.895,30.26,4865250
2026-07-09,30.2,30.83,30.06,30.69,2657888
2026-07-10,30.85,30.85,30.275,30.42,3217385
2026-07-13,30.44,31.35,30.42,30.67,3916316
2026-07-14,30.84,30.86,30.15,30.39,2777423
2026-07-15,30.57,31.295,30.5001,30.65,2598755
2026-07-16,30.65,31.38,30.64,31.22,3085864
2026-07-17,30.94,31.12,30.435,30.59,2690386
