date,open,high,low,close,volume
2025-09-02,36.625,37.17,36.43,37.15,35875340
2025-09-03,37.33,37.64,37.18,37.34,27291240
2025-09-04,37.2,37.22,36.6301,36.93,45258540
2025-09-05,37.41,37.6,36.97,37.21,25435550
2025-09-08,37.565,37.825,37.36,37.51,25019720
2025-09-09,37.43,37.58,37.0101,37.18,24001240
2025-09-10,37.35,37.485,37.24,37.41,17743560
2025-09-11,37.37,37.915,37.325,37.79,19051460
2025-09-12,38.24,38.445,38.15,38.34,19902340
2025-09-15,38.3,38.79,38.25,38.76,22225100
2025-09-16,39.0,39.01,38.34,38.6,25319750
2025-09-17,38.04,38.34,37.35,37.79,31045450
2025-09-18,37.855,38.0,37.61,37.99,13289170
2025-09-19,38.26,39.12,38.19,39.04,36776300
2025-09-22,39.5,40.05,39.34,40.04,32055380
2025-09-23,40.31,40.36,39.79,39.96,28492560
2025-09-24,40.13,40.16,39.635,39.82,31533210
2025-09-25,40.46,41.055,40.115,41.03,36395830
2025-09-26,41.23,42.33,41.09,41.86,44578530
2025-09-29,42.455,42.75,42.18,42.5,41290340
2025-09-30,41.79,42.46,41.7,42.37,34884240
2025-10-01,43.03,43.4,42.87,42.91,44341800
2025-10-02,43.57,43.59,41.66,42.53,58242300
2025-10-03,43.33,43.95,43.045,43.52,47523540
2025-10-06,44.005,44.26,43.885,44.06,34114000
2025-10-07,43.97,43.99,42.95,43.39,42769080
2025-10-08,44.43,45.01,44.275,44.56,59455740
2025-10-09,46.27,46.35,42.8149,44.71,110701700
2025-10-10,45.48,45.995,44.88,45.43,67017000
2025-10-13,46.94,47.44,46.58,47.26,57830360
2025-10-14,45.99,47.26,45.77,46.8,57821450
2025-10-15,47.75,48.405,47.42,48.33,41672870
2025-10-16,48.1,49.25,48.0,49.17,48853000
2025-10-17,48.46,48.59,45.88,46.99,86492640
2025-10-20,47.76,47.83,47.06,47.72,35933500
2025-10-21,45.19,45.38,43.3101,43.79,81395270
2025-10-22,43.74,44.13,43.28,43.88,43269980
2025-10-23,44.72,44.865,44.17,44.18,24565620
2025-10-24,44.08,44.39,43.84,43.99,24014020
2025-10-27,42.97,43.06,41.7,42.4,42914130
2025-10-28,42.36,42.9099,42.23,42.7,27782020
2025-10-29,43.84,43.935,42.83,43.23,27351680
2025-10-30,43.68,44.435,43.54,44.34,30333240
2025-10-31,44.48,44.52,43.89,44.01,21310920
2025-11-03,44.254,44.358,43.56,43.76,17946700
2025-11-04,43.04,43.435,42.51,42.74,26679120
2025-11-05,43.49,43.79,43.35,43.65,16178520
2025-11-06,43.66,43.9,43.235,43.55,15957870
2025-11-07,44.02,44.23,43.51,43.92,16493110
2025-11-10,45.17,45.87,45.005,45.79,20763790
2025-11-11,46.28,46.48,45.6,46.45,19693670
2025-11-12,47.1,48.6999,46.89,48.32,51559720
2025-11-13,48.29,48.4151,47.21,47.42,39328400
2025-11-14,45.77,46.705,45.4,45.96,31793460
2025-11-17,45.81,46.26,44.945,45.47,23581990
2025-11-18,45.87,46.44,45.59,46.1,20909400
2025-11-19,46.8,47.5,45.69,46.45,30797070
2025-11-20,46.26,46.635,45.535,45.78,28460430
2025-11-21,44.9,45.95,44.76,45.3,26351870
2025-11-24,45.41,46.635,45.355,46.63,21486800
2025-11-25,46.55,46.77,45.97,46.67,24006640
2025-11-26,47.31,48.45,47.145,48.4,26280260
2025-11-28,49.67,51.27,49.58,51.21,41350010
2025-12-01,51.99,53.36,51.61,52.52,66064100
2025-12-02,52.83,53.2,51.765,53.13,43952650
2025-12-03,52.99,53.389,52.42,53.07,33817720
2025-12-04,52.28,52.36,51.135,51.76,48740290
2025-12-05,52.71,53.82,52.53,52.95,43566010
2025-12-08,52.89,52.965,52.26,52.71,19711180
2025-12-09,53.39,55.185,53.36,55.17,59738850
2025-12-10,55.13,56.215,54.48,56.07,54915010
2025-12-11,56.77,58.295,56.465,57.62,67910900
2025-12-12,58.53,58.56,55.13,56.1,78667370
2025-12-15,57.84,58.2,57.02,58.11,43227800
2025-12-16,57.61,57.99,57.1001,57.73,32461260
2025-12-17,59.27,60.64,59.045,60.26,65127980
2025-12-18,59.82,60.025,58.58,59.32,47603350
2025-12-19,59.79,61.16,59.69,60.93,42610050
2025-12-22,62.6,62.82,61.74,62.47,50621720
2025-12-23,63.68,64.875,62.37,64.84,75680000
2025-12-24,65.08,65.525,63.605,65.22,58825950
2025-12-26,67.83,71.225,67.345,71.12,139161200
2025-12-29,65.657,66.485,63.92,66.01,153207900
2025-12-30,69.105,70.76,68.0307,68.98,117759200
2025-12-31,65.54,66.88,63.53,64.42,114745300
2026-01-02,67.3,67.36,64.745,65.75,75553310
2026-01-05,69.45,70.6,68.52,69.08,103313300
2026-01-06,71.43,73.84,71.35,73.71,105539100
2026-01-07,69.82,71.545,69.22,70.96,93679520
2026-01-08,67.24,69.77,66.92,69.71,77918290
2026-01-09,71.31,72.99,70.8713,72.38,90650130
2026-01-12,76.11,78.18,76.0,77.23,105429600
2026-01-13,80.03,80.8,77.86,78.6,140656900
2026-01-14,83.34,84.78,81.28,84.56,177419400
2026-01-15,80.74,84.33,80.54,83.32,160702100
2026-01-16,80.33,81.52,78.745,81.02,132767200
2026-01-20,86.19,86.33,84.3805,85.39,101272300
2026-01-21,85.6,85.895,81.89,83.96,141683900
2026-01-22,84.79,87.52,84.71,87.13,86965020
2026-01-23,90.19,92.9799,89.665,92.91,143739100
2026-01-26,99.37,106.7,96.51,98.34,393030300
2026-01-27,97.98,101.74,95.07,101.59,215489700
2026-01-28,102.78,106.45,100.0,105.6,184566000
2026-01-29,109.53,109.83,96.74,105.57,246351300
