date,open,high,low,close,volume
2025-09-02,33.1,38.49,32.6,37.24,20743110
2025-09-03,39.27,43.1099,38.5,40.42,32491280
2025-09-04,40.87,41.08,35.9,36.03,19563140
2025-09-05,37.65,37.65,34.5,34.53,13121700
2025-09-08,34.92,35.57,33.82,33.95,10257120
2025-09-09,34.3,35.36,33.98,35.34,11157490
2025-09-10,36.46,36.7,34.31,34.31,15044450
2025-09-11,35.04,35.6,34.4,35.18,12726970
2025-09-12,35.38,36.53,34.73,36.34,12267840
2025-09-15,37.79,39.46,35.88,39.09,23182910
2025-09-16,38.3,39.0,36.76,37.26,16497190
2025-09-17,36.97,37.0,35.13,36.13,12722140
2025-09-18,37.28,41.03,36.35,38.12,25964610
2025-09-19,39.2,47.0,39.0,46.77,52070390
2025-09-22,44.7,47.26,42.25,45.0,26290390
2025-09-23,44.5,44.7,41.07,41.64,21098410
2025-09-24,42.25,42.39,39.21,39.67,16844480
2025-09-25,38.0,39.248,36.19,37.7,21368740
2025-09-26,38.0,38.85,36.96,38.0,12613210
2025-09-29,39.75,40.328,37.816,38.16,15753890
2025-09-30,37.295,37.81,35.92,36.0,20559250
2025-10-01,36.02,37.05,35.25,36.61,13151390
2025-10-02,37.39,39.5901,36.96,39.51,18790640
2025-10-03,39.37,41.25,38.67,40.12,17498450
2025-10-06,41.515,43.96,41.32,41.94,18427930
2025-10-07,42.31,44.2,39.0502,39.21,19406610
2025-10-08,39.86,40.635,37.922,38.2,15443390
2025-10-09,38.95,41.605,38.426,40.61,22078400
2025-10-10,41.02,44.83,39.1,39.24,36466930
2025-10-13,41.84,46.4,41.7,45.02,30071280
2025-10-14,43.31,47.42,41.6207,45.79,23524700
2025-10-15,48.24,56.1599,47.95,53.43,61078570
2025-10-16,56.33,57.42,47.51,47.64,41118400
2025-10-17,48.0,48.67,42.67,44.25,30755020
2025-10-20,46.395,46.395,43.41,44.21,15883790
2025-10-21,41.13,41.74,38.32,38.37,30772160
2025-10-22,38.72,38.9,32.69,34.72,39024320
2025-10-23,35.21,38.26,34.38,37.56,21950140
2025-10-24,39.0,40.3,37.5,37.73,23940910
2025-10-27,38.87,39.59,36.925,38.71,14938420
2025-10-28,39.76,44.48,39.17,42.12,32305060
2025-10-29,42.155,44.4299,40.53,43.17,18613560
2025-10-30,41.99,44.37,40.7,42.25,14854250
2025-10-31,43.75,45.54,42.08,44.87,17575000
2025-11-03,43.74,43.99,40.39,40.83,15378670
2025-11-04,39.5,40.1543,35.62,35.63,17619190
2025-11-05,38.22,39.3491,37.21,37.91,14542450
2025-11-06,37.24,37.41,32.32,32.46,23758770
2025-11-07,29.65,30.5,26.765,30.34,42361260
2025-11-10,32.06,32.09,27.56,28.43,31546000
2025-11-11,28.0,28.13,26.4,26.74,20087530
2025-11-12,27.05,27.78,25.59,25.96,20965120
2025-11-13,25.57,25.57,22.77,23.15,27631880
2025-11-14,21.93,23.45,21.56,22.45,26045240
2025-11-17,22.3,22.55,20.56,21.06,24986230
2025-11-18,21.15,22.37,20.7,21.54,23969040
2025-11-19,22.09,22.15,20.44,21.13,23102790
2025-11-20,22.62,22.69,18.58,18.7,31531940
2025-11-21,19.02,19.02,16.9592,18.6,24848520
2025-11-24,19.0,19.98,18.44,19.94,22736460
2025-11-25,19.78,19.78,18.2,18.73,21529510
2025-11-26,19.06,19.25,18.2,19.04,19868540
2025-11-28,19.42,20.285,19.08,20.0,17890350
2025-12-01,19.28,19.33,18.05,18.08,20612030
2025-12-02,18.46,19.65,18.41,18.91,19300250
2025-12-03,18.755,20.32,18.21,20.14,25902830
2025-12-04,20.01,23.35,19.5,22.85,42614590
2025-12-05,22.34,22.42,21.3,21.39,25834750
2025-12-08,22.35,22.96,20.86,21.56,24333160
2025-12-09,20.9,21.95,20.62,21.32,16250040
2025-12-10,20.62,21.115,19.77,20.32,22478950
2025-12-11,19.87,21.26,18.81,21.22,22399140
2025-12-12,20.84,20.9,18.33,18.34,28677000
2025-12-15,18.68,18.711,17.3701,17.41,21888170
2025-12-16,17.11,17.6,16.61,17.12,20564570
2025-12-17,17.08,17.249,15.69,15.73,22147160
2025-12-18,16.48,16.83,15.6544,15.79,19272150
2025-12-19,15.99,16.605,15.94,16.07,28175630
2025-12-22,16.54,17.255,16.155,16.43,24591900
2025-12-23,16.15,16.31,15.77,15.97,17835340
2025-12-24,15.96,16.13,15.53,16.08,10249600
2025-12-26,15.89,15.89,14.76,14.85,24899600
2025-12-29,14.31,15.29,14.29,14.48,26422470
2025-12-30,14.63,14.74,14.07,14.31,19445400
2025-12-31,14.315,14.43,13.98,14.17,16899500
2026-01-02,14.56,16.47,14.32,16.31,31101270
2026-01-05,17.945,19.55,17.34,18.78,68574540
2026-01-06,19.58,20.22,18.17,19.57,51438950
2026-01-07,18.95,20.27,18.48,19.47,34849830
2026-01-08,19.175,19.98,18.72,19.67,23624710
2026-01-09,21.49,22.29,20.32,20.51,51357080
2026-01-12,20.32,20.43,19.52,19.72,25991110
2026-01-13,20.08,20.3,19.07,19.23,19691560
2026-01-14,18.99,19.99,18.47,19.83,19538260
2026-01-15,19.845,19.92,18.83,18.9,22967850
2026-01-16,19.44,20.55,18.862,20.19,34906410
2026-01-20,19.385,20.08,18.89,19.0,28057480
2026-01-21,20.16,21.15,18.43,19.75,51293680
2026-01-22,20.35,21.06,19.77,20.64,33790250
2026-01-23,20.82,20.84,19.4,19.77,24149750
2026-01-26,19.505,20.0657,18.275,18.4,22262230
2026-01-27,18.55,19.32,17.68,19.2,25061310
2026-01-28,19.41,20.925,19.01,20.48,29799860
2026-01-29,19.78,20.07,18.13,18.92,28477110
2026-01-30,18.47,19.13,17.3301,17.48,25697170
