date,open,high,low,close,volume
2025-09-02,234.0,235.2599,228.4,233.6,7218016
2025-09-03,234.85,236.5,227.844,229.33,6749008
2025-09-04,222.7,224.05,215.05,221.9,13279990
2025-09-05,223.92,226.5,221.19,225.58,5889395
2025-09-08,226.84,230.95,225.995,226.52,4519522
2025-09-09,223.0,225.83,222.1,225.56,3949406
2025-09-10,229.9,232.21,224.02,225.85,5142081
2025-09-11,226.11,228.6599,223.411,224.53,4152549
2025-09-12,224.5,224.815,220.81,221.15,2634690
2025-09-15,222.015,228.54,222.015,225.79,3722267
2025-09-16,221.24,222.345,215.95,215.95,7212202
2025-09-17,217.2,219.01,214.3,217.96,4366339
2025-09-18,219.995,222.25,218.51,222.11,3752581
2025-09-19,223.31,231.94,222.5701,230.48,7774901
2025-09-22,228.91,230.1299,225.3301,229.54,3217095
2025-09-23,230.16,231.492,222.88,223.54,4939267
2025-09-24,226.8,228.06,221.12,222.57,3259385
2025-09-25,219.5,225.41,217.27,221.6,3006175
2025-09-26,222.31,225.9709,220.295,224.64,3014785
2025-09-29,226.94,230.33,224.07,225.25,4429088
2025-09-30,225.84,227.5,221.52,225.55,3420049
2025-10-01,223.88,231.86,222.64,230.55,4678325
2025-10-02,235.0,241.1169,234.0101,240.54,6623123
2025-10-03,242.5,242.5,233.24,235.09,4073676
2025-10-06,240.36,245.7589,239.5,242.52,5131190
2025-10-07,243.28,244.15,231.07,234.81,4898682
2025-10-08,239.04,251.81,237.05,250.21,7518150
2025-10-09,249.965,253.6,245.27,250.67,6562626
2025-10-10,253.0,255.39,241.12,242.17,5062741
2025-10-13,246.19,248.43,243.2701,247.27,2938141
2025-10-14,244.04,244.36,238.0,240.83,4084289
2025-10-15,243.89,244.3258,240.11,240.86,3030195
2025-10-16,246.0,251.74,237.01,240.06,8485789
2025-10-17,236.79,241.11,236.0,240.74,2379414
2025-10-20,243.77,246.65,241.02,245.67,2854807
2025-10-21,246.0,249.1,242.55,247.52,2407565
2025-10-22,245.97,249.28,238.26,241.67,3206083
2025-10-23,243.6,253.09,243.35,252.99,3685464
2025-10-24,256.77,259.75,252.6973,257.94,5169315
2025-10-27,263.15,267.8,261.86,265.97,4778779
2025-10-28,266.11,270.94,264.5,267.05,4128977
2025-10-29,268.3,272.39,264.2,269.7,4105250
2025-10-30,263.59,273.29,261.3152,271.18,4350707
2025-10-31,274.94,275.48,265.69,274.88,6207555
2025-11-03,277.73,280.67,273.61,277.14,4256181
2025-11-04,270.4,276.96,262.61,265.42,5248988
2025-11-05,264.43,268.38,262.77,264.79,3069338
2025-11-06,268.25,274.35,261.01,264.72,4100431
2025-11-07,260.0,264.72,254.49,262.86,3835491
2025-11-10,268.5,273.0025,267.5759,268.51,3034464
2025-11-11,266.37,273.35,266.01,271.26,2481350
2025-11-12,274.29,275.87,266.86,269.82,3130471
2025-11-13,262.16,266.23,255.011,256.92,3551148
2025-11-14,247.41,259.664,243.21,257.02,3246535
2025-11-17,258.88,260.5,250.485,252.79,3164910
2025-11-18,250.8,256.8699,248.02,254.51,2668156
2025-11-19,252.89,256.45,250.785,252.98,1966484
2025-11-20,258.6,262.25,244.38,244.66,3669350
2025-11-21,245.64,246.37,228.58,234.03,6823865
2025-11-24,237.7,244.09,236.05,241.99,4587772
2025-11-25,241.66,250.99,237.93,250.32,3505144
2025-11-26,250.0,250.72,247.69,248.66,3319463
2025-11-28,249.65,254.0,248.845,251.24,1944075
2025-12-01,249.09,253.22,246.011,252.0,4365009
2025-12-02,261.05,268.21,258.325,259.68,6626645
2025-12-03,262.58,267.974,256.79,265.0,12573720
2025-12-04,244.0,244.1399,234.0301,234.77,25623470
2025-12-05,233.59,234.0,225.6,228.79,11696730
2025-12-08,228.64,231.5,224.42,225.31,6328861
2025-12-09,223.01,225.31,220.1,222.6,6129199
2025-12-10,220.26,221.85,216.0,216.55,9177781
2025-12-11,215.0,221.66,214.9,220.51,4932404
2025-12-12,220.0,222.44,215.21,217.93,3900667
2025-12-15,216.92,217.63,211.91,215.28,5275679
2025-12-16,212.45,221.38,212.45,220.6,4793259
2025-12-17,220.08,224.75,216.25,216.29,2945089
2025-12-18,217.15,223.6,216.79,221.31,4823233
2025-12-19,221.43,224.0,218.34,222.46,6288757
2025-12-22,223.34,226.86,221.74,226.84,2789233
2025-12-23,224.3,226.175,219.7,225.1,3986810
2025-12-24,223.91,224.575,219.54,221.93,1677382
2025-12-26,222.18,224.1,221.1,223.88,1763720
2025-12-29,222.99,225.4883,222.2,222.9,2072989
2025-12-30,222.5,224.16,221.91,222.05,1593343
2025-12-31,221.625,222.4,218.71,219.36,2249299
2026-01-02,219.9,222.9871,213.95,216.71,3464246
2026-01-05,217.35,227.4,217.31,224.36,4986940
2026-01-06,225.5,234.87,223.52,234.53,5208631
2026-01-07,234.0,235.65,230.5501,233.5,2916908
2026-01-08,235.83,236.31,223.56,223.79,4348699
2026-01-09,224.4,226.83,218.2,219.09,4650012
2026-01-12,216.5,221.775,214.03,220.28,3345003
2026-01-13,220.0,220.49,207.5,209.39,8054374
2026-01-14,208.0,208.88,204.18,206.16,4780126
2026-01-15,205.47,209.3,205.47,207.74,4919784
2026-01-16,208.53,216.1,207.11,210.38,5250790
2026-01-20,206.51,209.6,204.94,206.21,3766948
2026-01-21,207.08,210.37,205.05,206.5,2883734
2026-01-22,208.93,211.49,204.87,211.13,3539077
2026-01-23,213.29,214.74,208.955,209.69,2905287
2026-01-26,211.79,214.699,208.5,211.27,3463786
2026-01-27,213.15,216.7,209.0,212.75,2855397
2026-01-28,214.21,223.05,214.15,216.0,4807229
2026-01-29,205.23,206.05,196.79,199.37,7999562
2026-01-30,200.65,203.99,191.81,192.7,5753459
2026-02-02,197.09,197.09,190.37,190.68,4746788
2026-02-03,189.2,190.17,168.9708,173.24,13814030
2026-02-04,171.05,171.5,159.52,165.29,17295400
2026-02-05,163.85,165.445,156.08,156.71,8089368
2026-02-06,162.3,170.39,159.48,168.43,9619346
2026-02-09,168.41,176.39,166.275,175.95,8828838
