date,open,high,low,close,volume
2025-09-02,24.5,25.28,23.7,24.91,76177280
2025-09-03,25.06,25.11,24.39,24.49,48252810
2025-09-04,24.33,25.54,24.2407,25.38,51599710
2025-09-05,25.77,25.97,24.18,25.6,71312270
2025-09-08,25.81,26.1,25.05,25.96,55972660
2025-09-09,26.02,26.19,25.55,25.97,49112970
2025-09-10,26.29,26.855,25.3,25.52,63942160
2025-09-11,25.76,26.6,25.62,25.96,54719160
2025-09-12,26.0,26.69,25.77,26.55,61305220
2025-09-15,27.25,27.77,26.935,27.67,66929360
2025-09-16,27.79,27.88,26.63,27.42,67268470
2025-09-17,27.25,27.46,26.13,27.14,73319920
2025-09-18,27.59,28.5769,27.08,28.11,71508280
2025-09-19,28.265,29.6299,28.24,29.51,74760860
2025-09-22,29.3,30.3,28.97,29.81,64448270
2025-09-23,29.805,30.14,28.85,29.09,47417520
2025-09-24,29.5,29.67,28.35,28.44,46087490
2025-09-25,27.76,28.67,27.06,28.12,49863460
2025-09-26,28.37,28.48,27.5601,27.98,36585280
2025-09-29,28.36,28.63,27.11,27.55,60395290
2025-09-30,27.47,27.61,25.7,26.42,94402890
2025-10-01,26.73,27.33,25.64,25.76,81148120
2025-10-02,26.33,26.35,25.45,25.97,65256660
2025-10-03,26.1,26.18,24.84,25.24,78751670
2025-10-06,25.77,27.14,25.31,26.36,97325620
2025-10-07,27.1,28.84,26.68,28.14,121607800
2025-10-08,28.49,28.71,27.645,28.02,84643220
2025-10-09,28.04,28.69,27.75,28.45,66863910
2025-10-10,28.55,29.8,26.13,26.19,106425800
2025-10-13,27.07,27.43,26.47,27.14,62676080
2025-10-14,26.51,28.35,25.75,27.87,75502550
2025-10-15,28.2,29.09,27.56,28.03,67849590
2025-10-16,28.07,28.44,26.25,26.6,73472510
2025-10-17,26.1,26.92,26.01,26.54,48123300
2025-10-20,27.2,28.93,27.06,28.68,71880810
2025-10-21,28.56,29.07,28.15,28.75,56408130
2025-10-22,28.49,28.8,26.38,27.19,72894610
2025-10-23,27.33,28.595,27.1988,28.08,51151850
2025-10-24,28.845,29.87,28.7,29.01,53154740
2025-10-27,30.0,30.2,29.27,30.0,82986540
2025-10-28,30.99,31.98,28.8,31.66,183013600
2025-10-29,31.495,32.565,30.14,30.9,95429660
2025-10-30,30.435,30.9153,28.98,29.03,70598700
2025-10-31,29.69,29.86,28.49,29.68,66924040
2025-11-03,29.66,31.22,29.33,30.63,90431720
2025-11-04,29.295,30.79,28.69,29.37,71480990
2025-11-05,29.52,30.37,29.01,30.07,57853290
