date,open,high,low,close,volume
2025-09-02,12.59,13.52,12.14,13.42,81091900
2025-09-03,13.615,13.7,12.65,12.74,65324490
2025-09-04,12.72,13.44,12.66,13.29,86769650
2025-09-05,13.54,14.41,12.81,14.26,95630510
2025-09-08,14.48,15.53,14.02,15.29,112646300
2025-09-09,15.025,15.26,14.64,14.85,67708260
2025-09-10,15.09,15.19,13.91,14.05,74698800
2025-09-11,14.045,14.89,13.92,14.58,61722250
2025-09-12,14.39,14.675,14.11,14.12,46682350
2025-09-15,14.36,15.21,14.04,14.19,74520580
2025-09-16,14.34,14.72,13.74,14.69,66617760
2025-09-17,14.685,15.51,14.305,15.12,83347340
2025-09-18,15.6,16.25,14.77,15.63,84564870
2025-09-19,15.66,16.62,15.61,16.25,91711900
2025-09-22,16.0,17.65,15.545,17.31,90195690
2025-09-23,17.775,19.33,17.22,18.05,120299600
2025-09-24,18.025,18.3,17.4,17.78,63478400
2025-09-25,16.84,17.2956,15.82,16.35,71742240
2025-09-26,16.455,16.8678,15.68,15.94,44432830
2025-09-29,16.113,16.27,15.51,15.68,49711900
2025-09-30,15.575,16.135,15.3,16.08,57885910
2025-10-01,16.07,16.49,15.7,16.15,60330690
2025-10-02,16.55,18.39,16.45,17.84,86701690
2025-10-03,18.09,19.1,17.29,17.85,74999230
2025-10-06,18.18,18.9,17.835,18.25,51638060
2025-10-07,18.62,18.795,17.3,18.2,47525710
2025-10-08,18.42,20.075,18.29,18.88,100252900
2025-10-09,19.035,19.21,18.435,18.58,44906240
2025-10-10,18.74,19.205,17.3244,17.36,57335660
2025-10-13,17.92,19.385,17.79,19.14,56562770
2025-10-14,18.57,21.53,18.52,20.86,77114220
2025-10-15,21.65,21.88,20.2144,21.4,54906510
2025-10-16,21.69,22.17,20.22,20.76,42602990
2025-10-17,19.945,20.4,18.53,19.02,47521760
2025-10-20,19.685,20.17,18.875,19.06,33849320
2025-10-21,18.95,19.35,18.01,18.23,43437360
2025-10-22,17.93,18.17,16.56,17.76,43563800
2025-10-23,17.89,18.7,17.71,18.24,28189960
2025-10-24,18.72,18.98,17.91,17.98,28596650
2025-10-27,18.53,19.09,18.16,18.33,24917130
2025-10-28,18.37,18.76,17.5501,17.71,31267040
2025-10-29,17.84,18.3593,17.35,18.15,30301150
2025-10-30,17.69,17.93,16.86,16.87,31318040
2025-10-31,17.27,17.675,16.8,17.62,28277610
2025-11-03,17.675,17.85,16.42,17.11,36075610
2025-11-04,16.24,16.5623,15.03,15.13,48168090
2025-11-05,15.56,15.72,15.01,15.72,28137150
2025-11-06,15.51,15.68,14.225,14.23,44665070
2025-11-07,14.115,14.8,13.715,14.14,49784400
2025-11-10,14.965,14.9774,14.14,14.41,36662310
2025-11-11,14.3,14.3,13.3,13.44,31264970
2025-11-12,13.665,13.87,13.21,13.24,28068490
2025-11-13,12.995,13.01,11.87,12.22,43405720
2025-11-14,11.695,12.49,11.545,12.17,28158430
2025-11-17,11.96,12.155,11.27,11.43,29540810
2025-11-18,11.19,11.75,10.97,11.53,32819060
2025-11-19,11.66,12.01,11.375,11.63,26398840
2025-11-20,12.47,13.19,11.25,11.29,53625950
2025-11-21,11.22,11.47,10.3501,11.22,51738260
2025-11-24,11.39,11.985,11.29,11.95,24625780
2025-11-25,11.76,12.16,11.36,11.94,19137750
2025-11-26,12.1,12.23,11.78,11.82,19967060
2025-11-28,11.95,12.14,11.8,12.05,11085870
2025-12-01,11.71,12.02,11.44,11.52,22757440
2025-12-02,11.77,12.1,11.21,11.22,22016530
2025-12-03,11.13,11.8,10.96,11.78,20472830
2025-12-04,11.69,12.98,11.64,12.8,29987580
2025-12-05,12.68,12.95,12.5,12.76,18291370
2025-12-08,13.04,13.12,12.51,12.68,16470440
2025-12-09,12.512,12.7368,12.275,12.31,25259280
2025-12-10,12.255,12.47,11.99,12.21,21337660
2025-12-11,12.0,12.03,11.5214,12.03,22662880
2025-12-12,12.24,12.64,11.48,11.65,27359320
2025-12-15,11.67,11.699,10.72,10.79,27790810
